dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,2
2020-03-11,2
2020-03-12,6
2020-03-13,6
2020-03-14,14
2020-03-15,21
2020-03-16,30
2020-03-17,40
2020-03-18,40
2020-03-19,58
2020-03-20,58
2020-03-21,67
2020-03-22,84
2020-03-23,95
2020-03-24,116
2020-03-25,124
2020-03-26,132
2020-03-27,146
2020-03-28,162
2020-03-29,179
2020-03-30,214
2020-03-31,230
2020-04-01,262
2020-04-02,320
2020-04-03,356
2020-04-04,396
2020-04-05,426
2020-04-06,446
2020-04-07,465
2020-04-08,494
2020-04-09,526
2020-04-10,564
2020-04-11,595
2020-04-12,616
2020-04-13,633
2020-04-14,662
2020-04-15,695
2020-04-16,715
2020-04-17,735
2020-04-18,735
2020-04-19,761
2020-04-20,767
2020-04-21,772
2020-04-22,784
2020-04-23,790
2020-04-24,795
2020-04-25,804
2020-04-26,810
2020-04-27,817
2020-04-28,822
2020-04-29,837
2020-04-30,843
2020-05-01,850
2020-05-02,857
2020-05-03,864
2020-05-04,872
2020-05-05,874
2020-05-06,878
2020-05-07,883
2020-05-08,889
2020-05-09,891
2020-05-10,892
2020-05-11,898
2020-05-12,901
2020-05-13,903
2020-05-14,905
2020-05-15,907
2020-05-16,910
2020-05-17,914
2020-05-18,916
2020-05-19,917
2020-05-20,918
2020-05-21,922
2020-05-22,923
2020-05-23,927
2020-05-24,927
2020-05-25,935
2020-05-26,937
2020-05-27,939
2020-05-28,939
2020-05-29,941
2020-05-30,941
2020-05-31,943
2020-06-01,944
2020-06-02,949
2020-06-03,952
2020-06-04,958
2020-06-05,958
2020-06-06,960
2020-06-07,960
2020-06-08,964
2020-06-09,970
2020-06-10,972
2020-06-11,974
2020-06-12,975
2020-06-13,980
2020-06-14,980
2020-06-15,983
2020-06-16,985
2020-06-17,985
2020-06-18,985
2020-06-19,985
2020-06-20,985
2020-06-21,985
2020-06-22,986
2020-06-23,988
2020-06-24,990
2020-06-25,991
2020-06-26,992
2020-06-27,992
2020-06-28,994
2020-06-29,994
2020-06-30,996
2020-07-01,998
2020-07-02,999
2020-07-03,999
2020-07-04,999
2020-07-05,1002
2020-07-06,1003
2020-07-07,1004
2020-07-08,1005
2020-07-09,1008
2020-07-10,1010
2020-07-11,1013
2020-07-12,1014
2020-07-13,1021
2020-07-14,1022
2020-07-15,1022
2020-07-16,1023
2020-07-17,1031
2020-07-18,1031
2020-07-19,1037
2020-07-20,1038
2020-07-21,1038
2020-07-22,1040
2020-07-23,1040
2020-07-24,1045
2020-07-25,1047
2020-07-26,1053
2020-07-27,1057
2020-07-28,1060
2020-07-29,1067
2020-07-30,1080
2020-07-31,1084
2020-08-01,1114
2020-08-02,1124
2020-08-03,1150
2020-08-04,1155
2020-08-05,1180
2020-08-06,1195
2020-08-07,1208
2020-08-08,1222
2020-08-09,1233
2020-08-10,1242
2020-08-11,1252
2020-08-12,1277
2020-08-13,1291
2020-08-14,1305
2020-08-15,1318
2020-08-16,1332
2020-08-17,1332
2020-08-18,1351
2020-08-19,1359
2020-08-20,1385
2020-08-21,1395
2020-08-22,1406
2020-08-23,1417
2020-08-24,1421
2020-08-25,1451
2020-08-26,1474
2020-08-27,1481
2020-08-28,1481
2020-08-29,1481
2020-08-30,1483
2020-08-31,1487
2020-09-01,1488
2020-09-02,1490
2020-09-03,1495
2020-09-04,1498
2020-09-05,1498
2020-09-06,1507
2020-09-07,1509
2020-09-08,1510
2020-09-09,1511
2020-09-10,1514
2020-09-11,1517
2020-09-12,1520
2020-09-13,1523
2020-09-14,1526
2020-09-15,1534
2020-09-16,1540
2020-09-17,1548
2020-09-18,1558
2020-09-19,1565
2020-09-20,1580
2020-09-21,1600
2020-09-22,1603
2020-09-23,1618
2020-09-24,1654
2020-09-25,1663
2020-09-26,1671
2020-09-27,1684
2020-09-28,1696
2020-09-29,1713
2020-09-30,1743
2020-10-01,1755
2020-10-02,1772
2020-10-03,1789
2020-10-04,1811
2020-10-05,1824
2020-10-06,1847
2020-10-07,1876
2020-10-08,1897
2020-10-09,1918
2020-10-10,1951
2020-10-11,1986
2020-10-12,1986
2020-10-13,2047
2020-10-14,2047
2020-10-15,2130
2020-10-16,2181
2020-10-17,2379
2020-10-18,2379
2020-10-19,2644
2020-10-20,2687
2020-10-21,2839
2020-10-22,2966
2020-10-23,3154
2020-10-24,3314
2020-10-25,3444
2020-10-26,3545
2020-10-27,3636
2020-10-28,3817
2020-10-29,3817
2020-10-30,4051
2020-10-31,4217
2020-11-01,4366
2020-11-02,4563
2020-11-03,4760
2020-11-04,4934
2020-11-05,5100
2020-11-06,5333
2020-11-07,5557
2020-11-08,5871
2020-11-09,5987
2020-11-10,6098
2020-11-11,6296
2020-11-12,6461
2020-11-13,6646
2020-11-14,6853
2020-11-15,7051
2020-11-16,7178
2020-11-17,7285
2020-11-18,7513
2020-11-19,7711
2020-11-20,7979
2020-11-21,8211
2020-11-22,8456
2020-11-23,8643
2020-11-24,8947
2020-11-25,9199
2020-11-26,9453
2020-11-27,9673
2020-11-28,9983
2020-11-29,10231
2020-11-30,10383
2020-12-01,10565
2020-12-02,10883
2020-12-03,11175
2020-12-04,11523
2020-12-05,11813
2020-12-06,12182
2020-12-07,12452
2020-12-08,12868
2020-12-09,13287
2020-12-10,13650
2020-12-11,14053
2020-12-12,14477
2020-12-13,14801
2020-12-14,15102
2020-12-15,15451
2020-12-16,15790
2020-12-17,16191
2020-12-18,16648
2020-12-19,17058
2020-12-20,17477
2020-12-21,17719
2020-12-22,18005
2020-12-23,18407
2020-12-24,18884
2020-12-25,19317
2020-12-26,19367
2020-12-27,19392
2020-12-28,19658
2020-12-29,20409
2020-12-30,21316
2020-12-31,22347
2021-01-01,23109
2021-01-02,23276
2021-01-03,23903
2021-01-04,24432
2021-01-05,25097
2021-01-06,25666
2021-01-07,26239
2021-01-08,26666
2021-01-09,27132
2021-01-10,27469
2021-01-11,27808
2021-01-12,28096
2021-01-13,28355
2021-01-14,28582
2021-01-15,28823
2021-01-16,29067
2021-01-17,29269
2021-01-18,29426
2021-01-19,29588
2021-01-20,29752
2021-01-21,29930
2021-01-22,30094
2021-01-23,30216
2021-01-24,30345
2021-01-25,30475
2021-01-26,30601
2021-01-27,30710
2021-01-28,30838
2021-01-29,30996
2021-01-30,31115
2021-01-31,31228
2021-02-01,31388
2021-02-02,31508
2021-02-03,31636
2021-02-04,31775
2021-02-05,31891
2021-02-06,32024
2021-02-07,32156
2021-02-08,32271
2021-02-09,32376
2021-02-10,32471
2021-02-11,32584
2021-02-12,32687
2021-02-13,32800
2021-02-14,32902
2021-02-15,33025
2021-02-16,33138
2021-02-17,33219
2021-02-18,33340
2021-02-19,33447
2021-02-20,33558
2021-02-21,33665
2021-02-22,33772
2021-02-23,33903
2021-02-24,34079
2021-02-25,34222
2021-02-26,34421
2021-02-27,34693
2021-02-28,34936
2021-03-01,35383
2021-03-02,35685
2021-03-03,35973
2021-03-04,36296
2021-03-05,36680
2021-03-06,36953
2021-03-07,37251
2021-03-08,37554
2021-03-09,37906
2021-03-10,38326
2021-03-11,38741
2021-03-12,39172
2021-03-13,39555
2021-03-14,39953
2021-03-15,40327
2021-03-16,40545
2021-03-17,41020
2021-03-18,41402
2021-03-19,41787
2021-03-20,42151
2021-03-21,42558
2021-03-22,42894
2021-03-23,43304
2021-03-24,43669
2021-03-25,43962
2021-03-26,44286
2021-03-27,44647
2021-03-28,44981
2021-03-29,45307
2021-03-30,45667
2021-03-31,46106
2021-04-01,46834
2021-04-02,47143
2021-04-03,47848
2021-04-04,48252
2021-04-05,48683
2021-04-06,49248
2021-04-07,49807
2021-04-08,50336
2021-04-09,50958
2021-04-10,51559
2021-04-11,52005
2021-04-12,52475
2021-04-13,53003
2021-04-14,53622
2021-04-15,54224
2021-04-16,54914
2021-04-17,55591
2021-04-18,56377
2021-04-19,57229
2021-04-20,58051
2021-04-21,58992
2021-04-22,59835
2021-04-23,60762
2021-04-24,61651
2021-04-25,62546
2021-04-26,63319
2021-04-27,63930
2021-04-28,64690
2021-04-29,65535
2021-04-30,66203
2021-05-01,66986
2021-05-02,67449
2021-05-03,67507
2021-05-04,67988
2021-05-05,68497
2021-05-06,69059
2021-05-07,69519
2021-05-08,69843
2021-05-09,70240
2021-05-10,70509
2021-05-11,70785
2021-05-12,71175
2021-05-13,71435
2021-05-14,71648
2021-05-15,71819
2021-05-16,71976
2021-05-17,72141
2021-05-18,72308
2021-05-19,72475
2021-05-20,72610
2021-05-21,72687
2021-05-22,72822
2021-05-23,72913
2021-05-24,72988
2021-05-25,73088
2021-05-26,73167
2021-05-27,73236
2021-05-28,73311
2021-05-29,73384
2021-05-30,73440
2021-05-31,73484
2021-06-01,73579
2021-06-02,73637
2021-06-03,73695
2021-06-04,73748
2021-06-05,73831
2021-06-06,73872
2021-06-07,73901
2021-06-08,73981
2021-06-09,74041
2021-06-10,74118
2021-06-11,74177
2021-06-12,74237
2021-06-13,74279
2021-06-14,74312
2021-06-15,74369
2021-06-16,74433
2021-06-17,74501
2021-06-18,74566
2021-06-19,74642
2021-06-20,74704
2021-06-21,74765
2021-06-22,74832
2021-06-23,74954
2021-06-24,75121
2021-06-25,75296
2021-06-26,75465
2021-06-27,75691
2021-06-28,75907
2021-06-29,76221
2021-06-30,76553
2021-07-01,77368
2021-07-02,77841
2021-07-03,78370
2021-07-04,78953
2021-07-05,79530
2021-07-06,80317
