dates,count_medicalconditionincident_covid_19_patientinicu
2020-03-16,3
2020-03-17,7
2020-03-18,9
2020-03-19,10
2020-03-20,16
2020-03-21,18
2020-03-22,27
2020-03-23,31
2020-03-24,41
2020-03-25,54
2020-03-26,51
2020-03-27,59
2020-03-28,63
2020-03-29,61
2020-03-30,73
2020-03-31,82
2020-04-01,88
2020-04-02,87
2020-04-03,94
2020-04-04,90
2020-04-05,91
2020-04-06,96
2020-04-07,102
2020-04-08,96
2020-04-09,94
2020-04-10,90
2020-04-11,94
2020-04-12,99
2020-04-13,93
2020-04-14,83
2020-04-15,79
2020-04-16,87
2020-04-17,86
2020-04-18,81
2020-04-19,84
2020-04-20,86
2020-04-21,82
2020-04-22,78
2020-04-23,75
2020-04-24,73
2020-04-25,69
2020-04-26,67
2020-04-27,68
2020-04-28,61
2020-04-29,60
2020-04-30,52
2020-05-01,46
2020-05-02,47
2020-05-03,45
2020-05-04,47
2020-05-05,37
2020-05-06,35
2020-05-07,36
2020-05-08,40
2020-05-09,34
2020-05-10,34
2020-05-11,35
2020-05-12,32
2020-05-13,29
2020-05-14,29
2020-05-15,29
2020-05-16,28
2020-05-17,28
2020-05-18,29
2020-05-19,26
2020-05-20,25
2020-05-21,23
2020-05-22,17
2020-05-23,18
2020-05-24,19
2020-05-25,18
2020-05-26,16
2020-05-27,16
2020-05-28,13
2020-05-29,12
2020-05-30,12
2020-05-31,11
2020-06-01,11
2020-06-02,9
2020-06-03,8
2020-06-04,8
2020-06-05,6
2020-06-06,8
2020-06-07,9
2020-06-08,9
2020-06-09,11
2020-06-10,12
2020-06-11,10
2020-06-12,11
2020-06-13,10
2020-06-14,11
2020-06-15,8
2020-06-16,4
2020-06-17,6
2020-06-18,8
2020-06-19,7
2020-06-20,7
2020-06-21,9
2020-06-22,9
2020-06-23,6
2020-06-24,7
2020-06-25,9
2020-06-26,8
2020-06-27,9
2020-06-28,10
2020-06-29,10
2020-06-30,8
2020-07-01,10
2020-07-02,10
2020-07-03,11
2020-07-04,11
2020-07-05,13
2020-07-06,11
2020-07-07,13
2020-07-08,14
2020-07-09,15
2020-07-10,15
2020-07-11,13
2020-07-12,14
2020-07-13,14
2020-07-14,13
2020-07-15,12
2020-07-16,14
2020-07-17,13
2020-07-18,12
2020-07-19,14
2020-07-20,14
2020-07-21,13
2020-07-22,12
2020-07-23,14
2020-07-24,15
2020-07-25,14
2020-07-26,14
2020-07-27,16
2020-07-28,16
2020-07-29,18
2020-07-30,18
2020-07-31,17
2020-08-01,15
2020-08-02,15
2020-08-03,14
2020-08-04,14
2020-08-05,15
2020-08-06,15
2020-08-07,17
2020-08-08,12
2020-08-09,20
2020-08-10,22
2020-08-11,21
2020-08-12,22
2020-08-13,23
2020-08-14,22
2020-08-15,21
2020-08-16,21
2020-08-17,22
2020-08-18,25
2020-08-19,27
2020-08-20,26
2020-08-21,24
2020-08-22,26
2020-08-23,29
2020-08-24,33
2020-08-25,29
2020-08-26,31
2020-08-27,34
2020-08-28,37
2020-08-29,37
2020-08-30,39
2020-08-31,40
2020-09-01,45
2020-09-02,49
2020-09-03,46
2020-09-04,51
2020-09-05,49
2020-09-06,52
2020-09-07,53
2020-09-08,50
2020-09-09,55
2020-09-10,58
2020-09-11,62
2020-09-12,57
2020-09-13,63
2020-09-14,70
2020-09-15,70
2020-09-16,74
2020-09-17,81
2020-09-18,98
2020-09-19,112
2020-09-20,122
2020-09-21,144
2020-09-22,137
2020-09-23,147
2020-09-24,157
2020-09-25,158
2020-09-26,163
2020-09-27,178
2020-09-28,191
2020-09-29,197
2020-09-30,196
2020-10-01,219
2020-10-02,225
2020-10-03,254
2020-10-04,268
2020-10-05,282
2020-10-06,316
2020-10-07,346
2020-10-08,358
2020-10-09,389
2020-10-10,420
2020-10-11,411
2020-10-12,435
2020-10-13,452
2020-10-14,478
2020-10-15,514
2020-10-16,555
2020-10-17,573
2020-10-18,599
2020-10-19,623
2020-10-20,643
2020-10-21,704
2020-10-22,751
2020-10-23,762
2020-10-24,760
2020-10-25,802
2020-10-26,884
2020-10-27,876
2020-10-28,888
2020-10-29,995
2020-10-30,1030
2020-10-31,1069
2020-11-01,1118
2020-11-02,1154
2020-11-03,1181
2020-11-04,1166
2020-11-05,1176
2020-11-06,1212
2020-11-07,1157
2020-11-08,1167
2020-11-09,1181
2020-11-10,1169
2020-11-11,1110
2020-11-12,1105
2020-11-13,1101
2020-11-14,1068
2020-11-15,1045
2020-11-16,1039
2020-11-17,995
2020-11-18,1007
2020-11-19,974
2020-11-20,960
2020-11-21,944
2020-11-22,958
2020-11-23,950
2020-11-24,881
2020-11-25,856
2020-11-26,843
2020-11-27,800
2020-11-28,780
2020-11-29,765
2020-11-30,791
2020-12-01,733
2020-12-02,717
2020-12-03,718
2020-12-04,715
2020-12-05,692
2020-12-06,680
2020-12-07,714
2020-12-08,701
2020-12-09,686
2020-12-10,712
2020-12-11,702
2020-12-12,697
2020-12-13,711
2020-12-14,729
2020-12-15,725
2020-12-16,735
2020-12-17,725
2020-12-18,729
2020-12-19,747
2020-12-20,755
2020-12-21,765
2020-12-22,770
2020-12-23,779
2020-12-24,749
2020-12-25,769
2020-12-26,806
2020-12-27,846
2020-12-28,905
2020-12-29,939
2020-12-30,954
2020-12-31,972
2021-01-01,951
2021-01-02,961
2021-01-03,1007
2021-01-04,1091
2021-01-05,1115
2021-01-06,1153
2021-01-07,1150
2021-01-08,1143
2021-01-09,1149
2021-01-10,1177
2021-01-11,1190
2021-01-12,1179
2021-01-13,1174
2021-01-14,1185
2021-01-15,1175
2021-01-16,1166
2021-01-17,1139
2021-01-18,1162
2021-01-19,1143
2021-01-20,1118
2021-01-21,1111
2021-01-22,1114
2021-01-23,1094
2021-01-24,1059
2021-01-25,1084
2021-01-26,1048
2021-01-27,1039
2021-01-28,1018
2021-01-29,1020
2021-01-30,1022
2021-01-31,1040
2021-02-01,1078
2021-02-02,1090
2021-02-03,1076
2021-02-04,1102
2021-02-05,1087
2021-02-06,1070
2021-02-07,1098
2021-02-08,1107
2021-02-09,1094
2021-02-10,1110
2021-02-11,1116
2021-02-12,1114
2021-02-13,1107
2021-02-14,1147
2021-02-15,1174
2021-02-16,1217
2021-02-17,1245
2021-02-18,1270
2021-02-19,1273
2021-02-20,1270
2021-02-21,1286
2021-02-22,1364
2021-02-23,1391
2021-02-24,1411
2021-02-25,1465
2021-02-26,1441
2021-02-27,1471
2021-02-28,1508
2021-03-01,1588
2021-03-02,1599
2021-03-03,1628
2021-03-04,1657
2021-03-05,1674
2021-03-06,1676
2021-03-07,1681
2021-03-08,1777
2021-03-09,1804
2021-03-10,1832
2021-03-11,1822
2021-03-12,1833
2021-03-13,1783
2021-03-14,1829
2021-03-15,1886
2021-03-16,1896
2021-03-17,1861
2021-03-18,1859
2021-03-19,1819
2021-03-20,1781
2021-03-21,1805
2021-03-22,1824
2021-03-23,1774
2021-03-24,1743
2021-03-25,1742
2021-03-26,1677
2021-03-27,1644
2021-03-28,1655
2021-03-29,1665
2021-03-30,1613
2021-03-31,1554
2021-04-01,1506
2021-04-02,1423
2021-04-03,1398
2021-04-04,1378
2021-04-05,1347
2021-04-06,1395
2021-04-07,1359
2021-04-08,1315
2021-04-09,1235
2021-04-10,1214
2021-04-11,1196
2021-04-12,1184
2021-04-13,1153
2021-04-14,1111
2021-04-15,1035
2021-04-16,1012
2021-04-17,975
2021-04-18,975
2021-04-19,992
2021-04-20,942
2021-04-21,908
2021-04-22,839
2021-04-23,792
2021-04-24,755
2021-04-25,763
2021-04-26,741
2021-04-27,716
2021-04-28,689
2021-04-29,640
2021-04-30,580
2021-05-01,555
2021-05-02,559
2021-05-03,564
2021-05-04,545
2021-05-05,503
2021-05-06,464
2021-05-07,439
2021-05-08,412
2021-05-09,416
2021-05-10,424
2021-05-11,401
2021-05-12,379
2021-05-13,369
2021-05-14,343
2021-05-15,309
2021-05-16,306
2021-05-17,297
2021-05-18,279
2021-05-19,251
2021-05-20,220
2021-05-21,194
2021-05-22,191
2021-05-23,189
2021-05-24,185
2021-05-25,164
2021-05-26,156
2021-05-27,147
2021-05-28,127
2021-05-29,113
2021-05-30,113
2021-05-31,118
2021-06-01,98
2021-06-02,91
2021-06-03,86
2021-06-04,72
2021-06-05,60
2021-06-06,61
2021-06-07,58
2021-06-08,59
2021-06-09,56
2021-06-10,53
2021-06-11,38
2021-06-12,38
2021-06-13,35
2021-06-14,37
2021-06-15,27
2021-06-16,25
2021-06-17,24
2021-06-18,22
2021-06-19,18
2021-06-20,20
2021-06-21,18
2021-06-22,17
2021-06-23,14
2021-06-24,16
2021-06-25,16
2021-06-26,13
2021-06-27,12
2021-06-28,14
2021-06-29,15
2021-06-30,13
2021-07-01,14
2021-07-02,7
2021-07-03,6
2021-07-04,7
2021-07-05,11
2021-07-06,11
2021-07-07,12
2021-07-08,11
2021-07-09,8
2021-07-10,7
2021-07-11,8
2021-07-12,9
2021-07-13,8
2021-07-14,10
2021-07-15,10
2021-07-16,10
2021-07-17,9
2021-07-18,10
2021-07-19,10
2021-07-20,6
2021-07-21,9
2021-07-22,14
2021-07-23,12
2021-07-24,9
2021-07-25,10
2021-07-26,9
2021-07-27,10
2021-07-28,11
2021-07-29,14
2021-07-30,16
2021-07-31,17
2021-08-01,16
2021-08-02,15
2021-08-03,17
2021-08-04,18
2021-08-05,17
2021-08-06,15
2021-08-07,13
2021-08-08,16
2021-08-09,18
2021-08-10,18
2021-08-11,20
2021-08-12,20
2021-08-13,18
2021-08-14,19
2021-08-15,16
2021-08-16,18
2021-08-17,18
2021-08-18,19
2021-08-19,20
2021-08-20,18
2021-08-21,16
2021-08-22,17
2021-08-23,19
2021-08-24,16
2021-08-25,18
2021-08-26,16
2021-08-27,14
2021-08-28,13
2021-08-29,9
2021-08-30,10
2021-08-31,10
2021-09-01,12
2021-09-02,14
2021-09-03,14
2021-09-04,16
2021-09-05,16
2021-09-06,23
2021-09-07,26
2021-09-08,24
2021-09-09,22
2021-09-10,24
2021-09-11,27
2021-09-12,31
2021-09-13,35
2021-09-14,41
2021-09-15,38
2021-09-16,43
2021-09-17,46
2021-09-18,43
2021-09-19,40
2021-09-20,42
2021-09-21,40
2021-09-22,38
2021-09-23,38
2021-09-24,42
2021-09-25,46
2021-09-26,45
2021-09-27,49
2021-09-28,53
2021-09-29,51
2021-09-30,50
2021-10-01,45
2021-10-02,44
2021-10-03,52
2021-10-04,58
2021-10-05,72
2021-10-06,86
2021-10-07,75
2021-10-08,78
2021-10-09,77
2021-10-10,77
2021-10-11,99
2021-10-12,113
2021-10-13,114
2021-10-14,116
2021-10-15,115
2021-10-16,112
2021-10-17,116
2021-10-18,133
2021-10-19,146
2021-10-20,138
2021-10-21,142
2021-10-22,153
2021-10-23,151
2021-10-24,163
2021-10-25,171
2021-10-26,194
2021-10-27,216
2021-10-28,210
2021-10-29,234
2021-10-30,238
2021-10-31,266
2021-11-01,310
2021-11-02,317
2021-11-03,344
2021-11-04,344
2021-11-05,383
2021-11-06,389
2021-11-07,424
2021-11-08,471
2021-11-09,487
2021-11-10,511
2021-11-11,519
2021-11-12,526
2021-11-13,560
2021-11-14,600
2021-11-15,642
2021-11-16,652
2021-11-17,692
2021-11-18,718
2021-11-19,745
2021-11-20,753
2021-11-21,782
2021-11-22,818
2021-11-23,859
2021-11-24,871
2021-11-25,895
2021-11-26,912
2021-11-27,929
2021-11-28,941
2021-11-29,986
2021-11-30,989
2021-12-01,982
2021-12-02,973
2021-12-03,968
2021-12-04,938
2021-12-05,966
2021-12-06,989
2021-12-07,994
2021-12-08,994
2021-12-09,1004
2021-12-10,975
2021-12-11,955
2021-12-12,971
2021-12-13,990
2021-12-14,963
2021-12-15,929
2021-12-16,878
2021-12-17,858
2021-12-18,802
2021-12-19,808
2021-12-20,866
2021-12-21,855
2021-12-22,811
2021-12-23,766
2021-12-24,698
2021-12-25,684
2021-12-26,700
2021-12-27,729
2021-12-28,709
2021-12-29,692
2021-12-30,645
2021-12-31,618
2022-01-01,597
2022-01-02,587
2022-01-03,576
2022-01-04,562
2022-01-05,534
2022-01-06,537
2022-01-07,505
2022-01-08,488
2022-01-09,474
2022-01-10,492
2022-01-11,459
2022-01-12,415
2022-01-13,386
2022-01-14,358
2022-01-15,338
2022-01-16,333
2022-01-17,335
2022-01-18,307
2022-01-19,295
2022-01-20,272
2022-01-21,261
2022-01-22,275
2022-01-23,270
2022-01-24,269
2022-01-25,272
2022-01-26,259
2022-01-27,272
2022-01-28,278
2022-01-29,276
2022-01-30,299
2022-01-31,314
2022-02-01,324
2022-02-02,333
2022-02-03,305
2022-02-04,308
2022-02-05,332
2022-02-06,347
2022-02-07,357
2022-02-08,359
2022-02-09,383
2022-02-10,381
2022-02-11,392
2022-02-12,375
2022-02-13,377
2022-02-14,399
2022-02-15,416
2022-02-16,398
2022-02-17,380
2022-02-18,364
2022-02-19,355
2022-02-20,366
2022-02-21,383
2022-02-22,367
2022-02-23,375
2022-02-24,371
2022-02-25,331
2022-02-26,319
2022-02-27,330
2022-02-28,322
2022-03-01,310
2022-03-02,286
2022-03-03,259
2022-03-04,243
2022-03-05,239
2022-03-06,239
2022-03-07,237
2022-03-08,221
2022-03-09,205
2022-03-10,197
2022-03-11,189
2022-03-12,180
2022-03-13,197
2022-03-14,200
2022-03-15,196
2022-03-16,195
2022-03-17,201
2022-03-18,189
2022-03-19,178
2022-03-20,191
2022-03-21,215
2022-03-22,203
2022-03-23,198
2022-03-24,204
2022-03-25,198
2022-03-26,193
2022-03-27,184
2022-03-28,197
2022-03-29,194
2022-03-30,182
2022-03-31,173
2022-04-01,169
2022-04-02,161
2022-04-03,164
2022-04-04,164
2022-04-05,167
2022-04-06,165
2022-04-07,156
2022-04-08,147
2022-04-09,127
2022-04-10,125
2022-04-11,133
2022-04-12,128
2022-04-13,133
2022-04-14,126
2022-04-15,106
2022-04-16,106
2022-04-17,107
2022-04-18,106
