dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,8
2020-02-16,8
2020-02-17,2
2020-02-18,5
2020-02-19,1
2020-02-20,2
2020-02-21,3
2020-02-22,6
2020-02-23,3
2020-02-24,2
2020-02-25,6
2020-02-26,6
2020-02-27,11
2020-02-28,6
2020-02-29,4
2020-03-01,9
2020-03-02,4
2020-03-03,1
2020-03-04,2
2020-03-05,2
2020-03-06,4
2020-03-07,6
2020-03-08,17
2020-03-09,3
2020-03-10,18
2020-03-11,8
2020-03-12,21
2020-03-13,13
2020-03-14,16
2020-03-15,13
2020-03-16,-13
2020-03-17,-24
2020-03-18,-21
2020-03-19,-22
2020-03-20,-16
2020-03-21,-22
2020-03-22,-29
2020-03-23,-22
2020-03-24,-20
2020-03-25,-20
2020-03-26,-20
2020-03-27,-16
2020-03-28,-19
2020-03-29,-26
2020-03-30,-19
2020-03-31,-18
2020-04-01,-16
2020-04-02,-15
2020-04-03,-12
2020-04-04,-16
2020-04-05,-13
2020-04-06,-12
2020-04-07,-1
2020-04-08,7
2020-04-09,23
2020-04-10,-22
2020-04-11,4
2020-04-12,1
2020-04-13,-90
2020-04-14,1
2020-04-15,-7
2020-04-16,-6
2020-04-17,-2
2020-04-18,-3
2020-04-19,-11
2020-04-20,-6
2020-04-21,-4
2020-04-22,-4
2020-04-23,-2
2020-04-24,-2
2020-04-25,-4
2020-04-26,-6
2020-04-27,-3
2020-04-28,-1
2020-04-29,5
2020-04-30,17
2020-05-01,-31
2020-05-02,-3
2020-05-03,-5
2020-05-04,-2
2020-05-05,1
2020-05-06,8
2020-05-07,34
2020-05-08,-77
2020-05-09,24
2020-05-10,12
2020-05-11,4
2020-05-12,13
2020-05-13,7
2020-05-14,2
2020-05-15,2
2020-05-16,0
2020-05-17,-1
2020-05-18,-3
2020-05-19,-1
2020-05-20,4
2020-05-21,5
2020-05-22,3
2020-05-23,3
2020-05-24,2
2020-05-25,0
2020-05-26,2
2020-05-27,1
2020-05-28,3
2020-05-29,3
2020-05-30,-1
2020-05-31,0
2020-06-01,2
2020-06-02,1
2020-06-03,0
2020-06-04,2
2020-06-05,7
2020-06-06,2
2020-06-07,3
2020-06-08,5
2020-06-09,5
2020-06-10,6
2020-06-11,11
2020-06-12,9
2020-06-13,4
2020-06-14,7
2020-06-15,7
2020-06-16,11
2020-06-17,9
2020-06-18,7
2020-06-19,7
2020-06-20,4
2020-06-21,6
2020-06-22,5
2020-06-23,10
2020-06-24,10
2020-06-25,11
2020-06-26,9
2020-06-27,3
2020-06-28,7
2020-06-29,8
2020-06-30,13
2020-07-01,6
2020-07-02,9
2020-07-03,9
2020-07-04,10
2020-07-05,13
2020-07-06,-17
2020-07-07,17
2020-07-08,7
2020-07-09,9
2020-07-10,6
2020-07-11,13
2020-07-12,15
2020-07-13,12
2020-07-14,12
2020-07-15,13
2020-07-16,13
2020-07-17,11
2020-07-18,12
2020-07-19,15
2020-07-20,10
2020-07-21,13
2020-07-22,10
2020-07-23,10
2020-07-24,10
2020-07-25,12
2020-07-26,17
2020-07-27,12
2020-07-28,10
2020-07-29,12
2020-07-30,9
2020-07-31,8
2020-08-01,9
2020-08-02,13
2020-08-03,11
2020-08-04,12
2020-08-05,10
2020-08-06,9
2020-08-07,6
2020-08-08,9
2020-08-09,14
2020-08-10,11
2020-08-11,14
2020-08-12,12
2020-08-13,12
2020-08-14,10
2020-08-15,18
2020-08-16,18
2020-08-17,12
2020-08-18,14
2020-08-19,12
2020-08-20,8
2020-08-21,4
2020-08-22,7
2020-08-23,16
2020-08-24,12
2020-08-25,14
2020-08-26,10
2020-08-27,11
2020-08-28,7
2020-08-29,8
2020-08-30,12
2020-08-31,13
2020-09-01,19
2020-09-02,14
2020-09-03,11
2020-09-04,10
2020-09-05,6
2020-09-06,15
2020-09-07,12
2020-09-08,15
2020-09-09,12
2020-09-10,12
2020-09-11,12
2020-09-12,9
2020-09-13,13
2020-09-14,12
2020-09-15,15
2020-09-16,11
2020-09-17,10
2020-09-18,10
2020-09-19,8
2020-09-20,13
2020-09-21,11
2020-09-22,13
2020-09-23,12
2020-09-24,11
2020-09-25,10
2020-09-26,7
2020-09-27,30
2020-09-28,-80
2020-09-29,28
2020-09-30,14
2020-10-01,13
2020-10-02,13
2020-10-03,8
2020-10-04,7
2020-10-05,7
2020-10-06,12
2020-10-07,11
2020-10-08,12
2020-10-09,12
2020-10-10,7
2020-10-11,5
2020-10-12,7
2020-10-13,9
2020-10-14,3
2020-10-15,10
2020-10-16,8
2020-10-17,5
2020-10-18,0
2020-10-19,3
2020-10-20,6
2020-10-21,14
2020-10-22,-3
2020-10-23,0
2020-10-24,-1
2020-10-25,-2
2020-10-26,3
2020-10-27,27
2020-10-28,-79
2020-10-29,7
2020-10-30,0
2020-10-31,10
2020-11-01,-85
2020-11-02,8
2020-11-03,1
2020-11-04,0
2020-11-05,4
2020-11-06,5
2020-11-07,15
2020-11-08,-84
2020-11-09,10
2020-11-10,7
2020-11-11,7
2020-11-12,7
2020-11-13,12
2020-11-14,22
2020-11-15,-85
2020-11-16,27
2020-11-17,-23
2020-11-18,3
2020-11-19,1
2020-11-20,7
2020-11-21,12
2020-11-22,-85
2020-11-23,12
2020-11-24,7
2020-11-25,7
2020-11-26,6
2020-11-27,8
2020-11-28,17
2020-11-29,-83
2020-11-30,16
2020-12-01,10
2020-12-02,8
2020-12-03,12
2020-12-04,16
2020-12-05,17
2020-12-06,-6
2020-12-07,10
2020-12-08,14
2020-12-09,11
2020-12-10,13
2020-12-11,15
2020-12-12,16
2020-12-13,3
2020-12-14,16
2020-12-15,19
2020-12-16,19
2020-12-17,20
2020-12-18,17
2020-12-19,17
2020-12-20,7
2020-12-21,32
2020-12-22,46
2020-12-23,46
2020-12-24,-58
2020-12-25,-90
2020-12-26,-85
2020-12-27,-12
2020-12-28,-9
2020-12-29,-1
2020-12-30,19
2020-12-31,-10
2021-01-01,-91
2021-01-02,-21
2021-01-03,-29
2021-01-04,-6
2021-01-05,-7
2021-01-06,-10
2021-01-07,-9
2021-01-08,-3
2021-01-09,-9
2021-01-10,-19
2021-01-11,-3
2021-01-12,-6
2021-01-13,-5
2021-01-14,-6
2021-01-15,-3
2021-01-16,-11
2021-01-17,-20
2021-01-18,-9
2021-01-19,-6
2021-01-20,-2
2021-01-21,-3
2021-01-22,0
2021-01-23,-8
2021-01-24,-17
2021-01-25,-6
2021-01-26,-6
2021-01-27,-3
2021-01-28,-3
2021-01-29,-4
2021-01-30,-8
2021-01-31,-12
2021-02-01,-6
2021-02-02,-4
2021-02-03,-7
2021-02-04,-4
2021-02-05,-1
2021-02-06,-9
2021-02-07,-20
2021-02-08,-12
2021-02-09,-2
2021-02-10,-2
2021-02-11,-1
2021-02-12,4
2021-02-13,0
2021-02-14,-5
2021-02-15,-4
2021-02-16,0
2021-02-17,1
2021-02-18,5
2021-02-19,9
2021-02-20,4
2021-02-21,-7
2021-02-22,1
2021-02-23,3
2021-02-24,5
2021-02-25,4
2021-02-26,7
2021-02-27,7
2021-02-28,5
2021-03-01,-10
2021-03-02,-6
2021-03-03,-5
2021-03-04,-5
2021-03-05,-2
2021-03-06,-4
2021-03-07,-11
2021-03-08,5
2021-03-09,-2
2021-03-10,0
2021-03-11,-1
2021-03-12,4
2021-03-13,-2
2021-03-14,-11
2021-03-15,-1
2021-03-16,1
2021-03-17,1
2021-03-18,3
2021-03-19,5
2021-03-20,0
2021-03-21,-13
2021-03-22,0
2021-03-23,1
2021-03-24,3
2021-03-25,4
2021-03-26,7
2021-03-27,2
2021-03-28,-6
2021-03-29,2
2021-03-30,10
2021-03-31,20
2021-04-01,44
2021-04-02,-85
2021-04-03,24
2021-04-04,14
2021-04-05,-87
2021-04-06,11
2021-04-07,3
2021-04-08,4
2021-04-09,9
2021-04-10,6
2021-04-11,0
2021-04-12,7
2021-04-13,14
2021-04-14,14
2021-04-15,14
2021-04-16,15
2021-04-17,11
2021-04-18,3
2021-04-19,8
2021-04-20,15
2021-04-21,15
2021-04-22,16
2021-04-23,18
2021-04-24,15
2021-04-25,7
2021-04-26,11
2021-04-27,17
2021-04-28,15
2021-04-29,17
2021-04-30,23
