dates,covid19mobilitytrend_localbusiness
2020-02-15,13
2020-02-16,12
2020-02-17,4
2020-02-18,9
2020-02-19,4
2020-02-20,4
2020-02-21,2
2020-02-22,9
2020-02-23,3
2020-02-24,3
2020-02-25,6
2020-02-26,3
2020-02-27,3
2020-02-28,0
2020-02-29,1
2020-03-01,8
2020-03-02,0
2020-03-03,0
2020-03-04,3
2020-03-05,2
2020-03-06,0
2020-03-07,0
2020-03-08,13
2020-03-09,0
2020-03-10,3
2020-03-11,-6
2020-03-12,-5
2020-03-13,-20
2020-03-14,-56
2020-03-15,-57
2020-03-16,-61
2020-03-17,-65
2020-03-18,-65
2020-03-19,-67
2020-03-20,-68
2020-03-21,-79
2020-03-22,-77
2020-03-23,-64
2020-03-24,-64
2020-03-25,-64
2020-03-26,-65
2020-03-27,-64
2020-03-28,-71
2020-03-29,-73
2020-03-30,-61
2020-03-31,-62
2020-04-01,-61
2020-04-02,-60
2020-04-03,-63
2020-04-04,-70
2020-04-05,-63
2020-04-06,-54
2020-04-07,-63
2020-04-08,-62
2020-04-09,-54
2020-04-10,-74
2020-04-11,-67
2020-04-12,-63
2020-04-13,-89
2020-04-14,-64
2020-04-15,-62
2020-04-16,-56
2020-04-17,-58
2020-04-18,-61
2020-04-19,-64
2020-04-20,-55
2020-04-21,-54
2020-04-22,-54
2020-04-23,-54
2020-04-24,-56
2020-04-25,-63
2020-04-26,-55
2020-04-27,-45
2020-04-28,-45
2020-04-29,-50
2020-04-30,-41
2020-05-01,-66
2020-05-02,-55
2020-05-03,-53
2020-05-04,-44
2020-05-05,-45
2020-05-06,-44
2020-05-07,-31
2020-05-08,-68
2020-05-09,-40
2020-05-10,-42
2020-05-11,-34
2020-05-12,-28
2020-05-13,-32
2020-05-14,-36
2020-05-15,-38
2020-05-16,-31
2020-05-17,-22
2020-05-18,-26
2020-05-19,-24
2020-05-20,-19
2020-05-21,-17
2020-05-22,-24
2020-05-23,-40
2020-05-24,-26
2020-05-25,-18
2020-05-26,-13
2020-05-27,-9
2020-05-28,-18
2020-05-29,-15
2020-05-30,-19
2020-05-31,-24
2020-06-01,-4
2020-06-02,-8
2020-06-03,-8
2020-06-04,-12
2020-06-05,-15
2020-06-06,-14
2020-06-07,-10
2020-06-08,-8
2020-06-09,-4
2020-06-10,-8
2020-06-11,1
2020-06-12,-3
2020-06-13,-8
2020-06-14,-6
2020-06-15,2
2020-06-16,6
2020-06-17,4
2020-06-18,-4
2020-06-19,-7
2020-06-20,-13
2020-06-21,-2
2020-06-22,2
2020-06-23,10
2020-06-24,4
2020-06-25,7
2020-06-26,0
2020-06-27,-6
2020-06-28,2
2020-06-29,0
2020-06-30,17
2020-07-01,7
2020-07-02,1
2020-07-03,-2
2020-07-04,-2
2020-07-05,14
2020-07-06,-21
2020-07-07,9
2020-07-08,2
2020-07-09,6
2020-07-10,-3
2020-07-11,-5
2020-07-12,17
2020-07-13,10
2020-07-14,16
2020-07-15,10
2020-07-16,6
2020-07-17,1
2020-07-18,-1
2020-07-19,14
2020-07-20,8
2020-07-21,13
2020-07-22,12
2020-07-23,9
2020-07-24,0
2020-07-25,0
2020-07-26,11
2020-07-27,10
2020-07-28,5
2020-07-29,11
2020-07-30,7
2020-07-31,-2
2020-08-01,-6
2020-08-02,6
2020-08-03,2
2020-08-04,6
2020-08-05,13
2020-08-06,9
2020-08-07,-3
2020-08-08,-5
2020-08-09,6
2020-08-10,4
2020-08-11,13
2020-08-12,11
2020-08-13,8
2020-08-14,-1
2020-08-15,7
2020-08-16,19
2020-08-17,9
2020-08-18,11
2020-08-19,12
2020-08-20,9
2020-08-21,-4
2020-08-22,-4
2020-08-23,16
2020-08-24,9
2020-08-25,14
2020-08-26,9
2020-08-27,8
2020-08-28,1
2020-08-29,-2
2020-08-30,7
2020-08-31,8
2020-09-01,9
2020-09-02,7
2020-09-03,5
2020-09-04,0
2020-09-05,0
2020-09-06,6
2020-09-07,3
2020-09-08,9
2020-09-09,7
2020-09-10,1
2020-09-11,0
2020-09-12,1
2020-09-13,12
2020-09-14,3
2020-09-15,8
2020-09-16,5
2020-09-17,0
2020-09-18,-3
2020-09-19,-1
2020-09-20,11
2020-09-21,1
2020-09-22,4
2020-09-23,-3
2020-09-24,-4
2020-09-25,-15
2020-09-26,-21
2020-09-27,4
2020-09-28,-59
2020-09-29,-5
2020-09-30,-4
2020-10-01,-7
2020-10-02,-10
2020-10-03,-10
2020-10-04,-3
2020-10-05,-14
2020-10-06,-8
2020-10-07,-10
2020-10-08,-10
2020-10-09,-17
2020-10-10,-28
2020-10-11,-22
2020-10-12,-20
2020-10-13,-14
2020-10-14,-42
2020-10-15,-37
2020-10-16,-43
2020-10-17,-48
2020-10-18,-43
2020-10-19,-37
2020-10-20,-35
2020-10-21,-26
2020-10-22,-53
2020-10-23,-56
2020-10-24,-61
2020-10-25,-57
2020-10-26,-50
2020-10-27,-45
2020-10-28,-76
2020-10-29,-54
2020-10-30,-59
2020-10-31,-61
2020-11-01,-79
2020-11-02,-50
2020-11-03,-51
2020-11-04,-52
2020-11-05,-51
2020-11-06,-53
2020-11-07,-58
2020-11-08,-73
2020-11-09,-48
2020-11-10,-48
2020-11-11,-48
2020-11-12,-49
2020-11-13,-49
2020-11-14,-54
2020-11-15,-72
2020-11-16,-41
2020-11-17,-63
2020-11-18,-44
2020-11-19,-48
2020-11-20,-49
2020-11-21,-55
2020-11-22,-72
2020-11-23,-43
2020-11-24,-44
2020-11-25,-45
2020-11-26,-46
2020-11-27,-47
2020-11-28,-53
2020-11-29,-70
2020-11-30,-40
2020-12-01,-42
2020-12-02,-43
2020-12-03,-14
2020-12-04,-18
2020-12-05,-20
2020-12-06,-18
2020-12-07,-11
2020-12-08,-7
2020-12-09,-14
2020-12-10,-15
2020-12-11,-17
2020-12-12,-20
2020-12-13,-16
2020-12-14,-9
2020-12-15,-7
2020-12-16,-8
2020-12-17,-5
2020-12-18,-33
2020-12-19,-41
2020-12-20,-35
2020-12-21,-20
2020-12-22,-21
2020-12-23,-29
2020-12-24,-78
2020-12-25,-90
2020-12-26,-82
2020-12-27,-62
2020-12-28,-61
2020-12-29,-57
2020-12-30,-55
2020-12-31,-68
2021-01-01,-88
2021-01-02,-70
2021-01-03,-69
2021-01-04,-55
2021-01-05,-55
2021-01-06,-56
2021-01-07,-56
2021-01-08,-57
2021-01-09,-64
2021-01-10,-63
2021-01-11,-51
2021-01-12,-53
2021-01-13,-53
2021-01-14,-54
2021-01-15,-56
2021-01-16,-64
2021-01-17,-64
2021-01-18,-54
2021-01-19,-52
2021-01-20,-50
2021-01-21,-51
2021-01-22,-53
2021-01-23,-63
2021-01-24,-62
2021-01-25,-50
2021-01-26,-51
2021-01-27,-50
2021-01-28,-52
2021-01-29,-56
2021-01-30,-64
2021-01-31,-57
2021-02-01,-51
2021-02-02,-51
2021-02-03,-53
2021-02-04,-51
2021-02-05,-53
2021-02-06,-65
2021-02-07,-65
2021-02-08,-54
2021-02-09,-50
2021-02-10,-51
2021-02-11,-52
2021-02-12,-53
2021-02-13,-60
2021-02-14,-54
2021-02-15,-49
2021-02-16,-49
2021-02-17,-50
2021-02-18,-48
2021-02-19,-50
2021-02-20,-54
2021-02-21,-57
2021-02-22,-46
2021-02-23,-45
2021-02-24,-44
2021-02-25,-45
2021-02-26,-48
2021-02-27,-54
2021-02-28,-44
2021-03-01,-56
2021-03-02,-54
2021-03-03,-54
2021-03-04,-56
2021-03-05,-59
2021-03-06,-63
2021-03-07,-60
2021-03-08,-50
2021-03-09,-52
2021-03-10,-51
2021-03-11,-55
2021-03-12,-54
2021-03-13,-63
2021-03-14,-62
2021-03-15,-50
2021-03-16,-51
2021-03-17,-52
2021-03-18,-51
2021-03-19,-55
2021-03-20,-63
2021-03-21,-66
2021-03-22,-49
2021-03-23,-50
2021-03-24,-48
2021-03-25,-46
2021-03-26,-47
2021-03-27,-59
2021-03-28,-54
2021-03-29,-44
2021-03-30,-38
2021-03-31,-36
2021-04-01,-31
2021-04-02,-79
2021-04-03,-59
2021-04-04,-51
2021-04-05,-82
2021-04-06,-47
2021-04-07,-49
2021-04-08,-48
2021-04-09,-45
2021-04-10,-50
2021-04-11,-43
2021-04-12,-40
2021-04-13,-39
2021-04-14,-38
2021-04-15,-41
2021-04-16,-43
2021-04-17,-50
2021-04-18,-44
2021-04-19,-38
2021-04-20,-32
2021-04-21,-32
2021-04-22,-36
2021-04-23,-37
2021-04-24,-39
2021-04-25,-37
2021-04-26,-32
2021-04-27,-30
2021-04-28,-29
2021-04-29,-33
2021-04-30,-34
2021-05-01,-46
2021-05-02,-51
2021-05-03,-31
2021-05-04,-28
2021-05-05,-34
2021-05-06,-33
2021-05-07,-34
2021-05-08,-53
2021-05-09,-11
2021-05-10,-10
2021-05-11,-10
2021-05-12,-19
2021-05-13,-24
2021-05-14,-23
2021-05-15,-20
2021-05-16,-11
2021-05-17,-16
2021-05-18,-11
2021-05-19,-14
2021-05-20,-13
2021-05-21,-19
2021-05-22,-20
2021-05-23,-16
2021-05-24,-10
2021-05-25,-16
2021-05-26,-14
2021-05-27,-14
2021-05-28,-17
2021-05-29,-20
2021-05-30,-10
2021-05-31,-7
2021-06-01,3
2021-06-02,0
2021-06-03,0
2021-06-04,-6
2021-06-05,-10
2021-06-06,5
2021-06-07,-1
2021-06-08,4
2021-06-09,2
2021-06-10,0
2021-06-11,-4
2021-06-12,-7
2021-06-13,3
2021-06-14,2
2021-06-15,7
2021-06-16,5
2021-06-17,2
2021-06-18,-6
2021-06-19,-10
2021-06-20,0
2021-06-21,-2
2021-06-22,4
2021-06-23,4
2021-06-24,3
2021-06-25,-5
2021-06-26,-3
2021-06-27,8
2021-06-28,5
2021-06-29,7
2021-06-30,12
2021-07-01,1
2021-07-02,-9
2021-07-03,-4
2021-07-04,16
2021-07-05,-17
2021-07-06,-21
2021-07-07,2
2021-07-08,-4
2021-07-09,-7
2021-07-10,-2
2021-07-11,3
2021-07-12,6
2021-07-13,6
2021-07-14,6
2021-07-15,9
2021-07-16,1
2021-07-17,-2
2021-07-18,15
2021-07-19,8
2021-07-20,11
2021-07-21,10
2021-07-22,9
2021-07-23,0
2021-07-24,-2
2021-07-25,10
2021-07-26,6
2021-07-27,12
2021-07-28,6
2021-07-29,10
2021-07-30,-1
2021-07-31,1
2021-08-01,2
2021-08-02,6
2021-08-03,14
2021-08-04,11
2021-08-05,0
2021-08-06,1
2021-08-07,3
2021-08-08,15
2021-08-09,12
2021-08-10,17
2021-08-11,16
2021-08-12,14
2021-08-13,3
2021-08-14,4
2021-08-15,17
2021-08-16,8
2021-08-17,14
