dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,1
2020-03-25,3
2020-03-26,10
2020-03-27,10
2020-03-28,12
2020-03-29,17
2020-03-30,23
2020-03-31,28
2020-04-01,35
2020-04-02,43
2020-04-03,49
2020-04-04,57
2020-04-05,66
2020-04-06,74
2020-04-07,82
2020-04-08,92
2020-04-09,107
2020-04-10,117
2020-04-11,128
2020-04-12,136
2020-04-13,146
2020-04-14,157
2020-04-15,166
2020-04-16,166
2020-04-17,168
2020-04-18,176
2020-04-19,180
2020-04-20,189
2020-04-21,196
2020-04-22,204
2020-04-23,206
2020-04-24,212
2020-04-25,218
2020-04-26,222
2020-04-27,224
2020-04-28,225
2020-04-29,229
2020-04-30,234
2020-05-01,242
2020-05-02,250
2020-05-03,251
2020-05-04,254
2020-05-05,259
2020-05-06,262
2020-05-07,265
2020-05-08,269
2020-05-09,274
2020-05-10,277
2020-05-11,280
2020-05-12,282
2020-05-13,285
2020-05-14,289
2020-05-15,292
2020-05-16,294
2020-05-17,295
2020-05-18,297
2020-05-19,300
2020-05-20,302
2020-05-21,307
2020-05-22,310
2020-05-23,312
2020-05-24,313
2020-05-25,314
2020-05-26,315
2020-05-27,316
2020-05-28,316
2020-05-29,318
2020-05-30,318
2020-05-31,318
2020-06-01,318
2020-06-02,320
2020-06-03,321
2020-06-04,322
2020-06-05,325
2020-06-06,325
2020-06-07,325
2020-06-08,326
2020-06-09,326
2020-06-10,327
2020-06-11,328
2020-06-12,329
2020-06-13,330
2020-06-14,330
2020-06-15,331
2020-06-16,332
2020-06-17,333
2020-06-18,334
2020-06-19,336
2020-06-20,337
2020-06-21,338
2020-06-22,339
2020-06-23,340
2020-06-24,340
2020-06-25,344
2020-06-26,344
2020-06-27,345
2020-06-28,346
2020-06-29,346
2020-06-30,346
2020-07-01,347
2020-07-02,347
2020-07-03,348
2020-07-04,348
2020-07-05,350
2020-07-06,352
2020-07-07,353
2020-07-08,353
2020-07-09,353
2020-07-10,354
2020-07-11,354
2020-07-12,354
2020-07-13,355
2020-07-14,356
2020-07-15,358
2020-07-16,358
2020-07-17,358
2020-07-18,360
2020-07-19,360
2020-07-20,361
2020-07-21,361
2020-07-22,363
2020-07-23,365
2020-07-24,366
2020-07-25,369
2020-07-26,371
2020-07-27,372
2020-07-28,374
2020-07-29,376
2020-07-30,378
2020-07-31,380
2020-08-01,382
2020-08-02,384
2020-08-03,386
2020-08-04,388
2020-08-05,390
2020-08-06,391
2020-08-07,392
2020-08-08,392
2020-08-09,392
2020-08-10,393
2020-08-11,393
2020-08-12,395
2020-08-13,395
2020-08-14,396
2020-08-15,398
2020-08-16,400
2020-08-17,402
2020-08-18,406
2020-08-19,406
2020-08-20,409
2020-08-21,412
2020-08-22,415
2020-08-23,415
2020-08-24,418
2020-08-25,419
2020-08-26,421
2020-08-27,422
2020-08-28,422
2020-08-29,422
2020-08-30,425
2020-08-31,426
2020-09-01,427
2020-09-02,428
2020-09-03,428
2020-09-04,432
2020-09-05,435
2020-09-06,440
2020-09-07,443
2020-09-08,445
2020-09-09,450
2020-09-10,453
2020-09-11,458
2020-09-12,461
2020-09-13,467
2020-09-14,472
2020-09-15,478
2020-09-16,488
2020-09-17,495
2020-09-18,502
2020-09-19,514
2020-09-20,522
2020-09-21,528
2020-09-22,543
2020-09-23,553
2020-09-24,575
2020-09-25,585
2020-09-26,595
2020-09-27,611
2020-09-28,627
2020-09-29,638
2020-09-30,659
2020-10-01,675
2020-10-02,704
2020-10-03,725
2020-10-04,738
2020-10-05,773
2020-10-06,802
2020-10-07,840
2020-10-08,891
2020-10-09,917
2020-10-10,978
2020-10-11,1031
2020-10-12,1074
2020-10-13,1144
2020-10-14,1197
2020-10-15,1264
2020-10-16,1327
2020-10-17,1407
2020-10-18,1488
2020-10-19,1569
2020-10-20,1679
2020-10-21,1788
2020-10-22,1919
2020-10-23,2046
2020-10-24,2171
2020-10-25,2314
2020-10-26,2468
2020-10-27,2631
2020-10-28,2826
2020-10-29,2994
2020-10-30,3193
2020-10-31,3410
2020-11-01,3604
2020-11-02,3828
2020-11-03,4051
2020-11-04,4312
2020-11-05,4540
2020-11-06,4736
2020-11-07,4953
2020-11-08,5156
2020-11-09,5362
2020-11-10,5548
2020-11-11,5763
2020-11-12,5947
2020-11-13,6121
2020-11-14,6302
2020-11-15,6487
2020-11-16,6639
2020-11-17,6812
2020-11-18,6951
2020-11-19,7106
2020-11-20,7239
2020-11-21,7356
2020-11-22,7488
2020-11-23,7614
2020-11-24,7743
2020-11-25,7879
2020-11-26,8002
2020-11-27,8132
2020-11-28,8270
2020-11-29,8387
2020-11-30,8482
2020-12-01,8608
2020-12-02,8708
2020-12-03,8824
2020-12-04,8926
2020-12-05,9018
2020-12-06,9147
2020-12-07,9238
2020-12-08,9332
2020-12-09,9427
2020-12-10,9509
2020-12-11,9625
2020-12-12,9730
2020-12-13,9827
2020-12-14,9935
2020-12-15,10065
2020-12-16,10171
2020-12-17,10285
2020-12-18,10391
2020-12-19,10492
2020-12-20,10606
2020-12-21,10704
2020-12-22,10808
2020-12-23,10910
2020-12-24,11025
2020-12-25,11136
2020-12-26,11242
2020-12-27,11367
2020-12-28,11475
2020-12-29,11606
2020-12-30,11738
2020-12-31,11888
2021-01-01,12017
2021-01-02,12169
2021-01-03,12321
2021-01-04,12462
2021-01-05,12614
2021-01-06,12795
2021-01-07,12959
2021-01-08,13146
2021-01-09,13343
2021-01-10,13508
2021-01-11,13692
2021-01-12,13856
2021-01-13,14033
2021-01-14,14197
2021-01-15,14378
2021-01-16,14542
2021-01-17,14698
2021-01-18,14856
2021-01-19,15016
2021-01-20,15173
2021-01-21,15321
2021-01-22,15473
2021-01-23,15609
2021-01-24,15752
2021-01-25,15897
2021-01-26,16037
2021-01-27,16180
2021-01-28,16340
2021-01-29,16476
2021-01-30,16628
2021-01-31,16754
2021-02-01,16875
2021-02-02,17008
2021-02-03,17143
2021-02-04,17280
2021-02-05,17409
2021-02-06,17536
2021-02-07,17664
2021-02-08,17795
2021-02-09,17934
2021-02-10,18067
2021-02-11,18201
2021-02-12,18332
2021-02-13,18476
2021-02-14,18594
2021-02-15,18743
2021-02-16,18872
2021-02-17,19022
2021-02-18,19154
2021-02-19,19327
2021-02-20,19509
2021-02-21,19686
2021-02-22,19834
2021-02-23,20000
2021-02-24,20148
2021-02-25,20292
2021-02-26,20475
2021-02-27,20666
2021-02-28,20859
2021-03-01,21042
2021-03-02,21248
2021-03-03,21441
2021-03-04,21643
2021-03-05,21861
2021-03-06,22048
2021-03-07,22257
2021-03-08,22461
2021-03-09,22697
2021-03-10,22930
2021-03-11,23159
2021-03-12,23389
2021-03-13,23602
2021-03-14,23780
2021-03-15,24009
2021-03-16,24247
2021-03-17,24466
2021-03-18,24665
2021-03-19,24880
2021-03-20,25054
2021-03-21,25239
2021-03-22,25432
2021-03-23,25642
2021-03-24,25836
2021-03-25,26021
2021-03-26,26182
2021-03-27,26337
2021-03-28,26519
2021-03-29,26636
2021-03-30,26817
2021-03-31,26988
2021-04-01,27142
2021-04-02,27295
2021-04-03,27399
2021-04-04,27526
2021-04-05,27672
2021-04-06,27797
2021-04-07,27912
2021-04-08,28033
2021-04-09,28155
2021-04-10,28262
2021-04-11,28373
2021-04-12,28466
2021-04-13,28551
2021-04-14,28643
2021-04-15,28733
2021-04-16,28820
2021-04-17,28886
2021-04-18,28960
2021-04-19,29038
2021-04-20,29110
2021-04-21,29174
2021-04-22,29238
2021-04-23,29294
2021-04-24,29348
2021-04-25,29405
2021-04-26,29458
2021-04-27,29516
2021-04-28,29568
2021-04-29,29635
2021-04-30,29678
2021-05-01,29728
2021-05-02,29763
2021-05-03,29799
2021-05-04,29839
2021-05-05,29884
2021-05-06,29921
2021-05-07,29965
2021-05-08,29994
2021-05-09,30026
2021-05-10,30061
2021-05-11,30094
2021-05-12,30127
2021-05-13,30160
2021-05-14,30182
2021-05-15,30200
2021-05-16,30216
2021-05-17,30229
2021-05-18,30252
2021-05-19,30266
2021-05-20,30283
2021-05-21,30300
2021-05-22,30313
2021-05-23,30324
2021-05-24,30337
2021-05-25,30343
2021-05-26,30351
2021-05-27,30362
2021-05-28,30378
2021-05-29,30385
2021-05-30,30391
2021-05-31,30395
2021-06-01,30405
2021-06-02,30412
2021-06-03,30417
2021-06-04,30420
2021-06-05,30427
2021-06-06,30430
2021-06-07,30434
2021-06-08,30438
2021-06-09,30444
2021-06-10,30446
2021-06-11,30452
2021-06-12,30454
2021-06-13,30458
2021-06-14,30461
2021-06-15,30461
2021-06-16,30465
2021-06-17,30466
2021-06-18,30471
2021-06-19,30474
2021-06-20,30474
2021-06-21,30475
2021-06-22,30476
2021-06-23,30479
2021-06-24,30479
2021-06-25,30483
2021-06-26,30484
2021-06-27,30486
2021-06-28,30486
2021-06-29,30486
2021-06-30,30486
2021-07-01,30488
2021-07-02,30489
2021-07-03,30491
2021-07-04,30491
2021-07-05,30493
2021-07-06,30493
2021-07-07,30493
2021-07-08,30494
2021-07-09,30494
2021-07-10,30494
2021-07-11,30494
2021-07-12,30496
2021-07-13,30496
2021-07-14,30496
2021-07-15,30496
2021-07-16,30496
