dates,covid19mobilitytrend_localbusiness
2020-02-15,6
2020-02-16,7
2020-02-17,2
2020-02-18,2
2020-02-19,3
2020-02-20,2
2020-02-21,2
2020-02-22,-1
2020-02-23,0
2020-02-24,2
2020-02-25,-1
2020-02-26,-3
2020-02-27,-5
2020-02-28,3
2020-02-29,-1
2020-03-01,8
2020-03-02,2
2020-03-03,0
2020-03-04,2
2020-03-05,-4
2020-03-06,-3
2020-03-07,1
2020-03-08,12
2020-03-09,-1
2020-03-10,-7
2020-03-11,-1
2020-03-12,-7
2020-03-13,-9
2020-03-14,-17
2020-03-15,-12
2020-03-16,-7
2020-03-17,-21
2020-03-18,-34
2020-03-19,-45
2020-03-20,-50
2020-03-21,-69
2020-03-22,-71
2020-03-23,-57
2020-03-24,-59
2020-03-25,-58
2020-03-26,-59
2020-03-27,-59
2020-03-28,-66
2020-03-29,-77
2020-03-30,-54
2020-03-31,-53
2020-04-01,-52
2020-04-02,-54
2020-04-03,-57
2020-04-04,-63
2020-04-05,-58
2020-04-06,-43
2020-04-07,-44
2020-04-08,-42
2020-04-09,-40
2020-04-10,-80
2020-04-11,-56
2020-04-12,-63
2020-04-13,-81
2020-04-14,-45
2020-04-15,-45
2020-04-16,-53
2020-04-17,-55
2020-04-18,-65
2020-04-19,-59
2020-04-20,-44
2020-04-21,-47
2020-04-22,-46
2020-04-23,-47
2020-04-24,-50
2020-04-25,-57
2020-04-26,-52
2020-04-27,-43
2020-04-28,-48
2020-04-29,-46
2020-04-30,-34
2020-05-01,-82
2020-05-02,-46
2020-05-03,-57
2020-05-04,-32
2020-05-05,-36
2020-05-06,-33
2020-05-07,-33
2020-05-08,-36
2020-05-09,-40
2020-05-10,-50
2020-05-11,-34
2020-05-12,-31
2020-05-13,-31
2020-05-14,-29
2020-05-15,-29
2020-05-16,-35
2020-05-17,-36
2020-05-18,-15
2020-05-19,-17
2020-05-20,-6
2020-05-21,-55
2020-05-22,-19
2020-05-23,-35
2020-05-24,-42
2020-05-25,-16
2020-05-26,-18
2020-05-27,-15
2020-05-28,-16
2020-05-29,-15
2020-05-30,-23
2020-05-31,-19
2020-06-01,-45
2020-06-02,-6
2020-06-03,-11
2020-06-04,-20
2020-06-05,-20
2020-06-06,-25
2020-06-07,-31
2020-06-08,-8
2020-06-09,-12
2020-06-10,-5
2020-06-11,-36
2020-06-12,-8
2020-06-13,-26
2020-06-14,-33
2020-06-15,-10
2020-06-16,-11
2020-06-17,-10
2020-06-18,-12
2020-06-19,-13
2020-06-20,-20
2020-06-21,-8
2020-06-22,-6
