dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,3
2020-03-06,4
2020-03-07,8
2020-03-08,12
2020-03-09,13
2020-03-10,20
2020-03-11,24
2020-03-12,34
2020-03-13,46
2020-03-14,62
2020-03-15,82
2020-03-16,97
2020-03-17,132
2020-03-18,176
2020-03-19,239
2020-03-20,304
2020-03-21,400
2020-03-22,495
2020-03-23,576
2020-03-24,706
2020-03-25,873
2020-03-26,1091
2020-03-27,1358
2020-03-28,1622
2020-03-29,1869
2020-03-30,2035
2020-03-31,2302
2020-04-01,2686
2020-04-02,3062
2020-04-03,3482
2020-04-04,3880
2020-04-05,4126
2020-04-06,4308
2020-04-07,4599
2020-04-08,4937
2020-04-09,5280
2020-04-10,5606
2020-04-11,5813
2020-04-12,6014
2020-04-13,6184
2020-04-14,6349
2020-04-15,6568
2020-04-16,6801
2020-04-17,6993
2020-04-18,7167
2020-04-19,7293
2020-04-20,7411
2020-04-21,7561
2020-04-22,7702
2020-04-23,7827
2020-04-24,7944
2020-04-25,8028
2020-04-26,8108
2020-04-27,8138
2020-04-28,8214
2020-04-29,8296
2020-04-30,8354
2020-05-01,8425
2020-05-02,8474
2020-05-03,8510
2020-05-04,8526
2020-05-05,8567
2020-05-06,8612
2020-05-07,8652
2020-05-08,8701
2020-05-09,8746
2020-05-10,8770
2020-05-11,8784
2020-05-12,8810
2020-05-13,8843
2020-05-14,8870
2020-05-15,8890
2020-05-16,8921
2020-05-17,8941
2020-05-18,8949
2020-05-19,8972
2020-05-20,8998
2020-05-21,9021
2020-05-22,9028
2020-05-23,9044
2020-05-24,9055
2020-05-25,9060
2020-05-26,9073
2020-05-27,9088
2020-05-28,9100
2020-05-29,9110
2020-05-30,9118
2020-05-31,9122
2020-06-01,9125
2020-06-02,9130
2020-06-03,9138
2020-06-04,9148
2020-06-05,9155
2020-06-06,9160
2020-06-07,9165
2020-06-08,9169
2020-06-09,9172
2020-06-10,9173
2020-06-11,9183
2020-06-12,9184
2020-06-13,9196
2020-06-14,9197
2020-06-15,9203
2020-06-16,9207
2020-06-17,9218
2020-06-18,9225
2020-06-19,9228
2020-06-20,9237
2020-06-21,9241
2020-06-22,9244
2020-06-23,9245
2020-06-24,9249
2020-06-25,9251
2020-06-26,9256
2020-06-27,9263
2020-06-28,9265
2020-06-29,9265
2020-06-30,9269
2020-07-01,9270
2020-07-02,9275
2020-07-03,9279
2020-07-04,9285
2020-07-05,9287
2020-07-06,9291
2020-07-07,9297
2020-07-08,9301
2020-07-09,9307
2020-07-10,9312
2020-07-11,9315
2020-07-12,9315
2020-07-13,9316
2020-07-14,9321
2020-07-15,9323
2020-07-16,9329
2020-07-17,9336
2020-07-18,9343
2020-07-19,9343
2020-07-20,9347
2020-07-21,9351
2020-07-22,9355
2020-07-23,9364
2020-07-24,9367
2020-07-25,9377
2020-07-26,9380
2020-07-27,9380
2020-07-28,9387
2020-07-29,9391
2020-07-30,9397
2020-07-31,9402
2020-08-01,9415
2020-08-02,9416
2020-08-03,9417
2020-08-04,9426
2020-08-05,9432
2020-08-06,9435
2020-08-07,9442
2020-08-08,9447
2020-08-09,9449
2020-08-10,9451
2020-08-11,9453
2020-08-12,9455
2020-08-13,9465
2020-08-14,9467
2020-08-15,9473
2020-08-16,9477
2020-08-17,9482
2020-08-18,9490
2020-08-19,9500
2020-08-20,9501
2020-08-21,9508
2020-08-22,9511
2020-08-23,9513
2020-08-24,9513
2020-08-25,9518
2020-08-26,9520
2020-08-27,9522
2020-08-28,9523
2020-08-29,9526
2020-08-30,9528
2020-08-31,9531
2020-09-01,9535
2020-09-02,9538
2020-09-03,9541
2020-09-04,9548
2020-09-05,9555
2020-09-06,9562
2020-09-07,9566
2020-09-08,9572
2020-09-09,9591
2020-09-10,9600
2020-09-11,9606
2020-09-12,9618
2020-09-13,9626
2020-09-14,9634
2020-09-15,9639
2020-09-16,9655
2020-09-17,9670
2020-09-18,9679
2020-09-19,9693
2020-09-20,9705
2020-09-21,9715
2020-09-22,9733
2020-09-23,9748
2020-09-24,9759
2020-09-25,9777
2020-09-26,9792
2020-09-27,9818
2020-09-28,9825
2020-09-29,9844
2020-09-30,9858
2020-10-01,9874
2020-10-02,9900
2020-10-03,9925
2020-10-04,9937
2020-10-05,9946
2020-10-06,9981
2020-10-07,10008
2020-10-08,10043
2020-10-09,10085
2020-10-10,10129
2020-10-11,10168
2020-10-12,10193
2020-10-13,10252
2020-10-14,10309
2020-10-15,10372
2020-10-16,10454
2020-10-17,10544
2020-10-18,10604
2020-10-19,10658
2020-10-20,10745
2020-10-21,10874
2020-10-22,11017
2020-10-23,11224
2020-10-24,11422
2020-10-25,11546
2020-10-26,11673
2020-10-27,11917
2020-10-28,12153
2020-10-29,12400
2020-10-30,12669
2020-10-31,12930
2020-11-01,13124
2020-11-02,13294
2020-11-03,13574
2020-11-04,13904
2020-11-05,14223
2020-11-06,14563
2020-11-07,14816
2020-11-08,15034
2020-11-09,15202
2020-11-10,15526
2020-11-11,15875
2020-11-12,16293
2020-11-13,16727
2020-11-14,17143
2020-11-15,17513
2020-11-16,17738
2020-11-17,18188
2020-11-18,18701
2020-11-19,19234
2020-11-20,19802
2020-11-21,20336
2020-11-22,20680
2020-11-23,20965
2020-11-24,21439
2020-11-25,21954
2020-11-26,22546
2020-11-27,23204
2020-11-28,23830
2020-11-29,24238
2020-11-30,24566
2020-12-01,25105
2020-12-02,25761
2020-12-03,26501
2020-12-04,27353
2020-12-05,28166
2020-12-06,28681
2020-12-07,29046
2020-12-08,29747
2020-12-09,30610
2020-12-10,31459
2020-12-11,32540
2020-12-12,33520
2020-12-13,34290
2020-12-14,34810
2020-12-15,35640
2020-12-16,36656
2020-12-17,37726
2020-12-18,38894
2020-12-19,39947
2020-12-20,40723
2020-12-21,41270
2020-12-22,42197
2020-12-23,43396
2020-12-24,44654
2020-12-25,45367
2020-12-26,45880
2020-12-27,46466
2020-12-28,46997
2020-12-29,47893
2020-12-30,49146
2020-12-31,50445
2021-01-01,51223
2021-01-02,51641
2021-01-03,52243
2021-01-04,52743
2021-01-05,53524
2021-01-06,54569
2021-01-07,55498
2021-01-08,56532
2021-01-09,57470
2021-01-10,58074
2021-01-11,58502
2021-01-12,59090
2021-01-13,59988
2021-01-14,60961
2021-01-15,61908
2021-01-16,62730
2021-01-17,63271
2021-01-18,63597
2021-01-19,64140
2021-01-20,64908
2021-01-21,65688
2021-01-22,66410
2021-01-23,67041
2021-01-24,67487
2021-01-25,67702
2021-01-26,68130
2021-01-27,68718
2021-01-28,69340
2021-01-29,69828
2021-01-30,70308
2021-01-31,70616
2021-02-01,70805
2021-02-02,71118
2021-02-03,71514
2021-02-04,71966
2021-02-05,72410
2021-02-06,72728
2021-02-07,72973
2021-02-08,73074
2021-02-09,73315
2021-02-10,73620
2021-02-11,73926
2021-02-12,74236
2021-02-13,74489
2021-02-14,74651
2021-02-15,74757
2021-02-16,74950
2021-02-17,75242
2021-02-18,75518
2021-02-19,75760
2021-02-20,75982
2021-02-21,76140
2021-02-22,76235
2021-02-23,76418
2021-02-24,76637
2021-02-25,76869
2021-02-26,77069
2021-02-27,77254
2021-02-28,77389
2021-03-01,77462
2021-03-02,77624
2021-03-03,77820
2021-03-04,77989
2021-03-05,78155
2021-03-06,78297
2021-03-07,78430
2021-03-08,78511
2021-03-09,78647
2021-03-10,78828
2021-03-11,79038
2021-03-12,79239
2021-03-13,79413
2021-03-14,79539
2021-03-15,79615
2021-03-16,79760
2021-03-17,79990
2021-03-18,80206
2021-03-19,80442
2021-03-20,80640
2021-03-21,80784
2021-03-22,80892
2021-03-23,81056
2021-03-24,81332
2021-03-25,81599
2021-03-26,81855
2021-03-27,82113
2021-03-28,82307
2021-03-29,82417
2021-03-30,82655
2021-03-31,82944
2021-04-01,83246
2021-04-02,83501
2021-04-03,83702
2021-04-04,83878
2021-04-05,84006
2021-04-06,84170
2021-04-07,84437
2021-04-08,84729
2021-04-09,85010
2021-04-10,85258
2021-04-11,85471
2021-04-12,85585
2021-04-13,85786
2021-04-14,86076
2021-04-15,86390
2021-04-16,86650
2021-04-17,86887
2021-04-18,87082
2021-04-19,87211
2021-04-20,87429
2021-04-21,87730
2021-04-22,88021
2021-04-23,88298
2021-04-24,88546
2021-04-25,88732
2021-04-26,88831
2021-04-27,89041
2021-04-28,89283
2021-04-29,89514
2021-04-30,89720
2021-05-01,89905
2021-05-02,90040
2021-05-03,90137
2021-05-04,90277
2021-05-05,90486
2021-05-06,90676
2021-05-07,90826
2021-05-08,90982
2021-05-09,91077
2021-05-10,91147
2021-05-11,91252
2021-05-12,91394
2021-05-13,91533
2021-05-14,91607
2021-05-15,91692
2021-05-16,91775
2021-05-17,91823
2021-05-18,91905
2021-05-19,91996
2021-05-20,92071
2021-05-21,92134
2021-05-22,92202
2021-05-23,92247
2021-05-24,92270
2021-05-25,92293
2021-05-26,92345
2021-05-27,92407
2021-05-28,92451
2021-05-29,92487
2021-05-30,92514
2021-05-31,92531
2021-06-01,92556
2021-06-02,92581
2021-06-03,92613
2021-06-04,92631
2021-06-05,92645
2021-06-06,92662
2021-06-07,92672
2021-06-08,92684
2021-06-09,92696
2021-06-10,92707
2021-06-11,92717
2021-06-12,92728
2021-06-13,92732
2021-06-14,92739
2021-06-15,92753
2021-06-16,92763
2021-06-17,92772
2021-06-18,92779
2021-06-19,92783
2021-06-20,92784
2021-06-21,92786
2021-06-22,92791
2021-06-23,92800
2021-06-24,92803
2021-06-25,92808
2021-06-26,92814
