dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,1
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,2
2020-01-30,2
2020-01-31,0
2020-02-01,4
2020-02-02,1
2020-02-03,0
2020-02-04,1
2020-02-05,4
2020-02-06,2
2020-02-07,1
2020-02-08,1
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,2
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,0
2020-02-18,2
2020-02-19,1
2020-02-20,1
2020-02-21,2
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,3
2020-02-27,8
2020-02-28,24
2020-02-29,45
2020-03-01,23
2020-03-02,35
2020-03-03,43
2020-03-04,84
2020-03-05,157
2020-03-06,186
2020-03-07,187
2020-03-08,142
2020-03-09,106
2020-03-10,348
2020-03-11,595
2020-03-12,758
2020-03-13,990
2020-03-14,1466
2020-03-15,1303
2020-03-16,980
2020-03-17,2038
2020-03-18,3037
2020-03-19,3605
2020-03-20,4049
2020-03-21,4056
2020-03-22,3356
2020-03-23,2265
2020-03-24,3732
2020-03-25,4879
2020-03-26,5683
2020-03-27,5902
2020-03-28,5982
2020-03-29,4722
2020-03-30,3080
2020-03-31,4131
2020-04-01,6060
2020-04-02,6263
2020-04-03,6549
2020-04-04,6187
2020-04-05,4341
2020-04-06,2536
2020-04-07,3663
2020-04-08,5188
2020-04-09,5280
2020-04-10,4916
2020-04-11,3351
2020-04-12,2880
2020-04-13,1868
2020-04-14,1600
2020-04-15,2468
2020-04-16,3326
2020-04-17,3419
2020-04-18,3049
2020-04-19,2108
2020-04-20,1376
2020-04-21,1711
2020-04-22,2185
2020-04-23,2489
2020-04-24,2092
2020-04-25,1904
2020-04-26,1272
2020-04-27,698
2020-04-28,1115
2020-04-29,1473
2020-04-30,1428
2020-05-01,1464
2020-05-02,918
2020-05-03,621
2020-05-04,423
2020-05-05,729
2020-05-06,1094
2020-05-07,1219
2020-05-08,1203
2020-05-09,980
2020-05-10,677
2020-05-11,341
2020-05-12,688
2020-05-13,853
2020-05-14,914
2020-05-15,809
2020-05-16,731
2020-05-17,462
2020-05-18,317
2020-05-19,542
2020-05-20,730
2020-05-21,832
2020-05-22,418
