dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,1
2020-04-12,1
2020-04-13,2
2020-04-14,2
2020-04-15,2
2020-04-16,2
2020-04-17,2
2020-04-18,2
2020-04-19,2
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-23,2
2020-04-24,2
2020-04-25,2
2020-04-26,2
2020-04-27,2
2020-04-28,2
2020-04-29,2
2020-04-30,2
2020-05-01,2
2020-05-02,2
2020-05-03,2
2020-05-04,2
2020-05-05,2
2020-05-06,2
2020-05-07,2
2020-05-08,3
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,3
2020-05-17,4
2020-05-18,4
2020-05-19,4
2020-05-20,7
2020-05-21,7
2020-05-22,9
2020-05-23,10
2020-05-24,10
2020-05-25,10
2020-05-26,10
2020-05-27,14
2020-05-28,14
2020-05-29,18
2020-05-30,20
2020-05-31,20
2020-06-01,22
2020-06-02,24
2020-06-03,24
2020-06-04,25
2020-06-05,26
2020-06-06,26
2020-06-07,26
2020-06-08,26
2020-06-09,28
2020-06-10,31
2020-06-11,34
2020-06-12,34
2020-06-13,37
2020-06-14,38
2020-06-15,41
2020-06-16,43
2020-06-17,43
2020-06-18,43
2020-06-19,43
2020-06-20,43
2020-06-21,45
2020-06-22,45
2020-06-23,45
2020-06-24,48
2020-06-25,49
2020-06-26,52
2020-06-27,52
2020-06-28,52
2020-06-29,52
2020-06-30,52
2020-07-01,53
2020-07-02,54
2020-07-03,55
2020-07-04,55
2020-07-05,55
2020-07-06,55
2020-07-07,55
2020-07-08,55
2020-07-09,55
2020-07-10,55
2020-07-11,56
2020-07-12,56
2020-07-13,56
2020-07-14,56
2020-07-15,56
2020-07-16,56
2020-07-17,56
2020-07-18,56
2020-07-19,56
2020-07-20,56
2020-07-21,56
2020-07-22,56
2020-07-23,56
2020-07-24,58
2020-07-25,58
2020-07-26,58
2020-07-27,58
2020-07-28,58
2020-07-29,58
2020-07-30,58
2020-07-31,58
2020-08-01,58
2020-08-02,58
2020-08-03,58
2020-08-04,59
2020-08-05,59
2020-08-06,59
2020-08-07,59
2020-08-08,59
2020-08-09,59
2020-08-10,59
2020-08-11,59
2020-08-12,59
2020-08-13,59
2020-08-14,59
2020-08-15,59
2020-08-16,59
2020-08-17,59
2020-08-18,59
2020-08-19,59
2020-08-20,59
2020-08-21,59
2020-08-22,59
2020-08-23,60
2020-08-24,60
2020-08-25,60
2020-08-26,60
2020-08-27,60
2020-08-28,60
2020-08-29,60
2020-08-30,60
2020-08-31,60
2020-09-01,60
2020-09-02,60
2020-09-03,60
2020-09-04,60
2020-09-05,60
2020-09-06,60
2020-09-07,60
2020-09-08,61
2020-09-09,61
2020-09-10,61
2020-09-11,61
2020-09-12,61
2020-09-13,61
2020-09-14,61
2020-09-15,61
2020-09-16,61
2020-09-17,61
2020-09-18,61
2020-09-19,61
2020-09-20,61
2020-09-21,61
2020-09-22,61
2020-09-23,61
2020-09-24,61
2020-09-25,61
2020-09-26,61
2020-09-27,61
2020-09-28,61
2020-09-29,61
2020-09-30,61
2020-10-01,61
2020-10-02,61
2020-10-03,61
2020-10-04,61
2020-10-05,61
2020-10-06,61
2020-10-07,61
2020-10-08,61
2020-10-09,61
2020-10-10,61
2020-10-11,61
2020-10-12,61
2020-10-13,61
2020-10-14,61
2020-10-15,61
2020-10-16,61
2020-10-17,61
2020-10-18,61
2020-10-19,61
2020-10-20,61
2020-10-21,61
2020-10-22,61
2020-10-23,61
2020-10-24,61
2020-10-25,61
2020-10-26,61
2020-10-27,61
2020-10-28,61
2020-10-29,61
2020-10-30,61
2020-10-31,61
2020-11-01,61
2020-11-02,61
2020-11-03,61
2020-11-04,61
2020-11-05,61
2020-11-06,61
2020-11-07,61
2020-11-08,61
2020-11-09,61
2020-11-10,61
2020-11-11,61
2020-11-12,61
2020-11-13,61
2020-11-14,61
2020-11-15,61
2020-11-16,61
2020-11-17,61
2020-11-18,61
2020-11-19,61
2020-11-20,61
2020-11-21,61
2020-11-22,61
2020-11-23,61
2020-11-24,61
2020-11-25,61
2020-11-26,61
2020-11-27,61
2020-11-28,61
2020-11-29,61
2020-11-30,61
2020-12-01,61
2020-12-02,61
2020-12-03,61
2020-12-04,61
2020-12-05,61
2020-12-06,61
2020-12-07,61
2020-12-08,61
2020-12-09,61
2020-12-10,61
2020-12-11,61
2020-12-12,61
2020-12-13,61
2020-12-14,61
2020-12-15,61
2020-12-16,61
2020-12-17,61
2020-12-18,61
2020-12-19,61
2020-12-20,61
2020-12-21,61
2020-12-22,61
2020-12-23,61
2020-12-24,61
2020-12-25,61
2020-12-26,61
2020-12-27,61
2020-12-28,61
2020-12-29,61
2020-12-30,61
2020-12-31,61
2021-01-01,61
2021-01-02,61
2021-01-03,61
2021-01-04,61
2021-01-05,61
2021-01-06,61
2021-01-07,61
2021-01-08,61
2021-01-09,61
2021-01-10,61
2021-01-11,61
2021-01-12,61
2021-01-13,61
2021-01-14,61
2021-01-15,61
2021-01-16,61
2021-01-17,61
2021-01-18,61
2021-01-19,61
2021-01-20,61
2021-01-21,61
2021-01-22,61
2021-01-23,61
2021-01-24,61
2021-01-25,61
2021-01-26,61
2021-01-27,61
2021-01-28,62
2021-01-29,62
2021-01-30,62
2021-01-31,62
2021-02-01,62
2021-02-02,63
2021-02-03,63
2021-02-04,63
2021-02-05,63
2021-02-06,63
2021-02-07,63
2021-02-08,63
2021-02-09,63
2021-02-10,63
2021-02-11,63
2021-02-12,63
2021-02-13,63
2021-02-14,63
2021-02-15,63
2021-02-16,63
2021-02-17,63
2021-02-18,63
2021-02-19,63
2021-02-20,63
2021-02-21,63
2021-02-22,63
2021-02-23,63
2021-02-24,63
2021-02-25,63
2021-02-26,63
2021-02-27,63
2021-02-28,63
2021-03-01,63
2021-03-02,63
2021-03-03,63
2021-03-04,63
2021-03-05,63
2021-03-06,63
2021-03-07,63
2021-03-08,63
2021-03-09,63
2021-03-10,63
2021-03-11,63
2021-03-12,63
2021-03-13,63
2021-03-14,63
2021-03-15,63
2021-03-16,63
2021-03-17,63
2021-03-18,63
2021-03-19,63
2021-03-20,63
2021-03-21,63
2021-03-22,63
2021-03-23,64
2021-03-24,64
2021-03-25,64
2021-03-26,64
2021-03-27,64
2021-03-28,66
2021-03-29,66
2021-03-30,67
2021-03-31,68
2021-04-01,69
2021-04-02,70
2021-04-03,71
2021-04-04,72
2021-04-05,72
2021-04-06,76
2021-04-07,80
2021-04-08,85
2021-04-09,90
2021-04-10,92
2021-04-11,93
2021-04-12,93
2021-04-13,96
2021-04-14,100
2021-04-15,102
2021-04-16,106
2021-04-17,110
2021-04-18,110
2021-04-19,114
2021-04-20,116
2021-04-21,119
2021-04-22,123
2021-04-23,129
2021-04-24,130
2021-04-25,132
2021-04-26,132
2021-04-27,136
2021-04-28,138
2021-04-29,142
2021-04-30,142
2021-05-01,143
2021-05-02,143
2021-05-03,145
2021-05-04,146
2021-05-05,146
2021-05-06,147
2021-05-07,147
2021-05-08,148
2021-05-09,148
2021-05-10,149
2021-05-11,149
2021-05-12,149
2021-05-13,151
2021-05-14,151
2021-05-15,151
2021-05-16,151
2021-05-17,151
2021-05-18,151
2021-05-19,151
2021-05-20,151
2021-05-21,152
2021-05-22,152
2021-05-23,152
2021-05-24,152
2021-05-25,153
2021-05-26,153
2021-05-27,153
2021-05-28,153
2021-05-29,153
2021-05-30,153
2021-05-31,154
2021-06-01,154
2021-06-02,154
2021-06-03,154
2021-06-04,154
2021-06-05,154
2021-06-06,154
2021-06-07,154
2021-06-08,154
2021-06-09,154
2021-06-10,154
2021-06-11,154
2021-06-12,154
2021-06-13,154
2021-06-14,154
2021-06-15,154
2021-06-16,154
2021-06-17,154
2021-06-18,154
2021-06-19,154
2021-06-20,154
2021-06-21,155
2021-06-22,155
2021-06-23,155
2021-06-24,155
2021-06-25,155
2021-06-26,155
2021-06-27,155
2021-06-28,155
2021-06-29,155
2021-06-30,155
2021-07-01,155
2021-07-02,155
2021-07-03,155
2021-07-04,155
2021-07-05,155
2021-07-06,155
2021-07-07,155
2021-07-08,155
2021-07-09,155
2021-07-10,155
2021-07-11,155
2021-07-12,155
2021-07-13,155
2021-07-14,155
2021-07-15,155
2021-07-16,155
2021-07-17,155
2021-07-18,155
2021-07-19,155
2021-07-20,155
2021-07-21,155
2021-07-22,155
2021-07-23,155
2021-07-24,155
2021-07-25,155
2021-07-26,155
2021-07-27,155
2021-07-28,155
2021-07-29,155
2021-07-30,155
2021-07-31,155
2021-08-01,156
2021-08-02,156
2021-08-03,156
2021-08-04,156
2021-08-05,156
2021-08-06,156
2021-08-07,156
2021-08-08,156
2021-08-09,156
2021-08-10,156
2021-08-11,156
2021-08-12,156
2021-08-13,156
2021-08-14,156
2021-08-15,156
2021-08-16,156
