dates,cumulativecount_vaccine_covid_19_administered
2021-04-17,10246
2021-04-28,13042
2021-05-24,14943
2021-06-01,21357
2021-06-23,26796
2021-08-05,50509
2021-08-12,53064
2021-08-19,54229
2021-08-25,58245
2021-09-01,60141
2021-09-09,64721
2022-01-17,143796
2022-01-23,147166
2022-01-29,150755
2022-02-06,151713
2022-02-14,155741
2022-02-21,158306
2022-02-26,160742
2022-03-13,164197
2022-03-20,165554
2022-04-03,170319
2022-04-09,172366
2022-04-18,174640
2022-04-24,176908
2022-05-05,179909
2022-05-08,181125
2022-05-15,185126
2022-05-22,191649
2022-06-13,209475
2022-06-27,210208
2022-06-28,222387
2022-07-07,226678
2022-07-19,226829
2022-07-27,231653
2022-08-15,239315
2022-08-21,242916
2022-08-29,246459
2022-09-12,253257
2022-09-20,256545
2022-09-27,260427
2022-10-02,264130
2022-10-10,267794
2022-10-20,274234
2022-10-30,281656
2022-11-06,292103
2022-11-13,301418
2022-11-20,310801
2022-11-27,319920
2022-12-01,329146
2022-12-07,338051
2023-02-12,384617
2023-02-19,385621
2023-02-26,386619
2023-03-05,387566
2023-03-12,388484
2023-03-19,389246
2023-03-26,389670
2023-04-02,390259
