dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,1
2020-03-25,2
2020-03-26,7
2020-03-27,11
2020-03-28,11
2020-03-29,11
2020-03-30,11
2020-03-31,11
2020-04-01,11
2020-04-02,11
2020-04-03,11
2020-04-04,11
2020-04-05,11
2020-04-06,11
2020-04-07,14
2020-04-08,15
2020-04-09,15
2020-04-10,15
2020-04-11,16
2020-04-12,16
2020-04-13,16
2020-04-14,16
2020-04-15,16
2020-04-16,16
2020-04-17,16
2020-04-18,16
2020-04-19,16
2020-04-20,16
2020-04-21,16
2020-04-22,16
2020-04-23,16
2020-04-24,16
2020-04-25,16
2020-04-26,16
2020-04-27,16
2020-04-28,16
2020-04-29,16
2020-04-30,16
2020-05-01,16
2020-05-02,16
2020-05-03,16
2020-05-04,16
2020-05-05,16
2020-05-06,16
2020-05-07,16
2020-05-08,16
2020-05-09,16
2020-05-10,16
2020-05-11,16
2020-05-12,16
2020-05-13,16
2020-05-14,16
2020-05-15,16
2020-05-16,16
2020-05-17,16
2020-05-18,16
2020-05-19,16
2020-05-20,16
2020-05-21,16
2020-05-22,16
2020-05-23,16
2020-05-24,16
2020-05-25,16
2020-05-26,16
2020-05-27,16
2020-05-28,16
2020-05-29,16
2020-05-30,16
2020-05-31,16
2020-06-01,16
2020-06-02,16
2020-06-03,16
2020-06-04,16
2020-06-05,16
2020-06-06,16
2020-06-07,16
2020-06-08,16
2020-06-09,16
2020-06-10,16
2020-06-11,16
2020-06-12,16
2020-06-13,18
2020-06-14,18
2020-06-15,18
2020-06-16,18
2020-06-17,18
2020-06-18,18
2020-06-19,18
2020-06-20,18
2020-06-21,18
2020-06-22,18
2020-06-23,18
2020-06-24,18
2020-06-25,18
2020-06-26,18
2020-06-27,18
2020-06-28,18
2020-06-29,18
2020-06-30,18
2020-07-01,18
2020-07-02,18
2020-07-03,18
2020-07-04,18
2020-07-05,18
2020-07-06,18
2020-07-07,18
2020-07-08,18
2020-07-09,18
2020-07-10,18
2020-07-11,18
2020-07-12,18
2020-07-13,18
2020-07-14,18
2020-07-15,18
2020-07-16,18
2020-07-17,18
2020-07-18,18
2020-07-19,18
2020-07-20,18
2020-07-21,18
2020-07-22,18
2020-07-23,18
2020-07-24,18
2020-07-25,18
2020-07-26,18
2020-07-27,18
2020-07-28,18
2020-07-29,18
2020-07-30,18
2020-07-31,18
2020-08-01,18
2020-08-02,18
2020-08-03,18
2020-08-04,18
2020-08-05,18
2020-08-06,18
2020-08-07,18
2020-08-08,18
2020-08-09,18
2020-08-10,18
2020-08-11,18
2020-08-12,18
2020-08-13,18
2020-08-14,18
2020-08-15,18
2020-08-16,18
2020-08-17,18
2020-08-18,18
2020-08-19,18
2020-08-20,18
2020-08-21,18
2020-08-22,19
2020-08-23,19
2020-08-24,19
2020-08-25,20
2020-08-26,20
2020-08-27,20
2020-08-28,20
2020-08-29,20
2020-08-30,20
2020-08-31,20
2020-09-01,20
2020-09-02,20
2020-09-03,20
2020-09-04,20
2020-09-05,22
2020-09-06,22
2020-09-07,22
2020-09-08,22
2020-09-09,22
2020-09-10,24
2020-09-11,24
2020-09-12,24
2020-09-13,24
2020-09-14,24
2020-09-15,24
2020-09-16,24
2020-09-17,24
2020-09-18,24
2020-09-19,24
2020-09-20,24
2020-09-21,24
2020-09-22,24
2020-09-23,24
2020-09-24,24
2020-09-25,24
2020-09-26,24
2020-09-27,24
2020-09-28,30
2020-09-29,30
2020-09-30,30
2020-10-01,30
2020-10-02,31
2020-10-03,31
2020-10-04,31
2020-10-05,31
2020-10-06,31
2020-10-07,31
2020-10-08,31
2020-10-09,32
2020-10-10,32
2020-10-11,32
2020-10-12,32
2020-10-13,32
2020-10-14,32
2020-10-15,32
2020-10-16,33
2020-10-17,33
2020-10-18,33
2020-10-19,33
2020-10-20,33
2020-10-21,33
2020-10-22,33
2020-10-23,33
2020-10-24,37
2020-10-25,38
2020-10-26,38
2020-10-27,38
2020-10-28,38
2020-10-29,38
2020-10-30,42
2020-10-31,42
2020-11-01,50
2020-11-02,50
2020-11-03,50
2020-11-04,50
2020-11-05,50
2020-11-06,50
2020-11-07,50
2020-11-08,63
2020-11-09,63
2020-11-10,63
2020-11-11,63
2020-11-12,63
2020-11-13,68
2020-11-14,68
2020-11-15,68
2020-11-16,68
2020-11-17,68
2020-11-18,68
2020-11-19,68
2020-11-20,72
2020-11-21,72
2020-11-22,72
2020-11-23,77
2020-11-24,77
2020-11-25,77
2020-11-26,77
2020-11-27,80
2020-11-28,85
2020-11-29,85
2020-11-30,85
2020-12-01,85
2020-12-02,85
2020-12-03,85
2020-12-04,85
2020-12-05,85
2020-12-06,85
2020-12-07,85
2020-12-08,85
2020-12-09,85
2020-12-10,85
2020-12-11,87
2020-12-12,87
2020-12-13,87
2020-12-14,87
2020-12-15,88
2020-12-16,88
2020-12-17,88
2020-12-18,88
2020-12-19,88
2020-12-20,92
2020-12-21,92
2020-12-22,92
2020-12-23,92
2020-12-24,92
2020-12-25,96
2020-12-26,96
2020-12-27,96
2020-12-28,96
2020-12-29,96
2020-12-30,96
2020-12-31,96
2021-01-01,96
2021-01-02,96
2021-01-03,96
2021-01-04,96
2021-01-05,96
2021-01-06,96
2021-01-07,105
2021-01-08,105
2021-01-09,106
2021-01-10,106
2021-01-11,106
2021-01-12,106
2021-01-13,109
2021-01-14,109
2021-01-15,109
2021-01-16,109
2021-01-17,110
2021-01-18,110
2021-01-19,110
2021-01-20,110
2021-01-21,113
2021-01-22,113
2021-01-23,113
2021-01-24,113
2021-01-25,113
2021-01-26,113
2021-01-27,113
2021-01-28,113
2021-01-29,117
2021-01-30,117
2021-01-31,117
2021-02-01,117
2021-02-02,117
2021-02-03,121
2021-02-04,121
2021-02-05,121
2021-02-06,121
2021-02-07,121
2021-02-08,121
2021-02-09,121
2021-02-10,121
2021-02-11,121
2021-02-12,121
2021-02-13,121
2021-02-14,121
2021-02-15,121
2021-02-16,134
2021-02-17,134
2021-02-18,134
2021-02-19,134
2021-02-20,134
2021-02-21,134
2021-02-22,134
2021-02-23,134
2021-02-24,134
2021-02-25,141
2021-02-26,141
2021-02-27,142
2021-02-28,142
2021-03-01,142
2021-03-02,142
2021-03-03,144
2021-03-04,144
2021-03-05,144
2021-03-06,144
2021-03-07,144
2021-03-08,144
2021-03-09,144
2021-03-10,151
2021-03-11,151
2021-03-12,151
2021-03-13,156
2021-03-14,156
2021-03-15,156
2021-03-16,156
2021-03-17,157
2021-03-18,157
2021-03-19,157
2021-03-20,157
2021-03-21,157
2021-03-22,157
2021-03-23,157
2021-03-24,160
2021-03-25,160
2021-03-26,161
2021-03-27,161
2021-03-28,161
2021-03-29,161
2021-03-30,161
2021-03-31,161
2021-04-01,161
2021-04-02,164
2021-04-03,165
2021-04-04,165
2021-04-05,165
2021-04-06,165
2021-04-07,165
2021-04-08,165
2021-04-09,165
2021-04-10,165
2021-04-11,165
2021-04-12,165
2021-04-13,165
2021-04-14,170
2021-04-15,170
2021-04-16,170
2021-04-17,172
2021-04-18,172
2021-04-19,172
2021-04-20,172
2021-04-21,172
2021-04-22,172
2021-04-23,172
2021-04-24,173
2021-04-25,173
2021-04-26,173
2021-04-27,173
2021-04-28,173
2021-04-29,173
2021-04-30,174
2021-05-01,174
2021-05-02,174
2021-05-03,174
2021-05-04,174
2021-05-05,174
2021-05-06,174
2021-05-07,174
2021-05-08,174
2021-05-09,175
2021-05-10,175
2021-05-11,175
2021-05-12,175
2021-05-13,175
2021-05-14,178
2021-05-15,178
2021-05-16,178
2021-05-17,178
2021-05-18,178
2021-05-19,184
2021-05-20,184
2021-05-21,184
2021-05-22,184
2021-05-23,184
2021-05-24,184
2021-05-25,184
2021-05-26,184
2021-05-27,184
2021-05-28,188
2021-05-29,188
2021-05-30,188
2021-05-31,188
2021-06-01,188
2021-06-02,188
2021-06-03,188
2021-06-04,188
2021-06-05,188
2021-06-06,188
2021-06-07,188
2021-06-08,188
2021-06-09,188
2021-06-10,188
2021-06-11,188
2021-06-12,189
2021-06-13,189
2021-06-14,189
2021-06-15,189
2021-06-16,189
2021-06-17,191
2021-06-18,191
2021-06-19,191
2021-06-20,191
2021-06-21,191
2021-06-22,191
2021-06-23,191
2021-06-24,192
2021-06-25,192
2021-06-26,192
2021-06-27,193
2021-06-28,193
2021-06-29,193
2021-06-30,193
2021-07-01,193
2021-07-02,194
2021-07-03,194
2021-07-04,194
2021-07-05,194
2021-07-06,194
2021-07-07,197
2021-07-08,197
2021-07-09,197
2021-07-10,197
2021-07-11,197
2021-07-12,197
2021-07-13,199
2021-07-14,199
2021-07-15,199
2021-07-16,199
2021-07-17,199
2021-07-18,206
2021-07-19,206
2021-07-20,206
2021-07-21,206
2021-07-22,206
2021-07-23,209
2021-07-24,209
2021-07-25,209
2021-07-26,209
2021-07-27,209
2021-07-28,209
2021-07-29,210
2021-07-30,210
2021-07-31,210
2021-08-01,216
2021-08-02,218
2021-08-03,218
2021-08-04,218
2021-08-05,218
2021-08-06,218
2021-08-07,218
2021-08-08,218
2021-08-09,367
2021-08-10,388
2021-08-11,412
2021-08-12,412
2021-08-13,412
2021-08-14,576
2021-08-15,576
2021-08-16,943
