dates,cumulativecount_vaccine_covid_19_administered
2021-02-11,0
2021-02-23,2465
2021-02-25,4811
2021-02-26,5924
2021-03-01,7202
2021-03-02,8238
2021-03-03,9464
2021-03-04,10476
2021-03-05,11368
2021-03-08,12275
2021-03-10,13135
2021-03-11,13565
2021-03-22,15304
2021-03-25,16058
2021-03-31,17674
2021-04-01,18112
2021-04-12,18423
2021-04-20,20721
2021-04-22,23055
2021-04-28,27821
2021-05-07,32008
2021-05-12,33037
2021-05-17,33949
2021-05-18,34219
2021-05-26,36449
2021-05-28,36934
2021-05-31,37080
2021-06-02,37126
2021-06-05,37400
2021-06-09,37678
2021-06-14,37978
2021-06-17,38192
2021-06-25,39309
2021-07-02,39938
2021-07-09,40004
2021-07-16,40255
2021-07-23,40334
2021-07-30,40553
2021-08-20,41435
2021-08-27,42529
2021-09-03,42837
2021-09-10,43394
2021-09-17,43971
2021-09-24,44624
2021-10-01,46694
2021-10-08,48091
2021-10-15,48830
2021-10-22,50991
2021-10-29,52549
2021-11-05,53307
2021-11-12,53955
2021-11-19,55134
2021-11-29,55524
2021-12-03,55760
2021-12-08,55774
2021-12-10,56179
2021-12-15,56507
2021-12-17,56576
2021-12-22,57044
2022-01-05,59170
2022-01-07,59332
2022-01-12,59547
2022-01-14,59624
2022-01-19,59775
2022-01-21,59946
2022-01-26,60098
2022-01-28,60254
2022-02-02,60939
2022-02-04,61002
2022-02-09,61101
2022-02-11,61178
2022-02-16,61347
2022-02-18,61427
2022-02-23,61541
2022-02-25,61649
2022-03-02,61713
2022-03-04,61758
2022-03-09,61814
2022-03-11,62015
2022-03-16,62030
2022-03-18,62110
2022-03-23,62333
2022-03-25,62334
2022-03-30,65980
2022-04-01,66135
2022-04-08,66166
2022-04-15,66321
2022-04-22,66357
2022-04-29,66434
2022-05-06,66479
2022-05-13,66509
2022-05-20,66558
2022-05-27,66709
2022-06-03,66733
2022-06-10,66825
2022-06-15,66872
2022-06-22,66955
2022-06-24,66974
2022-06-30,66992
2022-08-05,67431
2022-09-30,67639
2022-10-07,67647
