dates,cumulativecount_vaccine_covid_19_administered
2020-12-18,2
2020-12-25,10
2021-01-01,5272
2021-01-08,95369
2021-01-15,142017
2021-01-22,173331
2021-01-29,227102
2021-02-05,280060
2021-02-12,340661
2021-02-19,422575
2021-02-26,533458
2021-03-05,654180
2021-03-12,744552
2021-03-19,842922
2021-03-26,941122
2021-04-02,1059253
2021-04-09,1201676
2021-04-16,1438000
2021-04-23,1655182
2021-04-30,1886472
2021-05-07,2216201
2021-05-14,2543072
2021-05-21,2891356
2021-05-28,3217686
2021-06-04,3583729
2021-06-11,4028533
2021-06-18,4468465
2021-06-25,4884539
2021-07-02,5312392
2021-07-09,5824506
2021-07-16,6354887
2021-07-23,6845032
2021-07-30,7202385
2021-08-06,7545916
2021-08-13,7927975
2021-08-20,8175580
2021-08-27,8343591
2021-09-03,8447734
2021-09-10,8515233
2021-09-17,8581512
2021-09-24,8636531
2021-10-01,8675406
2021-10-08,8721812
2021-10-15,8774716
2021-10-22,8868457
2021-10-29,8963286
2021-11-05,9055007
2021-11-12,9177020
2021-11-19,9331772
2021-11-26,9553446
2021-12-03,9799165
2021-12-10,10177319
2021-12-17,11053699
2021-12-24,11570126
2021-12-31,11977699
2022-01-07,12367145
2022-01-14,12628064
2022-01-21,12801521
2022-01-28,12891791
2022-02-04,12945149
2022-02-11,12977458
2022-02-18,12994724
2022-02-25,13009828
2022-03-04,13022399
2022-03-11,13032747
2022-03-18,13041819
2022-03-25,13049135
2022-04-01,13055786
2022-04-08,13061527
2022-04-15,13065219
2022-04-22,13069925
2022-04-29,13075292
2022-05-06,13080672
2022-05-13,13085425
2022-05-20,13090379
2022-05-27,13094751
2022-06-03,13098774
2022-06-10,13102709
2022-06-17,13107657
2022-06-24,13112456
2022-07-01,13117091
2022-07-08,13121289
2022-07-15,13125268
2022-07-22,13128405
2022-07-29,13132088
2022-08-05,13135338
2022-08-12,13138905
2022-08-19,13141844
2022-08-26,13144693
2022-09-02,13147347
2022-09-09,13149339
2022-09-16,13163599
2022-09-23,13206388
2022-09-30,13286890
2022-10-07,13811630
2022-10-14,14201373
2022-10-21,14467926
2022-10-28,14684120
2022-11-04,14809845
2022-11-11,14906238
2022-11-18,14959938
2022-11-25,14992780
2022-12-02,15016590
2022-12-09,15032586
2022-12-16,15044721
2022-12-23,15052071
2022-12-30,15055757
2023-01-06,15062979
2023-01-13,15068547
2023-01-20,15071743
2023-01-27,15074174
2023-02-03,15076012
2023-02-10,15077117
2023-02-17,15078037
2023-02-24,15078760
2023-03-03,15079284
2023-03-10,15079525
2023-03-17,15079767
