dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,3
2020-03-25,6
2020-03-26,10
2020-03-27,10
2020-03-28,20
2020-03-29,20
2020-03-30,20
2020-03-31,42
2020-04-01,51
2020-04-02,57
2020-04-03,60
2020-04-04,68
2020-04-05,68
2020-04-06,68
2020-04-07,86
2020-04-08,98
2020-04-09,98
2020-04-10,118
2020-04-11,118
2020-04-12,126
2020-04-13,173
2020-04-14,177
2020-04-15,183
2020-04-16,189
2020-04-17,196
2020-04-18,200
2020-04-19,217
2020-04-20,226
2020-04-21,235
2020-04-22,245
2020-04-23,260
2020-04-24,265
2020-04-25,267
2020-04-26,273
2020-04-27,278
2020-04-28,282
2020-04-29,286
2020-04-30,293
2020-05-01,301
2020-05-02,313
2020-05-03,326
2020-05-04,333
2020-05-05,346
2020-05-06,354
2020-05-07,362
2020-05-08,373
2020-05-09,380
2020-05-10,385
2020-05-11,388
2020-05-12,393
2020-05-13,402
2020-05-14,409
2020-05-15,422
2020-05-16,424
2020-05-17,428
2020-05-18,428
2020-05-19,434
2020-05-20,441
2020-05-21,446
2020-05-22,448
2020-05-23,456
2020-05-24,458
2020-05-25,458
2020-05-26,460
2020-05-27,468
2020-05-28,474
2020-05-29,485
2020-05-30,488
2020-05-31,498
2020-06-01,502
2020-06-02,502
2020-06-03,515
2020-06-04,516
2020-06-05,520
2020-06-06,525
2020-06-07,536
2020-06-08,538
2020-06-09,539
2020-06-10,544
2020-06-11,550
2020-06-12,561
2020-06-13,568
2020-06-14,577
2020-06-15,592
2020-06-16,605
2020-06-17,615
2020-06-18,633
2020-06-19,635
2020-06-20,647
2020-06-21,655
2020-06-22,662
2020-06-23,669
2020-06-24,675
2020-06-25,691
2020-06-26,698
2020-06-27,712
2020-06-28,718
2020-06-29,726
2020-06-30,733
2020-07-01,747
2020-07-02,754
2020-07-03,765
2020-07-04,775
2020-07-05,786
2020-07-06,794
2020-07-07,804
2020-07-08,821
2020-07-09,829
2020-07-10,842
2020-07-11,864
2020-07-12,880
2020-07-13,897
2020-07-14,903
2020-07-15,910
2020-07-16,929
2020-07-17,941
2020-07-18,942
2020-07-19,971
2020-07-20,981
2020-07-21,993
2020-07-22,999
2020-07-23,1005
2020-07-24,1006
2020-07-25,1036
2020-07-26,1055
2020-07-27,1063
2020-07-28,1083
2020-07-29,1101
2020-07-30,1123
2020-07-31,1146
2020-08-01,1160
2020-08-02,1170
2020-08-03,1178
2020-08-04,1183
2020-08-05,1213
2020-08-06,1222
2020-08-07,1246
2020-08-08,1259
2020-08-09,1289
2020-08-10,1309
2020-08-11,1328
2020-08-12,1346
2020-08-13,1371
2020-08-14,1393
2020-08-15,1409
2020-08-16,1438
2020-08-17,1453
2020-08-18,1481
2020-08-19,1489
2020-08-20,1501
2020-08-21,1501
2020-08-22,1533
2020-08-23,1554
2020-08-24,1567
2020-08-25,1573
2020-08-26,1585
2020-08-27,1613
2020-08-28,1630
2020-08-29,1648
2020-08-30,1673
2020-08-31,1681
2020-09-01,1710
2020-09-02,1738
2020-09-03,1765
2020-09-04,1801
2020-09-05,1801
2020-09-06,1840
2020-09-07,1845
2020-09-08,1864
2020-09-09,1889
2020-09-10,1914
2020-09-11,1926
2020-09-12,1941
2020-09-13,1953
2020-09-14,1968
2020-09-15,1984
2020-09-16,1998
2020-09-17,2009
2020-09-18,2022
2020-09-19,2034
2020-09-20,2044
2020-09-21,2047
2020-09-22,2054
2020-09-23,2064
2020-09-24,2074
2020-09-25,2076
2020-09-26,2087
2020-09-27,2093
2020-09-28,2095
2020-09-29,2098
2020-09-30,2101
2020-10-01,2105
2020-10-02,2108
2020-10-03,2117
2020-10-04,2128
2020-10-05,2134
2020-10-06,2144
2020-10-07,2149
2020-10-08,2159
2020-10-09,2163
2020-10-10,2165
2020-10-11,2167
2020-10-12,2173
2020-10-13,2179
2020-10-14,2183
2020-10-15,2186
2020-10-16,2189
2020-10-17,2192
2020-10-18,2195
2020-10-19,2199
2020-10-20,2203
2020-10-21,2204
2020-10-22,2206
2020-10-23,2212
2020-10-24,2214
2020-10-25,2220
2020-10-26,2223
2020-10-27,2225
2020-10-28,2226
2020-10-29,2232
2020-10-30,2234
2020-10-31,2236
2020-11-01,2245
2020-11-02,2249
2020-11-03,2250
2020-11-04,2252
2020-11-05,2257
2020-11-06,2260
2020-11-07,2261
2020-11-08,2263
2020-11-09,2265
2020-11-10,2267
2020-11-11,2269
2020-11-12,2272
2020-11-13,2274
2020-11-14,2280
2020-11-15,2282
2020-11-16,2285
2020-11-17,2286
2020-11-18,2290
2020-11-19,2293
2020-11-20,2301
2020-11-21,2306
2020-11-22,2308
2020-11-23,2310
2020-11-24,2311
2020-11-25,2313
2020-11-26,2315
2020-11-27,2317
2020-11-28,2324
2020-11-29,2328
2020-11-30,2330
2020-12-01,2331
2020-12-02,2333
2020-12-03,2334
2020-12-04,2335
2020-12-05,2343
2020-12-06,2345
2020-12-07,2345
2020-12-08,2346
2020-12-09,2347
2020-12-10,2350
2020-12-11,2358
2020-12-12,2359
2020-12-13,2360
2020-12-14,2361
2020-12-15,2364
2020-12-16,2367
2020-12-17,2372
2020-12-18,2375
2020-12-19,2376
2020-12-20,2382
2020-12-21,2384
2020-12-22,2385
2020-12-23,2398
2020-12-24,2401
2020-12-25,2404
2020-12-26,2404
2020-12-27,2404
2020-12-28,2404
2020-12-29,2404
2020-12-30,2405
2020-12-31,2409
2021-01-01,2414
2021-01-02,2416
2021-01-03,2416
2021-01-04,2418
2021-01-05,2418
2021-01-06,2419
2021-01-07,2419
2021-01-08,2423
2021-01-09,2424
2021-01-10,2424
2021-01-11,2427
2021-01-12,2427
2021-01-13,2427
2021-01-14,2428
2021-01-15,2428
2021-01-16,2432
2021-01-17,2432
2021-01-18,2437
2021-01-19,2448
2021-01-20,2461
2021-01-21,2470
2021-01-22,2482
2021-01-23,2496
2021-01-24,2513
2021-01-25,2513
2021-01-26,2545
2021-01-27,2564
2021-01-28,2579
2021-01-29,2603
2021-01-30,2626
2021-01-31,2646
2021-02-01,2666
2021-02-02,2688
2021-02-03,2704
2021-02-04,2719
2021-02-05,2747
2021-02-06,2773
2021-02-07,2801
2021-02-08,2831
2021-02-09,2843
2021-02-10,2864
2021-02-11,2883
2021-02-12,2904
2021-02-13,2917
2021-02-14,2932
2021-02-15,2944
2021-02-16,2959
2021-02-17,2975
2021-02-18,2990
2021-02-19,3007
2021-02-20,3024
2021-02-21,3028
2021-02-22,3038
2021-02-23,3048
2021-02-24,3057
2021-02-25,3066
2021-02-26,3075
2021-02-27,3082
2021-02-28,3093
2021-03-01,3100
2021-03-02,3106
2021-03-03,3118
2021-03-04,3130
2021-03-05,3139
2021-03-06,3150
2021-03-07,3162
2021-03-08,3172
2021-03-09,3179
2021-03-10,3191
2021-03-11,3198
2021-03-12,3204
2021-03-13,3213
2021-03-14,3213
2021-03-15,3222
2021-03-16,3226
2021-03-17,3237
2021-03-18,3248
2021-03-19,3257
2021-03-20,3262
2021-03-21,3269
2021-03-22,3272
2021-03-23,3275
2021-03-24,3283
2021-03-25,3289
2021-03-26,3295
2021-03-27,3298
2021-03-28,3302
2021-03-29,3304
2021-03-30,3307
2021-03-31,3317
2021-04-01,3325
2021-04-02,3330
2021-04-03,3334
2021-04-04,3334
2021-04-05,3346
2021-04-06,3351
2021-04-07,3355
2021-04-08,3369
2021-04-09,3378
2021-04-10,3382
2021-04-11,3385
2021-04-12,3388
2021-04-13,3392
2021-04-14,3397
2021-04-15,3402
2021-04-16,3405
2021-04-17,3410
2021-04-18,3414
2021-04-19,3418
2021-04-20,3422
2021-04-21,3426
2021-04-22,3435
2021-04-23,3441
2021-04-24,3448
2021-04-25,3451
2021-04-26,3454
2021-04-27,3459
2021-04-28,3462
2021-04-29,3467
2021-04-30,3471
2021-05-01,3480
2021-05-02,3487
2021-05-03,3493
2021-05-04,3499
2021-05-05,3504
2021-05-06,3509
2021-05-07,3514
2021-05-08,3517
2021-05-09,3523
2021-05-10,3523
2021-05-11,3540
2021-05-12,3550
2021-05-13,3554
2021-05-14,3560
2021-05-15,3565
2021-05-16,3569
2021-05-17,3582
2021-05-18,3589
2021-05-19,3597
2021-05-20,3597
2021-05-21,3600
2021-05-22,3603
2021-05-23,3606
2021-05-24,3606
2021-05-25,3610
2021-05-26,3610
2021-05-27,3618
2021-05-28,3620
2021-05-29,3623
2021-05-30,3628
2021-05-31,3628
2021-06-01,3628
2021-06-02,3634
2021-06-03,3637
2021-06-04,3642
2021-06-05,3646
2021-06-06,3652
2021-06-07,3654
2021-06-08,3655
2021-06-09,3672
2021-06-10,3686
2021-06-11,3695
2021-06-12,3700
2021-06-13,3705
2021-06-14,3707
2021-06-15,3708
2021-06-16,3717
2021-06-17,3726
2021-06-18,3733
2021-06-19,3742
2021-06-20,3754
2021-06-21,3756
2021-06-22,3758
2021-06-23,3769
2021-06-24,3773
2021-06-25,3781
2021-06-26,3789
2021-06-27,3796
2021-06-28,3797
2021-06-29,3801
2021-06-30,3815
2021-07-01,3822
2021-07-02,3840
2021-07-03,3846
2021-07-04,3852
2021-07-05,3857
2021-07-06,3857
2021-07-07,3866
2021-07-08,3870
