dates,cumulativecount_vaccine_covid_19_administered
2021-02-15,0
2021-02-16,385
2021-02-17,1379
2021-02-18,5328
2021-02-19,10200
2021-02-20,13087
2021-02-21,14264
2021-02-24,26400
2021-03-01,60000
2021-03-02,105000
2021-03-03,161827
2021-03-04,227719
2021-03-05,303490
2021-03-06,375265
2021-03-08,400041
2021-03-09,480237
2021-03-10,547091
2021-03-11,606006
2021-03-15,675000
2021-03-23,800000
2021-03-30,910869
2021-04-14,1509898
2021-04-25,1747878
2021-04-26,1797346
2021-04-27,1847261
2021-04-28,1893836
2021-04-29,1935500
2021-04-30,1970018
2021-05-01,1982185
2021-05-02,1989384
2021-05-03,2052662
2021-05-04,2123703
2021-05-05,2197153
2021-05-06,2264381
2021-05-07,2325108
2021-05-08,2345528
2021-05-09,2354281
2021-05-10,2483629
2021-05-11,2640409
2021-05-12,2801356
2021-05-13,2941030
2021-05-14,3071487
2021-05-15,3105105
2021-05-16,3119820
2021-05-18,3370726
2021-05-19,3488131
2021-05-20,3593646
2021-05-21,3694329
2021-05-22,3725377
2021-05-23,3739010
2021-05-24,3845766
2021-05-25,3948015
2021-05-26,4041312
2021-05-27,4121584
2021-05-28,4188983
2021-05-29,4210215
2021-05-30,4214163
2021-05-31,4311374
2021-06-01,4456516
2021-06-02,4625387
2021-06-03,4761529
2021-06-04,4989807
2021-06-05,5115370
2021-06-06,5197199
2021-06-07,5417069
2021-06-08,5656548
2021-06-09,5900600
2021-06-10,6050983
2021-06-11,6173811
2021-06-12,6219867
2021-06-13,6251341
2021-06-14,6370569
2021-06-15,6473104
2021-06-16,6553710
2021-06-17,6675351
2021-06-18,6835074
2021-06-19,6943666
2021-06-20,7012445
2021-06-21,7172478
2021-06-22,7301587
2021-06-23,7402235
2021-06-24,7482545
2021-06-25,7545508
2021-06-26,7569805
2021-06-27,7583057
2021-06-28,7653536
2021-06-29,7746038
2021-06-30,7842179
2021-07-03,8077985
2021-07-04,8119502
2021-07-05,8253816
2021-07-06,8396449
2021-07-07,8572939
2021-07-08,8688523
2021-07-09,8783843
2021-07-10,8833615
2021-07-11,8859966
2021-07-12,8924052
2021-07-13,8998508
2021-07-14,9066151
2021-07-15,9132857
2021-07-16,9201783
2021-07-17,9246631
2021-07-18,9263829
2021-07-19,9356203
2021-07-20,9449137
2021-07-21,9546340
2021-07-22,9637523
