dates,incrementalcount_vaccine_covid_19_administered
2021-02-16,385
2021-02-17,994
2021-02-18,3949
2021-02-19,4872
2021-02-20,2887
2021-02-21,1177
2021-03-02,45000
2021-03-03,56827
2021-03-04,65892
2021-03-05,75771
2021-03-06,71775
2021-03-09,80196
2021-03-10,66854
2021-03-11,58915
2021-04-26,49468
2021-04-27,49915
2021-04-28,46575
2021-04-29,41664
2021-04-30,34518
2021-05-01,12167
2021-05-02,7199
2021-05-03,63278
2021-05-04,71041
2021-05-05,73450
2021-05-06,67228
2021-05-07,60727
2021-05-08,20420
2021-05-09,8753
2021-05-10,129348
2021-05-11,156780
2021-05-12,160947
2021-05-13,139674
2021-05-14,130457
2021-05-15,33618
2021-05-16,14715
2021-05-19,117405
2021-05-20,105515
2021-05-21,100683
2021-05-22,31048
2021-05-23,13633
2021-05-24,106756
2021-05-25,102249
2021-05-26,93297
2021-05-27,80272
2021-05-28,67399
2021-05-29,21232
2021-05-30,3948
2021-05-31,97211
2021-06-01,145142
2021-06-02,168871
2021-06-03,136142
2021-06-04,228278
2021-06-05,125563
2021-06-06,81829
2021-06-07,219870
2021-06-08,239479
2021-06-09,244052
2021-06-10,150383
2021-06-11,122828
2021-06-12,46056
2021-06-13,31474
2021-06-14,119228
2021-06-15,102535
2021-06-16,80606
2021-06-17,121641
2021-06-18,159723
2021-06-19,108592
2021-06-20,68779
2021-06-21,160033
2021-06-22,129109
2021-06-23,100648
2021-06-24,80310
2021-06-25,62963
2021-06-26,24297
2021-06-27,13252
2021-06-28,70479
2021-06-29,92502
2021-06-30,96141
2021-07-04,41517
2021-07-05,134314
2021-07-06,142633
2021-07-07,176490
2021-07-08,115584
2021-07-09,95320
2021-07-10,49772
2021-07-11,26351
2021-07-12,64086
2021-07-13,74456
2021-07-14,67643
2021-07-15,66706
2021-07-16,68926
2021-07-17,44848
2021-07-18,17198
2021-07-19,92374
2021-07-20,92934
2021-07-21,97203
2021-07-22,91183
2021-07-23,77558
2021-07-24,26190
2021-07-25,5710
2021-07-26,68132
2021-07-27,89446
2021-07-28,87913
2021-07-29,68358
2021-07-30,59100
2021-07-31,20403
2021-08-01,7972
2021-08-02,57749
2021-08-03,60783
2021-08-04,60102
2021-08-05,54520
2021-08-06,45530
2021-08-07,17752
2021-08-08,7389
2021-08-09,47977
2021-08-10,53916
2021-08-11,27449
2021-08-12,19966
2021-08-13,36765
2021-08-14,13826
2021-08-15,4956
2021-08-16,1333
2021-08-17,39245
2021-08-18,46120
2021-08-19,45885
2021-08-20,36293
2021-08-21,15314
2021-08-22,5978
2021-08-23,41694
2021-08-24,43962
2021-08-25,45495
2021-08-26,41351
2021-08-27,37483
2021-08-28,13704
2021-08-29,4672
2021-08-30,36034
2021-08-31,40496
2021-09-01,37376
2021-09-02,37745
2021-09-03,32927
2021-09-04,11919
2021-09-05,3945
2021-09-06,32852
2021-09-07,35761
2021-09-08,37556
2021-09-09,32225
2021-09-10,30052
2021-09-11,10865
2021-09-12,3485
2021-09-13,30360
2021-09-14,32144
2021-09-15,31664
2021-09-16,32793
2021-09-17,34874
2021-09-18,12117
2021-09-19,4706
2021-09-20,34797
2021-09-21,36446
2021-09-22,33027
2021-09-23,32383
2021-09-24,8762
2021-09-25,10668
2021-09-26,5440
2021-09-27,29893
2021-09-28,30976
2021-09-29,29463
2021-09-30,30378
2021-10-01,27165
2021-10-02,11421
2021-10-03,3805
2021-10-04,22763
2021-10-05,29715
2021-10-06,28856
2021-10-07,29039
2021-10-08,26297
2021-10-09,17868
2021-10-10,8649
2021-10-11,49311
2021-10-12,55248
2021-10-13,61965
2021-10-14,71678
2021-10-15,71189
2021-10-16,37514
2021-10-17,22889
2021-10-18,115746
2021-10-19,127628
2021-10-20,114260
2021-10-21,95564
2021-10-22,72617
2021-10-23,25669
2021-10-24,9448
2021-10-25,54436
2021-10-26,50723
2021-10-27,40624
2021-10-28,34847
2021-10-29,26006
2021-10-30,11222
2021-10-31,4154
2021-11-01,27999
2021-11-02,29481
2021-11-03,27132
2021-11-04,26483
2021-11-05,23719
2021-11-06,5565
2021-11-07,3584
2021-11-08,28529
2021-11-09,29784
2021-11-10,27628
2021-11-11,26528
2021-11-12,22398
2021-11-13,9209
2021-11-14,3868
2021-11-15,24617
2021-11-16,27163
2021-11-17,23771
2021-11-20,7285
2021-11-21,3408
2021-11-22,20731
2021-11-23,20080
2021-11-24,16038
2021-11-25,15683
2021-11-26,13087
2021-11-27,5471
2021-11-28,2162
2021-11-29,18119
2021-11-30,18306
2021-12-01,15714
2021-12-02,7951
2021-12-03,20351
2021-12-04,5813
2021-12-05,2046
2021-12-06,15216
2021-12-07,15242
2021-12-08,13721
