dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,5
2020-03-04,7
2020-03-05,17
2020-03-06,17
2020-03-07,17
2020-03-08,19
2020-03-09,20
2020-03-10,20
2020-03-11,20
2020-03-12,20
2020-03-13,25
2020-03-14,25
2020-03-15,37
2020-03-16,48
2020-03-17,60
2020-03-18,67
2020-03-19,72
2020-03-20,82
2020-03-21,94
2020-03-22,139
2020-03-23,200
2020-03-24,231
2020-03-25,267
2020-03-26,305
2020-03-27,367
2020-03-28,409
2020-03-29,454
2020-03-30,511
2020-03-31,584
2020-04-01,716
2020-04-02,822
2020-04-03,986
2020-04-04,1171
2020-04-05,1251
2020-04-06,1321
2020-04-07,1423
2020-04-08,1468
2020-04-09,1572
2020-04-10,1666
2020-04-11,1761
2020-04-12,1825
2020-04-13,1914
2020-04-14,1983
2020-04-15,2070
2020-04-16,2160
2020-04-17,2268
2020-04-18,2418
2020-04-19,2534
2020-04-20,2629
2020-04-21,2718
2020-04-22,2811
2020-04-23,2910
2020-04-24,3007
2020-04-25,3127
2020-04-26,3256
2020-04-27,3382
2020-04-28,3517
2020-04-29,3649
2020-04-30,3848
2020-05-01,4006
2020-05-02,4154
2020-05-03,4295
2020-05-04,4474
2020-05-05,4648
2020-05-06,4838
2020-05-07,4997
2020-05-08,5182
2020-05-09,5369
2020-05-10,5558
2020-05-11,5723
2020-05-12,5891
2020-05-13,6067
2020-05-14,6253
2020-05-15,6442
2020-05-16,6630
2020-05-17,6821
2020-05-18,7019
2020-05-19,7201
2020-05-20,7377
2020-05-21,7542
2020-05-22,7728
2020-05-23,7918
2020-05-24,8113
2020-05-25,8306
2020-05-26,8503
2020-05-27,8697
2020-05-28,8857
2020-05-29,8997
2020-05-30,9134
2020-05-31,9267
2020-06-01,9394
2020-06-02,9513
2020-06-03,9626
2020-06-04,9733
2020-06-05,9831
2020-06-06,9935
2020-06-07,10050
2020-06-08,10154
2020-06-09,10265
2020-06-10,10382
2020-06-11,10484
2020-06-12,10589
2020-06-13,10698
2020-06-14,10810
2020-06-15,10919
2020-06-16,11038
2020-06-17,11147
2020-06-18,11268
2020-06-19,11385
2020-06-20,11504
2020-06-21,11631
2020-06-22,11771
2020-06-23,11920
2020-06-24,12076
2020-06-25,12248
2020-06-26,12445
2020-06-27,12685
2020-06-28,12968
2020-06-29,13273
2020-06-30,13571
2020-07-01,13907
2020-07-02,14272
2020-07-03,14657
2020-07-04,15070
2020-07-05,15500
2020-07-06,15941
2020-07-07,16404
2020-07-08,16879
2020-07-09,17348
2020-07-10,17808
2020-07-11,18242
2020-07-12,18712
2020-07-13,19195
2020-07-14,19689
2020-07-15,20216
2020-07-16,20770
2020-07-17,21355
2020-07-18,21948
2020-07-19,22549
2020-07-20,23084
2020-07-21,23691
2020-07-22,24278
2020-07-23,24872
2020-07-24,25484
2020-07-25,26159
2020-07-26,26764
2020-07-27,27357
2020-07-28,27973
2020-07-29,28615
2020-07-30,29229
2020-07-31,29831
2020-08-01,30394
2020-08-02,30950
2020-08-03,31465
2020-08-04,31972
2020-08-05,32504
2020-08-06,33055
2020-08-07,33626
2020-08-08,34155
2020-08-09,34693
2020-08-10,35214
2020-08-11,35712
2020-08-12,36204
2020-08-13,36699
2020-08-14,37187
2020-08-15,37664
2020-08-16,38133
2020-08-17,38583
2020-08-18,39025
2020-08-19,39444
2020-08-20,39847
2020-08-21,40258
2020-08-22,40667
2020-08-23,41068
2020-08-24,41460
2020-08-25,41858
2020-08-26,42228
2020-08-27,42619
2020-08-28,43016
2020-08-29,43403
2020-08-30,43782
2020-08-31,44146
2020-09-01,44494
2020-09-02,44833
2020-09-03,45158
2020-09-04,45469
2020-09-05,45773
2020-09-06,46071
2020-09-07,46364
2020-09-08,46653
2020-09-09,46938
2020-09-10,47216
2020-09-11,47488
2020-09-12,47752
2020-09-13,48007
2020-09-14,48254
2020-09-15,48496
2020-09-16,48734
2020-09-17,48966
2020-09-18,49194
2020-09-19,49413
2020-09-20,49623
2020-09-21,49826
2020-09-22,50023
2020-09-23,50214
2020-09-24,50400
2020-09-25,50579
2020-09-26,50754
2020-09-27,50914
2020-09-28,51067
2020-09-29,51213
2020-09-30,51368
2020-10-01,51530
2020-10-02,51690
2020-10-03,51847
2020-10-04,51995
2020-10-05,52136
2020-10-06,52270
2020-10-07,52399
2020-10-08,52520
2020-10-09,52658
2020-10-10,52804
2020-10-11,52940
2020-10-12,53072
2020-10-13,53225
2020-10-14,53399
2020-10-15,53584
2020-10-16,53777
2020-10-17,53998
2020-10-18,54203
2020-10-19,54402
2020-10-20,54616
2020-10-21,54839
2020-10-22,55091
2020-10-23,55357
2020-10-24,55630
2020-10-25,55630
2020-10-26,55630
2020-10-27,56419
2020-10-28,56706
2020-10-29,57026
2020-10-30,57332
2020-10-31,57651
2020-11-01,57942
2020-11-02,58272
2020-11-03,58574
2020-11-04,58979
2020-11-05,59527
2020-11-06,60169
2020-11-07,60800
2020-11-08,61381
2020-11-09,62051
2020-11-10,62693
2020-11-11,63446
2020-11-12,64257
2020-11-13,65108
2020-11-14,65975
2020-11-15,66819
2020-11-16,67679
2020-11-17,68589
2020-11-18,69591
2020-11-19,70629
2020-11-20,71652
2020-11-21,72755
2020-11-22,73774
2020-11-23,74862
2020-11-24,75867
2020-11-25,77000
2020-11-26,78025
2020-11-27,79110
2020-11-28,80168
2020-11-29,81212
2020-11-30,82221
2020-12-01,83199
2020-12-02,84152
2020-12-03,85084
2020-12-04,85927
2020-12-05,86730
2020-12-06,87502
2020-12-07,88252
2020-12-08,88825
2020-12-09,89416
2020-12-10,90014
2020-12-11,90579
2020-12-12,91121
2020-12-13,91638
2020-12-14,92102
2020-12-15,92597
2020-12-16,93065
2020-12-17,93507
2020-12-18,93933
2020-12-19,94371
2020-12-20,94781
2020-12-21,95203
2020-12-22,95659
2020-12-23,96069
2020-12-24,96549
2020-12-25,97007
2020-12-26,97441
2020-12-27,97857
2020-12-28,98249
2020-12-29,98249
2020-12-30,98606
2020-12-31,99311
2021-01-01,99610
2021-01-02,99897
2021-01-03,100159
2021-01-04,100408
2021-01-05,100645
2021-01-06,100873
2021-01-07,101120
2021-01-08,101382
2021-01-09,101657
2021-01-10,101913
2021-01-11,102144
2021-01-12,102369
2021-01-13,102641
2021-01-14,102860
2021-01-15,103127
2021-01-16,103381
2021-01-17,103611
2021-01-18,103833
2021-01-19,104092
2021-01-20,104341
2021-01-21,104606
2021-01-22,104852
2021-01-23,105124
2021-01-24,105369
2021-01-25,105596
2021-01-26,105854
2021-01-27,106097
2021-01-28,106359
2021-01-29,106610
2021-01-30,106887
2021-01-31,107122
2021-02-01,107339
2021-02-02,107578
2021-02-03,107841
2021-02-04,108116
2021-02-05,108381
2021-02-06,108629
2021-02-07,108852
2021-02-08,109088
2021-02-09,109313
2021-02-10,109559
2021-02-11,109782
2021-02-12,110049
2021-02-13,110303
2021-02-14,110513
2021-02-15,110711
2021-02-16,110894
2021-02-17,111069
2021-02-18,111247
2021-02-19,111418
2021-02-20,111600
2021-02-21,111764
2021-02-22,111917
2021-02-23,112094
2021-02-24,112279
2021-02-25,112461
2021-02-26,112622
2021-02-27,112805
2021-02-28,112960
2021-03-01,113092
2021-03-02,113255
2021-03-03,113430
2021-03-04,113593
2021-03-05,113761
2021-03-06,113948
2021-03-07,114104
2021-03-08,114234
2021-03-09,114382
2021-03-10,114543
2021-03-11,114681
2021-03-12,114851
2021-03-13,115008
2021-03-14,115143
2021-03-15,115265
2021-03-16,115410
2021-03-17,115540
2021-03-18,115688
2021-03-19,115842
2021-03-20,115970
2021-03-21,116066
2021-03-22,116157
2021-03-23,116255
2021-03-24,116349
2021-03-25,116438
2021-03-26,116543
2021-03-27,116657
2021-03-28,116750
2021-03-29,116836
2021-03-30,116946
2021-03-31,117061
2021-04-01,117192
2021-04-02,117304
2021-04-03,117429
2021-04-04,117524
2021-04-05,117622
2021-04-06,117739
2021-04-07,117879
2021-04-08,118004
2021-04-09,118116
2021-04-10,118251
2021-04-11,118378
2021-04-12,118516
2021-04-13,118645
2021-04-14,118799
2021-04-15,118975
2021-04-16,119142
2021-04-17,119323
2021-04-18,119486
2021-04-19,119642
2021-04-20,119805
2021-04-21,119992
2021-04-22,120174
2021-04-23,120363
2021-04-24,120562
2021-04-25,120736
2021-04-26,120922
2021-04-27,121112
2021-04-28,121344
2021-04-29,121580
2021-04-30,121866
2021-05-01,122108
2021-05-02,122311
2021-05-03,122522
2021-05-04,122717
2021-05-05,122999
2021-05-06,123272
2021-05-07,123473
2021-05-08,123692
2021-05-09,123900
2021-05-10,124104
2021-05-11,124288
2021-05-12,124483
2021-05-13,124682
2021-05-14,124889
2021-05-15,125059
2021-05-16,125194
2021-05-17,125311
2021-05-18,125485
2021-05-19,125693
2021-05-20,125896
2021-05-21,126156
2021-05-22,126434
2021-05-23,126651
2021-05-24,126860
2021-05-25,127107
2021-05-26,127361
2021-05-27,127646
2021-05-28,127926
2021-05-29,128198
2021-05-30,128456
2021-05-31,128725
2021-06-01,129013
2021-06-02,129318
2021-06-03,129640
2021-06-04,129976
2021-06-05,130361
2021-06-06,130681
2021-06-07,130958
2021-06-08,131283
2021-06-09,131647
2021-06-10,132034
2021-06-11,132355
2021-06-12,132727
2021-06-13,133070
2021-06-14,133388
2021-06-15,133742
2021-06-16,134115
2021-06-17,134458
2021-06-18,134840
2021-06-19,135219
2021-06-20,135586
2021-06-21,135928
2021-06-22,136294
2021-06-23,136679
2021-06-24,137049
2021-06-25,137403
2021-06-26,137772
2021-06-27,138113
