dates,covid19mobilitytrend_localbusiness
2020-02-15,2
2020-02-16,2
2020-02-17,3
2020-02-18,4
2020-02-19,3
2020-02-20,4
2020-02-21,0
2020-02-22,-4
2020-02-23,2
2020-02-24,-15
2020-02-25,-24
2020-02-26,-7
2020-02-27,-3
2020-02-28,-2
2020-02-29,-3
2020-03-01,-4
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,1
2020-03-06,-1
2020-03-07,-2
2020-03-08,7
2020-03-09,0
2020-03-10,0
2020-03-11,-2
2020-03-12,-2
2020-03-13,-10
2020-03-14,-19
2020-03-15,-33
2020-03-16,-20
2020-03-17,-65
2020-03-18,-80
2020-03-19,-81
2020-03-20,-83
2020-03-21,-85
2020-03-22,-83
2020-03-23,-83
2020-03-24,-83
2020-03-25,-86
2020-03-26,-85
2020-03-27,-85
2020-03-28,-86
2020-03-29,-84
2020-03-30,-81
2020-03-31,-82
2020-04-01,-81
2020-04-02,-83
2020-04-03,-82
2020-04-04,-83
2020-04-05,-82
2020-04-06,-81
2020-04-07,-81
2020-04-08,-80
2020-04-09,-80
2020-04-10,-83
2020-04-11,-91
2020-04-12,-89
2020-04-13,-78
2020-04-14,-77
2020-04-15,-78
2020-04-16,-77
2020-04-17,-77
2020-04-18,-88
2020-04-19,-87
2020-04-20,-74
2020-04-21,-76
2020-04-22,-76
2020-04-23,-76
2020-04-24,-77
2020-04-25,-86
2020-04-26,-86
2020-04-27,-73
2020-04-28,-73
2020-04-29,-73
2020-04-30,-72
2020-05-01,-74
2020-05-02,-84
2020-05-03,-84
2020-05-04,-68
2020-05-05,-68
2020-05-06,-67
2020-05-07,-67
2020-05-08,-67
2020-05-09,-78
2020-05-10,-76
2020-05-11,-65
2020-05-12,-64
2020-05-13,-65
2020-05-14,-65
2020-05-15,-66
2020-05-16,-77
2020-05-17,-79
2020-05-18,-61
2020-05-19,-61
2020-05-20,-59
2020-05-21,-58
2020-05-22,-60
2020-05-23,-69
2020-05-24,-77
2020-05-25,-52
2020-05-26,-53
2020-05-27,-54
2020-05-28,-53
2020-05-29,-55
2020-05-30,-62
2020-05-31,-73
2020-06-01,-41
2020-06-02,-46
2020-06-03,-44
2020-06-04,-43
2020-06-05,-46
2020-06-06,-49
2020-06-07,-69
2020-06-08,-38
2020-06-09,-41
2020-06-10,-40
2020-06-11,-40
2020-06-12,-42
2020-06-13,-46
2020-06-14,-67
2020-06-15,-34
2020-06-16,-36
2020-06-17,-37
2020-06-18,-38
2020-06-19,-39
2020-06-20,-41
2020-06-21,-61
2020-06-22,-37
2020-06-23,-36
2020-06-24,-37
2020-06-25,-38
2020-06-26,-40
2020-06-27,-42
2020-06-28,-64
2020-06-29,-34
2020-06-30,-34
2020-07-01,-34
2020-07-02,-34
2020-07-03,-36
2020-07-04,-39
2020-07-05,-52
2020-07-06,-31
2020-07-07,-32
2020-07-08,-34
2020-07-09,-34
2020-07-10,-36
2020-07-11,-39
2020-07-12,-51
2020-07-13,-33
2020-07-14,-33
2020-07-15,-34
2020-07-16,-33
2020-07-17,-35
2020-07-18,-38
2020-07-19,-49
2020-07-20,-31
2020-07-21,-32
2020-07-22,-35
2020-07-23,-34
2020-07-24,-36
2020-07-25,-39
2020-07-26,-50
2020-07-27,-31
2020-07-28,-33
2020-07-29,-34
2020-07-30,-34
2020-07-31,-36
2020-08-01,-36
2020-08-02,-45
2020-08-03,-28
2020-08-04,-29
2020-08-05,-31
2020-08-06,-31
2020-08-07,-34
2020-08-08,-34
2020-08-09,-39
2020-08-10,-33
2020-08-11,-31
2020-08-12,-31
2020-08-13,-32
2020-08-14,-33
2020-08-15,-33
2020-08-16,-41
2020-08-17,-26
2020-08-18,-28
2020-08-19,-30
2020-08-20,-30
2020-08-21,-34
2020-08-22,-34
2020-08-23,-42
2020-08-24,-26
2020-08-25,-28
2020-08-26,-29
2020-08-27,-29
2020-08-28,-32
2020-08-29,-33
2020-08-30,-38
2020-08-31,-24
2020-09-01,-24
2020-09-02,-25
2020-09-03,-25
2020-09-04,-27
2020-09-05,-27
2020-09-06,-35
2020-09-07,-23
2020-09-08,-23
2020-09-09,-26
2020-09-10,-25
2020-09-11,-27
2020-09-12,-27
2020-09-13,-32
2020-09-14,-23
2020-09-15,-23
2020-09-16,-26
2020-09-17,-26
2020-09-18,-27
2020-09-19,-26
2020-09-20,-30
2020-09-21,-24
2020-09-22,-27
2020-09-23,-30
2020-09-24,-30
2020-09-25,-30
2020-09-26,-30
2020-09-27,-32
2020-09-28,-29
2020-09-29,-29
2020-09-30,-29
2020-10-01,-28
2020-10-02,-26
