dates,cumulativecount_vaccine_covid_19_administered
2021-01-24,0
2021-01-30,1315
2021-03-27,164534
2021-04-18,660000
2021-05-09,1300212
2021-05-11,1371976
2021-05-22,1877993
2021-05-23,1962216
2021-05-24,2059987
2021-05-25,2128164
2021-05-29,2586274
2021-06-01,2822479
2021-06-09,3340216
2021-06-12,3506760
2021-06-14,3746978
2021-06-16,3794707
2021-06-20,4010467
2021-06-23,4138935
2021-06-27,4253397
2021-06-28,4282641
2021-07-04,4442102
2021-07-06,4497919
2021-07-07,4529884
2021-07-08,4560082
2021-07-12,5056303
2021-07-25,5304701
2021-07-26,5337506
2021-08-01,5570554
2021-08-05,5649322
2021-08-10,5750549
2021-08-16,6477535
2021-08-25,8004586
2021-08-27,8741005
2021-09-01,9391465
2021-09-05,10418988
2021-09-09,10769834
2021-09-11,11487985
2021-09-15,11989196
2021-09-16,12964351
2021-09-23,15057720
2021-09-27,16223309
2021-09-30,16959764
2021-10-08,20154366
2021-10-17,23177181
2021-10-23,25083832
2021-10-29,27818424
2021-11-01,28934095
2021-11-06,30563571
2021-11-10,33667594
2021-11-13,34871428
2021-11-20,36906765
2021-11-28,39914919
2021-11-29,40644158
2021-12-04,42965769
2021-12-06,43976245
2021-12-11,46239670
2021-12-14,47838944
2021-12-18,49746337
2021-12-20,50787836
2021-12-24,52819190
2022-01-04,57488298
2022-01-08,58836189
2022-01-15,61224838
2022-01-21,62817255
2022-01-24,63630482
2022-01-30,65052928
2022-02-06,67211589
2022-02-09,67724897
2022-02-19,69385430
2022-02-26,70684545
2022-03-01,71361630
2022-03-15,75368174
2022-03-20,76716981
2022-03-27,77978885
2022-04-12,80130948
2022-04-23,81384156
2022-04-30,82017392
2022-05-04,82139865
2022-05-08,82376780
2022-05-14,82828973
2022-05-15,82907695
2022-05-30,85265369
2022-06-05,86132442
2022-06-14,88052405
2022-06-20,89160782
2022-06-27,90374411
2022-06-29,91447330
2022-07-05,92261780
2022-07-16,93009661
2022-07-19,94288193
2022-07-27,95223214
2022-08-07,96161665
2022-08-15,96535551
2022-08-21,97076742
2022-08-30,97563259
2022-09-04,97808869
2022-09-11,98019706
2022-09-25,98424374
2022-09-29,98911424
2022-10-23,100118154
2022-10-30,100303642
2022-11-06,100448725
2022-11-14,100554948
2022-11-27,100740657
2022-12-04,100825424
2022-12-18,100993230
2023-01-03,101068826
2023-01-15,101227614
2023-01-22,101357078
2023-01-29,101407664
2023-01-31,102088497
2023-02-19,104508139
2023-02-26,105493060
2023-03-19,108156977
2023-03-26,110505666
2023-04-02,111049462
