dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,12
2020-03-09,33
2020-03-10,2
2020-03-11,4
2020-03-12,5
2020-03-13,8
2020-03-14,13
2020-03-15,13
2020-03-16,17
2020-03-17,16
2020-03-18,40
2020-03-19,30
2020-03-20,14
2020-03-21,46
2020-03-22,29
2020-03-23,9
2020-03-24,33
2020-03-25,39
2020-03-26,36
2020-03-27,54
2020-03-28,39
2020-03-29,41
2020-03-30,40
2020-03-31,33
2020-04-01,47
2020-04-02,54
2020-04-03,69
2020-04-04,86
2020-04-05,120
2020-04-06,85
2020-04-07,103
2020-04-08,149
2020-04-09,128
2020-04-10,110
2020-04-11,139
2020-04-12,95
2020-04-13,145
2020-04-14,126
2020-04-15,125
2020-04-16,160
2020-04-17,155
2020-04-18,168
2020-04-19,171
2020-04-20,188
2020-04-21,112
2020-04-22,189
2020-04-23,157
2020-04-24,169
2020-04-25,232
2020-04-26,201
2020-04-27,227
2020-04-28,215
2020-04-29,248
2020-04-30,260
2020-05-01,226
2020-05-02,269
2020-05-03,358
2020-05-04,298
2020-05-05,272
2020-05-06,348
2020-05-07,388
2020-05-08,387
2020-05-09,393
2020-05-10,495
2020-05-11,488
2020-05-12,436
2020-05-13,346
2020-05-14,347
2020-05-15,338
2020-05-16,398
2020-05-17,399
2020-05-18,491
2020-05-19,510
2020-05-20,535
2020-05-21,720
2020-05-22,745
2020-05-23,774
2020-05-24,783
2020-05-25,727
2020-05-26,752
2020-05-27,702
2020-05-28,789
2020-05-29,910
2020-05-30,1127
2020-05-31,1289
2020-06-01,1367
2020-06-02,1536
2020-06-03,1399
2020-06-04,1152
2020-06-05,1079
2020-06-06,1152
2020-06-07,1348
2020-06-08,1497
2020-06-09,1467
2020-06-10,1365
2020-06-11,1385
2020-06-12,1455
2020-06-13,1442
2020-06-14,1577
2020-06-15,1677
2020-06-16,1618
2020-06-17,1691
2020-06-18,1567
2020-06-19,1363
2020-06-20,1218
2020-06-21,1774
2020-06-22,1547
2020-06-23,1475
2020-06-24,1576
2020-06-25,1332
2020-06-26,1420
2020-06-27,1569
2020-06-28,1625
2020-06-29,1168
2020-06-30,1265
2020-07-01,1566
2020-07-02,1557
2020-07-03,1503
2020-07-04,1485
2020-07-05,1412
2020-07-06,1324
2020-07-07,1218
2020-07-08,969
2020-07-09,1057
2020-07-10,1025
2020-07-11,950
2020-07-12,981
2020-07-13,923
2020-07-14,912
2020-07-15,931
2020-07-16,929
2020-07-17,913
2020-07-18,928
2020-07-19,703
2020-07-20,698
2020-07-21,603
2020-07-22,627
2020-07-23,676
2020-07-24,667
2020-07-25,668
2020-07-26,659
2020-07-27,511
2020-07-28,479
2020-07-29,420
2020-07-30,465
2020-07-31,409
2020-08-01,401
2020-08-02,321
2020-08-03,238
2020-08-04,167
2020-08-05,157
2020-08-06,112
2020-08-07,123
2020-08-08,131
2020-08-09,141
2020-08-10,167
2020-08-11,178
2020-08-12,174
2020-08-13,168
2020-08-14,129
2020-08-15,145
2020-08-16,112
2020-08-17,116
2020-08-18,139
2020-08-19,115
2020-08-20,163
2020-08-21,161
2020-08-22,111
2020-08-23,123
2020-08-24,89
2020-08-25,103
2020-08-26,138
2020-08-27,141
2020-08-28,206
2020-08-29,237
2020-08-30,223
2020-08-31,212
2020-09-01,230
2020-09-02,212
2020-09-03,176
2020-09-04,165
2020-09-05,145
2020-09-06,157
2020-09-07,130
2020-09-08,151
2020-09-09,178
2020-09-10,187
2020-09-11,175
2020-09-12,154
2020-09-13,151
2020-09-14,148
2020-09-15,153
2020-09-16,168
2020-09-17,163
2020-09-18,160
2020-09-19,141
2020-09-20,131
2020-09-21,128
2020-09-22,115
2020-09-23,126
2020-09-24,113
2020-09-25,121
2020-09-26,138
2020-09-27,112
2020-09-28,111
2020-09-29,104
2020-09-30,115
2020-10-01,124
2020-10-02,119
2020-10-03,119
2020-10-04,149
2020-10-05,109
2020-10-06,108
2020-10-07,98
2020-10-08,121
2020-10-09,133
2020-10-10,121
2020-10-11,106
2020-10-12,125
2020-10-13,129
2020-10-14,132
2020-10-15,139
2020-10-16,128
2020-10-17,118
2020-10-18,126
2020-10-19,138
2020-10-20,127
2020-10-21,123
2020-10-22,158
2020-10-23,178
2020-10-24,177
2020-10-25,170
2020-10-26,167
2020-10-27,143
2020-10-28,167
2020-10-29,170
2020-10-30,153
2020-10-31,179
2020-11-01,176
2020-11-02,170
2020-11-03,181
2020-11-04,189
2020-11-05,197
2020-11-06,207
2020-11-07,201
2020-11-08,224
2020-11-09,208
2020-11-10,239
2020-11-11,221
2020-11-12,232
2020-11-13,227
2020-11-14,214
2020-11-15,224
2020-11-16,228
2020-11-17,220
2020-11-18,242
2020-11-19,275
2020-11-20,329
2020-11-21,342
2020-11-22,363
2020-11-23,358
2020-11-24,351
2020-11-25,354
2020-11-26,361
2020-11-27,365
2020-11-28,368
2020-11-29,357
2020-11-30,351
2020-12-01,358
2020-12-02,370
2020-12-03,392
2020-12-04,421
2020-12-05,432
2020-12-06,427
2020-12-07,431
2020-12-08,418
2020-12-09,415
2020-12-10,434
2020-12-11,421
2020-12-12,445
2020-12-13,464
2020-12-14,478
2020-12-15,486
2020-12-16,511
2020-12-17,523
2020-12-18,544
2020-12-19,548
2020-12-20,579
2020-12-21,611
2020-12-22,664
2020-12-23,718
2020-12-24,788
2020-12-25,911
2020-12-26,1021
2020-12-27,1133
2020-12-28,1189
2020-12-29,1226
2020-12-30,1359
2020-12-31,1333
2021-01-01,1411
2021-01-02,1418
2021-01-03,1409
2021-01-04,1407
2021-01-05,1309
2021-01-06,1277
2021-01-07,1119
2021-01-08,1007
2021-01-09,1219
2021-01-10,1001
2021-01-11,989
2021-01-12,993
2021-01-13,961
2021-01-14,970
2021-01-15,996
2021-01-16,1022
2021-01-17,879
2021-01-18,887
2021-01-19,890
2021-01-20,878
2021-01-21,899
2021-01-22,789
2021-01-23,752
2021-01-24,748
2021-01-25,680
2021-01-26,674
2021-01-27,669
2021-01-28,643
2021-01-29,632
2021-01-30,521
2021-01-31,589
2021-02-01,547
2021-02-02,533
2021-02-03,541
2021-02-04,521
2021-02-05,512
2021-02-06,532
2021-02-07,540
2021-02-08,509
2021-02-09,534
2021-02-10,567
2021-02-11,573
2021-02-12,610
2021-02-13,603
2021-02-14,609
2021-02-15,600
2021-02-16,611
2021-02-17,613
2021-02-18,633
2021-02-19,618
2021-02-20,656
2021-02-21,610
2021-02-22,600
2021-02-23,608
2021-02-24,623
2021-02-25,633
2021-02-26,644
2021-02-27,589
2021-02-28,601
2021-03-01,588
2021-03-02,595
2021-03-03,586
2021-03-04,581
2021-03-05,577
2021-03-06,587
2021-03-07,579
2021-03-08,588
2021-03-09,581
2021-03-10,591
2021-03-11,622
2021-03-12,645
2021-03-13,639
2021-03-14,639
2021-03-15,641
2021-03-16,644
2021-03-17,631
2021-03-18,640
2021-03-19,645
2021-03-20,642
2021-03-21,645
2021-03-22,644
2021-03-23,647
2021-03-24,643
2021-03-25,648
2021-03-26,641
2021-03-27,661
2021-03-28,670
2021-03-29,683
2021-03-30,686
2021-03-31,689
2021-04-01,693
2021-04-02,699
2021-04-03,712
2021-04-04,703
2021-04-05,710
2021-04-06,709
2021-04-07,767
2021-04-08,778
2021-04-09,783
2021-04-10,789
2021-04-11,794
2021-04-12,801
2021-04-13,812
2021-04-14,818
2021-04-15,823
2021-04-16,831
2021-04-17,837
2021-04-18,841
2021-04-19,845
2021-04-20,850
2021-04-21,852
2021-04-22,855
2021-04-23,861
2021-04-24,872
2021-04-25,884
2021-04-26,912
2021-04-27,953
2021-04-28,991
2021-04-29,1003
2021-04-30,1011
2021-05-01,1003
2021-05-02,1021
2021-05-03,1032
2021-05-04,1051
2021-05-05,1078
2021-05-06,1090
2021-05-07,1102
2021-05-08,1110
2021-05-09,1125
2021-05-10,1132
2021-05-11,1138
2021-05-12,1150
2021-05-13,1180
2021-05-14,1187
2021-05-15,1193
2021-05-16,1197
2021-05-17,1203
2021-05-18,1201
2021-05-19,1188
2021-05-20,1169
2021-05-21,1160
2021-05-22,1153
2021-05-23,1148
2021-05-24,1151
2021-05-25,1145
2021-05-26,1149
2021-05-27,1140
2021-05-28,1151
2021-05-29,1132
2021-05-30,1133
2021-05-31,1119
2021-06-01,1007
2021-06-02,984
2021-06-03,956
2021-06-04,951
2021-06-05,932
2021-06-06,861
2021-06-07,821
2021-06-08,801
2021-06-09,782
2021-06-10,773
2021-06-11,765
2021-06-12,755
2021-06-13,733
2021-06-14,711
2021-06-15,691
2021-06-16,613
2021-06-17,609
2021-06-18,606
2021-06-19,591
2021-06-20,589
2021-06-21,566
2021-06-22,532
2021-06-23,509
2021-06-24,498
2021-06-25,466
2021-06-26,423
2021-06-27,412
2021-06-28,409
2021-06-29,389
2021-06-30,376
2021-07-01,261
2021-07-02,251
2021-07-03,242
2021-07-04,198
2021-07-05,181
2021-07-06,179
2021-07-07,175
2021-07-08,164
2021-07-09,161
2021-07-10,155
2021-07-11,127
2021-07-12,121
2021-07-13,117
2021-07-14,110
2021-07-15,108
2021-07-16,89
2021-07-17,81
2021-07-18,77
2021-07-19,69
2021-07-20,67
2021-07-21,59
2021-07-22,51
2021-07-23,49
2021-07-24,44
2021-07-25,41
2021-07-26,38
2021-07-27,39
2021-07-28,35
2021-07-29,31
2021-07-30,38
2021-07-31,42
2021-08-01,45
2021-08-02,47
2021-08-03,49
2021-08-04,51
2021-08-05,53
2021-08-06,57
