dates,incrementalcount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,2
2020-03-19,2
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,4
2020-03-25,5
2020-03-26,1
2020-03-27,1
2020-03-28,3
2020-03-29,6
2020-03-30,6
2020-03-31,4
2020-04-01,1
2020-04-02,5
2020-04-03,6
2020-04-04,6
2020-04-05,8
2020-04-06,5
2020-04-07,7
2020-04-08,7
2020-04-09,9
2020-04-10,9
2020-04-11,15
2020-04-12,17
2020-04-13,11
2020-04-14,13
2020-04-15,5
2020-04-16,14
2020-04-17,5
2020-04-18,13
2020-04-19,9
2020-04-20,19
2020-04-21,15
2020-04-22,11
2020-04-23,14
2020-04-24,12
2020-04-25,11
2020-04-26,7
2020-04-27,13
2020-04-28,10
2020-04-29,20
2020-04-30,22
2020-05-01,21
2020-05-02,12
2020-05-03,14
2020-05-04,9
2020-05-05,14
2020-05-06,7
2020-05-07,16
2020-05-08,17
2020-05-09,13
2020-05-10,21
2020-05-11,11
2020-05-12,11
2020-05-13,8
2020-05-14,11
2020-05-15,12
2020-05-16,15
2020-05-17,21
2020-05-18,20
2020-05-19,18
2020-05-20,15
2020-05-21,14
2020-05-22,21
2020-05-23,16
2020-05-24,11
2020-05-25,28
2020-05-26,29
2020-05-27,19
2020-05-28,14
2020-05-29,19
2020-05-30,29
2020-05-31,34
2020-06-01,34
2020-06-02,46
2020-06-03,46
2020-06-04,47
2020-06-05,36
2020-06-06,38
2020-06-07,40
2020-06-08,32
2020-06-09,39
2020-06-10,34
2020-06-11,35
2020-06-12,36
2020-06-13,35
2020-06-14,45
2020-06-15,62
2020-06-16,91
2020-06-17,97
2020-06-18,94
2020-06-19,84
2020-06-20,88
2020-06-21,79
2020-06-22,89
2020-06-23,87
2020-06-24,85
2020-06-25,87
2020-06-26,85
2020-06-27,83
2020-06-28,87
2020-06-29,88
2020-06-30,81
2020-07-01,83
2020-07-02,81
2020-07-03,81
2020-07-04,86
2020-07-05,81
2020-07-06,79
2020-07-07,63
2020-07-08,79
2020-07-09,67
2020-07-10,75
2020-07-11,53
2020-07-12,85
2020-07-13,67
2020-07-14,89
2020-07-15,77
2020-07-16,73
2020-07-17,59
2020-07-18,53
2020-07-19,68
2020-07-20,63
2020-07-21,51
2020-07-22,50
2020-07-23,47
2020-07-24,41
2020-07-25,40
2020-07-26,38
2020-07-27,40
2020-07-28,48
2020-07-29,46
2020-07-30,39
2020-07-31,37
2020-08-01,46
2020-08-02,31
2020-08-03,29
2020-08-04,31
2020-08-05,23
2020-08-06,24
2020-08-07,18
2020-08-08,21
2020-08-09,20
2020-08-10,21
2020-08-11,17
2020-08-12,26
2020-08-13,24
2020-08-14,26
2020-08-15,22
2020-08-16,17
2020-08-17,17
2020-08-18,19
2020-08-19,13
2020-08-20,11
2020-08-21,13
2020-08-22,15
2020-08-23,19
2020-08-24,12
2020-08-25,19
2020-08-26,18
2020-08-27,18
2020-08-28,19
2020-08-29,25
2020-08-30,20
2020-08-31,14
2020-09-01,23
2020-09-02,22
2020-09-03,19
2020-09-04,21
2020-09-05,18
2020-09-06,16
2020-09-07,16
2020-09-08,19
2020-09-09,11
2020-09-10,19
2020-09-11,17
2020-09-12,13
2020-09-13,17
2020-09-14,20
2020-09-15,21
2020-09-16,13
2020-09-17,18
2020-09-18,17
2020-09-19,19
2020-09-20,18
2020-09-21,17
2020-09-22,20
2020-09-23,17
2020-09-24,19
2020-09-25,16
2020-09-26,13
2020-09-27,18
2020-09-28,16
2020-09-29,14
2020-09-30,18
2020-10-01,13
2020-10-02,16
2020-10-03,16
2020-10-04,10
2020-10-05,14
2020-10-06,11
2020-10-07,9
2020-10-08,11
2020-10-09,9
2020-10-10,7
2020-10-11,12
2020-10-12,11
2020-10-13,12
2020-10-14,10
2020-10-15,9
2020-10-16,6
2020-10-17,11
2020-10-18,11
2020-10-19,10
2020-10-20,11
2020-10-21,10
2020-10-22,12
2020-10-23,13
2020-10-24,11
2020-10-25,10
2020-10-26,11
2020-10-27,12
2020-10-28,12
2020-10-29,11
2020-10-30,12
2020-10-31,13
2020-11-01,11
2020-11-02,8
2020-11-03,12
2020-11-04,13
2020-11-05,14
2020-11-06,13
2020-11-07,11
2020-11-08,14
2020-11-09,12
2020-11-10,13
2020-11-11,12
2020-11-12,14
2020-11-13,11
2020-11-14,12
2020-11-15,12
2020-11-16,13
2020-11-17,11
2020-11-18,12
2020-11-19,16
2020-11-20,14
2020-11-21,13
2020-11-22,13
2020-11-23,14
2020-11-24,13
2020-11-25,12
2020-11-26,13
2020-11-27,12
2020-11-28,11
2020-11-29,12
2020-11-30,13
2020-12-01,15
2020-12-02,14
2020-12-03,16
2020-12-04,28
2020-12-05,19
2020-12-06,19
2020-12-07,18
2020-12-08,21
2020-12-09,19
2020-12-10,23
2020-12-11,19
2020-12-12,22
2020-12-13,23
2020-12-14,21
2020-12-15,22
2020-12-16,23
2020-12-17,23
2020-12-18,24
2020-12-19,25
2020-12-20,26
2020-12-21,28
2020-12-22,29
2020-12-23,32
2020-12-24,37
2020-12-25,42
2020-12-26,51
2020-12-27,49
2020-12-28,43
2020-12-29,53
2020-12-30,61
2020-12-31,54
2021-01-01,56
2021-01-02,55
2021-01-03,56
2021-01-04,54
2021-01-05,64
2021-01-06,58
2021-01-07,55
2021-01-08,57
2021-01-09,54
2021-01-10,56
2021-01-11,57
2021-01-12,55
2021-01-13,52
2021-01-14,55
2021-01-15,58
2021-01-16,59
2021-01-17,52
2021-01-18,54
2021-01-19,56
2021-01-20,55
2021-01-21,58
2021-01-22,51
2021-01-23,54
2021-01-24,52
2021-01-25,49
2021-01-26,57
2021-01-27,53
2021-01-28,55
2021-01-29,48
2021-01-30,54
2021-01-31,48
2021-02-01,46
2021-02-02,53
2021-02-03,44
2021-02-04,47
2021-02-05,53
2021-02-06,52
2021-02-07,48
2021-02-08,44
2021-02-09,47
2021-02-10,48
2021-02-11,52
2021-02-12,53
2021-02-13,53
2021-02-14,42
2021-02-15,36
2021-02-16,59
2021-02-17,56
2021-02-18,51
2021-02-19,49
2021-02-20,51
2021-02-21,49
2021-02-22,48
2021-02-23,55
2021-02-24,51
2021-02-25,39
2021-02-26,52
2021-02-27,46
2021-02-28,49
2021-03-01,49
2021-03-02,49
2021-03-03,48
2021-03-04,42
2021-03-05,44
2021-03-06,49
2021-03-07,45
2021-03-08,38
2021-03-09,41
2021-03-10,43
2021-03-11,44
2021-03-12,46
2021-03-13,41
2021-03-14,45
2021-03-15,42
2021-03-16,44
2021-03-17,40
2021-03-18,44
2021-03-19,47
2021-03-20,41
2021-03-21,40
2021-03-22,45
2021-03-23,41
2021-03-24,39
2021-03-25,43
2021-03-26,40
2021-03-27,48
2021-03-28,36
2021-03-29,41
2021-03-30,37
2021-03-31,32
2021-04-01,42
2021-04-02,39
2021-04-03,46
2021-04-04,43
2021-04-05,39
2021-04-06,40
2021-04-07,47
2021-04-08,43
2021-04-09,37
2021-04-10,33
2021-04-11,39
2021-04-12,43
2021-04-13,40
2021-04-14,42
2021-04-15,39
2021-04-16,44
2021-04-17,41
2021-04-18,42
2021-04-19,41
2021-04-20,44
2021-04-21,40
2021-04-22,42
2021-04-23,46
2021-04-24,48
2021-04-25,45
2021-04-26,39
2021-04-27,51
2021-04-28,58
2021-04-29,61
2021-04-30,51
2021-05-01,59
2021-05-02,61
2021-05-03,63
2021-05-04,67
2021-05-05,62
2021-05-06,60
2021-05-07,64
2021-05-08,59
2021-05-09,65
2021-05-10,66
2021-05-11,59
2021-05-12,68
2021-05-13,61
2021-05-14,58
2021-05-15,59
2021-05-16,56
2021-05-17,63
2021-05-18,58
2021-05-19,61
2021-05-20,53
2021-05-21,57
2021-05-22,61
2021-05-23,52
2021-05-24,59
2021-05-25,51
2021-05-26,45
2021-05-27,41
2021-05-28,43
2021-05-29,54
2021-05-30,46
2021-05-31,51
2021-06-01,46
2021-06-02,49
2021-06-03,40
2021-06-04,42
2021-06-05,44
2021-06-06,46
2021-06-07,41
2021-06-08,43
2021-06-09,47
2021-06-10,38
2021-06-11,34
2021-06-12,39
2021-06-13,37
2021-06-14,35
2021-06-15,41
2021-06-16,31
2021-06-17,37
2021-06-18,32
2021-06-19,37
2021-06-20,31
2021-06-21,38
2021-06-22,30
2021-06-23,39
2021-06-24,37
2021-06-25,32
2021-06-26,35
2021-06-27,29
2021-06-28,31
2021-06-29,30
2021-06-30,33
2021-07-01,23
2021-07-02,21
2021-07-03,25
2021-07-04,21
2021-07-05,27
2021-07-06,22
2021-07-07,20
2021-07-08,22
2021-07-09,26
2021-07-10,19
2021-07-11,17
2021-07-12,15
2021-07-13,13
2021-07-14,7
2021-07-15,9
2021-07-16,6
2021-07-17,7
2021-07-18,6
2021-07-19,8
2021-07-20,7
2021-07-21,6
2021-07-22,5
2021-07-23,8
2021-07-24,5
2021-07-25,7
2021-07-26,4
2021-07-27,6
2021-07-28,7
2021-07-29,4
2021-07-30,9
2021-07-31,7
2021-08-01,4
2021-08-02,6
2021-08-03,4
2021-08-04,7
2021-08-05,5
2021-08-06,10
2021-08-07,7
2021-08-08,5
2021-08-09,4
2021-08-10,9
2021-08-11,7
2021-08-12,6
2021-08-13,9
2021-08-14,7
2021-08-15,5
2021-08-16,6
