dates,cumulativecount_vaccine_covid_19_administered
2021-01-04,82834
2021-01-05,139339
2021-01-07,207323
2021-01-08,277976
2021-01-11,406091
2021-01-12,488122
2021-01-13,581638
2021-01-14,676186
2021-01-15,768950
2021-01-18,897942
2021-01-19,966097
2021-01-20,1025937
2021-01-21,1103301
2021-01-22,1165825
2021-01-24,1237593
2021-01-25,1291216
2021-01-26,1356461
2021-01-27,1395618
2021-01-28,1474189
2021-01-31,1609261
2021-02-01,1673054
2021-02-02,1764778
2021-02-03,1865342
2021-02-04,1988160
2021-02-07,2105033
2021-02-08,2167241
2021-02-09,2233249
2021-02-10,2320507
2021-02-11,2423045
2021-02-14,2561608
2021-02-15,2624512
2021-02-16,2690457
2021-02-17,2782751
2021-02-18,2936011
2021-02-21,3090351
2021-02-22,3165191
2021-02-23,3284678
2021-02-24,3436158
2021-02-25,3605635
2021-02-28,3829465
2021-03-01,3908734
2021-03-02,4059320
2021-03-03,4229092
2021-03-04,4471577
2021-03-07,4712191
2021-03-08,4848648
2021-03-09,4989505
2021-03-10,5172106
2021-03-11,5352767
2021-03-15,5644895
2021-03-16,5742218
2021-03-17,5857085
2021-03-18,5993363
2021-03-22,6321908
2021-03-23,6409196
2021-03-24,6620093
2021-03-25,6839736
2021-03-26,7067371
2021-03-29,7571439
2021-03-30,7736611
2021-03-31,8035160
2021-04-01,8342155
2021-04-03,8548598
2021-04-05,8743694
2021-04-06,9021001
2021-04-07,9357847
2021-04-08,9811529
2021-04-09,10231825
2021-04-12,10784997
2021-04-13,11073657
2021-04-14,11436073
2021-04-15,11885085
2021-04-16,12330755
2021-04-19,12853599
2021-04-20,13041032
2021-04-21,13497809
2021-04-22,13909964
2021-04-23,14266251
2021-04-25,14715931
2021-04-26,14994667
2021-04-27,15377862
2021-04-28,15859772
2021-04-29,16364595
2021-05-02,17178566
2021-05-03,17430810
2021-05-04,17916566
2021-05-05,18489580
2021-05-06,19048132
2021-05-09,19830624
2021-05-10,20162661
2021-05-11,20623815
2021-05-12,21071940
2021-05-13,21683707
2021-05-16,22313088
2021-05-17,22587343
2021-05-18,22973955
2021-05-19,23503085
2021-05-20,23962365
2021-05-23,24534056
2021-05-24,24876302
2021-05-25,25280864
2021-05-26,25745178
2021-05-27,26133689
2021-05-30,26827637
2021-05-31,27119733
2021-06-01,27607247
2021-06-02,28182345
2021-06-03,28752570
2021-06-06,30007806
2021-06-07,30472862
2021-06-08,31004060
2021-06-09,31628321
2021-06-10,32282553
2021-06-13,33242768
2021-06-14,33632590
2021-06-15,34224523
2021-06-16,34845346
2021-06-17,35412140
2021-06-20,36357745
2021-06-21,36880086
2021-06-22,37560626
2021-06-23,38293871
2021-06-24,38808490
2021-06-27,39914204
2021-06-28,40565038
2021-06-29,41279995
2021-06-30,42027584
2021-07-01,42792983
2021-07-04,43959621
2021-07-05,44544324
2021-07-06,45233735
2021-07-07,45924484
2021-07-08,46612489
2021-07-11,47777316
2021-07-12,48315430
2021-07-13,48911460
2021-07-14,49585197
2021-07-15,50239048
2021-07-18,51229989
2021-07-19,51710022
2021-07-20,52293044
2021-07-21,52879267
2021-07-22,53449255
2021-07-25,54259325
2021-07-26,54617577
2021-07-27,55185352
2021-07-28,55713142
2021-07-29,56186601
2021-08-01,56795869
2021-08-02,57141754
2021-08-03,57653031
2021-08-04,58102441
2021-08-05,58542495
2021-08-08,59108679
2021-08-09,59429601
2021-08-10,59927147
2021-08-11,60449774
2021-08-12,60919867
2021-08-15,61418303
2021-08-16,61723171
2021-08-17,62193144
2021-08-18,62665513
2021-08-19,63090941
2021-08-22,63590985
2021-08-23,63938402
2021-08-24,64312970
2021-08-25,64714501
2021-08-26,65035990
2021-08-29,65444891
2021-08-30,65673013
2021-08-31,66130220
2021-09-01,66464730
2021-09-02,66788317
2021-09-05,67190707
2021-09-06,67385522
2021-09-07,67798496
2021-09-08,68002439
2021-09-09,68205694
2021-09-12,68486683
2021-09-13,68619581
2021-09-14,68820573
2021-09-15,68955191
2021-09-16,69094664
2021-09-19,69427047
2021-09-21,69549078
2021-09-22,69642236
2021-09-23,69740837
2021-09-26,69867532
2021-09-27,69936755
2021-09-28,70022100
2021-09-29,70083821
2021-09-30,70153507
2021-10-03,70243260
2021-10-04,70279166
2021-10-05,70587034
2021-10-06,70646137
2021-10-07,70699744
2021-10-10,70822813
2021-10-12,70859558
2021-10-13,70919608
2021-10-14,70982052
2021-10-17,71048577
2021-10-18,71072261
2021-10-19,71102258
2021-10-20,71231804
2021-10-21,71275614
2021-10-24,71344477
2021-10-25,71366561
2021-10-26,71393601
2021-10-27,71779466
2021-10-28,71943760
2021-10-30,72058020
2021-11-02,72233182
2021-11-03,72410731
2021-11-04,72594573
2021-11-07,72805128
2021-11-09,73149785
2021-11-10,73347560
2021-11-11,73623626
2021-11-14,73886784
2021-11-15,74034325
2021-11-16,74168369
2021-11-17,74502145
2021-11-18,74683916
2021-11-21,74988489
2021-11-22,75173640
2021-11-23,75377077
2021-11-24,75573156
2021-11-25,76026523
2021-11-28,76123553
2021-11-29,76485574
2021-11-30,76680144
2021-12-01,76899564
2021-12-02,77157350
2021-12-06,77541843
2021-12-08,77653701
2021-12-09,77827910
2021-12-12,80647211
2021-12-13,81104962
2021-12-14,81695378
2021-12-15,82067448
2021-12-16,82518671
2021-12-19,83502561
2021-12-29,83529796
2022-01-02,84250146
2022-01-03,84506436
2022-01-04,84790916
2022-01-06,84998186
2022-01-09,85480089
2022-01-10,85731280
2022-01-11,86024996
2022-01-12,86326709
2022-01-13,86659108
2022-01-16,87153288
2022-01-17,87397175
2022-01-18,87645324
2022-01-19,88000590
2022-01-20,88348566
2022-01-23,88759314
2022-01-24,88984996
2022-01-25,89270072
2022-01-26,89508239
2022-01-27,89717860
2022-01-30,90135346
2022-01-31,90272896
2022-02-01,90449104
2022-02-02,90592858
2022-02-03,90715372
2022-02-06,90943374
2022-02-07,91101392
2022-02-08,91211425
2022-02-09,91316118
2022-02-10,91411886
2022-02-13,91571654
2022-02-14,91619524
2022-02-15,91716903
2022-02-16,92022504
2022-02-17,92121948
2022-02-20,92210830
2022-02-21,92237054
2022-02-22,92337963
2022-02-23,92371808
2022-02-24,92491318
2022-02-27,92591078
2022-02-28,92633158
2022-03-01,92679676
2022-03-02,92726740
2022-03-03,92774397
2022-03-10,93346088
2022-03-16,93571317
2022-03-23,93807121
2022-03-30,94004482
2022-04-06,94130810
2022-04-12,94223806
2022-04-21,94295766
2022-04-27,94404832
2022-05-04,94485122
2022-05-11,94567014
2022-05-18,94653236
2022-05-25,94734966
2022-06-01,94815730
2022-06-08,94901362
2022-06-15,94987684
2022-06-22,95071546
2022-06-29,95153556
2022-07-06,95245599
2022-07-13,95340742
2022-07-20,95425998
2022-07-27,95491074
2022-08-03,95548924
2022-08-10,95584445
2022-08-17,95612718
2022-08-24,95643377
2022-08-31,95676798
2022-09-07,95704322
2022-09-14,95739561
2022-09-21,95763061
2022-09-28,95783126
2022-10-05,95796340
2022-10-13,95804542
2022-10-19,97667329
2022-10-27,98948747
2022-11-02,99955993
2022-11-09,101035693
2022-11-16,102011601
2022-11-23,102574756
2022-12-01,103005173
2022-12-06,103212818
2022-12-14,103756296
2022-12-21,104045018
2022-12-28,104186558
2023-01-03,104301730
2023-01-11,104536856
2023-01-18,104863700
2023-01-25,105094800
2023-02-01,105253468
2023-02-08,105373684
2023-02-15,105459628
2023-02-22,105522606
2023-03-29,105733320
