dates,incrementalcount_vaccine_covid_19_administered
2021-01-05,56505
2021-01-08,70653
2021-01-12,82031
2021-01-13,93516
2021-01-14,94548
2021-01-15,92764
2021-01-19,68155
2021-01-20,59840
2021-01-21,77364
2021-01-22,62524
2021-01-25,53623
2021-01-26,65245
2021-01-27,39157
2021-01-28,78571
2021-02-01,63793
2021-02-02,91724
2021-02-03,100564
2021-02-04,122818
2021-02-08,62208
2021-02-09,66008
2021-02-10,87258
2021-02-11,102538
2021-02-15,62904
2021-02-16,65945
2021-02-17,92294
2021-02-18,153260
2021-02-22,74840
2021-02-23,119487
2021-02-24,151480
2021-02-25,169477
2021-03-01,79269
2021-03-02,150586
2021-03-03,169772
2021-03-04,242485
2021-03-08,136457
2021-03-09,140857
2021-03-10,182601
2021-03-11,180661
2021-03-16,97323
2021-03-17,114867
2021-03-18,136278
2021-03-23,87288
2021-03-24,210897
2021-03-25,219643
2021-03-26,227635
2021-03-30,165172
2021-03-31,298549
2021-04-01,306995
2021-04-06,277307
2021-04-07,336846
2021-04-08,453682
2021-04-09,420296
2021-04-13,288660
2021-04-14,362416
2021-04-15,449012
2021-04-16,445670
2021-04-20,187433
2021-04-21,456777
2021-04-22,412155
2021-04-23,356287
2021-04-26,278736
2021-04-27,383195
2021-04-28,481910
2021-04-29,504823
2021-05-03,252244
2021-05-04,485756
2021-05-05,573014
2021-05-06,558552
2021-05-10,332037
2021-05-11,461154
2021-05-12,448125
2021-05-13,611767
2021-05-17,274255
2021-05-18,386612
2021-05-19,529130
2021-05-20,459280
2021-05-24,342246
2021-05-25,404562
2021-05-26,464314
2021-05-27,388511
2021-05-31,292096
2021-06-01,487514
2021-06-02,575098
2021-06-03,570225
2021-06-07,465056
2021-06-08,531198
2021-06-09,624261
2021-06-10,654232
2021-06-14,389822
2021-06-15,591933
2021-06-16,620823
2021-06-17,566794
2021-06-21,522341
2021-06-22,680540
2021-06-23,733245
2021-06-24,514619
2021-06-28,650834
2021-06-29,714957
2021-06-30,747589
2021-07-01,765399
2021-07-05,584703
2021-07-06,689411
2021-07-07,690749
2021-07-08,688005
2021-07-12,538114
2021-07-13,596030
2021-07-14,673737
2021-07-15,653851
2021-07-19,480033
2021-07-20,583022
2021-07-21,586223
2021-07-22,569988
2021-07-26,358252
2021-07-27,567775
2021-07-28,527790
2021-07-29,473459
2021-08-02,345885
2021-08-03,511277
2021-08-04,449410
2021-08-05,440054
2021-08-09,320922
2021-08-10,497546
2021-08-11,522627
2021-08-12,470093
2021-08-16,304868
2021-08-17,469973
2021-08-18,472369
2021-08-19,425428
2021-08-23,347417
2021-08-24,374568
2021-08-25,401531
2021-08-26,321489
2021-08-30,228122
2021-08-31,457207
2021-09-01,334510
2021-09-02,323587
2021-09-06,194815
2021-09-07,412974
2021-09-08,203943
2021-09-09,203255
2021-09-13,132898
2021-09-14,200992
2021-09-15,134618
2021-09-16,139473
2021-09-22,93158
2021-09-23,98601
2021-09-27,69223
2021-09-28,85345
2021-09-29,61721
2021-09-30,69686
2021-10-04,35906
2021-10-05,307868
2021-10-06,59103
2021-10-07,53607
2021-10-13,60050
2021-10-14,62444
2021-10-18,23684
2021-10-19,29997
2021-10-20,129546
2021-10-21,43810
2021-10-25,22084
2021-10-26,27040
2021-10-27,385865
2021-10-28,164294
2021-11-03,177549
2021-11-04,183842
2021-11-10,197775
2021-11-11,276066
2021-11-15,147541
2021-11-16,134044
2021-11-17,333776
2021-11-18,181771
2021-11-22,185151
2021-11-23,203437
2021-11-24,196079
2021-11-25,453367
2021-11-29,362021
2021-11-30,194570
2021-12-01,219420
2021-12-02,257786
2021-12-09,174209
2021-12-13,457751
2021-12-14,590416
2021-12-15,372070
2021-12-16,451223
2022-01-03,256290
2022-01-04,284480
2022-01-10,251191
2022-01-11,293716
2022-01-12,301713
2022-01-13,332399
2022-01-17,243887
2022-01-18,248149
2022-01-19,355266
2022-01-20,347976
2022-01-24,225682
2022-01-25,285076
2022-01-26,238167
2022-01-27,209621
2022-01-31,137550
2022-02-01,176208
2022-02-02,143754
2022-02-03,122514
2022-02-07,158018
2022-02-08,110033
2022-02-09,104693
2022-02-10,95768
2022-02-14,47870
2022-02-15,97379
2022-02-16,305601
2022-02-17,99444
2022-02-21,26224
2022-02-22,100909
2022-02-23,33845
2022-02-24,119510
2022-02-28,42080
2022-03-01,46518
2022-03-02,47064
2022-03-03,47657
