dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,0
2020-03-05,1
2020-03-06,7
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,3
2020-03-11,2
2020-03-12,3
2020-03-13,40
2020-03-14,43
2020-03-15,23
2020-03-16,75
2020-03-17,25
2020-03-18,22
2020-03-19,28
2020-03-20,28
2020-03-21,13
2020-03-22,41
2020-03-23,13
2020-03-24,24
2020-03-25,74
2020-03-26,55
2020-03-27,37
2020-03-28,64
2020-03-29,40
2020-03-30,32
2020-03-31,31
2020-04-01,57
2020-04-02,79
2020-04-03,93
2020-04-04,74
2020-04-05,63
2020-04-06,11
2020-04-07,42
2020-04-08,36
2020-04-09,23
2020-04-10,51
2020-04-11,46
2020-04-12,5
2020-04-13,17
2020-04-14,45
2020-04-15,27
2020-04-16,34
2020-04-17,25
2020-04-18,53
2020-04-19,16
2020-04-20,7
2020-04-21,17
2020-04-22,7
2020-04-23,33
2020-04-24,14
2020-04-25,29
2020-04-26,9
2020-04-27,4
2020-04-28,10
2020-04-29,9
2020-04-30,23
2020-05-01,5
2020-05-02,5
2020-05-03,1
2020-05-04,3
2020-05-05,8
2020-05-06,2
2020-05-07,7
2020-05-08,5
2020-05-09,8
2020-05-10,6
2020-05-11,2
2020-05-12,5
2020-05-13,6
2020-05-14,7
2020-05-15,8
2020-05-16,4
2020-05-17,4
2020-05-18,10
2020-05-19,6
2020-05-20,4
2020-05-21,6
2020-05-22,7
2020-05-23,14
2020-05-24,2
2020-05-25,1
2020-05-26,10
2020-05-27,6
2020-05-28,11
2020-05-29,9
2020-05-30,6
2020-05-31,4
2020-06-01,2
2020-06-02,0
2020-06-03,10
2020-06-04,10
2020-06-05,21
2020-06-06,22
2020-06-07,7
2020-06-08,1
2020-06-09,7
2020-06-10,11
2020-06-11,7
2020-06-12,6
2020-06-13,5
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,3
2020-06-18,1
2020-06-19,3
2020-06-20,4
2020-06-21,0
2020-06-22,0
2020-06-23,1
2020-06-24,1
2020-06-25,1
2020-06-26,2
2020-06-27,1
2020-06-28,1
2020-06-29,0
2020-06-30,2
2020-07-01,0
2020-07-02,1
2020-07-03,1
2020-07-04,2
2020-07-05,0
2020-07-06,1
2020-07-07,1
2020-07-08,9
2020-07-09,8
2020-07-10,2
2020-07-11,1
2020-07-12,0
2020-07-13,0
2020-07-14,1
2020-07-15,1
2020-07-16,0
2020-07-17,4
2020-07-18,1
2020-07-19,0
2020-07-20,0
2020-07-21,1
2020-07-22,3
2020-07-23,2
2020-07-24,1
2020-07-25,3
2020-07-26,1
2020-07-27,0
2020-07-28,4
2020-07-29,4
2020-07-30,9
2020-07-31,13
2020-08-01,8
2020-08-02,7
2020-08-03,1
2020-08-04,11
2020-08-05,22
2020-08-06,11
2020-08-07,9
2020-08-08,14
2020-08-09,4
2020-08-10,6
2020-08-11,9
2020-08-12,7
2020-08-13,0
2020-08-14,3
2020-08-15,7
2020-08-16,6
2020-08-17,2
2020-08-18,8
2020-08-19,7
2020-08-20,20
2020-08-21,17
2020-08-22,21
2020-08-23,7
2020-08-24,3
2020-08-25,19
2020-08-26,17
2020-08-27,14
2020-08-28,18
2020-08-29,20
2020-08-30,10
2020-08-31,2
2020-09-01,20
2020-09-02,20
2020-09-03,26
2020-09-04,16
2020-09-05,35
2020-09-06,25
2020-09-07,16
2020-09-08,32
2020-09-09,22
2020-09-10,15
2020-09-11,32
2020-09-12,23
2020-09-13,21
2020-09-14,22
2020-09-15,24
2020-09-16,34
2020-09-17,21
2020-09-18,36
2020-09-19,61
2020-09-20,49
2020-09-21,17
2020-09-22,35
2020-09-23,57
2020-09-24,45
2020-09-25,41
2020-09-26,47
2020-09-27,35
2020-09-28,67
2020-09-29,48
2020-09-30,56
2020-10-01,80
2020-10-02,57
2020-10-03,69
2020-10-04,30
2020-10-05,10
2020-10-06,42
2020-10-07,25
2020-10-08,76
2020-10-09,49
2020-10-10,37
2020-10-11,19
2020-10-12,18
2020-10-13,25
2020-10-14,39
2020-10-15,33
2020-10-16,37
2020-10-17,35
2020-10-18,26
2020-10-19,7
2020-10-20,42
2020-10-21,45
2020-10-22,75
2020-10-23,53
2020-10-24,52
2020-10-25,58
2020-10-26,17
2020-10-27,37
2020-10-28,126
2020-10-29,80
2020-10-30,95
2020-10-31,133
2020-11-01,81
2020-11-02,62
2020-11-03,80
2020-11-04,208
2020-11-05,131
2020-11-06,242
2020-11-07,228
2020-11-08,193
2020-11-09,125
2020-11-10,128
2020-11-11,132
2020-11-12,375
2020-11-13,258
2020-11-14,264
2020-11-15,224
2020-11-16,211
2020-11-17,187
2020-11-18,271
2020-11-19,410
2020-11-20,361
2020-11-21,300
2020-11-22,349
2020-11-23,232
2020-11-24,204
2020-11-25,383
2020-11-26,413
2020-11-27,370
2020-11-28,374
2020-11-29,355
2020-11-30,256
2020-12-01,188
2020-12-02,524
2020-12-03,450
2020-12-04,470
2020-12-05,562
2020-12-06,479
2020-12-07,248
2020-12-08,287
2020-12-09,544
2020-12-10,545
2020-12-11,359
2020-12-12,759
2020-12-13,342
2020-12-14,330
2020-12-15,298
2020-12-16,589
2020-12-17,734
2020-12-18,657
2020-12-19,564
2020-12-20,580
2020-12-21,284
2020-12-22,565
2020-12-23,665
2020-12-24,696
2020-12-25,574
2020-12-26,448
2020-12-27,364
2020-12-28,418
2020-12-29,476
2020-12-30,965
2020-12-31,732
2021-01-01,418
2021-01-02,379
2021-01-03,342
2021-01-04,391
2021-01-05,432
2021-01-06,720
2021-01-07,1085
2021-01-08,784
2021-01-09,554
2021-01-10,425
2021-01-11,290
2021-01-12,335
2021-01-13,856
2021-01-14,630
2021-01-15,453
2021-01-16,617
2021-01-17,388
2021-01-18,266
2021-01-19,600
2021-01-20,610
2021-01-21,669
2021-01-22,495
2021-01-23,484
2021-01-24,532
2021-01-25,257
2021-01-26,358
2021-01-27,639
2021-01-28,691
2021-01-29,690
2021-01-30,401
2021-01-31,468
2021-02-01,368
2021-02-02,405
2021-02-03,688
2021-02-04,672
2021-02-05,592
2021-02-06,590
2021-02-07,422
2021-02-08,342
2021-02-09,544
2021-02-10,802
2021-02-11,680
2021-02-12,714
2021-02-13,756
2021-02-14,669
2021-02-15,414
2021-02-16,617
2021-02-17,813
2021-02-18,1002
2021-02-19,953
2021-02-20,788
2021-02-21,584
2021-02-22,832
2021-02-23,965
2021-02-24,1069
2021-02-25,1151
2021-02-26,1203
2021-02-27,1572
2021-02-28,1201
2021-03-01,1027
2021-03-02,1113
2021-03-03,1459
2021-03-04,1421
2021-03-05,1536
2021-03-06,1541
2021-03-07,1318
2021-03-08,1180
2021-03-09,1308
2021-03-10,1485
2021-03-11,1960
2021-03-12,1361
2021-03-13,1587
2021-03-14,936
2021-03-15,1280
2021-03-16,1466
2021-03-17,1783
2021-03-18,1702
2021-03-19,1750
2021-03-20,1252
2021-03-21,1375
2021-03-22,993
2021-03-23,1063
2021-03-24,1556
2021-03-25,1431
2021-03-26,1152
2021-03-27,1150
2021-03-28,894
2021-03-29,585
2021-03-30,1204
2021-03-31,1019
2021-04-01,1114
2021-04-02,913
2021-04-03,524
2021-04-04,490
2021-04-05,397
2021-04-06,922
2021-04-07,996
2021-04-08,771
2021-04-09,685
2021-04-10,648
2021-04-11,451
2021-04-12,277
2021-04-13,648
2021-04-14,559
2021-04-15,579
2021-04-16,488
2021-04-17,340
2021-04-18,547
2021-04-19,235
2021-04-20,543
2021-04-21,482
2021-04-22,445
2021-04-23,399
2021-04-24,392
2021-04-25,217
2021-04-26,169
2021-04-27,478
2021-04-28,403
2021-04-29,429
2021-04-30,369
2021-05-01,413
2021-05-02,177
2021-05-03,178
2021-05-04,406
2021-05-05,429
2021-05-06,367
2021-05-07,386
2021-05-08,352
2021-05-09,157
2021-05-10,199
2021-05-11,363
2021-05-12,373
2021-05-13,303
2021-05-14,285
2021-05-15,283
2021-05-16,134
2021-05-17,153
2021-05-18,298
2021-05-19,257
2021-05-20,242
2021-05-21,229
2021-05-22,181
2021-05-23,103
2021-05-24,77
2021-05-25,164
2021-05-26,186
2021-05-27,147
2021-05-28,141
2021-05-29,128
2021-05-30,66
2021-05-31,60
2021-06-01,133
2021-06-02,131
2021-06-03,107
2021-06-04,100
2021-06-05,63
2021-06-06,52
2021-06-07,39
2021-06-08,85
2021-06-09,69
2021-06-10,54
2021-06-11,54
2021-06-12,53
2021-06-13,38
2021-06-14,28
2021-06-15,62
2021-06-16,60
2021-06-17,41
2021-06-18,56
2021-06-19,35
2021-06-20,25
2021-06-21,12
2021-06-22,37
2021-06-23,26
2021-06-24,20
2021-06-25,12
2021-06-26,34
2021-06-27,27
2021-06-28,15
2021-06-29,47
2021-06-30,37
2021-07-01,21
2021-07-02,39
2021-07-03,39
2021-07-04,27
2021-07-05,20
2021-07-06,50
2021-07-07,42
2021-07-08,58
2021-07-09,39
2021-07-10,64
2021-07-11,27
2021-07-12,22
2021-07-13,57
2021-07-14,56
2021-07-15,63
2021-07-16,62
2021-07-17,64
2021-07-18,41
2021-07-19,35
2021-07-20,81
2021-07-21,97
2021-07-22,121
2021-07-23,84
2021-07-24,106
2021-07-25,91
2021-07-26,67
2021-07-27,192
2021-07-28,173
2021-07-29,220
2021-07-30,181
2021-07-31,249
2021-08-01,127
2021-08-02,87
2021-08-03,221
2021-08-04,232
2021-08-05,258
2021-08-06,242
2021-08-07,242
2021-08-08,126
2021-08-09,146
2021-08-10,290
2021-08-11,343
2021-08-12,368
