dates,incrementalcount_vaccine_covid_19_administered
2020-12-28,318
2020-12-29,367
2020-12-30,1013
2020-12-31,586
2021-01-03,18
2021-01-04,642
2021-01-05,1812
2021-01-06,1612
2021-01-07,1342
2021-01-08,2214
2021-01-09,551
2021-01-10,223
2021-01-11,849
2021-01-12,1580
2021-01-13,1394
2021-01-14,1780
2021-01-15,1281
2021-01-16,220
2021-01-17,96
2021-01-18,1033
2021-01-19,1161
2021-01-20,1482
2021-01-21,2181
2021-01-22,1501
2021-01-23,258
2021-01-24,161
2021-01-25,1061
2021-01-26,2392
2021-01-27,2135
2021-01-28,2472
2021-01-29,3206
2021-01-30,831
2021-01-31,538
2021-02-01,1608
2021-02-02,2769
2021-02-03,3194
2021-02-04,3600
2021-02-05,3068
2021-02-06,552
2021-02-07,58
2021-02-08,1625
2021-02-09,3150
2021-02-10,3497
2021-02-11,4054
2021-02-12,2340
2021-02-13,291
2021-02-14,61
2021-02-15,846
2021-02-16,2402
2021-02-17,4327
2021-02-18,6298
2021-02-19,4774
2021-02-20,810
2021-02-21,833
2021-02-22,2992
2021-02-23,4704
2021-02-24,463
2021-02-25,6535
2021-02-26,7536
2021-02-27,1457
2021-02-28,310
2021-03-01,3466
2021-03-02,5271
2021-03-03,5302
2021-03-04,7632
2021-03-05,7093
2021-03-06,3748
2021-03-07,999
2021-03-08,3663
2021-03-09,5108
2021-03-10,6446
2021-03-11,11094
2021-03-12,7662
2021-03-13,5502
2021-03-14,5280
2021-03-15,3619
2021-03-16,4543
2021-03-17,5424
2021-03-18,7421
2021-03-19,8621
2021-03-20,2278
2021-03-21,1344
2021-03-22,2489
2021-03-23,2926
2021-03-24,5651
2021-03-25,10034
2021-03-26,6676
2021-03-27,2388
2021-03-28,535
2021-03-29,2283
2021-03-30,3559
2021-03-31,5975
2021-04-01,11945
2021-04-02,3934
2021-04-03,8422
2021-04-04,4148
2021-04-05,3494
2021-04-06,3609
2021-04-07,6007
2021-04-08,12897
2021-04-09,10636
2021-04-10,1626
2021-04-11,330
2021-04-12,1916
2021-04-13,2858
2021-04-14,7216
2021-04-15,12519
2021-04-16,11525
2021-04-17,2059
2021-04-18,1407
2021-04-19,2612
2021-04-20,4226
2021-04-21,5099
2021-04-22,11582
2021-04-23,8901
2021-04-24,3068
2021-04-25,2392
2021-04-26,3230
2021-04-27,6838
2021-04-28,11210
2021-04-29,14771
2021-04-30,11858
2021-05-01,3015
2021-05-02,2442
2021-05-03,5740
2021-05-04,8693
2021-05-05,13095
2021-05-06,17558
2021-05-07,13758
2021-05-08,5506
2021-05-09,3196
2021-05-10,4316
2021-05-11,6197
2021-05-12,10112
2021-05-13,12925
2021-05-14,8766
2021-05-15,3453
2021-05-16,963
2021-05-17,6940
2021-05-18,7912
2021-05-19,8975
2021-05-20,14704
2021-05-21,14280
2021-05-22,4861
2021-05-23,3728
2021-05-24,5498
2021-05-25,7011
2021-05-26,11408
2021-05-27,16159
2021-05-28,12489
2021-05-29,5207
2021-05-30,4537
2021-05-31,3716
2021-06-01,8568
2021-06-02,10975
2021-06-03,14009
2021-06-04,11631
2021-06-05,5203
2021-06-06,5216
