dates,cumulativecount_medicaltest_conditioncovid_19
2020-02-27,9
2020-02-28,367
2020-02-29,382
2020-03-01,398
2020-03-02,424
2020-03-03,475
2020-03-04,560
2020-03-05,640
2020-03-06,745
2020-03-07,765
2020-03-08,779
2020-03-09,901
2020-03-10,1029
2020-03-11,1192
2020-03-12,1541
2020-03-13,1950
2020-03-14,2545
2020-03-15,3189
2020-03-16,4057
2020-03-17,5193
2020-03-18,6218
2020-03-19,6993
2020-03-20,8279
2020-03-21,9882
2020-03-22,10930
2020-03-23,12246
2020-03-24,13828
2020-03-25,15676
2020-03-26,17513
2020-03-27,19517
2020-03-28,20722
2020-03-29,21309
2020-03-30,22393
2020-03-31,23524
2020-04-01,25135
2020-04-02,27466
2020-04-03,29157
2020-04-04,32381
2020-04-05,34028
2020-04-06,35999
2020-04-07,38166
2020-04-08,41461
2020-04-09,44010
2020-04-10,47297
2020-04-11,48615
2020-04-12,50204
2020-04-13,51124
2020-04-14,52349
2020-04-15,54841
2020-04-16,58348
2020-04-17,61058
2020-04-18,64750
2020-04-19,67112
2020-04-20,68956
2020-04-21,72576
2020-04-22,76778
2020-04-23,80442
2020-04-24,84722
2020-04-25,87863
2020-04-26,90348
2020-04-27,92788
2020-04-28,96576
2020-04-29,101026
2020-04-30,105205
2020-05-01,108580
2020-05-02,110063
2020-05-03,111712
2020-05-04,113479
2020-05-05,117250
2020-05-06,121058
2020-05-07,124890
2020-05-08,128212
2020-05-09,131022
2020-05-10,132841
2020-05-11,135049
2020-05-12,139104
2020-05-13,143115
2020-05-14,147011
2020-05-15,151364
2020-05-16,154814
2020-05-17,157126
2020-05-18,159486
2020-05-19,164432
2020-05-20,168128
2020-05-21,171093
2020-05-22,173309
2020-05-23,175939
2020-05-24,177493
2020-05-25,179237
2020-05-26,182875
2020-05-27,185846
2020-05-28,188829
2020-05-29,191633
2020-05-30,193578
2020-05-31,194873
2020-06-01,196558
2020-06-02,199433
2020-06-03,202293
2020-06-04,205091
2020-06-05,207412
2020-06-06,209454
2020-06-07,210416
2020-06-08,212258
2020-06-09,215208
2020-06-10,218164
2020-06-11,221137
2020-06-12,223633
2020-06-13,225186
2020-06-14,226012
