dates,cumulativecount_vaccine_covid_19_administered
2021-01-03,67
2021-01-17,62122
2021-01-24,120327
2021-01-31,176836
2021-02-07,232507
2021-02-14,288776
2021-02-21,373451
2021-02-28,476479
2021-03-07,590421
2021-03-14,714668
2021-03-21,842252
2021-03-28,952777
2021-04-04,1086457
2021-04-11,1260283
2021-04-18,1495506
2021-04-25,1717301
2021-05-02,1931781
2021-05-09,2176626
2021-05-16,2413548
2021-05-23,2690452
2021-05-30,2964331
2021-06-06,3264354
2021-06-13,3609576
2021-06-20,3954634
2021-06-27,4217126
2021-07-04,4543218
2021-07-11,4857449
2021-07-18,5127236
2021-07-25,5399940
2021-08-01,5674066
2021-08-08,5938715
2021-08-15,6244758
2021-08-22,6547899
2021-08-29,6802646
2021-09-05,7038469
2021-09-12,7241985
2021-09-19,7389118
2021-09-26,7549717
2021-10-03,7708740
2021-10-10,7847843
2021-10-17,7983259
2021-10-24,8095450
2021-10-31,8212502
2021-11-07,8300585
2021-11-14,8387267
2021-11-21,8484323
2021-11-28,8602876
2021-12-05,8758599
2021-12-12,8944582
2021-12-19,9228940
2021-12-24,9432679
2021-12-26,9434480
2021-12-27,9436893
2021-12-28,9489226
2021-12-30,9544821
2021-12-31,9616819
2022-01-01,9705865
2022-01-03,9706038
2022-01-04,9706280
2022-01-05,9720543
2022-01-06,9872059
2022-01-08,9963908
2022-01-10,10090806
2022-01-12,10225316
2022-01-15,10262739
2022-01-18,10342692
2022-01-19,10407420
2022-01-20,10461909
2022-01-25,10693347
2022-01-26,10746775
2022-01-27,10784471
2022-01-28,10823454
2022-01-29,10866455
2022-01-30,10906050
2022-01-31,11008185
2022-02-01,11018426
2022-02-02,11039379
2022-02-03,11063093
2022-02-04,11178975
2022-02-05,11218208
2022-02-07,11238270
2022-02-08,11293027
2022-02-09,11309855
2022-02-10,11325151
2022-02-11,11340617
2022-02-12,11355567
2022-02-13,11367650
2022-02-14,11370512
2022-02-15,11371462
2022-02-16,11382504
2022-02-17,11394702
2022-02-18,11405540
2022-02-19,11413675
2022-02-20,11422142
2022-02-21,11424413
2022-02-22,11425721
2022-02-23,11433226
2022-02-24,11439651
2022-02-28,11443055
2022-03-01,11444253
2022-03-02,11450857
2022-03-03,11456491
2022-03-04,11461524
2022-03-06,11479743
2022-03-07,11481480
2022-03-08,11482486
2022-03-09,11488408
2022-03-16,11615848
2022-03-23,11658258
2022-03-29,11679339
2022-04-05,11698750
2022-04-13,11719977
2022-04-20,11731694
2022-04-27,11746976
2022-05-04,11758847
2022-05-11,11771112
2022-05-22,12014614
2022-05-25,12044032
2022-06-01,12059352
2022-06-09,12080311
2022-06-15,12116461
2022-06-23,12159454
2022-06-29,12168388
2022-07-06,12186022
2022-07-13,12203932
2022-08-03,12315719
2022-08-10,12400147
2022-08-17,12490579
2022-08-24,12591177
2022-08-31,12659151
2022-09-07,12718448
2022-09-14,12778580
2022-09-21,12808871
2022-09-28,12828674
2022-10-05,12845897
2022-10-11,12860792
2022-10-13,12863230
2022-10-19,12875789
2022-10-26,12889120
2022-11-02,12907029
2022-11-10,12953426
2022-11-17,12994518
2022-11-23,13027929
2022-11-30,13072863
2022-12-07,13100867
2022-12-14,13118577
2022-12-21,13140217
2022-12-28,13149072
2023-01-04,13155024
2023-01-11,13160054
2023-01-18,13171131
2023-01-25,13173313
2023-02-01,13185055
2023-02-08,13189035
2023-02-15,13190968
2023-02-22,13196843
2023-03-01,13200849
2023-03-08,13203328
2023-03-15,13205025
2023-03-22,13207055
2023-03-29,13208185
2023-04-05,13209082
