dates,covid19mobilitytrend_transporthub
2020-02-15,12
2020-02-16,7
2020-02-17,-6
2020-02-18,-4
2020-02-19,-6
2020-02-20,-4
2020-02-21,0
2020-02-22,14
2020-02-23,12
2020-02-24,-1
2020-02-25,-3
2020-02-26,-5
2020-02-27,-5
2020-02-28,0
2020-02-29,4
2020-03-01,2
2020-03-02,-4
2020-03-03,-4
2020-03-04,-6
2020-03-05,-6
2020-03-06,-1
2020-03-07,1
2020-03-08,-2
2020-03-09,-5
2020-03-10,-6
2020-03-11,-5
2020-03-12,-7
2020-03-13,-8
2020-03-14,-16
2020-03-15,-21
2020-03-16,-39
2020-03-17,-61
2020-03-18,-76
2020-03-19,-78
2020-03-20,-80
2020-03-21,-82
2020-03-22,-84
2020-03-23,-82
2020-03-24,-82
2020-03-25,-83
2020-03-26,-83
2020-03-27,-84
2020-03-28,-83
2020-03-29,-87
2020-03-30,-83
2020-03-31,-82
2020-04-01,-81
2020-04-02,-82
2020-04-03,-82
2020-04-04,-80
2020-04-05,-82
2020-04-06,-81
2020-04-07,-80
2020-04-08,-80
2020-04-09,-80
2020-04-10,-81
2020-04-11,-79
2020-04-12,-82
2020-04-13,-88
2020-04-14,-78
2020-04-15,-78
2020-04-16,-78
2020-04-17,-79
2020-04-18,-78
2020-04-19,-81
2020-04-20,-78
2020-04-21,-77
2020-04-22,-76
2020-04-23,-76
2020-04-24,-77
2020-04-25,-76
2020-04-26,-77
2020-04-27,-76
2020-04-28,-76
2020-04-29,-75
2020-04-30,-75
2020-05-01,-87
2020-05-02,-73
2020-05-03,-76
2020-05-04,-72
2020-05-05,-71
2020-05-06,-69
2020-05-07,-70
2020-05-08,-80
2020-05-09,-70
2020-05-10,-74
2020-05-11,-56
2020-05-12,-51
2020-05-13,-53
2020-05-14,-53
2020-05-15,-52
2020-05-16,-43
2020-05-17,-48
2020-05-18,-48
2020-05-19,-47
2020-05-20,-45
2020-05-21,-61
2020-05-22,-54
2020-05-23,-47
2020-05-24,-43
2020-05-25,-46
2020-05-26,-44
2020-05-27,-43
2020-05-28,-44
2020-05-29,-43
2020-05-30,-34
2020-05-31,-38
2020-06-01,-55
2020-06-02,-34
2020-06-03,-36
2020-06-04,-40
2020-06-05,-37
2020-06-06,-27
2020-06-07,-32
2020-06-08,-36
2020-06-09,-35
2020-06-10,-34
2020-06-11,-35
2020-06-12,-34
2020-06-13,-25
2020-06-14,-26
2020-06-15,-32
2020-06-16,-28
2020-06-17,-30
2020-06-18,-30
2020-06-19,-27
2020-06-20,-18
2020-06-21,-18
2020-06-22,-26
2020-06-23,-24
2020-06-24,-26
2020-06-25,-25
2020-06-26,-23
2020-06-27,-16
2020-06-28,-15
2020-06-29,-25
2020-06-30,-22
2020-07-01,-23
2020-07-02,-21
2020-07-03,-18
2020-07-04,-7
2020-07-05,-8
2020-07-06,-20
2020-07-07,-17
2020-07-08,-18
2020-07-09,-18
2020-07-10,-14
2020-07-11,2
2020-07-12,-4
2020-07-13,-24
2020-07-14,-39
2020-07-15,-17
2020-07-16,-20
2020-07-17,-17
2020-07-18,0
2020-07-19,-1
2020-07-20,-19
2020-07-21,-20
2020-07-22,-20
2020-07-23,-20
2020-07-24,-17
2020-07-25,-1
2020-07-26,-2
2020-07-27,-21
2020-07-28,-21
2020-07-29,-19
2020-07-30,-20
2020-07-31,-19
2020-08-01,2
2020-08-02,3
2020-08-03,-21
2020-08-04,-21
2020-08-05,-21
2020-08-06,-22
2020-08-07,-20
2020-08-08,2
2020-08-09,0
2020-08-10,-23
2020-08-11,-26
2020-08-12,-26
2020-08-13,-25
2020-08-14,-21
