dates,cumulativecount_vaccine_covid_19_administered
2021-03-22,0
2021-03-31,301
2021-04-02,2433
2021-04-09,3925
2021-04-14,4920
2021-04-16,5762
2021-04-19,6528
2021-04-21,7700
2021-04-23,8897
2021-04-30,10678
2021-05-05,12364
2021-05-17,17272
2021-05-29,22524
2021-06-05,23371
2021-06-09,29728
2021-06-11,32105
2021-06-12,33591
2021-06-23,49346
2021-06-30,56768
2021-07-05,64161
2021-07-12,72351
2021-07-19,82488
2021-07-24,87181
2021-08-03,100240
2021-08-05,103820
2021-08-09,111546
2021-08-12,120627
2021-08-20,127757
2021-08-25,130798
2021-09-03,146464
2021-09-16,171339
2021-09-22,177392
2021-09-30,180320
2021-10-07,186365
2021-10-14,206373
2021-10-21,217606
2021-10-29,223308
2021-11-01,228381
2021-11-04,232538
2021-11-08,244055
2021-11-10,248311
2021-11-15,256974
2021-11-22,273421
2021-11-24,277979
2021-12-04,328721
2021-12-13,392898
2022-01-16,499247
2022-02-09,545642
2022-03-17,548978
2022-03-24,550042
2022-04-26,556657
2022-05-01,556657
2022-05-22,558456
2022-05-29,558456
2022-06-05,566886
2022-06-19,567334
2022-06-26,567575
2022-07-10,568751
2022-08-14,569829
2022-09-18,569829
2022-10-30,569829
2022-11-27,572672
2023-02-05,572672
