dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,2
2020-02-05,20
2020-02-06,20
2020-02-07,21
2020-02-08,21
2020-02-09,21
2020-02-10,24
2020-02-11,25
2020-02-12,26
2020-02-13,30
2020-02-14,31
2020-02-15,32
2020-02-16,32
2020-02-17,32
2020-02-18,32
2020-02-19,33
2020-02-20,33
2020-02-21,33
2020-02-22,33
2020-02-23,35
2020-02-24,35
2020-02-25,41
2020-02-26,43
2020-02-27,46
2020-02-28,48
2020-02-29,56
2020-03-01,68
2020-03-02,72
2020-03-03,92
2020-03-04,133
2020-03-05,191
2020-03-06,247
2020-03-07,296
2020-03-08,379
2020-03-09,447
2020-03-10,502
2020-03-11,650
2020-03-12,915
2020-03-13,1318
2020-03-14,1802
2020-03-15,2280
2020-03-16,2632
2020-03-17,3073
2020-03-18,3675
2020-03-19,4458
2020-03-20,5442
2020-03-21,6482
2020-03-22,7735
2020-03-23,8918
2020-03-24,10279
2020-03-25,12568
2020-03-26,14921
2020-03-27,17587
2020-03-28,20626
2020-03-29,23780
2020-03-30,26554
2020-03-31,29372
2020-04-01,33567
2020-04-02,38030
2020-04-03,42921
2020-04-04,47745
2020-04-05,52598
2020-04-06,56574
2020-04-07,60130
2020-04-08,65403
2020-04-09,70880
2020-04-10,76026
2020-04-11,80901
2020-04-12,85228
2020-04-13,88813
2020-04-14,92320
2020-04-15,96523
2020-04-16,100858
2020-04-17,105928
2020-04-18,111220
2020-04-19,116197
2020-04-20,120941
2020-04-21,124822
2020-04-22,129263
2020-04-23,134059
2020-04-24,139576
2020-04-25,144742
2020-04-26,149703
2020-04-27,153460
2020-04-28,156936
2020-04-29,161675
2020-04-30,166394
2020-05-01,171827
2020-05-02,176788
2020-05-03,181554
2020-05-04,184812
2020-05-05,187814
2020-05-06,191212
2020-05-07,194898
2020-05-08,198730
2020-05-09,202517
2020-05-10,205581
2020-05-11,207751
2020-05-12,210088
2020-05-13,213700
2020-05-14,217110
2020-05-15,220440
2020-05-16,223070
2020-05-17,225600
2020-05-18,227682
2020-05-19,229519
2020-05-20,232100
2020-05-21,235163
2020-05-22,237882
2020-05-23,240449
2020-05-24,242506
2020-05-25,244038
2020-05-26,245411
2020-05-27,247036
2020-05-28,249106
2020-05-29,250931
2020-05-30,252688
2020-05-31,254220
2020-06-01,255352
2020-06-02,256432
2020-06-03,257871
2020-06-04,259363
2020-06-05,260732
2020-06-06,261981
2020-06-07,263104
2020-06-08,263908
2020-06-09,264630
2020-06-10,265729
2020-06-11,266894
2020-06-12,268090
2020-06-13,269103
2020-06-14,270156
2020-06-15,271042
2020-06-16,271868
2020-06-17,272913
2020-06-18,274016
2020-06-19,275033
2020-06-20,276055
2020-06-21,277048
2020-06-22,277731
2020-06-23,278367
2020-06-24,279266
2020-06-25,280149
2020-06-26,280926
2020-06-27,281652
2020-06-28,282318
2020-06-29,282971
2020-06-30,283420
2020-07-01,284144
2020-07-02,284767
2020-07-03,285419
2020-07-04,286025
2020-07-05,286593
2020-07-06,286992
2020-07-07,287550
2020-07-08,288264
2020-07-09,288873
2020-07-10,289586
2020-07-11,290308
2020-07-12,290876
2020-07-13,291335
2020-07-14,291701
2020-07-15,292441
2020-07-16,293146
2020-07-17,293923
2020-07-18,294635
2020-07-19,295217
2020-07-20,295722
2020-07-21,296170
2020-07-22,297000
2020-07-23,297788
2020-07-24,298604
2020-07-25,299412
2020-07-26,300186
2020-07-27,300716
2020-07-28,301279
2020-07-29,302148
2020-07-30,303004
2020-07-31,304066
2020-08-01,305012
2020-08-02,305710
2020-08-03,306269
2020-08-04,306833
2020-08-05,307893
2020-08-06,308959
2020-08-07,310051
2020-08-08,311156
2020-08-09,312129
2020-08-10,312839
2020-08-11,313466
2020-08-12,314965
2020-08-13,316343
2020-08-14,317585
2020-08-15,318741
2020-08-16,319926
2020-08-17,320640
2020-08-18,321242
2020-08-19,322540
2020-08-20,323656
2020-08-21,324938
2020-08-22,326436
2020-08-23,327654
2020-08-24,328496
2020-08-25,329327
2020-08-26,330628
2020-08-27,331898
2020-08-28,333286
2020-08-29,334877
2020-08-30,336509
2020-08-31,337739
2020-09-01,338910
2020-09-02,340423
2020-09-03,342711
2020-09-04,345788
2020-09-05,348940
2020-09-06,352032
2020-09-07,354583
2020-09-08,357048
2020-09-09,360979
2020-09-10,364349
2020-09-11,367714
2020-09-12,371342
2020-09-13,374666
2020-09-14,377336
2020-09-15,379490
2020-09-16,382918
2020-09-17,386469
2020-09-18,390868
2020-09-19,395543
2020-09-20,400516
2020-09-21,405405
2020-09-22,410745
2020-09-23,416372
2020-09-24,422813
2020-09-25,429909
2020-09-26,437591
2020-09-27,444909
2020-09-28,451719
2020-09-29,458742
2020-09-30,468725
2020-10-01,479091
2020-10-02,491808
2020-10-03,505165
2020-10-04,519019
2020-10-05,530686
2020-10-06,542639
2020-10-07,559392
2020-10-08,576642
2020-10-09,595215
2020-10-10,613640
2020-10-11,629533
2020-10-12,642181
2020-10-13,654383
2020-10-14,674054
2020-10-15,693170
2020-10-16,713090
2020-10-17,731697
2020-10-18,749612
2020-10-19,764494
2020-10-20,778805
2020-10-21,804677
2020-10-22,830290
2020-10-23,856004
2020-10-24,879479
2020-10-25,901173
2020-10-26,917607
2020-10-27,933503
2020-10-28,960310
2020-10-29,984660
2020-10-30,1008561
2020-10-31,1032175
2020-11-01,1055065
2020-11-02,1071738
2020-11-03,1087708
2020-11-04,1119632
2020-11-05,1145575
2020-11-06,1169602
2020-11-07,1193664
2020-11-08,1217324
2020-11-09,1236090
2020-11-10,1256334
2020-11-11,1287845
2020-11-12,1315634
2020-11-13,1343391
2020-11-14,1368217
2020-11-15,1392605
2020-11-16,1410828
2020-11-17,1427060
2020-11-18,1454011
2020-11-19,1477498
2020-11-20,1498578
2020-11-21,1516619
2020-11-22,1533719
2020-11-23,1546252
2020-11-24,1558147
2020-11-25,1577171
2020-11-26,1593848
2020-11-27,1610661
2020-11-28,1625422
2020-11-29,1639977
2020-11-30,1651063
2020-12-01,1661914
2020-12-02,1680111
2020-12-03,1696795
2020-12-04,1713471
2020-12-05,1729331
2020-12-06,1745165
2020-12-07,1758058
2020-12-08,1771789
2020-12-09,1793374
2020-12-10,1814439
2020-12-11,1836348
2020-12-12,1859264
2020-12-13,1883654
2020-12-14,1903242
2020-12-15,1925508
2020-12-16,1960705
2020-12-17,1995083
2020-12-18,2030510
2020-12-19,2064948
2020-12-20,2101367
2020-12-21,2126957
2020-12-22,2160023
2020-12-23,2208215
2020-12-24,2254690
2020-12-25,2297626
2020-12-26,2330018
2020-12-27,2344437
2020-12-28,2385547
2020-12-29,2434067
2020-12-30,2480475
2020-12-31,2563565
2021-01-01,2635726
2021-01-02,2689672
2021-01-03,2722154
2021-01-04,2783808
2021-01-05,2840143
2021-01-06,2918114
2021-01-07,2984751
2021-01-08,3043535
2021-01-09,3096722
2021-01-10,3144827
2021-01-11,3184862
2021-01-12,3222036
2021-01-13,3280628
2021-01-14,3331275
2021-01-15,3377784
2021-01-16,3421257
2021-01-17,3462708
2021-01-18,3493958
2021-01-19,3523550
2021-01-20,3569508
2021-01-21,3610034
2021-01-22,3646020
2021-01-23,3678522
2021-01-24,3708852
2021-01-25,3731197
2021-01-26,3748751
2021-01-27,3779488
2021-01-28,3807218
2021-01-29,3833521
2021-01-30,3858294
2021-01-31,3880727
2021-02-01,3897894
2021-02-02,3913677
2021-02-03,3936649
2021-02-04,3956915
2021-02-05,3976829
2021-02-06,3995322
2021-02-07,4011630
2021-02-08,4023950
2021-02-09,4035614
2021-02-10,4051808
2021-02-11,4066033
2021-02-12,4079932
2021-02-13,4093071
2021-02-14,4105644
2021-02-15,4114679
2021-02-16,4123673
2021-02-17,4138408
2021-02-18,4151349
2021-02-19,4163291
2021-02-20,4175085
2021-02-21,4185813
2021-02-22,4194126
2021-02-23,4202223
2021-02-24,4213879
2021-02-25,4223642
2021-02-26,4232488
2021-02-27,4240513
2021-02-28,4247295
2021-03-01,4252244
2021-03-02,4257117
2021-03-03,4264309
2021-03-04,4271228
2021-03-05,4277400
2021-03-06,4283337
2021-03-07,4288804
2021-03-08,4293432
2021-03-09,4297842
2021-03-10,4304731
2021-03-11,4311219
2021-03-12,4317470
2021-03-13,4323403
2021-03-14,4329120
2021-03-15,4333501
2021-03-16,4337926
2021-03-17,4344629
2021-03-18,4350492
2021-03-19,4356470
2021-03-20,4362102
2021-03-21,4367282
2021-03-22,4371529
2021-03-23,4376919
2021-03-24,4383377
2021-03-25,4388861
2021-03-26,4395085
2021-03-27,4400701
2021-03-28,4405268
2021-03-29,4408999
2021-03-30,4414028
2021-03-31,4418224
2021-04-01,4422003
2021-04-02,4425969
2021-04-03,4429643
2021-04-04,4432390
2021-04-05,4434897
2021-04-06,4437310
2021-04-07,4440054
2021-04-08,4443367
2021-04-09,4446620
2021-04-10,4449767
2021-04-11,4452720
2021-04-12,4455100
2021-04-13,4457476
2021-04-14,4460357
2021-04-15,4462852
2021-04-16,4465364
2021-04-17,4467709
2021-04-18,4470056
2021-04-19,4471778
2021-04-20,4474362
2021-04-21,4477100
2021-04-22,4479641
2021-04-23,4482349
2021-04-24,4484758
2021-04-25,4486778
2021-04-26,4488342
2021-04-27,4490461
2021-04-28,4493088
2021-04-29,4495266
2021-04-30,4497765
2021-05-01,4499995
2021-05-02,4501820
2021-05-03,4503252
2021-05-04,4504773
2021-05-05,4506857
2021-05-06,4509410
2021-05-07,4511979
2021-05-08,4514305
2021-05-09,4516287
2021-05-10,4517896
2021-05-11,4520203
2021-05-12,4523012
2021-05-13,4525340
2021-05-14,4527675
2021-05-15,4529857
2021-05-16,4531795
2021-05-17,4533423
2021-05-18,4535346
2021-05-19,4538204
2021-05-20,4541016
2021-05-21,4543829
2021-05-22,4546346
2021-05-23,4548712
2021-05-24,4550712
2021-05-25,4553038
2021-05-26,4556407
2021-05-27,4559834
2021-05-28,4563756
2021-05-29,4567503
2021-05-30,4571092
2021-05-31,4574092
2021-06-01,4577256
2021-06-02,4581153
2021-06-03,4586584
