dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-31,155174
2020-04-01,167098
2020-04-02,182047
2020-04-03,222937
2020-04-04,238836
2020-04-05,251569
2020-04-06,265885
2020-04-07,280304
2020-04-08,296747
2020-04-09,315141
2020-04-10,332925
2020-04-11,350575
2020-04-12,365081
2020-04-13,379649
2020-04-14,395912
2020-04-15,414469
2020-04-16,435389
2020-04-17,456527
2020-04-18,477776
2020-04-19,497092
2020-04-20,532229
2020-04-21,554992
2020-04-22,578066
2020-04-23,606093
2020-04-24,634319
2020-04-25,663377
2020-04-26,694987
2020-04-27,726553
2020-04-28,771817
2020-04-29,839597
2020-04-30,922684
2020-05-01,996826
2020-05-02,1060387
2020-05-03,1128590
2020-05-04,1202251
2020-05-05,1268054
2020-05-06,1343722
2020-05-07,1420462
2020-05-08,1495302
2020-05-09,1569888
2020-05-10,1643429
2020-05-11,1710628
2020-05-12,1782996
2020-05-13,1864403
2020-05-14,1946011
2020-05-15,2034056
2020-05-16,2122318
2020-05-17,2197608
2020-05-18,2260688
2020-05-19,2332060
2020-05-20,2413462
2020-05-21,2506869
2020-05-22,2590930
2020-05-23,2670829
2020-05-24,2722676
2020-05-25,2859563
2020-05-26,2923504
2020-05-27,2993833
2020-05-28,3078468
2020-05-29,3174018
2020-05-30,3263888
2020-05-31,3339151
2020-06-01,3403873
2020-06-02,3490527
2020-06-03,3587330
2020-06-04,3682775
2020-06-05,3782412
2020-06-06,3873426
2020-06-07,3957326
2020-06-08,4059548
2020-06-09,4151154
2020-06-10,4249081
2020-06-11,4349254
2020-06-12,4445275
2020-06-13,4542174
2020-06-14,4609714
2020-06-15,4677522
2020-06-16,4756484
2020-06-17,4840348
2020-06-18,4930797
2020-06-19,5017988
2020-06-20,5098834
2020-06-21,5156119
2020-06-22,5219161
2020-06-23,5285917
2020-06-24,5373957
2020-06-25,5510701
2020-06-26,5604093
2020-06-27,5694990
2020-06-28,5760203
2020-06-29,5825239
2020-06-30,5922583
2020-07-01,6035588
2020-07-02,6147681
2020-07-03,6262114
2020-07-04,6355415
2020-07-05,6433120
2020-07-06,6496653
2020-07-07,6597342
2020-07-08,6717480
2020-07-09,6849508
2020-07-10,6977736
2020-07-11,7101830
2020-07-12,7188816
2020-07-13,7262633
2020-07-14,7375594
2020-07-15,7508695
2020-07-16,7658207
2020-07-17,7815903
2020-07-18,7947599
2020-07-19,8050171
2020-07-20,8135242
2020-07-21,8256935
2020-07-22,8388397
2020-07-23,8522679
2020-07-24,8663993
2020-07-25,8798036
2020-07-26,8904608
2020-07-27,8986873
2020-07-28,9117483
2020-07-29,9260989
2020-07-30,9415384
2020-07-31,9562383
2020-08-01,9693382
2020-08-02,9818696
2020-08-03,9941987
2020-08-04,10083427
2020-08-05,10236970
2020-08-06,10400408
2020-08-07,10556548
2020-08-08,10703374
2020-08-09,10857124
2020-08-10,10993551
2020-08-11,11141214
2020-08-12,11310805
2020-08-13,11471425
2020-08-14,11639184
2020-08-15,11814098
2020-08-16,11978298
2020-08-17,12118924
2020-08-18,12272157
2020-08-19,12446595
2020-08-20,12618033
2020-08-21,12798368
2020-08-22,12969753
2020-08-23,13126236
2020-08-24,13263262
2020-08-25,13447568
2020-08-26,13633416
2020-08-27,13823629
2020-08-28,13992972
2020-08-29,14163546
2020-08-30,14330417
2020-08-31,14488971
2020-09-01,14653196
2020-09-02,14835199
2020-09-03,15017553
2020-09-04,15205285
2020-09-05,15371404
2020-09-06,15541294
2020-09-07,15720561
2020-09-08,15934869
2020-09-09,16145887
2020-09-10,16377083
2020-09-11,16655346
2020-09-12,16876512
2020-09-13,17089685
2020-09-14,17297403
2020-09-15,17521680
2020-09-16,17761017
2020-09-17,17995470
2020-09-18,18248877
2020-09-19,18488762
2020-09-20,18708484
2020-09-21,18901042
2020-09-22,19096372
2020-09-23,19329468
2020-09-24,19587292
2020-09-25,19846156
2020-09-26,20080130
2020-09-27,20306688
2020-09-28,20507472
2020-09-29,20733696
2020-09-30,20969062
2020-10-01,21213684
2020-10-02,21463045
2020-10-03,21714760
2020-10-04,21938435
2020-10-05,22174282
2020-10-06,22416253
2020-10-07,22654915
2020-10-08,22943554
2020-10-09,23220223
2020-10-10,23475432
2020-10-11,23712557
2020-10-12,23916322
2020-10-13,24206126
2020-10-14,24483912
2020-10-15,24762871
2020-10-16,25051660
2020-10-17,25327689
2020-10-18,25608132
2020-10-19,25846590
2020-10-20,26109323
2020-10-21,26401992
2020-10-22,26720346
2020-10-23,27031550
2020-10-24,27312414
2020-10-25,27603615
2020-10-26,27830556
2020-10-27,28096181
2020-10-28,28382433
2020-10-29,28701606
2020-10-30,28981409
2020-10-31,29257661
2020-11-01,29501196
2020-11-02,29705471
2020-11-03,29964977
2020-11-04,30262995
2020-11-05,30591537
2020-11-06,30932716
2020-11-07,31240118
2020-11-08,31504688
2020-11-09,31736657
2020-11-10,32022706
2020-11-11,32379678
2020-11-12,32741344
2020-11-13,33105064
2020-11-14,33433743
2020-11-15,33696292
2020-11-16,33935439
2020-11-17,34210175
2020-11-18,34557066
2020-11-19,34920660
2020-11-20,35277186
2020-11-21,35602566
2020-11-22,35838674
2020-11-23,36029574
2020-11-24,36322938
2020-11-25,36647832
2020-11-26,36999409
2020-11-27,37304518
2020-11-28,37588108
2020-11-29,37784227
2020-11-30,38003119
2020-12-01,38303582
2020-12-02,38632728
2020-12-03,38998685
2020-12-04,39357988
2020-12-05,39691444
2020-12-06,39947104
2020-12-07,40158943
2020-12-08,40443433
2020-12-09,40809644
2020-12-10,41187005
2020-12-11,41558044
2020-12-12,41894303
2020-12-13,42191444
2020-12-14,42460802
2020-12-15,42762373
2020-12-16,43110794
2020-12-17,43496128
2020-12-18,43871002
2020-12-19,44296188
2020-12-20,44701940
2020-12-21,45120603
2020-12-22,45563092
2020-12-23,46053813
2020-12-24,46512865
2020-12-25,46849994
2020-12-26,47121010
2020-12-27,47543427
2020-12-28,47898896
2020-12-29,48226688
2020-12-30,48630072
2020-12-31,49127610
2021-01-01,49530574
2021-01-02,49942080
2021-01-03,50361648
2021-01-04,50827805
2021-01-05,51322451
2021-01-06,51875174
2021-01-07,52477194
2021-01-08,53129301
2021-01-09,53657868
2021-01-10,54102819
2021-01-11,54638623
2021-01-12,55196770
2021-01-13,55807171
2021-01-14,56475766
2021-01-15,57058945
2021-01-16,57538288
2021-01-17,57941401
2021-01-18,58512283
2021-01-19,59094109
2021-01-20,59736929
2021-01-21,60392100
2021-01-22,61021141
2021-01-23,61487914
2021-01-24,61888920
2021-01-25,62446476
2021-01-26,63051616
2021-01-27,63816400
2021-01-28,64574588
2021-01-29,65236314
2021-01-30,65663687
2021-01-31,66250691
2021-02-01,66916883
2021-02-02,67535861
2021-02-03,68330938
2021-02-04,69123796
2021-02-05,69800372
2021-02-06,70249829
2021-02-07,70836926
2021-02-08,71482720
2021-02-09,72058252
2021-02-10,72814239
2021-02-11,73554092
2021-02-12,74165804
2021-02-13,74547282
2021-02-14,74928155
2021-02-15,75390030
2021-02-16,75883973
2021-02-17,76443815
2021-02-18,76991481
2021-02-19,77505893
2021-02-20,77896133
2021-02-21,78472841
2021-02-22,79167465
2021-02-23,79778264
2021-02-24,80513942
2021-02-25,81267131
2021-02-26,81880452
2021-02-27,82256446
2021-02-28,82787128
2021-03-01,83549977
2021-03-02,84269117
2021-03-03,85137443
2021-03-04,86164147
2021-03-05,87156599
2021-03-06,87625363
2021-03-07,88437767
2021-03-08,90043407
2021-03-09,91522196
2021-03-10,93165132
2021-03-11,94881127
2021-03-12,96386890
2021-03-13,96843641
2021-03-14,97820887
2021-03-15,99493947
2021-03-16,100907531
2021-03-17,102610398
2021-03-18,104153238
2021-03-19,105148680
2021-03-20,105622976
2021-03-21,107515907
2021-03-22,108830747
2021-03-23,109725323
2021-03-24,111555010
2021-03-25,112968400
