dates,covid19mobilitytrend_localbusiness
2020-02-15,4
2020-02-16,7
2020-02-17,1
2020-02-18,9
2020-02-19,4
2020-02-20,7
2020-02-21,11
2020-02-22,6
2020-02-23,6
2020-02-24,4
2020-02-25,1
2020-02-26,6
2020-02-27,7
2020-02-28,6
2020-02-29,1
2020-03-01,-4
2020-03-02,2
2020-03-03,13
2020-03-04,4
2020-03-05,7
2020-03-06,4
2020-03-07,1
2020-03-08,16
2020-03-09,-2
2020-03-10,2
2020-03-11,-6
2020-03-12,-9
2020-03-13,-14
2020-03-14,-21
2020-03-15,-20
2020-03-16,-30
2020-03-17,-34
2020-03-18,-43
2020-03-19,-41
2020-03-20,-45
2020-03-21,-55
2020-03-22,-61
2020-03-23,-59
2020-03-24,-59
2020-03-25,-60
2020-03-26,-60
2020-03-27,-60
2020-03-28,-63
2020-03-29,-67
2020-03-30,-65
2020-03-31,-67
2020-04-01,-68
2020-04-02,-70
2020-04-03,-67
2020-04-04,-71
2020-04-05,-68
2020-04-06,-68
2020-04-07,-69
2020-04-08,-70
2020-04-09,-69
2020-04-10,-65
2020-04-11,-68
2020-04-12,-69
2020-04-13,-65
2020-04-14,-62
2020-04-15,-61
2020-04-16,-67
2020-04-17,-74
2020-04-18,-81
2020-04-19,-84
2020-04-20,-85
2020-04-21,-84
2020-04-22,-83
2020-04-23,-81
2020-04-24,-80
2020-04-25,-81
2020-04-26,-78
2020-04-27,-57
2020-04-28,-58
2020-04-29,-64
2020-04-30,-62
2020-05-01,-64
2020-05-02,-64
2020-05-03,-63
2020-05-04,-64
2020-05-05,-61
2020-05-06,-66
2020-05-07,-63
2020-05-08,-62
2020-05-09,-66
2020-05-10,-67
2020-05-11,-51
2020-05-12,-48
2020-05-13,-54
2020-05-14,-50
2020-05-15,-51
2020-05-16,-52
2020-05-17,-53
2020-05-18,-49
2020-07-03,-5
2020-07-04,-8
2020-07-05,-8
2020-07-06,-7
2020-07-07,-3
2020-07-08,-12
2020-07-09,-6
2020-07-10,-6
2020-07-11,-10
2020-07-12,-5
2020-07-13,-12
2020-07-14,-2
2020-07-15,-6
2020-07-16,-3
2020-07-17,-6
2020-07-18,-6
2020-07-19,-6
2020-07-20,-7
2020-07-21,-4
2020-07-22,-5
2020-07-23,-2
2020-07-24,-3
2020-07-25,-6
2020-07-26,-6
2020-07-27,-7
2020-07-28,-5
2020-07-29,-6
2020-07-30,-4
2020-07-31,-4
2020-08-01,-8
2020-08-02,-8
2020-08-03,-2
2020-08-04,2
2020-08-05,-3
2020-08-06,1
2020-08-07,0
2020-08-08,-3
2020-08-09,-1
2020-08-10,-4
2020-08-11,-1
2020-08-12,-3
2020-08-13,-1
2020-08-14,-1
2020-08-15,-1
2020-08-16,0
2020-08-17,-2
2020-08-18,2
2020-08-19,-4
2020-08-20,-2
2020-08-21,-4
2020-08-22,-10
2020-08-23,-8
2020-08-24,-2
2020-08-25,4
2020-08-26,-2
2020-08-27,3
2020-08-28,-7
2020-08-29,-6
2020-08-30,0
2020-08-31,0
2020-09-01,5
2020-09-02,-3
2020-09-03,2
2020-09-04,2
2020-09-05,3
2020-09-06,7
2020-09-07,3
2020-09-08,5
2020-09-09,1
2020-09-10,6
2020-09-11,3
2020-09-12,-2
2020-09-13,-1
2020-09-14,-3
2020-09-15,-1
2020-09-16,-7
2020-09-17,-6
2020-09-18,-7
2020-09-19,-9
2020-09-20,-7
2020-09-21,-12
2020-09-22,-9
2020-09-23,-17
2020-09-24,-14
2020-09-25,-14
2020-09-26,-14
2020-09-27,-12
2020-09-28,-19
2020-09-29,-14
2020-09-30,-17
2020-10-01,-14
2020-10-02,-18
2020-10-03,-11
2020-10-04,-14
2020-10-05,-21
2020-10-06,-15
2020-10-07,-18
2020-10-08,-14
2020-10-09,-14
2020-10-10,-15
2020-10-11,-13
2020-10-12,-18
2020-10-13,-13
2020-10-14,-18
2020-10-15,-18
2020-10-16,-19
2020-10-17,-20
2020-10-18,-20
2020-10-19,-26
2020-10-20,-25
2020-10-21,-25
2020-10-22,-21
2020-10-23,-20
2020-10-24,-20
2020-10-25,-18
2020-10-26,-23
2020-10-27,-20
2020-10-28,-26
2020-10-29,-22
2020-10-30,-21
2020-10-31,-25
2020-11-01,-22
2020-11-02,-29
2020-11-03,-25
2020-11-04,-28
2020-11-05,-25
2020-11-06,-33
2020-11-07,-30
2020-11-08,-25
2020-11-09,-33
2020-11-10,-30
2020-11-11,-35
2020-11-12,-31
2020-11-13,-32
2020-11-14,-30
2020-11-15,-27
2020-11-16,-35
2020-11-17,-32
2020-11-18,-38
2020-11-19,-36
2020-11-20,-30
2020-11-21,-22
2020-11-22,-20
2020-11-23,-35
2020-11-24,-30
2020-11-25,-36
2020-11-26,-27
2020-11-27,-12
2020-11-28,-49
2020-11-29,-51
2020-11-30,-51
2020-12-01,-48
2020-12-02,-51
2020-12-03,-50
2020-12-04,-50
2020-12-05,-51
2020-12-06,-53
2020-12-07,-53
2020-12-08,-50
2020-12-09,-54
2020-12-10,-50
2020-12-11,-52
2020-12-12,-50
2020-12-13,-49
2020-12-14,-50
2020-12-15,-48
2020-12-16,-51
2020-12-17,-51
2020-12-18,-48
2020-12-19,-48
2020-12-20,-48
2020-12-21,-49
2020-12-22,-48
2020-12-23,-51
2020-12-24,-35
2020-12-25,-32
2020-12-26,-29
2020-12-27,-23
2020-12-28,-28
2020-12-29,-22
2020-12-30,-22
2020-12-31,-19
2021-01-01,-68
2021-01-02,-54
2021-01-03,-56
2021-01-04,-53
2021-01-05,-49
2021-01-06,-45
2021-01-07,-59
2021-01-08,-50
2021-01-09,-48
2021-01-10,-47
2021-01-11,-50
2021-01-12,-48
2021-01-13,-48
2021-01-14,-57
2021-01-15,-55
2021-01-16,-53
2021-01-17,-51
2021-01-18,-53
2021-01-19,-53
2021-01-20,-54
2021-01-21,-51
2021-01-22,-48
2021-01-23,-47
2021-01-24,-47
2021-01-25,-47
2021-01-26,-45
2021-01-27,-48
2021-01-28,-46
2021-01-29,-47
2021-01-30,-46
2021-01-31,-45
2021-02-01,-35
2021-02-02,-32
2021-02-03,-39
2021-02-04,-37
2021-02-05,-42
2021-02-06,-45
2021-02-07,-50
2021-02-08,-33
2021-02-09,-31
2021-02-10,-33
2021-02-11,-28
2021-02-12,-28
2021-02-13,-46
2021-02-14,-42
2021-02-15,-29
2021-02-16,-35
2021-02-17,-42
2021-02-18,-37
2021-02-19,-32
2021-02-20,-48
2021-02-21,-47
2021-02-22,-27
2021-02-23,-31
2021-02-24,-38
2021-02-25,-32
2021-02-26,-26
2021-02-27,-35
2021-02-28,-38
2021-03-01,-24
2021-03-02,-19
2021-03-03,-20
2021-03-04,-23
2021-03-05,-21
2021-03-06,-32
2021-03-07,-41
2021-03-08,-20
2021-03-09,-22
2021-03-10,-24
2021-03-11,-28
2021-03-12,-32
2021-03-13,-26
2021-03-14,-23
2021-03-15,-26
2021-03-16,-23
2021-03-17,-24
2021-03-18,-25
2021-03-19,-26
2021-03-20,-24
2021-03-21,-27
2021-03-22,-26
2021-03-23,-23
2021-03-24,-29
2021-03-25,-23
2021-03-26,-20
2021-03-27,-28
2021-03-28,-17
2021-03-29,-20
2021-03-30,-19
2021-03-31,-21
2021-04-01,-16
2021-04-02,-17
2021-04-03,-17
2021-04-04,-13
2021-04-05,-18
2021-04-06,-17
2021-04-07,-17
2021-04-08,-11
2021-04-09,-16
2021-04-10,-23
2021-04-11,-24
2021-04-12,-17
2021-04-13,-22
2021-04-14,-18
2021-04-15,-11
2021-04-16,-15
2021-04-17,-17
2021-04-18,-15
2021-04-19,-16
2021-04-20,-16
2021-04-21,-23
2021-04-22,-17
2021-04-23,-13
2021-04-24,-14
2021-04-25,-12
2021-04-26,-19
2021-04-27,-15
2021-04-28,-5
2021-04-29,1
2021-04-30,-5
2021-05-01,-14
2021-05-02,-47
2021-05-03,-42
2021-05-04,-21
2021-05-05,-20
2021-05-06,-14
2021-05-07,-15
2021-05-08,-16
2021-05-09,-28
2021-05-10,-18
2021-05-11,-11
2021-05-12,-9
2021-05-13,0
2021-05-14,-2
2021-05-15,-3
2021-05-16,0
2021-05-17,0
2021-05-18,8
2021-05-19,1
2021-05-20,10
2021-05-21,5
2021-05-22,1
2021-05-23,4
2021-05-24,5
2021-05-25,7
2021-05-26,7
2021-05-27,11
2021-05-28,8
2021-05-29,9
2021-05-30,11
2021-05-31,9
2021-06-01,24
2021-06-02,9
2021-06-03,17
2021-06-04,10
2021-06-05,13
2021-06-06,12
2021-06-07,16
2021-06-08,18
2021-06-09,9
2021-06-10,19
2021-06-11,16
2021-06-12,14
2021-06-13,14
2021-06-14,14
2021-06-15,17
2021-06-16,12
2021-06-17,15
2021-06-18,14
2021-06-19,10
2021-06-20,13
2021-06-21,12
2021-06-22,18
2021-06-23,12
2021-06-24,19
2021-06-25,18
2021-06-26,17
2021-06-27,21
2021-06-28,15
2021-06-29,12
2021-06-30,18
2021-07-01,29
2021-07-02,23
2021-07-03,21
2021-07-04,20
2021-07-05,24
2021-07-06,26
2021-07-07,22
2021-07-08,28
2021-07-09,26
2021-07-10,24
2021-07-11,25
2021-07-12,23
2021-07-13,23
2021-07-14,22
2021-07-15,31
2021-07-16,26
2021-07-17,23
2021-07-18,24
2021-07-19,23
2021-07-20,26
2021-07-21,23
2021-07-22,32
2021-07-23,28
2021-07-24,22
2021-07-25,25
2021-07-26,23
2021-07-27,19
2021-07-28,16
2021-07-29,25
2021-07-30,25
2021-07-31,21
2021-08-01,22
2021-08-02,22
2021-08-03,25
2021-08-04,18
2021-08-05,25
2021-08-06,21
2021-08-07,17
2021-08-08,19
2021-08-09,19
2021-08-10,27
2021-08-11,18
2021-08-12,24
2021-08-13,22
2021-08-14,7
2021-08-15,15
2021-08-16,15
2021-08-17,16
2021-08-18,8
2021-08-19,11
2021-08-20,12
2021-08-21,8
2021-08-22,10
2021-08-23,10
2021-08-24,12
2021-08-25,9
2021-08-26,12
2021-08-27,9
2021-08-28,-2
2021-08-29,4
2021-08-30,6
2021-08-31,9
2021-09-01,6
2021-09-02,5
2021-09-03,6
2021-09-04,13
2021-09-05,15
2021-09-06,15
2021-09-07,17
2021-09-08,9
2021-09-09,18
2021-09-10,16
2021-09-11,13
2021-09-12,19
2021-09-13,24
2021-09-14,26
2021-09-15,18
2021-09-16,20
2021-09-17,14
2021-09-18,22
2021-09-19,23
2021-09-20,20
2021-09-21,23
2021-09-22,11
2021-09-23,19
2021-09-24,13
2021-09-25,17
2021-09-26,24
2021-09-27,20
2021-09-28,20
2021-09-29,13
2021-09-30,14
2021-10-01,14
2021-10-02,20
2021-10-03,24
2021-10-04,20
2021-10-05,17
2021-10-06,14
2021-10-07,22
2021-10-08,17
2021-10-09,16
2021-10-10,20
2021-10-11,15
2021-10-12,18
2021-10-13,14
2021-10-14,19
2021-10-15,15
2021-10-16,14
2021-10-17,17
2021-10-18,10
2021-10-19,10
2021-10-20,8
2021-10-21,19
2021-10-22,18
2021-10-23,18
2021-10-24,19
2021-10-25,5
2021-10-26,17
2021-10-27,12
2021-10-28,17
2021-10-29,13
2021-10-30,15
2021-10-31,19
2021-11-01,15
2021-11-02,18
2021-11-03,11
2021-11-04,18
2021-11-05,17
2021-11-06,15
2021-11-07,19
2021-11-08,13
2021-11-09,14
2021-11-10,1
2021-11-11,13
2021-11-12,11
2021-11-13,14
2021-11-14,14
2021-11-15,8
2021-11-16,9
2021-11-17,5
2021-11-18,12
2021-11-19,10
2021-11-20,13
2021-11-21,14
2021-11-22,15
2021-11-23,15
2021-11-24,3
2021-11-25,15
2021-11-26,25
2021-11-27,19
2021-11-28,19
2021-11-29,10
2021-11-30,11
2021-12-01,-2
2021-12-02,10
2021-12-03,11
2021-12-04,12
2021-12-05,12
2021-12-06,7
2021-12-07,10
2021-12-08,5
2021-12-09,6
2021-12-10,12
2021-12-11,13
2021-12-12,13
2021-12-13,5
2021-12-14,8
2021-12-15,8
2021-12-16,13
2021-12-17,7
2021-12-18,11
2021-12-19,11
2021-12-20,11
2021-12-21,9
2021-12-22,6
2021-12-23,15
2021-12-24,18
2021-12-25,23
2021-12-26,33
2021-12-27,25
2021-12-28,34
2021-12-29,36
2021-12-30,48
2021-12-31,31
2022-01-01,-43
2022-01-02,-20
2022-01-03,-7
2022-01-04,0
2022-01-05,5
2022-01-06,14
2022-01-07,-10
2022-01-08,2
2022-01-09,4
2022-01-10,0
2022-01-11,6
2022-01-12,1
2022-01-13,-3
2022-01-14,-14
2022-01-15,-10
2022-01-16,-6
2022-01-17,-6
2022-01-18,-2
2022-01-19,-10
2022-01-20,-7
2022-01-21,-3
2022-01-22,-2
2022-01-23,1
2022-01-24,-3
2022-01-25,-2
2022-01-26,-6
2022-01-27,-6
2022-01-28,-7
2022-01-29,-3
2022-01-30,-4
2022-01-31,-4
2022-02-01,-1
2022-02-02,-3
2022-02-03,1
2022-02-04,-6
2022-02-05,-8
2022-02-06,-5
2022-02-07,-4
2022-02-08,1
2022-02-09,-4
2022-02-10,-4
2022-02-11,1
2022-02-12,6
2022-02-13,2
2022-02-14,6
