dates,covid19mobilitytrend_park
2020-02-15,2
2020-02-16,8
2020-02-17,-1
2020-02-18,2
2020-02-19,6
2020-02-20,6
2020-02-21,14
2020-02-22,8
2020-02-23,4
2020-02-24,7
2020-02-25,-9
2020-02-26,8
2020-02-27,10
2020-02-28,6
2020-02-29,0
2020-03-01,-8
2020-03-02,4
2020-03-03,14
2020-03-04,13
2020-03-05,17
2020-03-06,13
2020-03-07,10
2020-03-08,32
2020-03-09,13
2020-03-10,12
2020-03-11,10
2020-03-12,7
2020-03-13,1
2020-03-14,-11
2020-03-15,3
2020-03-16,-22
2020-03-17,-23
2020-03-18,-26
2020-03-19,-16
2020-03-20,-13
2020-03-21,-20
2020-03-22,-14
2020-03-23,-12
2020-03-24,-20
2020-03-25,-18
2020-03-26,-18
2020-03-27,-14
2020-03-28,-16
2020-03-29,-24
2020-03-30,-32
2020-03-31,-33
2020-04-01,-30
2020-04-02,-34
2020-04-03,-26
2020-04-04,-33
2020-04-05,-23
2020-04-06,-29
2020-04-07,-34
2020-04-08,-29
2020-04-09,-26
2020-04-10,-21
2020-04-11,-25
2020-04-12,-27
2020-04-13,-18
2020-04-14,-17
2020-04-15,-14
2020-04-16,-26
2020-04-17,-28
2020-04-18,-38
2020-04-19,-37
2020-04-20,-37
2020-04-21,-50
2020-04-22,-50
2020-04-23,-45
2020-04-24,-41
2020-04-25,-42
2020-04-26,-33
2020-04-27,-13
2020-04-28,-18
2020-04-29,-21
2020-04-30,-17
2020-05-01,-23
2020-05-02,-22
2020-05-03,-15
2020-05-04,-24
2020-05-05,-27
2020-05-06,-35
2020-05-07,-25
2020-05-08,-28
2020-05-09,-33
2020-05-10,-32
2020-05-11,-14
2020-05-12,-7
2020-05-13,-18
2020-05-14,-8
2020-05-15,-9
2020-05-16,-7
2020-05-17,-10
2020-05-18,-14
2020-07-03,30
2020-07-04,37
2020-07-05,42
2020-07-06,31
2020-07-07,29
2020-07-08,14
2020-07-09,19
2020-07-10,21
2020-07-11,18
2020-07-12,34
2020-07-13,8
2020-07-14,19
2020-07-15,27
2020-07-16,31
2020-07-17,21
2020-07-18,40
2020-07-19,48
2020-07-20,33
2020-07-21,13
2020-07-22,26
2020-07-23,35
2020-07-24,38
2020-07-25,43
2020-07-26,48
2020-07-27,37
2020-07-28,24
2020-07-29,30
2020-07-30,40
2020-07-31,40
2020-08-01,33
2020-08-02,34
2020-08-03,40
2020-08-04,45
2020-08-05,52
2020-08-06,57
2020-08-07,66
2020-08-08,72
2020-08-09,84
2020-08-10,60
2020-08-11,47
2020-08-12,63
2020-08-13,65
2020-08-14,64
2020-08-15,74
2020-08-16,82
2020-08-17,71
2020-08-18,69
2020-08-19,74
2020-08-20,76
2020-08-21,59
2020-08-22,45
2020-08-23,54
2020-08-24,64
2020-08-25,63
2020-08-26,68
2020-08-27,70
2020-08-28,73
2020-08-29,69
2020-08-30,72
2020-08-31,51
2020-09-01,52
2020-09-02,50
2020-09-03,53
2020-09-04,53
2020-09-05,55
2020-09-06,56
2020-09-07,46
2020-09-08,40
2020-09-09,47
2020-09-10,53
2020-09-11,51
2020-09-12,52
2020-09-13,57
2020-09-14,43
2020-09-15,43
2020-09-16,44
2020-09-17,40
2020-09-18,42
2020-09-19,36
2020-09-20,47
2020-09-21,28
2020-09-22,25
2020-09-23,22
2020-09-24,24
2020-09-25,23
2020-09-26,24
2020-09-27,35
2020-09-28,15
2020-09-29,11
2020-09-30,12
2020-10-01,6
2020-10-02,5
2020-10-03,23
2020-10-04,16
2020-10-05,-5
2020-10-06,0
2020-10-07,11
2020-10-08,15
2020-10-09,15
2020-10-10,18
2020-10-11,21
2020-10-12,7
2020-10-13,8
2020-10-14,12
2020-10-15,6
2020-10-16,7
2020-10-17,9
2020-10-18,15
2020-10-19,-7
2020-10-20,-13
2020-10-21,-2
2020-10-22,6
2020-10-23,9
2020-10-24,13
2020-10-25,20
2020-10-26,2
2020-10-27,1
2020-10-28,-4
2020-10-29,-1
2020-10-30,-2
2020-10-31,5
2020-11-01,7
2020-11-02,-21
2020-11-03,-23
2020-11-04,-13
2020-11-05,-9
2020-11-06,-27
2020-11-07,-22
2020-11-08,-12
2020-11-09,-20
2020-11-10,-24
2020-11-11,-24
2020-11-12,-21
2020-11-13,-19
2020-11-14,-16
2020-11-15,-12
2020-11-16,-24
2020-11-17,-27
2020-11-18,-30
2020-11-19,-33
2020-11-20,-27
2020-11-21,-21
2020-11-22,-13
2020-11-23,-30
2020-11-24,-24
2020-11-25,-28
2020-11-26,-23
2020-11-27,-19
2020-11-28,-20
2020-11-29,-16
2020-11-30,-27
2020-12-01,-27
2020-12-02,-20
2020-12-03,-21
2020-12-04,-22
2020-12-05,-24
2020-12-06,-24
2020-12-07,-29
2020-12-08,-29
2020-12-09,-27
2020-12-10,-18
2020-12-11,-20
2020-12-12,-16
2020-12-13,-2
2020-12-14,-18
2020-12-15,-19
2020-12-16,-21
2020-12-17,-20
2020-12-18,-14
2020-12-19,-11
2020-12-20,-4
2020-12-21,-18
2020-12-22,-21
2020-12-23,-25
2020-12-24,-16
2020-12-25,-8
2020-12-26,-5
2020-12-27,9
2020-12-28,-6
2020-12-29,-4
2020-12-30,1
2020-12-31,11
2021-01-01,-6
2021-01-02,0
2021-01-03,9
2021-01-04,-6
2021-01-05,-5
2021-01-06,6
2021-01-07,-3
2021-01-08,-8
2021-01-09,-2
2021-01-10,1
2021-01-11,-26
2021-01-12,-25
2021-01-13,-18
2021-01-14,-23
2021-01-15,-30
2021-01-16,-28
2021-01-17,-18
2021-01-18,-33
2021-01-19,-30
2021-01-20,-29
2021-01-21,-28
2021-01-22,-22
2021-01-23,-15
2021-01-24,-9
2021-01-25,-21
2021-01-26,-21
2021-01-27,-18
2021-01-28,-20
2021-01-29,-23
2021-01-30,-16
2021-01-31,-11
2021-02-01,-16
2021-02-02,-14
2021-02-03,-12
2021-02-04,-10
2021-02-05,-26
2021-02-06,-12
2021-02-07,-15
2021-02-08,-15
2021-02-09,-19
2021-02-10,-10
2021-02-11,-8
2021-02-12,-10
2021-02-13,-23
2021-02-14,-4
2021-02-15,-21
2021-02-16,-34
2021-02-17,-30
2021-02-18,-31
2021-02-19,-27
2021-02-20,-26
2021-02-21,-13
2021-02-22,-24
2021-02-23,-30
2021-02-24,-28
2021-02-25,-26
2021-02-26,-19
2021-02-27,-5
2021-02-28,-5
2021-03-01,-22
2021-03-02,-16
2021-03-03,-20
2021-03-04,-14
2021-03-05,-10
2021-03-06,8
2021-03-07,-11
2021-03-08,-26
2021-03-09,-20
2021-03-10,-14
2021-03-11,-28
2021-03-12,-30
2021-03-13,-15
2021-03-14,-2
2021-03-15,-22
2021-03-16,-19
2021-03-17,-11
2021-03-18,-21
2021-03-19,-20
2021-03-20,-11
2021-03-21,-15
2021-03-22,-22
2021-03-23,-21
2021-03-24,-25
2021-03-25,-21
2021-03-26,-12
2021-03-27,-21
2021-03-28,0
2021-03-29,-8
2021-03-30,-11
2021-03-31,-10
2021-04-01,-10
2021-04-02,-12
2021-04-03,-1
2021-04-04,21
2021-04-05,-11
2021-04-06,-18
2021-04-07,0
2021-04-08,9
2021-04-09,-3
2021-04-10,-6
2021-04-11,-7
2021-04-12,-7
2021-04-13,-18
2021-04-14,-2
2021-04-15,10
2021-04-16,9
2021-04-17,12
2021-04-18,21
2021-04-19,1
2021-04-20,-4
2021-04-21,-10
2021-04-22,-5
2021-04-23,11
2021-04-24,20
2021-04-25,36
2021-04-26,-11
2021-04-27,-9
2021-04-28,18
2021-04-29,16
2021-04-30,24
2021-05-01,35
2021-05-02,38
2021-05-03,31
2021-05-04,9
2021-05-05,12
2021-05-06,23
2021-05-07,23
2021-05-08,35
2021-05-09,4
2021-05-10,1
2021-05-11,12
2021-05-12,26
2021-05-13,28
2021-05-14,26
2021-05-15,33
2021-05-16,41
2021-05-17,15
2021-05-18,27
2021-05-19,23
2021-05-20,38
2021-05-21,33
2021-05-22,30
2021-05-23,34
2021-05-24,23
2021-05-25,19
2021-05-26,37
2021-05-27,39
2021-05-28,36
2021-05-29,42
2021-05-30,48
2021-05-31,32
2021-06-01,46
2021-06-02,36
2021-06-03,46
2021-06-04,37
2021-06-05,45
2021-06-06,47
2021-06-07,47
2021-06-08,52
2021-06-09,43
2021-06-10,55
2021-06-11,55
2021-06-12,59
2021-06-13,62
2021-06-14,53
2021-06-15,58
2021-06-16,59
2021-06-17,54
2021-06-18,60
2021-06-19,66
2021-06-20,81
2021-06-21,59
2021-06-22,58
2021-06-23,65
2021-06-24,66
2021-06-25,68
2021-06-26,73
2021-06-27,83
2021-06-28,58
2021-06-29,40
2021-06-30,70
2021-07-01,79
2021-07-02,78
2021-07-03,84
2021-07-04,85
2021-07-05,71
2021-07-06,71
2021-07-07,80
2021-07-08,83
2021-07-09,86
2021-07-10,85
2021-07-11,104
2021-07-12,85
2021-07-13,71
2021-07-14,80
2021-07-15,87
2021-07-16,94
2021-07-17,100
2021-07-18,113
2021-07-19,92
2021-07-20,96
2021-07-21,97
2021-07-22,86
2021-07-23,88
2021-07-24,90
2021-07-25,103
2021-07-26,82
2021-07-27,64
2021-07-28,75
2021-07-29,86
2021-07-30,92
2021-07-31,94
2021-08-01,108
2021-08-02,89
2021-08-03,91
2021-08-04,95
2021-08-05,95
2021-08-06,97
2021-08-07,96
2021-08-08,109
2021-08-09,84
2021-08-10,92
2021-08-11,94
2021-08-12,103
2021-08-13,95
2021-08-14,79
2021-08-15,109
2021-08-16,92
2021-08-17,95
2021-08-18,96
2021-08-19,96
2021-08-20,98
2021-08-21,96
2021-08-22,107
2021-08-23,83
2021-08-24,81
2021-08-25,90
2021-08-26,87
2021-08-27,84
2021-08-28,84
2021-08-29,94
2021-08-30,68
2021-08-31,60
2021-09-01,67
2021-09-02,42
2021-09-03,50
2021-09-04,71
2021-09-05,84
2021-09-06,62
2021-09-07,60
2021-09-08,58
2021-09-09,72
2021-09-10,73
2021-09-11,64
2021-09-12,83
2021-09-13,67
2021-09-14,66
2021-09-15,69
2021-09-16,57
2021-09-17,46
2021-09-18,73
2021-09-19,82
2021-09-20,60
2021-09-21,57
2021-09-22,35
2021-09-23,44
2021-09-24,32
2021-09-25,37
2021-09-26,59
2021-09-27,44
2021-09-28,41
2021-09-29,37
2021-09-30,23
2021-10-01,24
2021-10-02,50
2021-10-03,32
2021-10-04,26
2021-10-05,19
2021-10-06,26
2021-10-07,37
2021-10-08,36
2021-10-09,37
2021-10-10,48
2021-10-11,30
2021-10-12,33
2021-10-13,36
2021-10-14,45
2021-10-15,36
2021-10-16,44
2021-10-17,51
2021-10-18,18
2021-10-19,12
2021-10-20,16
2021-10-21,31
2021-10-22,34
2021-10-23,44
2021-10-24,51
2021-10-25,5
2021-10-26,19
2021-10-27,24
2021-10-28,28
2021-10-29,24
2021-10-30,33
2021-10-31,37
2021-11-01,27
2021-11-02,26
2021-11-03,25
2021-11-04,31
2021-11-05,33
2021-11-06,35
2021-11-07,45
2021-11-08,26
2021-11-09,25
2021-11-10,5
2021-11-11,16
2021-11-12,22
2021-11-13,32
2021-11-14,35
2021-11-15,15
2021-11-16,10
2021-11-17,16
2021-11-18,25
2021-11-19,19
2021-11-20,20
2021-11-21,27
2021-11-22,22
2021-11-23,25
2021-11-24,6
2021-11-25,15
2021-11-26,15
2021-11-27,23
2021-11-28,30
2021-11-29,20
2021-11-30,15
2021-12-01,5
2021-12-02,15
2021-12-03,23
2021-12-04,27
2021-12-05,32
2021-12-06,19
2021-12-07,18
2021-12-08,19
2021-12-09,12
2021-12-10,24
2021-12-11,28
2021-12-12,28
2021-12-13,12
2021-12-14,11
2021-12-15,17
2021-12-16,23
2021-12-17,16
2021-12-18,17
2021-12-19,18
2021-12-20,13
2021-12-21,6
2021-12-22,4
2021-12-23,11
2021-12-24,19
2021-12-25,21
2021-12-26,39
2021-12-27,26
2021-12-28,30
2021-12-29,36
2021-12-30,45
2021-12-31,47
2022-01-01,26
2022-01-02,35
2022-01-03,21
2022-01-04,17
2022-01-05,31
2022-01-06,46
2022-01-07,39
2022-01-08,38
2022-01-09,38
2022-01-10,15
