dates,cumulativecount_vaccine_covid_19_administered
2021-03-01,0
2021-03-08,202252
2021-03-10,300000
2021-03-18,420000
2021-03-24,500000
2021-04-07,599128
2021-04-08,647380
2021-04-09,681211
2021-04-11,703752
2021-04-12,742349
2021-04-15,755686
2021-04-20,842521
2021-04-26,846588
2021-05-24,847871
2021-05-31,1228216
2021-06-20,1232876
2021-07-05,1261677
2021-07-12,1265306
2021-07-19,1271393
2021-09-20,1623582
2021-10-07,2189552
2021-10-21,2727537
2021-10-28,2979766
2021-11-04,3102396
2021-11-05,3162666
2021-11-10,3188114
2021-11-18,3367531
2021-11-24,3493688
2021-12-15,4216970
2021-12-23,7755231
2022-01-13,9004225
2022-01-17,10015888
2022-02-10,12043575
2022-02-25,12637542
2022-03-20,13026180
2022-03-29,13047826
2022-04-26,13047826
2022-05-01,13047826
2022-05-08,13047826
2022-05-15,14872174
2022-05-22,16122862
2022-05-29,16203630
2022-07-24,18237036
2022-07-31,18396070
2022-08-21,18396070
2022-08-28,18986179
2022-09-04,19055059
2022-09-11,19302116
2022-09-18,19340804
2022-10-02,19694444
2022-10-09,20152826
2022-10-30,20359448
2022-11-13,20803295
2022-11-27,20869800
2022-12-11,21400939
2023-01-15,22384226
2023-03-12,22384226
2023-03-26,22384226
