dates,cumulativecount_vaccine_covid_19_administered
2021-01-10,420
2021-01-11,1445
2021-01-12,2501
2021-01-15,5135
2021-01-16,5847
2021-01-17,5847
2021-01-18,6435
2021-01-19,7017
2021-01-20,7017
2021-01-21,7947
2021-01-22,8877
2021-01-23,9807
2021-01-24,10341
2021-01-25,10539
2021-01-26,11073
2021-01-27,11607
2021-01-28,12332
2021-01-29,12866
2021-01-30,12866
2021-01-31,13286
2021-02-01,14299
2021-02-02,15391
2021-02-03,16177
2021-02-04,17189
2021-02-05,18274
2021-02-06,19072
2021-02-07,19072
2021-02-08,20044
2021-02-09,21021
2021-02-10,21999
2021-02-11,23103
2021-02-12,24195
2021-02-13,25287
2021-02-14,25941
2021-02-15,26379
2021-02-16,27033
2021-02-17,27687
2021-02-18,28778
2021-02-19,29334
2021-02-20,29334
2021-02-21,30432
2021-02-22,31631
2021-02-23,32705
2021-02-24,33371
2021-02-25,34600
2021-02-26,35890
2021-02-27,36808
2021-02-28,36808
2021-03-01,38056
2021-03-02,39322
2021-03-03,40652
2021-03-04,41318
2021-03-05,42548
2021-03-06,43712
2021-03-07,43712
2021-03-08,44240
2021-03-09,44894
2021-03-10,44894
2021-03-11,45488
2021-03-12,46136
2021-03-13,46136
2021-03-14,47210
2021-03-15,48296
2021-03-16,49328
2021-03-17,49981
2021-03-18,51163
2021-03-19,52331
2021-03-20,53171
2021-03-21,53171
2021-03-22,53861
2021-03-23,54587
2021-03-24,55877
2021-03-25,56536
2021-03-26,57646
2021-03-27,58756
2021-03-29,59050
2021-03-30,59698
2021-03-31,60265
2021-04-01,60907
2021-04-07,62341
2021-04-09,63017
2021-04-10,63671
2021-04-11,64319
2021-04-12,64931
2021-04-13,66209
2021-04-15,66232
2021-04-18,66712
2021-04-21,67366
2021-04-22,67972
2021-04-26,68752
2021-04-27,69532
2021-04-29,70334
2021-04-30,71114
2021-05-04,71894
2021-05-05,72674
2021-05-06,73476
2021-05-07,74256
2021-05-13,74461
2021-05-18,75181
2021-05-19,75961
2021-05-22,76189
2021-05-27,76711
2021-05-28,77231
2021-05-29,77519
2021-06-02,77717
2021-06-08,77753
2021-06-12,77831
2021-06-21,77969
2021-06-24,78047
2021-06-29,78089
2021-07-02,78125
2021-07-13,78233
2021-07-14,78281
2021-07-15,78339
2021-07-21,78381
2021-07-23,78399
2021-07-26,78406
2021-07-29,78440
2021-07-30,78459
2021-08-05,78489
2021-08-07,78510
2021-08-10,78516
2021-08-11,78528
2021-08-14,78540
2021-08-17,78570
2021-08-19,78607
2021-08-20,78667
2021-08-21,78688
2021-08-24,78718
2021-08-25,78749
2021-08-26,78777
2021-08-27,78812
2021-08-28,78854
2021-09-01,78889
2021-09-03,78961
2021-09-07,79015
2021-09-08,79027
2021-09-09,79074
2021-09-11,79118
2021-09-15,79190
2021-09-16,79233
2021-09-17,79269
2021-09-18,79305
2021-09-21,79335
2021-09-22,79377
2021-09-24,79472
2021-09-25,79502
2021-09-28,79527
2021-09-29,79546
2021-09-30,79569
2021-10-01,79587
2021-10-05,79599
2021-10-06,79653
2021-10-07,79764
2021-10-08,79910
2021-10-09,79925
2021-10-11,79927
2021-10-12,80591
2021-10-13,81080
2021-10-14,81505
2021-10-15,81966
2021-10-17,83039
2021-10-18,83456
2021-10-19,83825
2021-10-20,84477
2021-10-21,85057
2021-10-22,85576
2021-10-23,85967
2021-10-24,86700
2021-10-25,87370
2021-10-26,87663
2021-10-27,88024
2021-10-28,88394
2021-10-29,88756
2021-10-30,89068
2021-11-05,91051
2021-11-06,91369
2021-11-09,91990
2021-11-10,92256
2021-11-11,92257
2021-11-12,92749
2021-11-13,93018
2021-11-14,94019
2021-11-15,94020
2021-11-16,94469
2021-11-17,94937
2021-11-18,95407
2021-11-19,95734
2021-11-20,96021
2021-11-21,96021
2021-11-23,96391
2021-11-26,97591
2021-11-27,97601
2021-11-30,98034
2021-12-01,98421
2021-12-02,99028
2021-12-03,99749
2021-12-04,100396
2021-12-07,101255
2021-12-08,102158
2021-12-10,103355
2021-12-11,103818
2021-12-14,104657
2021-12-15,105512
2021-12-16,106221
2021-12-17,106745
2021-12-18,107273
2021-12-22,108149
2021-12-23,108323
2022-01-07,108577
2022-01-11,108913
2022-01-12,109110
2022-01-13,109271
2022-01-14,109445
2022-01-15,109609
2022-01-18,109828
2022-01-19,109993
2022-01-20,110157
2022-01-21,110192
2022-01-22,110437
2022-01-27,110843
2022-01-28,110991
2022-01-29,111101
2022-02-01,111222
2022-02-02,111323
2022-02-08,111838
2022-02-10,112023
2022-02-11,112137
2022-02-15,112234
2022-02-16,112447
2022-02-17,112483
2022-02-18,112567
2022-02-23,112820
2022-02-24,112912
2022-02-25,112975
2022-02-27,113009
2022-03-01,113138
2022-03-02,113176
2022-03-04,113255
2022-03-08,113295
2022-03-09,113720
2022-03-11,114204
2022-03-15,114420
2022-03-16,114581
2022-03-17,114774
2022-03-18,115000
2022-03-21,115273
2022-03-22,115581
2022-03-23,115847
2022-03-24,116358
2022-03-25,116649
2022-03-29,117336
2022-03-31,117937
2022-04-04,118192
2022-04-05,118596
2022-04-06,118741
2022-04-07,118943
2022-04-14,119578
2022-04-21,119855
2022-12-16,132810
