dates,incrementalcount_vaccine_covid_19_administered
2021-04-16,3272
2021-04-20,1791
2021-04-21,1816
2021-04-22,8388
2021-04-25,79
2021-04-26,2916
2021-04-27,3114
2021-04-28,3156
2021-04-29,2684
2021-04-30,2240
2021-05-04,1453
2021-05-05,3583
2021-05-06,18730
2021-05-07,4094
2021-05-12,1933
2021-05-20,1861
2021-05-24,12546
2021-05-25,12000
2021-05-26,16432
2021-06-03,4598
2021-06-08,9310
2021-06-11,1723
2021-06-22,50022
2021-06-23,6377
2021-06-24,1426
2021-06-28,2380
2021-06-29,27580
2021-06-30,2197
2021-07-04,128912
2021-07-05,13515
2021-07-13,5500
2021-07-14,4334
2021-07-28,1318
2021-08-09,6815
2021-08-10,5522
2021-08-11,8416
2021-08-12,5938
2021-08-16,2617
2021-08-17,8368
2021-08-18,9072
2021-08-19,55524
2021-08-23,6589
2021-08-30,69799
2021-08-31,24265
2021-09-09,20296
2021-09-20,26318
2021-09-21,83562
2021-09-24,18963
2021-10-13,57128
2021-10-14,27737
2021-10-27,24778
2021-11-01,16134
2021-11-24,869
2021-11-25,9909
2021-11-26,3808
2021-12-12,2619
2021-12-21,22108
2021-12-24,38189
2021-12-25,30539
2021-12-26,34136
2021-12-29,41686
2021-12-30,34834
2021-12-31,22515
2022-01-01,298940
2022-01-02,13041
2022-01-03,70757
2022-01-04,38220
2022-01-05,36086
2022-01-11,578
2022-01-23,20968
2022-01-24,18433
2022-02-01,8529
2022-02-10,522
