dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,5
2020-03-17,6
2020-03-18,18
2020-03-19,27
2020-03-20,33
2020-03-21,45
2020-03-22,51
2020-03-23,56
2020-03-24,58
2020-03-25,62
2020-03-26,73
2020-03-27,76
2020-03-28,96
2020-03-29,96
2020-03-30,96
2020-03-31,106
2020-04-01,114
2020-04-02,125
2020-04-03,128
2020-04-04,130
2020-04-05,130
2020-04-06,134
2020-04-07,135
2020-04-08,139
2020-04-09,139
2020-04-10,141
2020-04-11,143
2020-04-12,143
2020-04-13,143
2020-04-14,143
2020-04-15,145
2020-04-16,145
2020-04-17,145
2020-04-18,145
2020-04-19,145
2020-04-20,148
2020-04-21,148
2020-04-22,148
2020-04-23,148
2020-04-24,148
2020-04-25,149
2020-04-26,149
2020-04-27,149
2020-04-28,149
2020-04-29,149
2020-04-30,151
2020-05-01,152
2020-05-02,152
2020-05-03,152
2020-05-04,152
2020-05-05,152
2020-05-06,152
2020-05-07,153
2020-05-08,153
2020-05-09,154
2020-05-10,154
2020-05-11,154
2020-05-12,154
2020-05-13,155
2020-05-14,155
2020-05-15,155
2020-05-16,155
2020-05-17,155
2020-05-18,155
2020-05-19,155
2020-05-20,155
2020-05-21,155
2020-05-22,155
2020-05-23,155
2020-05-24,156
2020-05-25,156
2020-05-26,161
2020-05-27,161
2020-05-28,161
2020-05-29,161
2020-05-30,162
2020-05-31,162
2020-06-01,162
2020-06-02,162
2020-06-03,162
2020-06-04,162
2020-06-05,162
2020-06-06,164
2020-06-07,164
2020-06-08,164
2020-06-09,164
2020-06-10,164
2020-06-11,164
2020-06-12,164
2020-06-13,171
2020-06-14,171
2020-06-15,171
2020-06-16,171
2020-06-17,171
2020-06-18,171
2020-06-19,171
2020-06-20,174
2020-06-21,174
2020-06-22,174
2020-06-23,174
2020-06-24,174
2020-06-25,174
2020-06-26,174
2020-06-27,182
2020-06-28,182
2020-06-29,182
2020-06-30,182
2020-07-01,182
2020-07-02,182
2020-07-03,182
2020-07-04,182
2020-07-05,184
2020-07-06,184
2020-07-07,184
2020-07-08,184
2020-07-09,184
2020-07-10,184
2020-07-11,190
2020-07-12,190
2020-07-13,190
2020-07-14,190
2020-07-15,190
2020-07-16,190
2020-07-17,190
2020-07-18,195
2020-07-19,195
2020-07-20,195
2020-07-21,195
2020-07-22,195
2020-07-23,195
2020-07-24,195
2020-07-25,203
2020-07-26,203
2020-07-27,203
2020-07-28,203
2020-07-29,203
2020-07-30,244
2020-07-31,244
2020-08-01,244
2020-08-02,265
2020-08-03,265
2020-08-04,265
2020-08-05,272
2020-08-06,272
2020-08-07,279
2020-08-08,279
2020-08-09,290
2020-08-10,290
2020-08-11,290
2020-08-12,317
2020-08-13,317
2020-08-14,367
2020-08-15,446
2020-08-16,446
2020-08-17,446
2020-08-18,510
2020-08-19,510
2020-08-20,510
2020-08-21,510
2020-08-22,510
2020-08-23,771
2020-08-24,771
2020-08-25,771
2020-08-26,771
2020-08-27,935
2020-08-28,935
2020-08-29,935
2020-08-30,935
2020-08-31,1145
2020-09-01,1145
2020-09-02,1269
2020-09-03,1269
2020-09-04,1363
2020-09-05,1363
2020-09-06,1363
2020-09-07,1363
2020-09-08,1363
2020-09-09,2287
2020-09-10,2287
2020-09-11,2287
2020-09-12,2287
2020-09-13,3080
2020-09-14,3080
2020-09-15,3080
2020-09-16,3080
2020-09-17,3426
2020-09-18,3426
2020-09-19,3426
2020-09-20,3426
2020-09-21,3426
2020-09-22,3426
2020-09-23,4487
2020-09-24,4487
2020-09-25,4487
2020-09-26,4487
2020-09-27,4954
2020-09-28,4954
2020-09-29,4954
2020-09-30,4954
2020-10-01,5528
2020-10-02,5528
2020-10-03,5903
2020-10-04,5903
2020-10-05,5903
2020-10-06,5903
2020-10-07,5903
2020-10-08,6319
2020-10-09,6483
2020-10-10,6483
2020-10-11,6483
2020-10-12,6483
2020-10-13,6483
2020-10-14,6483
2020-10-15,6908
2020-10-16,6908
2020-10-17,7122
2020-10-18,7122
2020-10-19,7122
2020-10-20,7122
2020-10-21,7122
2020-10-22,7329
2020-10-23,7329
2020-10-24,7329
2020-10-25,7474
2020-10-26,7474
2020-10-27,7474
2020-10-28,7474
2020-10-29,7605
2020-10-30,7605
2020-10-31,7742
2020-11-01,7742
2020-11-02,7742
2020-11-03,7742
2020-11-04,7742
2020-11-05,7903
2020-11-06,7903
2020-11-07,7903
2020-11-08,7903
2020-11-09,7903
2020-11-10,7903
2020-11-11,7903
2020-11-12,8098
2020-11-13,8098
2020-11-14,8098
2020-11-15,8098
2020-11-16,8181
2020-11-17,8181
2020-11-18,8181
2020-11-19,8225
2020-11-20,8225
2020-11-21,8225
2020-11-22,8225
2020-11-23,8225
2020-11-24,8225
2020-11-25,8225
2020-11-26,8344
2020-11-27,8344
2020-11-28,8344
2020-11-29,8344
2020-11-30,8344
2020-12-01,8378
2020-12-02,8378
2020-12-03,8427
2020-12-04,8427
2020-12-05,8427
2020-12-06,8427
2020-12-07,8427
2020-12-08,8451
2020-12-09,8451
2020-12-10,8451
2020-12-11,8451
2020-12-12,8451
2020-12-13,8451
2020-12-14,8451
2020-12-15,8498
2020-12-16,8498
2020-12-17,8498
2020-12-18,8498
2020-12-19,8498
2020-12-20,8557
2020-12-21,8557
2020-12-22,8557
2020-12-23,8557
2020-12-24,8557
2020-12-25,8557
2020-12-26,8557
2020-12-27,8620
2020-12-28,8620
2020-12-29,8620
2020-12-30,8620
2020-12-31,8620
2021-01-01,8620
2021-01-02,8620
2021-01-03,8620
2021-01-04,8620
2021-01-05,8702
2021-01-06,8702
2021-01-07,8702
2021-01-08,8702
2021-01-09,8702
2021-01-10,8702
2021-01-11,8702
2021-01-12,8834
2021-01-13,8834
2021-01-14,8834
2021-01-15,8834
2021-01-16,8834
2021-01-17,8834
2021-01-18,8834
2021-01-19,8948
2021-01-20,8948
2021-01-21,8948
2021-01-22,8948
2021-01-23,9056
2021-01-24,9056
2021-01-25,9056
2021-01-26,9056
2021-01-27,9056
2021-01-28,9056
2021-01-29,9056
2021-01-30,9056
2021-01-31,9156
2021-02-01,9156
2021-02-02,9156
2021-02-03,9156
2021-02-04,9156
2021-02-05,9156
2021-02-06,9156
2021-02-07,9156
2021-02-08,9156
2021-02-09,9302
2021-02-10,9302
2021-02-11,9302
2021-02-12,9302
2021-02-13,9302
2021-02-14,9455
2021-02-15,9455
2021-02-16,9455
2021-02-17,9455
2021-02-18,9455
2021-02-19,9455
2021-02-20,9455
2021-02-21,9455
2021-02-22,9455
2021-02-23,9610
2021-02-24,9610
2021-02-25,9610
2021-02-26,9610
2021-02-27,9968
2021-02-28,9968
2021-03-01,9968
2021-03-02,9968
2021-03-03,9968
2021-03-04,9968
2021-03-05,9968
2021-03-06,10458
2021-03-07,10458
2021-03-08,10458
2021-03-09,10458
2021-03-10,10458
2021-03-11,10458
2021-03-12,10458
2021-03-13,10458
2021-03-14,10725
2021-03-15,10725
2021-03-16,10725
2021-03-17,10725
2021-03-18,10725
2021-03-19,10725
2021-03-20,10725
2021-03-21,11095
2021-03-22,11095
2021-03-23,11095
2021-03-24,11095
2021-03-25,11095
2021-03-26,11095
2021-03-27,11095
2021-03-28,11512
2021-03-29,11512
2021-03-30,11512
2021-03-31,11512
2021-04-01,11512
2021-04-02,11512
2021-04-03,11890
2021-04-04,11890
2021-04-05,11890
2021-04-06,11890
2021-04-07,11890
2021-04-08,11890
2021-04-09,11890
2021-04-10,12304
2021-04-11,12304
2021-04-12,12304
2021-04-13,12304
2021-04-14,12304
2021-04-15,12304
2021-04-16,12304
2021-04-17,12304
2021-04-18,12927
2021-04-19,12927
2021-04-20,12927
2021-04-21,12927
2021-04-22,12927
2021-04-23,12927
2021-04-24,12927
2021-04-25,13770
2021-04-26,13770
2021-04-27,13770
2021-04-28,13770
2021-04-29,13770
2021-04-30,13770
2021-05-01,13770
2021-05-02,14634
2021-05-03,14634
2021-05-04,14634
2021-05-05,14634
2021-05-06,14634
2021-05-07,14634
2021-05-08,15429
2021-05-09,15429
2021-05-10,15429
2021-05-11,15429
2021-05-12,15429
2021-05-13,15429
2021-05-14,15429
2021-05-15,15429
2021-05-16,16079
2021-05-17,16079
2021-05-18,16079
2021-05-19,16079
2021-05-20,16079
2021-05-21,16079
2021-05-22,16079
2021-05-23,16517
2021-05-24,16517
2021-05-25,16517
2021-05-26,16517
2021-05-27,16517
2021-05-28,16517
2021-05-29,16517
2021-05-30,16874
2021-05-31,16874
2021-06-01,16874
2021-06-02,16874
2021-06-03,16874
2021-06-04,16874
2021-06-05,16874
2021-06-06,17108
2021-06-07,17108
2021-06-08,17108
2021-06-09,17108
2021-06-10,17108
2021-06-11,17108
2021-06-12,17108
2021-06-13,17288
2021-06-14,17288
2021-06-15,17288
2021-06-16,17288
2021-06-17,17288
2021-06-18,17288
2021-06-19,17288
2021-06-20,17427
2021-06-21,17427
2021-06-22,17427
2021-06-23,17427
2021-06-24,17427
2021-06-25,17427
2021-06-26,17427
2021-06-27,17539
2021-06-28,17539
2021-06-29,17539
2021-06-30,17539
2021-07-01,17539
2021-07-02,17539
2021-07-03,17539
2021-07-04,17684
2021-07-05,17684
2021-07-06,17684
2021-07-07,17684
2021-07-08,17684
2021-07-09,17684
2021-07-10,17684
2021-07-11,17809
2021-07-12,17809
