dates,cumulativecount_vaccine_covid_19_administered
2021-03-09,0
2021-03-28,5345
2021-04-06,12674
2021-04-09,16735
2021-04-24,20922
2021-05-05,24659
2021-05-09,25445
2021-05-11,25776
2021-05-31,29148
2021-06-08,40810
2021-06-23,41077
2021-06-30,42975
2021-07-15,43557
2021-08-23,184553
2021-08-25,191496
2021-08-28,193532
2021-08-29,193961
2021-08-31,197277
2021-09-03,199881
2021-09-07,201835
2021-09-21,207195
2021-09-29,208379
2021-10-19,241290
2021-10-22,254945
2021-10-26,258505
2021-10-31,265620
2021-11-06,267263
2021-11-14,267644
2021-11-21,268008
2021-12-02,271166
2021-12-11,273365
2021-12-14,276276
2021-12-28,294698
2022-01-21,349875
2022-02-16,362079
2022-05-22,720000
2022-06-19,812811
2022-08-07,815861
2022-11-06,815861
2023-01-22,1444492
2023-02-26,1444492
2023-03-12,1444492
2023-03-19,1444492
