dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,2
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,8
2020-04-01,9
2020-04-02,9
2020-04-03,9
2020-04-04,15
2020-04-05,18
2020-04-06,18
2020-04-07,33
2020-04-08,33
2020-04-09,33
2020-04-10,35
2020-04-11,38
2020-04-12,39
2020-04-13,40
2020-04-14,40
2020-04-15,46
2020-04-16,46
2020-04-17,50
2020-04-18,50
2020-04-19,50
2020-04-20,50
2020-04-21,50
2020-04-22,50
2020-04-23,52
2020-04-24,52
2020-04-25,52
2020-04-26,52
2020-04-27,53
2020-04-28,73
2020-04-29,73
2020-04-30,201
2020-05-01,260
2020-05-02,260
2020-05-03,260
2020-05-04,292
2020-05-05,292
2020-05-06,292
2020-05-07,508
2020-05-08,508
2020-05-09,642
2020-05-10,642
2020-05-11,761
2020-05-12,820
2020-05-13,836
2020-05-14,836
2020-05-15,913
2020-05-16,913
2020-05-17,913
2020-05-18,990
2020-05-19,1038
2020-05-20,1038
2020-05-21,1089
2020-05-22,1114
2020-05-23,1114
2020-05-24,1114
2020-05-25,1173
2020-05-26,1173
2020-05-27,1173
2020-05-28,1173
2020-05-29,1195
2020-05-30,1256
2020-05-31,1256
2020-06-01,1322
2020-06-02,1339
2020-06-03,1346
2020-06-04,1346
2020-06-05,1346
2020-06-06,1368
2020-06-07,1368
2020-06-08,1368
2020-06-09,1389
2020-06-10,1389
2020-06-11,1389
2020-06-12,1389
2020-06-13,1473
2020-06-14,1483
2020-06-15,1492
2020-06-16,1492
2020-06-17,1492
2020-06-18,1512
2020-06-19,1541
2020-06-20,1541
2020-06-21,1541
2020-06-22,1556
2020-06-23,1556
2020-06-24,1556
2020-06-25,1556
2020-06-26,1614
2020-06-27,1614
2020-06-28,1614
2020-06-29,1654
2020-06-30,1654
2020-07-01,1710
2020-07-02,1710
2020-07-03,1765
2020-07-04,1765
2020-07-05,1790
2020-07-06,1790
2020-07-07,1790
2020-07-08,1790
2020-07-09,1790
2020-07-10,1842
2020-07-11,1842
2020-07-12,1842
2020-07-13,1902
2020-07-14,1902
2020-07-15,1927
2020-07-16,1927
2020-07-17,1950
2020-07-18,1950
2020-07-19,1950
2020-07-20,1954
2020-07-21,1954
2020-07-22,1954
2020-07-23,1954
2020-07-24,1954
2020-07-25,1954
2020-07-26,1954
2020-07-27,1954
2020-07-28,1954
2020-07-29,1981
2020-07-30,1981
2020-07-31,1981
2020-08-01,1981
2020-08-02,1981
2020-08-03,2032
2020-08-04,2032
2020-08-05,2032
2020-08-06,2032
2020-08-07,2052
2020-08-08,2052
2020-08-09,2052
2020-08-10,2052
2020-08-11,2052
2020-08-12,2052
2020-08-13,2052
2020-08-14,2117
2020-08-15,2117
2020-08-16,2117
2020-08-17,2117
2020-08-18,2117
2020-08-19,2149
2020-08-20,2149
2020-08-21,2149
2020-08-22,2149
2020-08-23,2149
2020-08-24,2149
2020-08-25,2149
2020-08-26,2149
2020-08-27,2149
2020-08-28,2149
2020-08-29,2149
2020-08-30,2149
2020-08-31,2149
2020-09-01,2245
2020-09-02,2245
2020-09-03,2245
2020-09-04,2245
2020-09-05,2245
2020-09-06,2245
2020-09-07,2245
2020-09-08,2275
2020-09-09,2275
2020-09-10,2275
2020-09-11,2275
2020-09-12,2275
2020-09-13,2275
2020-09-14,2275
2020-09-15,2275
2020-09-16,2303
2020-09-17,2303
2020-09-18,2303
2020-09-19,2303
2020-09-20,2303
2020-09-21,2303
2020-09-22,2303
2020-09-23,2324
2020-09-24,2324
2020-09-25,2324
2020-09-26,2324
2020-09-27,2324
2020-09-28,2324
2020-09-29,2362
2020-09-30,2362
2020-10-01,2362
2020-10-02,2362
2020-10-03,2362
2020-10-04,2362
2020-10-05,2362
2020-10-06,2362
2020-10-07,2385
2020-10-08,2385
2020-10-09,2385
2020-10-10,2385
2020-10-11,2385
2020-10-12,2385
2020-10-13,2389
2020-10-14,2389
2020-10-15,2389
2020-10-16,2389
2020-10-17,2389
2020-10-18,2403
2020-10-19,2403
2020-10-20,2403
2020-10-21,2403
2020-10-22,2403
2020-10-23,2403
2020-10-24,2403
2020-10-25,2403
2020-10-26,2403
2020-10-27,2403
2020-10-28,2403
2020-10-29,2413
2020-10-30,2413
2020-10-31,2413
2020-11-01,2413
2020-11-02,2413
2020-11-03,2414
2020-11-04,2414
2020-11-05,2414
2020-11-06,2414
2020-11-07,2414
2020-11-08,2414
2020-11-09,2414
2020-11-10,2419
2020-11-11,2419
2020-11-12,2419
2020-11-13,2419
2020-11-14,2419
2020-11-15,2419
2020-11-16,2421
2020-11-17,2421
2020-11-18,2421
2020-11-19,2421
2020-11-20,2421
2020-11-21,2421
2020-11-22,2421
2020-11-23,2421
2020-11-24,2422
2020-11-25,2422
2020-11-26,2422
2020-11-27,2422
2020-11-28,2422
2020-11-29,2422
2020-11-30,2422
2020-12-01,2441
2020-12-02,2441
2020-12-03,2441
2020-12-04,2441
2020-12-05,2441
2020-12-06,2441
2020-12-07,2441
2020-12-08,2444
2020-12-09,2444
2020-12-10,2444
2020-12-11,2444
2020-12-12,2444
2020-12-13,2444
2020-12-14,2444
2020-12-15,2444
2020-12-16,2447
2020-12-17,2447
2020-12-18,2447
2020-12-19,2447
2020-12-20,2447
2020-12-21,2447
2020-12-22,2447
2020-12-23,2447
2020-12-24,2447
2020-12-25,2447
2020-12-26,2447
2020-12-27,2447
2020-12-28,2447
2020-12-29,2452
2020-12-30,2452
2020-12-31,2452
2021-01-01,2452
2021-01-02,2452
2021-01-03,2455
2021-01-04,2455
2021-01-05,2455
2021-01-06,2455
2021-01-07,2455
2021-01-08,2455
2021-01-09,2455
2021-01-10,2478
2021-01-11,2478
2021-01-12,2478
2021-01-13,2478
2021-01-14,2478
2021-01-15,2478
2021-01-16,2478
2021-01-17,2478
2021-01-18,2478
2021-01-19,2510
2021-01-20,2513
2021-01-21,2517
2021-01-22,2525
2021-01-23,2531
2021-01-24,2533
2021-01-25,2533
2021-01-26,2542
2021-01-27,2544
2021-01-28,2605
2021-01-29,2614
2021-01-30,2623
2021-01-31,2635
2021-02-01,2635
2021-02-02,2655
2021-02-03,2682
2021-02-04,2713
2021-02-05,2752
2021-02-06,2772
2021-02-07,2780
2021-02-08,2780
2021-02-09,2810
2021-02-10,2826
2021-02-11,2848
2021-02-12,2869
2021-02-13,2885
2021-02-14,2924
2021-02-15,2924
2021-02-16,2950
2021-02-17,2999
2021-02-18,3025
2021-02-19,3064
2021-02-20,3091
2021-02-21,3115
2021-02-22,3115
2021-02-23,3156
2021-02-24,3171
2021-02-25,3215
2021-02-26,3241
2021-02-27,3247
2021-02-28,3262
2021-03-01,3262
2021-03-02,3271
2021-03-03,3282
2021-03-04,3301
2021-03-05,3303
2021-03-06,3312
2021-03-07,3312
2021-03-08,3312
2021-03-09,3319
2021-03-10,3327
2021-03-11,3380
2021-03-12,3398
2021-03-13,3436
2021-03-14,3447
2021-03-15,3447
2021-03-16,3469
2021-03-17,3488
2021-03-18,3518
2021-03-19,3536
2021-03-20,3558
2021-03-21,3568
2021-03-22,3568
2021-03-23,3586
2021-03-24,3591
2021-03-25,3607
2021-03-26,3615
2021-03-27,3630
2021-03-28,3634
2021-03-29,3634
2021-03-30,3647
2021-03-31,3650
2021-04-01,3661
2021-04-02,3661
2021-04-03,3661
2021-04-04,3662
2021-04-05,3662
2021-04-06,3662
2021-04-07,3663
2021-04-08,3664
2021-04-09,3675
2021-04-10,3678
2021-04-11,3680
2021-04-12,3680
2021-04-13,3693
2021-04-14,3694
2021-04-15,3706
2021-04-16,3710
2021-04-17,3710
2021-04-18,3712
2021-04-19,3712
2021-04-20,3713
2021-04-21,3713
2021-04-22,3721
2021-04-23,3722
2021-04-24,3724
2021-04-25,3726
2021-04-26,3726
2021-04-27,3731
2021-04-28,3731
2021-04-29,3733
2021-04-30,3734
2021-05-01,3736
2021-05-02,3736
2021-05-03,3736
2021-05-04,3737
2021-05-05,3738
2021-05-06,3738
2021-05-07,3739
2021-05-08,3739
2021-05-09,3741
2021-05-10,3741
2021-05-11,3741
2021-05-12,3741
2021-05-13,3743
2021-05-14,3745
2021-05-15,3746
2021-05-16,3746
2021-05-17,3746
2021-05-18,3746
2021-05-19,3746
2021-05-20,3746
2021-05-21,3749
2021-05-22,3750
2021-05-23,3751
2021-05-24,3751
2021-05-25,3753
2021-05-26,3753
2021-05-27,3756
2021-05-28,3760
2021-05-29,3761
2021-05-30,3766
2021-05-31,3766
2021-06-01,3770
2021-06-02,3783
2021-06-03,3784
2021-06-04,3787
2021-06-05,3787
2021-06-06,3787
2021-06-07,3787
2021-06-08,3790
2021-06-09,3794
2021-06-10,3800
2021-06-11,3802
2021-06-12,3802
2021-06-13,3803
2021-06-14,3803
2021-06-15,3809
2021-06-16,3810
2021-06-17,3819
2021-06-18,3824
2021-06-19,3825
2021-06-20,3825
2021-06-21,3825
2021-06-22,3834
2021-06-23,3839
2021-06-24,3844
2021-06-25,3845
2021-06-26,3846
2021-06-27,3846
2021-06-28,3846
2021-06-29,3853
2021-06-30,3859
2021-07-01,3869
2021-07-02,3880
