dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,1
2020-04-28,1
2020-04-29,1
2020-04-30,1
2020-05-01,2
2020-05-02,2
2020-05-03,2
2020-05-04,2
2020-05-05,2
2020-05-06,2
2020-05-07,2
2020-05-08,2
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,3
2020-05-17,3
2020-05-18,4
2020-05-19,6
2020-05-20,6
2020-05-21,6
2020-05-22,6
2020-05-23,6
2020-05-24,6
2020-05-25,6
2020-05-26,6
2020-05-27,6
2020-05-28,6
2020-05-29,8
2020-05-30,8
2020-05-31,8
2020-06-01,8
2020-06-02,8
2020-06-03,8
2020-06-04,9
2020-06-05,9
2020-06-06,12
2020-06-07,12
2020-06-08,12
2020-06-09,12
2020-06-10,12
2020-06-11,12
2020-06-12,12
2020-06-13,15
2020-06-14,15
2020-06-15,15
2020-06-16,15
2020-06-17,15
2020-06-18,15
2020-06-19,17
2020-06-20,17
2020-06-21,17
2020-06-22,19
2020-06-23,19
2020-06-24,19
2020-06-25,19
2020-06-26,21
2020-06-27,21
2020-06-28,21
2020-06-29,24
2020-06-30,24
2020-07-01,24
2020-07-02,24
2020-07-03,25
2020-07-04,25
2020-07-05,25
2020-07-06,25
2020-07-07,25
2020-07-08,25
2020-07-09,25
2020-07-10,25
2020-07-11,25
2020-07-12,25
2020-07-13,25
2020-07-14,26
2020-07-15,26
2020-07-16,26
2020-07-17,26
2020-07-18,26
2020-07-19,26
2020-07-20,26
2020-07-21,26
2020-07-22,26
2020-07-23,26
2020-07-24,26
2020-07-25,26
2020-07-26,26
2020-07-27,26
2020-07-28,26
2020-07-29,26
2020-07-30,26
2020-07-31,27
2020-08-01,27
2020-08-02,27
2020-08-03,27
2020-08-04,27
2020-08-05,27
2020-08-06,27
2020-08-07,29
2020-08-08,29
2020-08-09,29
2020-08-10,29
2020-08-11,29
2020-08-12,29
2020-08-13,29
2020-08-14,33
2020-08-15,33
2020-08-16,33
2020-08-17,33
2020-08-18,33
2020-08-19,33
2020-08-20,33
2020-08-21,33
2020-08-22,33
2020-08-23,33
2020-08-24,33
2020-08-25,33
2020-08-26,33
2020-08-27,33
2020-08-28,33
2020-08-29,33
2020-08-30,33
2020-08-31,33
2020-09-01,38
2020-09-02,38
2020-09-03,38
2020-09-04,38
2020-09-05,38
2020-09-06,38
2020-09-07,38
2020-09-08,39
2020-09-09,39
2020-09-10,39
2020-09-11,39
2020-09-12,39
2020-09-13,39
2020-09-14,39
2020-09-15,39
2020-09-16,39
2020-09-17,39
2020-09-18,39
2020-09-19,39
2020-09-20,39
2020-09-21,39
2020-09-22,39
2020-09-23,39
2020-09-24,39
2020-09-25,39
2020-09-26,39
2020-09-27,39
2020-09-28,39
2020-09-29,39
2020-09-30,39
2020-10-01,39
2020-10-02,39
2020-10-03,39
2020-10-04,39
2020-10-05,39
2020-10-06,39
2020-10-07,39
2020-10-08,39
2020-10-09,39
2020-10-10,39
2020-10-11,40
2020-10-12,40
2020-10-13,41
2020-10-14,41
2020-10-15,41
2020-10-16,41
2020-10-17,41
2020-10-18,41
2020-10-19,41
2020-10-20,41
2020-10-21,41
2020-10-22,41
2020-10-23,41
2020-10-24,41
2020-10-25,41
2020-10-26,41
2020-10-27,41
2020-10-28,41
2020-10-29,41
2020-10-30,41
2020-10-31,41
2020-11-01,41
2020-11-02,41
2020-11-03,42
2020-11-04,42
2020-11-05,42
2020-11-06,42
2020-11-07,42
2020-11-08,42
2020-11-09,42
2020-11-10,43
2020-11-11,43
2020-11-12,43
2020-11-13,43
2020-11-14,43
2020-11-15,43
2020-11-16,43
2020-11-17,43
2020-11-18,43
2020-11-19,43
2020-11-20,43
2020-11-21,43
2020-11-22,43
2020-11-23,43
2020-11-24,43
2020-11-25,43
2020-11-26,43
2020-11-27,43
2020-11-28,43
2020-11-29,43
2020-11-30,43
2020-12-01,44
2020-12-02,44
2020-12-03,44
2020-12-04,44
2020-12-05,44
2020-12-06,44
2020-12-07,44
2020-12-08,44
2020-12-09,44
2020-12-10,44
2020-12-11,44
2020-12-12,44
2020-12-13,44
2020-12-14,44
2020-12-15,44
2020-12-16,44
2020-12-17,44
2020-12-18,44
2020-12-19,44
2020-12-20,44
2020-12-21,45
2020-12-22,45
2020-12-23,45
2020-12-24,45
2020-12-25,45
2020-12-26,45
2020-12-27,45
2020-12-28,45
2020-12-29,45
2020-12-30,45
2020-12-31,45
2021-01-01,45
2021-01-02,45
2021-01-03,45
2021-01-04,45
2021-01-05,45
2021-01-06,45
2021-01-07,45
2021-01-08,45
2021-01-09,45
2021-01-10,45
2021-01-11,45
2021-01-12,45
2021-01-13,45
2021-01-14,45
2021-01-15,45
2021-01-16,45
2021-01-17,45
2021-01-18,45
2021-01-19,45
2021-01-20,45
2021-01-21,45
2021-01-22,45
2021-01-23,45
2021-01-24,45
2021-01-25,45
2021-01-26,45
2021-01-27,45
2021-01-28,45
2021-01-29,45
2021-01-30,45
2021-01-31,45
2021-02-01,45
2021-02-02,45
2021-02-03,45
2021-02-04,46
2021-02-05,46
2021-02-06,46
2021-02-07,46
2021-02-08,46
2021-02-09,46
2021-02-10,46
2021-02-11,46
2021-02-12,46
2021-02-13,46
2021-02-14,46
2021-02-15,46
2021-02-16,46
2021-02-17,46
2021-02-18,46
2021-02-19,46
2021-02-20,46
2021-02-21,47
2021-02-22,47
2021-02-23,47
2021-02-24,48
2021-02-25,48
2021-02-26,48
2021-02-27,48
2021-02-28,48
2021-03-01,48
2021-03-02,48
2021-03-03,48
2021-03-04,49
2021-03-05,49
2021-03-06,49
2021-03-07,49
2021-03-08,49
2021-03-09,49
2021-03-10,51
2021-03-11,51
2021-03-12,52
2021-03-13,52
2021-03-14,52
2021-03-15,52
2021-03-16,52
2021-03-17,54
2021-03-18,54
2021-03-19,55
2021-03-20,55
2021-03-21,55
2021-03-22,55
2021-03-23,56
2021-03-24,56
2021-03-25,61
2021-03-26,61
2021-03-27,61
2021-03-28,61
2021-03-29,61
2021-03-30,61
2021-03-31,63
2021-04-01,63
2021-04-02,65
2021-04-03,65
2021-04-04,66
2021-04-05,66
2021-04-06,66
2021-04-07,66
2021-04-08,66
2021-04-09,66
2021-04-10,66
2021-04-11,66
2021-04-12,66
2021-04-13,66
2021-04-14,66
2021-04-15,66
2021-04-16,66
2021-04-17,66
2021-04-18,66
2021-04-19,66
2021-04-20,66
2021-04-21,66
2021-04-22,66
2021-04-23,66
2021-04-24,67
2021-04-25,67
2021-04-26,67
2021-04-27,67
2021-04-28,67
2021-04-29,67
2021-04-30,67
2021-05-01,67
2021-05-02,67
2021-05-03,67
2021-05-04,67
2021-05-05,67
2021-05-06,67
2021-05-07,67
2021-05-08,67
2021-05-09,67
2021-05-10,67
2021-05-11,67
2021-05-12,67
2021-05-13,67
2021-05-14,67
2021-05-15,67
2021-05-16,67
2021-05-17,67
2021-05-18,68
2021-05-19,68
2021-05-20,68
2021-05-21,68
2021-05-22,68
2021-05-23,68
2021-05-24,68
2021-05-25,68
2021-05-26,68
2021-05-27,68
2021-05-28,68
2021-05-29,68
2021-05-30,68
2021-05-31,68
2021-06-01,68
2021-06-02,68
2021-06-03,68
2021-06-04,68
2021-06-05,68
2021-06-06,68
2021-06-07,68
2021-06-08,68
2021-06-09,68
2021-06-10,68
2021-06-11,69
2021-06-12,69
2021-06-13,69
2021-06-14,69
2021-06-15,69
2021-06-16,69
2021-06-17,69
2021-06-18,69
2021-06-19,69
2021-06-20,69
2021-06-21,69
2021-06-22,69
2021-06-23,69
2021-06-24,69
2021-06-25,69
2021-06-26,69
2021-06-27,69
2021-06-28,69
2021-06-29,69
2021-06-30,69
2021-07-01,69
2021-07-02,69
2021-07-03,69
2021-07-04,69
2021-07-05,69
2021-07-06,70
2021-07-07,70
2021-07-08,70
2021-07-09,70
2021-07-10,70
2021-07-11,70
2021-07-12,70
2021-07-13,70
2021-07-14,70
2021-07-15,70
2021-07-16,72
2021-07-17,72
2021-07-18,73
2021-07-19,73
2021-07-20,73
2021-07-21,74
2021-07-22,74
2021-07-23,74
2021-07-24,74
2021-07-25,74
2021-07-26,74
2021-07-27,74
2021-07-28,74
2021-07-29,74
2021-07-30,75
2021-07-31,76
2021-08-01,76
2021-08-02,76
2021-08-03,78
2021-08-04,79
2021-08-05,79
2021-08-06,79
2021-08-07,79
2021-08-08,79
2021-08-09,79
2021-08-10,80
2021-08-11,83
2021-08-12,84
2021-08-13,89
2021-08-14,90
2021-08-15,90
2021-08-16,90
