dates,cumulativecount_vaccine_covid_19_administered
2021-05-12,5889
2021-06-08,18706
2021-06-28,22883
2021-07-19,25225
2021-08-09,30471
2021-08-23,31090
2021-09-17,83294
2021-09-22,94715
2021-10-06,117768
2021-10-12,120641
2021-10-18,121501
2021-10-24,127936
2021-10-31,139369
2021-11-03,181713
2021-11-08,276355
2021-11-11,307424
2021-11-15,330839
2021-11-16,332497
2021-11-22,363573
2021-11-25,365089
2021-11-28,368395
2021-12-05,388626
2021-12-13,406401
2021-12-20,412002
2021-12-23,412340
2021-12-28,413938
2022-01-01,414174
2022-01-07,414465
2022-01-12,415196
2022-01-17,415874
2022-01-19,416500
2022-01-22,419652
2022-01-28,423400
2022-02-02,435952
2022-02-06,471855
2022-02-14,548661
2022-02-20,556315
2022-02-27,556675
2022-03-06,558351
2022-03-13,562296
2022-04-24,562620
2022-06-05,562717
2022-06-19,572775
2022-06-26,572954
2022-07-10,573125
2022-08-14,592514
2022-08-21,592533
2022-08-28,592609
2023-02-12,593453
2023-03-05,593508
2023-03-12,594308
2023-03-19,594450
2023-03-26,594450
2023-04-02,600165
