dates,cumulativecount_vaccine_covid_19_administered
2021-03-16,6565
2021-03-29,12155
2021-04-01,14080
2021-04-16,32884
2021-04-20,45441
2021-04-22,55799
2021-04-28,75518
2021-05-18,175770
2021-05-22,192967
2021-05-25,206625
2021-05-28,219677
2021-05-31,224503
2021-06-03,236189
2021-06-10,247228
2021-06-12,248184
2021-06-15,255030
2021-06-17,257146
2021-06-23,259480
2021-06-25,260528
2021-06-28,264853
2021-06-30,265110
2021-07-02,269981
2021-07-05,270841
2021-07-07,277042
2021-07-10,278952
2021-07-13,279113
2021-07-17,288562
2021-07-21,293702
2021-07-24,301413
2021-07-29,306265
2021-08-02,308858
2021-08-04,311778
2021-08-07,314289
2021-08-12,322447
2021-08-16,325449
2021-08-18,329229
2021-08-21,331807
2021-08-24,336579
2021-08-27,345719
2021-09-02,353626
2021-09-04,360446
2021-09-08,364051
2021-09-10,366836
2021-09-13,370163
2021-09-20,381835
2021-09-30,397083
2021-10-06,403814
2021-10-09,410064
2021-10-12,414506
2021-10-16,419386
2021-10-19,422768
2021-10-21,424653
2021-10-27,428106
2021-10-29,431001
2021-10-30,431640
2021-11-03,433182
2021-11-06,436479
2021-11-10,438465
2021-11-15,440310
2021-11-17,441106
2021-11-19,442855
2021-11-22,443135
2021-11-25,444989
2021-11-29,445684
2021-12-01,446624
2021-12-14,448577
2021-12-16,452572
2021-12-22,452666
2022-01-08,453502
2022-01-18,455655
2022-02-26,463549
2022-03-05,467504
2022-03-26,473409
2022-04-16,476752
2022-05-02,479991
2022-05-29,479991
2022-06-05,479991
2022-06-19,484554
2022-06-26,484554
2022-07-24,488738
