dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,0
2020-02-16,4
2020-02-17,3
2020-02-18,3
2020-02-19,5
2020-02-20,2
2020-02-21,-5
2020-02-22,-4
2020-02-23,7
2020-02-24,3
2020-02-25,4
2020-02-26,12
2020-02-27,22
2020-02-28,18
2020-02-29,20
2020-03-01,31
2020-03-02,-57
2020-03-03,7
2020-03-04,4
2020-03-05,7
2020-03-06,4
2020-03-07,2
2020-03-08,2
2020-03-09,1
2020-03-10,13
2020-03-11,16
2020-03-12,21
2020-03-13,29
2020-03-14,11
2020-03-15,-14
2020-03-16,-2
2020-03-17,-14
2020-03-18,-20
2020-03-19,-15
2020-03-20,-12
2020-03-21,-24
2020-03-22,59
2020-03-23,-29
2020-03-24,-12
2020-03-25,-85
2020-03-26,-20
2020-03-27,-23
2020-03-28,-24
2020-03-29,-41
2020-03-30,-17
2020-03-31,-18
2020-04-01,-23
2020-04-02,-18
2020-04-03,-16
2020-04-04,-28
2020-04-05,-45
2020-04-06,-17
2020-04-07,-19
2020-04-08,-16
2020-04-09,-10
2020-04-10,-8
2020-04-11,-14
2020-04-12,76
2020-04-13,-7
2020-04-14,-3
2020-04-15,7
2020-04-16,26
2020-04-17,-2
2020-04-18,-7
2020-04-19,-54
2020-04-20,-80
2020-04-21,-12
2020-04-22,-14
2020-04-23,-12
2020-04-24,-8
2020-04-25,-9
2020-04-26,-3
2020-04-27,-4
2020-04-28,-5
2020-04-29,0
2020-04-30,28
2020-05-01,-69
2020-05-02,2
2020-05-03,14
2020-05-04,4
2020-05-05,2
2020-05-06,4
2020-05-07,9
2020-05-08,9
2020-05-09,4
2020-05-10,36
2020-05-11,8
2020-05-12,9
2020-05-13,6
2020-05-14,11
2020-05-15,10
2020-05-16,7
2020-05-17,35
2020-05-18,9
2020-05-19,8
2020-05-20,11
2020-05-21,9
2020-05-22,11
2020-05-23,8
2020-05-24,43
2020-05-25,7
2020-05-26,1
2020-05-27,8
2020-05-28,12
2020-05-29,13
2020-05-30,8
2020-05-31,34
2020-06-01,11
2020-06-02,10
2020-06-03,7
2020-06-04,14
2020-06-05,13
2020-06-06,8
2020-06-07,54
2020-06-08,-21
2020-06-09,9
2020-06-10,8
2020-06-11,11
2020-06-12,8
2020-06-13,2
2020-06-14,39
2020-06-15,8
2020-06-16,9
2020-06-17,9
2020-06-18,6
2020-06-19,6
2020-06-20,0
2020-06-21,40
2020-06-22,4
2020-06-23,7
2020-06-24,7
2020-06-25,11
2020-06-26,11
2020-06-27,2
2020-06-28,45
2020-06-29,7
2020-06-30,10
2020-07-01,8
2020-07-02,12
2020-07-03,9
2020-07-04,0
2020-07-05,49
2020-07-06,13
2020-07-07,11
2020-07-08,9
2020-07-09,11
2020-07-10,9
2020-07-11,1
2020-07-12,57
2020-07-13,13
2020-07-14,9
2020-07-15,11
2020-07-16,14
2020-07-17,11
2020-07-18,-2
2020-07-19,84
2020-07-20,10
2020-07-21,7
2020-07-22,8
2020-07-23,11
2020-07-24,10
2020-07-25,-1
2020-07-26,65
2020-07-27,13
2020-07-28,11
