dates,cumulativecount_vaccine_covid_19_administered
2021-02-11,0
2021-02-16,146
2021-02-23,1200
2021-02-26,3000
2021-03-14,8424
2021-03-15,8606
2021-03-24,9821
2021-03-29,10084
2021-04-03,10373
2021-04-08,10717
2021-04-09,10878
2021-04-11,10911
2021-04-16,11497
2021-04-19,11731
2021-04-22,12764
2021-04-23,13458
2021-04-27,14550
2021-04-29,15397
2021-05-06,17000
2021-05-11,19519
2021-05-21,23553
2021-05-28,25544
2021-06-04,26975
2021-06-11,27929
2021-06-18,29157
2021-06-25,31494
2021-07-02,34331
2021-07-09,35072
2021-07-16,35756
2021-07-23,36524
2021-07-30,37689
2021-08-06,38233
2021-08-09,38872
2021-08-13,39121
2021-08-20,40075
2021-08-27,42484
2021-09-03,45460
2021-09-10,48140
2021-09-17,51610
2021-09-24,55663
2021-10-01,58985
2021-10-08,62095
2021-10-15,65362
2021-10-22,67959
2021-10-29,69622
2021-11-05,70861
2021-11-12,72282
2021-11-19,73320
2021-11-29,74708
2021-12-03,75154
2021-12-10,75893
2021-12-17,76128
2021-12-23,78476
2022-01-07,81106
2022-01-14,82423
2022-01-21,83322
2022-01-28,84131
2022-02-04,84708
2022-02-11,85113
2022-02-16,85315
2022-02-18,85471
2022-02-23,85696
2022-02-25,85891
2022-03-02,86011
2022-03-18,86940
2022-03-23,87116
2022-03-25,87154
2022-03-30,87229
2022-04-01,87284
2022-04-08,87353
2022-04-15,87590
2022-04-22,87699
2022-04-29,87824
2022-05-06,88016
2022-05-13,88157
2022-05-20,88384
2022-05-27,88604
2022-06-03,88728
2022-06-08,88803
2022-06-10,88845
2022-06-15,88940
2022-06-22,89032
2022-06-24,89070
2022-06-30,89080
2022-07-01,89147
2022-07-07,89202
2022-07-08,89257
2022-07-13,89284
2022-07-15,89403
2022-07-22,89439
2022-07-27,89516
2022-07-29,89532
2022-08-05,89646
2022-08-12,89660
2022-08-17,89756
2022-08-19,89789
2022-08-24,89848
2022-08-26,89897
2022-09-02,90006
2022-09-09,90054
2022-09-16,90138
2022-09-23,90210
2022-09-30,90251
2022-11-11,90507
2023-03-17,90686
