dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,4
2020-03-25,4
2020-03-26,5
2020-03-27,6
2020-03-28,9
2020-03-29,10
2020-03-30,10
2020-03-31,10
2020-04-01,10
2020-04-02,10
2020-04-03,10
2020-04-04,10
2020-04-05,10
2020-04-06,11
2020-04-07,11
2020-04-08,11
2020-04-09,11
2020-04-10,11
2020-04-11,11
2020-04-12,11
2020-04-13,11
2020-04-14,11
2020-04-15,11
2020-04-16,11
2020-04-17,11
2020-04-18,11
2020-04-19,11
2020-04-20,11
2020-04-21,11
2020-04-22,11
2020-04-23,11
2020-04-24,11
2020-04-25,11
2020-04-26,11
2020-04-27,11
2020-04-28,11
2020-04-29,11
2020-04-30,11
2020-05-01,11
2020-05-02,11
2020-05-03,11
2020-05-04,11
2020-05-05,11
2020-05-06,11
2020-05-07,11
2020-05-08,11
2020-05-09,11
2020-05-10,11
2020-05-11,11
2020-05-12,11
2020-05-13,11
2020-05-14,11
2020-05-15,11
2020-05-16,11
2020-05-17,11
2020-05-18,11
2020-05-19,11
2020-05-20,11
2020-05-21,11
2020-05-22,11
2020-05-23,11
2020-05-24,11
2020-05-25,11
2020-05-26,12
2020-05-27,12
2020-05-28,12
2020-05-29,13
2020-05-30,13
2020-05-31,13
2020-06-01,13
2020-06-02,13
2020-06-03,13
2020-06-04,13
2020-06-05,13
2020-06-06,13
2020-06-07,13
2020-06-08,13
2020-06-09,13
2020-06-10,13
2020-06-11,13
2020-06-12,13
2020-06-13,13
2020-06-14,13
2020-06-15,13
2020-06-16,13
2020-06-17,13
2020-06-18,13
2020-06-19,13
2020-06-20,13
2020-06-21,13
2020-06-22,13
2020-06-23,13
2020-06-24,13
2020-06-25,13
2020-06-26,13
2020-06-27,13
2020-06-28,13
2020-06-29,13
2020-06-30,13
2020-07-01,13
2020-07-02,13
2020-07-03,13
2020-07-04,13
2020-07-05,13
2020-07-06,13
2020-07-07,13
2020-07-08,13
2020-07-09,13
2020-07-10,13
2020-07-11,13
2020-07-12,13
2020-07-13,13
2020-07-14,13
2020-07-15,13
2020-07-16,13
2020-07-17,13
2020-07-18,13
2020-07-19,13
2020-07-20,13
2020-07-21,13
2020-07-22,13
2020-07-23,13
2020-07-24,13
2020-07-25,13
2020-07-26,13
2020-07-27,13
2020-07-28,13
2020-07-29,14
2020-07-30,14
2020-07-31,14
2020-08-01,14
2020-08-02,14
2020-08-03,14
2020-08-04,14
2020-08-05,14
2020-08-06,14
2020-08-07,14
2020-08-08,14
2020-08-09,14
2020-08-10,14
2020-08-11,14
2020-08-12,14
2020-08-13,14
2020-08-14,14
2020-08-15,14
2020-08-16,14
2020-08-17,14
2020-08-18,14
2020-08-19,14
2020-08-20,14
2020-08-21,14
2020-08-22,14
2020-08-23,14
2020-08-24,14
2020-08-25,14
2020-08-26,14
2020-08-27,14
2020-08-28,14
2020-08-29,14
2020-08-30,14
2020-08-31,14
2020-09-01,14
2020-09-02,14
2020-09-03,14
2020-09-04,14
2020-09-05,14
2020-09-06,14
2020-09-07,14
2020-09-08,14
2020-09-09,14
2020-09-10,14
2020-09-11,14
2020-09-12,14
2020-09-13,14
2020-09-14,14
2020-09-15,14
2020-09-16,14
2020-09-17,14
2020-09-18,14
2020-09-19,14
2020-09-20,14
2020-09-21,14
2020-09-22,14
2020-09-23,14
2020-09-24,14
2020-09-25,14
2020-09-26,14
2020-09-27,14
2020-09-28,14
2020-09-29,14
2020-09-30,14
2020-10-01,14
2020-10-02,14
2020-10-03,14
2020-10-04,14
2020-10-05,14
2020-10-06,14
2020-10-07,14
2020-10-08,14
2020-10-09,15
2020-10-10,16
2020-10-11,16
2020-10-12,16
2020-10-13,16
2020-10-14,16
2020-10-15,16
2020-10-16,16
2020-10-17,16
2020-10-18,16
2020-10-19,16
2020-10-20,16
2020-10-21,16
2020-10-22,16
2020-10-23,17
2020-10-24,17
2020-10-25,17
2020-10-26,17
2020-10-27,17
2020-10-28,17
2020-10-29,17
2020-10-30,17
2020-10-31,17
2020-11-01,17
2020-11-02,17
2020-11-03,17
2020-11-04,17
2020-11-05,17
2020-11-06,17
2020-11-07,17
2020-11-08,17
2020-11-09,17
2020-11-10,17
2020-11-11,17
2020-11-12,17
2020-11-13,17
2020-11-14,17
2020-11-15,17
2020-11-16,17
2020-11-17,18
2020-11-18,18
2020-11-19,18
2020-11-20,18
2020-11-21,18
2020-11-22,18
2020-11-23,18
2020-11-24,18
2020-11-25,18
2020-11-26,18
2020-11-27,18
2020-11-28,18
2020-11-29,18
2020-11-30,18
2020-12-01,18
2020-12-02,18
2020-12-03,18
2020-12-04,18
2020-12-05,18
2020-12-06,18
2020-12-07,18
2020-12-08,18
2020-12-09,18
2020-12-10,19
2020-12-11,19
2020-12-12,19
2020-12-13,19
2020-12-14,19
2020-12-15,19
2020-12-16,19
2020-12-17,19
2020-12-18,19
2020-12-19,19
2020-12-20,19
2020-12-21,19
2020-12-22,24
2020-12-23,24
2020-12-24,24
2020-12-25,26
2020-12-26,26
2020-12-27,26
2020-12-28,26
2020-12-29,26
2020-12-30,27
2020-12-31,27
2021-01-01,27
2021-01-02,27
2021-01-03,27
2021-01-04,27
2021-01-05,27
2021-01-06,28
2021-01-07,28
2021-01-08,28
2021-01-09,29
2021-01-10,29
2021-01-11,29
2021-01-12,29
2021-01-13,29
2021-01-14,29
2021-01-15,30
2021-01-16,30
2021-01-17,30
2021-01-18,30
2021-01-19,30
2021-01-20,30
2021-01-21,30
2021-01-22,30
2021-01-23,30
2021-01-24,30
2021-01-25,30
2021-01-26,30
2021-01-27,30
2021-01-28,30
2021-01-29,30
2021-01-30,30
2021-01-31,30
2021-02-01,30
2021-02-02,30
2021-02-03,30
2021-02-04,30
2021-02-05,30
2021-02-06,30
2021-02-07,30
2021-02-08,30
2021-02-09,30
2021-02-10,30
2021-02-11,30
2021-02-12,30
2021-02-13,30
2021-02-14,30
2021-02-15,30
2021-02-16,30
2021-02-17,30
2021-02-18,30
2021-02-19,30
2021-02-20,30
2021-02-21,30
2021-02-22,30
2021-02-23,30
2021-02-24,30
2021-02-25,30
2021-02-26,30
2021-02-27,30
2021-02-28,30
2021-03-01,30
2021-03-02,30
2021-03-03,30
2021-03-04,31
2021-03-05,31
2021-03-06,31
2021-03-07,31
2021-03-08,31
2021-03-09,31
2021-03-10,31
2021-03-11,31
2021-03-12,31
2021-03-13,31
2021-03-14,31
2021-03-15,31
2021-03-16,31
2021-03-17,31
2021-03-18,31
2021-03-19,31
2021-03-20,31
2021-03-21,31
2021-03-22,31
2021-03-23,31
2021-03-24,31
2021-03-25,31
2021-03-26,31
2021-03-27,31
2021-03-28,31
2021-03-29,31
2021-03-30,31
2021-03-31,31
2021-04-01,31
2021-04-02,31
2021-04-03,31
2021-04-04,31
2021-04-05,31
2021-04-06,31
2021-04-07,31
2021-04-08,31
2021-04-09,31
2021-04-10,31
2021-04-11,31
2021-04-12,31
2021-04-13,31
2021-04-14,31
2021-04-15,31
2021-04-16,31
2021-04-17,31
2021-04-18,31
2021-04-19,31
2021-04-20,31
2021-04-21,31
2021-04-22,31
2021-04-23,31
2021-04-24,31
2021-04-25,31
2021-04-26,31
2021-04-27,31
2021-04-28,31
2021-04-29,31
2021-04-30,31
2021-05-01,31
2021-05-02,31
2021-05-03,31
2021-05-04,31
2021-05-05,31
2021-05-06,31
2021-05-07,31
2021-05-08,31
2021-05-09,31
2021-05-10,31
2021-05-11,31
2021-05-12,31
2021-05-13,31
2021-05-14,31
2021-05-15,31
2021-05-16,31
2021-05-17,31
2021-05-18,31
2021-05-19,31
2021-05-20,34
2021-05-21,34
2021-05-22,34
2021-05-23,34
2021-05-24,34
2021-05-25,34
2021-05-26,34
2021-05-27,36
2021-05-28,36
2021-05-29,37
2021-05-30,40
2021-05-31,40
2021-06-01,40
2021-06-02,40
2021-06-03,40
2021-06-04,40
2021-06-05,40
2021-06-06,43
2021-06-07,43
2021-06-08,43
2021-06-09,43
2021-06-10,43
2021-06-11,43
2021-06-12,44
2021-06-13,44
2021-06-14,44
2021-06-15,44
2021-06-16,49
2021-06-17,49
2021-06-18,49
2021-06-19,49
2021-06-20,49
2021-06-21,50
2021-06-22,50
2021-06-23,50
2021-06-24,50
2021-06-25,50
2021-06-26,50
2021-06-27,50
2021-06-28,50
2021-06-29,50
2021-06-30,50
2021-07-01,50
2021-07-02,50
2021-07-03,50
2021-07-04,50
2021-07-05,51
2021-07-06,51
2021-07-07,51
2021-07-08,51
2021-07-09,51
2021-07-10,51
2021-07-11,52
2021-07-12,55
2021-07-13,55
2021-07-14,64
2021-07-15,65
2021-07-16,66
2021-07-17,69
2021-07-18,72
2021-07-19,78
2021-07-20,83
2021-07-21,83
2021-07-22,84
2021-07-23,85
2021-07-24,89
2021-07-25,92
2021-07-26,92
2021-07-27,92
2021-07-28,109
2021-07-29,110
2021-07-30,118
2021-07-31,118
2021-08-01,119
2021-08-02,122
2021-08-03,122
2021-08-04,122
2021-08-05,135
2021-08-06,151
2021-08-07,160
2021-08-08,168
2021-08-09,175
2021-08-10,182
2021-08-11,187
2021-08-12,201
2021-08-13,221
2021-08-14,235
2021-08-15,245
2021-08-16,245
