dates,cumulativecount_vaccine_covid_19_administered
2021-02-25,0
2021-02-27,2224
2021-03-01,2427
2021-03-11,19947
2021-03-12,28534
2021-03-13,30890
2021-03-14,34217
2021-03-15,42330
2021-03-16,48130
2021-03-17,55060
2021-03-18,60182
2021-03-19,66399
2021-03-20,68852
2021-03-21,69266
2021-03-22,72405
2021-03-23,78350
2021-03-24,83076
2021-03-25,88694
2021-03-26,91918
2021-03-27,93601
2021-03-28,94272
2021-03-29,98920
2021-03-30,104919
2021-03-31,108165
2021-04-01,110438
2021-04-02,112751
2021-04-03,114511
2021-04-04,116221
2021-04-05,119558
2021-04-06,123473
2021-04-07,127945
2021-04-08,132611
2021-04-09,137716
2021-04-10,139010
2021-04-11,139490
2021-04-12,143488
2021-04-13,147614
2021-04-14,150898
2021-04-15,154556
2021-04-16,157745
2021-04-17,157799
2021-04-18,157800
2021-04-19,158918
2021-04-20,160370
2021-04-21,162110
2021-04-22,163438
2021-04-23,165271
2021-04-26,166209
2021-04-27,167447
2021-04-28,168367
2021-04-29,170109
2021-04-30,170833
2021-05-01,171267
2021-05-02,171695
2021-05-03,172490
2021-05-04,176102
2021-05-05,182332
2021-05-06,191128
2021-05-07,204328
2021-05-08,206951
2021-05-10,217348
2021-05-11,232949
2021-05-12,245772
2021-05-13,259768
2021-05-14,274434
2021-05-15,276843
2021-05-16,279902
2021-05-17,293643
2021-05-18,308299
2021-05-19,323720
2021-05-20,337356
2021-05-21,350418
2021-05-22,352111
2021-05-23,352941
2021-05-24,363400
2021-05-25,409532
2021-05-26,429959
2021-05-27,452100
2021-05-28,478753
2021-05-29,485004
2021-05-30,488129
2021-05-31,514240
2021-06-01,540944
2021-06-02,561976
2021-06-03,580186
2021-06-04,594780
2021-06-05,595590
2021-06-06,596858
2021-06-07,607689
2021-06-08,620011
2021-06-09,632992
2021-06-10,647339
2021-06-11,661648
2021-06-12,664722
2021-06-13,667044
2021-06-14,683752
2021-06-15,712099
2021-06-16,745323
2021-06-17,775390
2021-06-18,805585
2021-06-19,808754
2021-06-20,813278
2021-06-21,836639
2021-06-22,859739
2021-06-23,880570
2021-06-24,900370
2021-06-25,918047
2021-06-26,920215
2021-06-27,922560
2021-06-28,925387
2021-06-29,938005
2021-06-30,948878
2021-07-01,957886
2021-07-03,968734
2021-07-04,970183
2021-07-05,980255
2021-07-06,992483
2021-07-07,1002959
2021-07-08,1014644
2021-07-09,1028399
2021-07-11,1034310
2021-07-12,1051395
2021-07-13,1092916
2021-07-14,1146477
2021-07-15,1202164
2021-07-16,1259164
2021-07-17,1274825
2021-07-18,1288797
2021-07-20,1396843
2021-07-21,1462767
2021-07-22,1531709
2021-07-23,1664494
2021-07-24,1700692
2021-07-25,1726905
2021-07-26,1798598
2021-07-27,1877250
2021-07-28,1950167
2021-07-29,2028885
2021-07-30,2108172
2021-07-31,2160074
2021-08-01,2208301
2021-08-02,2285975
2021-08-03,2376520
2021-08-04,2475160
2021-08-05,2557374
2021-08-06,2631804
2021-08-07,2673011
2021-08-08,2698865
2021-08-09,2777441
2021-08-10,2867290
2021-08-12,3066401
2021-08-13,3177622
2021-08-14,3222455
2021-08-15,3249244
2021-08-16,3315819
2021-08-17,3423977
2021-08-18,3528413
2021-08-19,3635762
2021-08-20,3747055
2021-08-21,3790899
2021-08-22,3824281
2021-08-23,3919668
2021-08-24,4027957
2021-08-25,4124813
2021-08-26,4224046
2021-08-27,4332914
2021-08-28,4383318
2021-08-29,4416495
2021-08-30,4508175
2021-08-31,4607145
2021-09-01,4699503
2021-09-02,4786631
2021-09-03,4859452
2021-09-04,4905431
2021-09-05,4937573
2021-09-09,5334183
2021-09-10,5455282
2021-09-11,5524648
2021-09-12,5589348
2021-09-13,5700915
2021-09-14,5812857
2021-09-15,5862778
2021-09-16,5964194
2021-09-17,6070294
2021-09-18,6118069
2021-09-19,6148726
2021-09-20,6243535
2021-09-21,6335998
2021-09-22,6424045
2021-09-23,6511719
2021-09-24,6607982
2021-09-25,6653056
2021-09-26,6682813
2021-09-27,6757605
2021-09-28,6834159
2021-09-29,6904008
2021-09-30,6977782
2021-10-01,7057840
2021-10-02,7100558
2021-10-03,7133392
2021-10-04,7213436
2021-10-05,7302717
2021-10-06,7392283
2021-10-07,7478725
2021-10-08,7573644
2021-10-09,7618658
2021-10-10,7650606
2021-10-11,7728550
2021-10-12,7809902
2021-10-13,7881191
2021-10-14,7944209
2021-10-15,8010612
2021-10-16,8036610
2021-10-17,8054936
2021-10-18,8113337
2021-10-19,8167013
2021-10-20,8193031
2021-10-21,8244177
2021-10-22,8295369
2021-10-23,8316740
2021-10-24,8329583
2021-10-25,8376696
2021-10-26,8423218
2021-10-27,8469554
2021-10-28,8513344
2021-10-29,8563828
2021-10-30,8583003
2021-10-31,8596046
2021-11-01,8602132
2021-11-02,8638956
2021-11-03,8686555
2021-11-04,8734119
2021-11-05,8787762
2021-11-06,8810088
2021-11-07,8825957
2021-11-08,8884315
2021-11-09,8943271
2021-11-10,9000182
2021-11-11,9059336
2021-11-12,9124208
2021-11-13,9152370
2021-11-14,9174307
2021-11-15,9236146
2021-11-16,9292724
2021-11-17,9353918
2021-11-18,9406306
2021-11-19,9469775
2021-11-20,9511940
2021-11-21,9550884
2021-11-22,9619772
2021-11-23,9692583
2021-11-24,9766742
2021-11-25,9839426
2021-11-26,9880710
2021-11-27,9909441
2021-11-28,9932189
2021-11-29,10001156
2021-11-30,10070646
2021-12-01,10129197
2021-12-02,10188787
2021-12-03,10243999
2021-12-04,10266743
2021-12-05,10283642
2021-12-06,10339182
2021-12-07,10398522
2021-12-08,10449382
2021-12-09,10502979
2021-12-10,10553291
2021-12-11,10573206
2021-12-12,10586654
2021-12-13,10634416
2021-12-14,10682603
2021-12-15,10734808
2021-12-16,10787179
2021-12-17,10835316
2021-12-18,10857262
2021-12-19,10876243
2021-12-20,10996848
2021-12-21,11060563
2021-12-22,11109992
2021-12-23,11133533
2021-12-24,11136611
2021-12-25,11138321
2021-12-26,11145170
2021-12-27,11195184
2021-12-28,11247608
2021-12-29,11290266
2021-12-30,11307681
2021-12-31,11310579
2022-01-01,11311681
2022-01-02,11315836
2022-01-03,11350169
2022-01-04,11394232
2022-01-05,11438709
2022-01-06,11517446
2022-01-07,11620036
2022-01-08,11682768
2022-01-09,11754011
2022-01-10,11854725
2022-01-11,11960896
2022-01-12,12072818
2022-01-13,12180181
2022-01-14,12288429
2022-01-15,12338759
2022-01-16,12398482
2022-01-17,12501559
2022-01-18,12610630
2022-01-19,12709408
2022-01-20,12802759
2022-01-21,12898674
2022-01-22,12943087
2022-01-23,12971548
2022-01-24,13043629
2022-01-25,13112475
2022-01-26,13179817
2022-01-27,13243337
2022-01-28,13308240
2022-01-29,13339029
2022-01-30,13379287
2022-01-31,13451175
2022-02-01,13489474
2022-02-02,13582801
2022-02-03,13636210
2022-02-04,13694000
2022-02-05,13719255
2022-02-06,13739382
2022-02-07,13792986
2022-02-08,13847127
2022-02-09,13925751
2022-02-10,13954949
2022-02-11,14031764
2022-02-12,14055883
2022-02-13,14071435
2022-02-14,14114594
2022-02-15,14162640
2022-02-18,14213083
2022-02-23,14413489
2022-02-25,14535479
2022-03-02,14749970
2022-03-04,14900511
2022-03-09,15014105
2022-03-11,15141507
2022-03-16,15268039
2022-03-18,15383061
2022-03-23,15620340
2022-03-25,15845925
2022-03-30,16120084
2022-04-01,16257175
2022-04-08,16528362
2022-04-15,16674518
2022-04-22,16708547
2022-04-29,16924763
2022-05-06,17045569
2022-05-13,17156565
2022-05-20,17289566
2022-05-27,17435586
2022-06-03,17558698
2022-06-08,17618775
2022-06-10,17654507
2022-06-15,17723327
2022-06-17,17758404
2022-06-22,17802733
2022-06-24,17860168
2022-06-30,17921400
2022-07-01,17957760
2022-07-07,17996515
2022-07-08,18035992
2022-07-13,18105907
2022-07-15,18198685
2022-07-22,18260144
2022-07-27,18355848
2022-07-29,18432577
2022-08-03,18582031
2022-08-05,18816306
2022-08-12,18910657
2022-08-17,19000711
2022-08-19,19110912
2022-08-24,19185401
2022-08-26,19281914
2022-09-02,19402932
2022-09-09,19473335
2022-09-16,19553871
2022-09-23,19602417
2022-09-30,19670066
2022-10-07,19725770
2022-10-14,19769935
2022-10-21,19814697
2022-10-28,19853919
2022-11-11,19896706
2022-11-16,19920061
2022-11-18,19926742
2022-12-02,19948076
2022-12-07,19950874
2022-12-09,19951539
2022-12-15,19953123
2022-12-16,19954034
2022-12-22,19955569
2023-01-03,19958551
2023-01-06,19975346
2023-01-12,20004849
2023-01-13,20012686
2023-01-20,20056469
2023-01-27,20102040
2023-02-03,20136327
2023-02-10,20160469
2023-02-17,20187207
2023-02-24,20213798
2023-03-03,20242312
2023-03-10,20257676
2023-03-17,20273678
2023-03-31,20315679
