dates,incrementalcount_medicaltest_conditioncovid_19
2020-02-17,1
2020-02-26,1
2020-02-28,2
2020-03-02,1
2020-03-03,2
2020-03-06,1
2020-03-08,2
2020-03-09,4
2020-03-10,3
2020-03-11,10
2020-03-12,12
2020-03-13,19
2020-03-14,6
2020-03-15,22
2020-03-16,34
2020-03-17,45
2020-03-18,51
2020-03-19,35
2020-03-20,57
2020-03-21,23
2020-03-22,37
2020-03-23,8
2020-03-24,140
2020-03-25,94
2020-03-26,4
2020-03-27,120
2020-03-28,63
2020-03-29,18
2020-03-30,45
2020-03-31,34
2020-04-01,40
2020-04-02,46
2020-04-03,73
2020-04-04,21
2020-04-05,64
2020-04-06,66
2020-04-07,64
2020-04-08,178
2020-04-09,48
2020-04-10,39
2020-04-11,271
2020-04-12,87
2020-04-13,80
2020-04-14,51
2020-04-15,275
2020-04-16,270
2020-04-17,79
2020-04-18,131
2020-04-19,249
2020-04-20,102
2020-04-21,424
2020-04-22,138
2020-04-23,345
2020-04-24,80
2020-04-25,420
2020-04-26,148
2020-04-27,216
2020-04-28,266
2020-04-29,256
2020-04-30,200
2020-05-01,394
2020-05-02,91
2020-05-03,96
2020-05-04,220
2020-05-05,270
2020-05-06,300
2020-05-07,470
2020-05-08,411
2020-05-09,668
2020-05-10,253
2020-05-11,215
2020-05-12,401
2020-05-13,642
2020-05-14,607
2020-05-15,778
2020-05-16,607
2020-05-17,340
2020-05-18,851
2020-05-19,700
2020-05-20,651
2020-05-21,1153
2020-05-22,1034
2020-05-23,972
2020-05-24,611
2020-05-25,713
2020-05-26,1058
2020-05-27,1085
2020-05-28,813
2020-05-29,732
2020-05-30,600
2020-05-31,483
2020-06-01,769
2020-06-02,566
2020-06-03,688
2020-06-04,908
2020-06-05,992
2020-06-06,618
2020-06-07,747
2020-06-08,1174
2020-06-09,779
2020-06-10,896
2020-06-11,508
2020-06-12,937
2020-06-13,421
2020-06-14,722
2020-06-15,1662
2020-06-16,1462
2020-06-17,1571
2020-06-18,1912
2020-06-19,1391
2020-06-20,637
2020-06-21,891
2020-06-22,1686
2020-06-23,1818
2020-06-24,1073
2020-06-25,2306
2020-06-26,1965
2020-06-27,1420
2020-06-28,808
2020-06-29,1673
2020-06-30,2812
2020-07-01,2819
2020-07-02,3323
2020-07-03,3671
2020-07-04,2929
2020-07-05,2272
2020-07-06,2960
2020-07-07,1766
2020-07-08,3386
2020-07-09,2969
2020-07-10,2931
2020-07-11,1826
2020-07-12,1175
2020-07-13,3248
2020-07-14,3227
2020-07-15,3265
2020-07-16,3397
2020-07-17,3468
2020-07-18,1987
2020-07-19,1115
2020-07-20,3916
2020-07-21,4112
2020-07-22,3494
2020-07-23,3178
2020-07-24,3889
2020-07-25,1887
2020-07-26,551
2020-07-27,3892
2020-07-28,3820
2020-07-29,4325
2020-07-30,4104
2020-07-31,3904
2020-08-01,1455
2020-08-02,572
2020-08-03,3059
2020-08-04,3804
2020-08-05,3247
2020-08-06,3280
2020-08-07,3195
2020-08-08,1651
2020-08-09,829
2020-08-10,3582
2020-08-11,4119
2020-08-12,4078
2020-08-13,4350
2020-08-14,3872
2020-08-15,933
2020-08-16,753
2020-08-17,3726
2020-08-18,4041
2020-08-19,4292
2020-08-20,3673
2020-08-21,3341
2020-08-22,1095
2020-08-23,868
2020-08-24,4352
2020-08-25,4072
2020-08-26,4025
2020-08-27,3876
2020-08-28,3180
2020-08-29,1193
2020-08-30,772
2020-08-31,3267
2020-09-01,3203
2020-09-02,3054
2020-09-03,2760
2020-09-04,2159
2020-09-05,951
2020-09-06,578
2020-09-07,3058
2020-09-08,3406
2020-09-09,3196
2020-09-10,2986
2020-09-11,2417
2020-09-12,988
2020-09-13,781
2020-09-14,1978
2020-09-15,631
2020-09-16,2830
2020-09-17,3178
2020-09-18,2785
2020-09-19,1130
2020-09-20,1179
2020-09-21,3387
2020-09-22,3111
2020-09-23,2277
2020-09-24,4001
2020-09-25,4280
2020-09-26,1701
2020-09-27,785
2020-09-28,3441
2020-09-29,4575
2020-09-30,3976
2020-10-01,4128
2020-10-02,3371
2020-10-03,1253
2020-10-04,767
2020-10-05,3538
2020-10-06,4085
2020-10-07,5206
2020-10-08,2656
2020-10-09,3984
2020-10-10,1757
2020-10-11,761
2020-10-12,3701
2020-10-13,4245
2020-10-14,4512
