dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,5
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,0
2020-03-18,4
2020-03-19,0
2020-03-20,0
2020-03-21,4
2020-03-22,0
2020-03-23,3
2020-03-24,1
2020-03-25,1
2020-03-26,3
2020-03-27,5
2020-03-28,3
2020-03-29,0
2020-03-30,0
2020-03-31,12
2020-04-01,3
2020-04-02,5
2020-04-03,4
2020-04-04,2
2020-04-05,5
2020-04-06,4
2020-04-07,2
2020-04-08,4
2020-04-09,5
2020-04-10,6
2020-04-11,1
2020-04-12,2
2020-04-13,0
2020-04-14,2
2020-04-15,0
2020-04-16,7
2020-04-17,1
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,1
2020-04-22,0
2020-04-23,0
2020-04-24,10
2020-04-25,2
2020-04-26,0
2020-04-27,0
2020-04-28,2
2020-04-29,13
2020-04-30,1
2020-05-01,1
2020-05-02,2
2020-05-03,0
2020-05-04,0
2020-05-05,5
2020-05-06,0
2020-05-07,5
2020-05-08,0
2020-05-09,3
2020-05-10,0
2020-05-11,3
2020-05-12,0
2020-05-13,2
2020-05-14,7
2020-05-15,11
2020-05-16,20
2020-05-17,5
2020-05-18,8
2020-05-19,0
2020-05-20,13
2020-05-21,8
2020-05-22,19
2020-05-23,12
2020-05-24,12
2020-05-25,18
2020-05-26,49
2020-05-27,25
2020-05-28,31
2020-05-29,25
2020-05-30,27
2020-05-31,0
2020-06-01,41
2020-06-02,22
2020-06-03,18
2020-06-04,16
2020-06-05,23
2020-06-06,33
2020-06-07,50
2020-06-08,50
2020-06-09,40
2020-06-10,44
2020-06-11,92
2020-06-12,52
2020-06-13,126
2020-06-14,118
2020-06-15,94
2020-06-16,71
2020-06-17,95
2020-06-18,133
2020-06-19,204
2020-06-20,211
2020-06-21,194
2020-06-22,278
2020-06-23,17
2020-06-24,135
2020-06-25,234
2020-06-26,206
2020-06-27,237
2020-06-28,191
2020-06-29,0
2020-06-30,313
2020-07-01,230
2020-07-02,264
2020-07-03,176
2020-07-04,114
2020-07-05,355
2020-07-06,0
2020-07-07,141
2020-07-08,124
2020-07-09,281
2020-07-10,99
2020-07-11,146
2020-07-12,245
2020-07-13,0
2020-07-14,221
2020-07-15,59
2020-07-16,70
2020-07-17,94
2020-07-18,116
2020-07-19,146
2020-07-20,0
2020-07-21,90
2020-07-22,106
2020-07-23,32
2020-07-24,203
2020-07-25,165
2020-07-26,81
2020-07-27,0
2020-07-28,182
2020-07-29,48
2020-07-30,85
2020-07-31,81
2020-08-01,71
2020-08-02,58
2020-08-03,0
2020-08-04,91
2020-08-05,50
2020-08-06,71
2020-08-07,58
2020-08-08,77
2020-08-09,63
2020-08-10,0
2020-08-11,57
2020-08-12,36
2020-08-13,63
2020-08-14,48
2020-08-15,78
2020-08-16,39
2020-08-17,0
2020-08-18,34
2020-08-19,35
2020-08-20,54
2020-08-21,32
2020-08-22,34
2020-08-23,20
2020-08-24,0
2020-08-25,78
2020-08-26,29
2020-08-27,32
2020-08-28,46
2020-08-29,40
2020-08-30,54
2020-08-31,0
2020-09-01,39
2020-09-02,39
2020-09-03,55
2020-09-04,42
2020-09-05,25
2020-09-06,46
2020-09-07,0
2020-09-08,33
2020-09-09,32
2020-09-10,31
2020-09-11,44
2020-09-12,32
2020-09-13,27
2020-09-14,0
2020-09-15,31
2020-09-16,26
2020-09-17,17
2020-09-18,28
2020-09-19,36
2020-09-20,33
2020-09-21,0
2020-09-22,20
2020-09-23,26
2020-09-24,24
2020-09-25,28
2020-09-26,41
2020-09-27,32
2020-09-28,0
2020-09-29,32
2020-09-30,34
2020-10-01,26
2020-10-02,11
2020-10-03,2
2020-10-04,61
2020-10-05,0
2020-10-06,28
2020-10-07,13
2020-10-08,33
2020-10-09,25
2020-10-10,16
2020-10-11,0
2020-10-12,0
2020-10-13,36
2020-10-14,12
2020-10-15,10
2020-10-16,31
2020-10-17,6
2020-10-18,0
2020-10-19,4
2020-10-20,25
2020-10-21,0
2020-10-22,27
2020-10-23,47
2020-10-24,0
2020-10-25,34
2020-10-26,0
2020-10-27,9
2020-10-28,12
2020-10-29,7
2020-10-30,21
2020-10-31,0
2020-11-01,111
2020-11-02,0
2020-11-03,0
2020-11-04,41
2020-11-05,14
2020-11-06,29
2020-11-07,27
2020-11-08,57
2020-11-09,0
2020-11-10,11
2020-11-11,14
2020-11-12,33
2020-11-13,18
2020-11-14,28
2020-11-15,36
2020-11-16,0
2020-11-17,32
2020-11-18,24
2020-11-19,30
2020-11-20,20
2020-11-21,37
2020-11-22,27
2020-11-23,0
2020-11-24,28
2020-11-25,37
2020-11-26,37
2020-11-27,22
2020-11-28,20
2020-11-29,21
2020-11-30,0
2020-12-01,25
2020-12-02,36
2020-12-03,43
2020-12-04,35
2020-12-05,16
2020-12-06,73
2020-12-07,0
2020-12-08,51
2020-12-09,55
2020-12-10,87
2020-12-11,77
2020-12-12,78
2020-12-13,45
2020-12-14,0
2020-12-15,55
2020-12-16,51
2020-12-17,120
2020-12-18,137
2020-12-19,118
2020-12-20,88
2020-12-21,0
2020-12-22,64
2020-12-23,66
2020-12-24,48
2020-12-25,138
2020-12-26,0
2020-12-27,88
2020-12-28,6
2020-12-29,53
2020-12-30,64
2020-12-31,149
2021-01-01,121
2021-01-02,107
2021-01-03,0
2021-01-04,0
2021-01-05,101
2021-01-06,123
2021-01-07,135
2021-01-08,193
2021-01-09,145
2021-01-10,143
2021-01-11,0
2021-01-12,108
2021-01-13,149
2021-01-14,156
2021-01-15,128
2021-01-16,122
2021-01-17,199
2021-01-18,0
2021-01-19,80
2021-01-20,132
2021-01-21,124
2021-01-22,120
2021-01-23,129
2021-01-24,104
2021-01-25,0
2021-01-26,38
2021-01-27,77
2021-01-28,78
2021-01-29,75
2021-01-30,96
2021-01-31,55
2021-02-01,0
2021-02-02,51
2021-02-03,51
2021-02-04,33
2021-02-05,46
2021-02-06,32
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,160
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,73
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,98
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,66
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,71
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,158
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,210
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,186
2021-04-08,0
2021-04-09,123
2021-04-10,108
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,157
2021-04-15,100
2021-04-16,77
2021-04-17,82
2021-04-18,116
2021-04-19,0
2021-04-20,0
2021-04-21,180
2021-04-22,0
2021-04-23,284
2021-04-24,148
2021-04-25,133
2021-04-26,0
2021-04-27,0
2021-04-28,178
2021-04-29,95
2021-04-30,165
2021-05-01,140
2021-05-02,139
2021-05-03,0
2021-05-04,154
2021-05-05,185
2021-05-06,196
2021-05-07,148
2021-05-08,140
2021-05-09,0
2021-05-10,0
2021-05-11,278
2021-05-12,233
2021-05-13,229
2021-05-14,327
2021-05-15,32
2021-05-16,0
2021-05-17,0
2021-05-18,380
2021-05-19,0
2021-05-20,270
2021-05-21,267
2021-05-22,228
2021-05-23,170
2021-05-24,0
2021-05-25,321
2021-05-26,71
2021-05-27,208
2021-05-28,229
2021-05-29,154
2021-05-30,0
2021-05-31,0
2021-06-01,273
2021-06-02,176
2021-06-03,153
2021-06-04,169
2021-06-05,191
2021-06-06,0
2021-06-07,0
2021-06-08,210
2021-06-09,158
2021-06-10,199
2021-06-11,0
2021-06-12,214
2021-06-13,0
2021-06-14,0
2021-06-15,282
2021-06-16,162
2021-06-17,193
2021-06-18,0
2021-06-19,307
2021-06-20,0
2021-06-21,0
2021-06-22,197
2021-06-23,152
2021-06-24,33
2021-06-25,208
2021-06-26,135
2021-06-27,111
2021-06-28,0
2021-06-29,32
2021-06-30,97
2021-07-01,121
2021-07-02,92
2021-07-03,102
2021-07-04,0
2021-07-05,0
2021-07-06,157
2021-07-07,109
2021-07-08,85
2021-07-09,118
2021-07-10,82
2021-07-11,0
2021-07-12,0
2021-07-13,140
2021-07-14,133
2021-07-15,127
2021-07-16,33
2021-07-17,89
2021-07-18,0
2021-07-19,0
2021-07-20,192
2021-07-21,138
2021-07-22,152
2021-07-23,134
2021-07-24,114
2021-07-25,0
2021-07-26,0
2021-07-27,153
2021-07-28,128
2021-07-29,136
2021-07-30,90
2021-07-31,124
2021-08-01,0
2021-08-02,0
2021-08-03,165
2021-08-04,120
2021-08-05,162
2021-08-06,145
2021-08-07,119
2021-08-08,0
2021-08-09,0
2021-08-10,224
2021-08-11,177
2021-08-12,163
2021-08-13,194
2021-08-14,193
2021-08-15,0
2021-08-16,0
