dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,4
2020-03-17,4
2020-03-18,4
2020-03-19,4
2020-03-20,5
2020-03-21,5
2020-03-22,5
2020-03-23,5
2020-03-24,5
2020-03-25,5
2020-03-26,5
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,8
2020-04-01,12
2020-04-02,19
2020-04-03,19
2020-04-04,19
2020-04-05,23
2020-04-06,24
2020-04-07,29
2020-04-08,31
2020-04-09,33
2020-04-10,37
2020-04-11,37
2020-04-12,37
2020-04-13,37
2020-04-14,47
2020-04-15,47
2020-04-16,48
2020-04-17,55
2020-04-18,57
2020-04-19,63
2020-04-20,63
2020-04-21,65
2020-04-22,66
2020-04-23,67
2020-04-24,67
2020-04-25,70
2020-04-26,73
2020-04-27,74
2020-04-28,74
2020-04-29,74
2020-04-30,75
2020-05-01,78
2020-05-02,82
2020-05-03,82
2020-05-04,82
2020-05-05,82
2020-05-06,92
2020-05-07,93
2020-05-08,93
2020-05-09,93
2020-05-10,93
2020-05-11,97
2020-05-12,104
2020-05-13,109
2020-05-14,113
2020-05-15,113
2020-05-16,113
2020-05-17,116
2020-05-18,117
2020-05-19,117
2020-05-20,124
2020-05-21,125
2020-05-22,125
2020-05-23,127
2020-05-24,127
2020-05-25,127
2020-05-26,135
2020-05-27,137
2020-05-28,139
2020-05-29,139
2020-05-30,150
2020-05-31,150
2020-06-01,152
2020-06-02,153
2020-06-03,153
2020-06-04,153
2020-06-05,153
2020-06-06,153
2020-06-07,153
2020-06-08,154
2020-06-09,154
2020-06-10,154
2020-06-11,156
2020-06-12,156
2020-06-13,158
2020-06-14,159
2020-06-15,159
2020-06-16,159
2020-06-17,159
2020-06-18,171
2020-06-19,183
2020-06-20,183
2020-06-21,183
2020-06-22,183
2020-06-23,184
2020-06-24,205
2020-06-25,206
2020-06-26,209
2020-06-27,215
2020-06-28,230
2020-06-29,230
2020-06-30,230
2020-07-01,235
2020-07-02,245
2020-07-03,248
2020-07-04,250
2020-07-05,256
2020-07-06,272
2020-07-07,273
2020-07-08,278
2020-07-09,284
2020-07-10,285
2020-07-11,286
2020-07-12,290
2020-07-13,291
2020-07-14,297
2020-07-15,300
2020-07-16,308
2020-07-17,313
2020-07-18,315
2020-07-19,320
2020-07-20,327
2020-07-21,336
2020-07-22,337
2020-07-23,339
2020-07-24,350
2020-07-25,351
2020-07-26,352
2020-07-27,360
2020-07-28,370
2020-07-29,389
2020-07-30,396
2020-07-31,398
2020-08-01,401
2020-08-02,413
2020-08-03,430
2020-08-04,474
2020-08-05,474
2020-08-06,497
2020-08-07,509
2020-08-08,538
2020-08-09,538
2020-08-10,554
2020-08-11,568
2020-08-12,568
2020-08-13,602
2020-08-14,623
2020-08-15,631
2020-08-16,649
2020-08-17,674
2020-08-18,709
2020-08-19,709
2020-08-20,737
2020-08-21,776
2020-08-22,846
2020-08-23,881
2020-08-24,925
2020-08-25,955
2020-08-26,1029
2020-08-27,1060
2020-08-28,1093
2020-08-29,1140
2020-08-30,1180
2020-08-31,1184
2020-09-01,1234
2020-09-02,1306
2020-09-03,1373
2020-09-04,1382
2020-09-05,1401
2020-09-06,1416
2020-09-07,1459
2020-09-08,1468
2020-09-09,1560
2020-09-10,1613
2020-09-11,1703
2020-09-12,1750
2020-09-13,1763
2020-09-14,1812
2020-09-15,1853
2020-09-16,1884
2020-09-17,1958
2020-09-18,1984
2020-09-19,2027
2020-09-20,2102
2020-09-21,2168
2020-09-22,2269
2020-09-23,2402
2020-09-24,2437
2020-09-25,2535
2020-09-26,2579
2020-09-27,2709
2020-09-28,2725
2020-09-29,2772
2020-09-30,2787
2020-10-01,2846
2020-10-02,2894
2020-10-03,2929
2020-10-04,2968
2020-10-05,3005
2020-10-06,3093
2020-10-07,3188
2020-10-08,3188
2020-10-09,3292
2020-10-10,3329
2020-10-11,3358
2020-10-12,3405
2020-10-13,3469
2020-10-14,3521
2020-10-15,3565
2020-10-16,3589
2020-10-17,3620
2020-10-18,3672
2020-10-19,3710
2020-10-20,3734
2020-10-21,3765
2020-10-22,3796
2020-10-23,3850
2020-10-24,3877
2020-10-25,3960
2020-10-26,3994
2020-10-27,4023
2020-10-28,4026
2020-10-29,4061
2020-10-30,4074
2020-10-31,4098
2020-11-01,4143
2020-11-02,4162
2020-11-03,4208
2020-11-04,4238
2020-11-05,4245
2020-11-06,4324
2020-11-07,4393
2020-11-08,4457
2020-11-09,4484
2020-11-10,4514
2020-11-11,4524
2020-11-12,4530
2020-11-13,4618
2020-11-14,4662
2020-11-15,4724
2020-11-16,4794
2020-11-17,4823
2020-11-18,4874
2020-11-19,4890
2020-11-20,4914
2020-11-21,4976
2020-11-22,5005
2020-11-23,5093
2020-11-24,5133
2020-11-25,5154
2020-11-26,5189
2020-11-27,5236
2020-11-28,5276
2020-11-29,5310
2020-11-30,5338
2020-12-01,5376
2020-12-02,5406
2020-12-03,5423
2020-12-04,5449
2020-12-05,5528
2020-12-06,5601
2020-12-07,5637
2020-12-08,5665
2020-12-09,5697
2020-12-10,5700
2020-12-11,5732
2020-12-12,5811
2020-12-13,5839
2020-12-14,5879
2020-12-15,5920
2020-12-16,5943
2020-12-17,5973
2020-12-18,6016
2020-12-19,6042
2020-12-20,6076
2020-12-21,6105
2020-12-22,6125
2020-12-23,6171
2020-12-24,6216
2020-12-25,6258
2020-12-26,6266
2020-12-27,6289
2020-12-28,6293
2020-12-29,6298
2020-12-30,6298
2020-12-31,6301
2021-01-01,6319
2021-01-02,6332
2021-01-03,6351
2021-01-04,6358
2021-01-05,6358
2021-01-06,6379
2021-01-07,6407
2021-01-08,6407
2021-01-09,6469
2021-01-10,6469
2021-01-11,6541
2021-01-12,6574
2021-01-13,6588
2021-01-14,6653
2021-01-15,6696
2021-01-16,6745
2021-01-17,6805
2021-01-18,6851
2021-01-19,6908
2021-01-20,6931
2021-01-21,6950
2021-01-22,7015
2021-01-23,7067
2021-01-24,7143
2021-01-25,7222
2021-01-26,7298
2021-01-27,7317
2021-01-28,7346
2021-01-29,7380
2021-01-30,7470
2021-01-31,7528
2021-02-01,7581
2021-02-02,7641
2021-02-03,7654
2021-02-04,7678
2021-02-05,7714
2021-02-06,7780
2021-02-07,7887
2021-02-08,7939
2021-02-09,7982
2021-02-10,8023
2021-02-11,8041
2021-02-12,8092
2021-02-13,8135
2021-02-14,8181
2021-02-15,8207
2021-02-16,8231
2021-02-17,8232
2021-02-18,8262
2021-02-19,8313
2021-02-20,8338
2021-02-21,8357
2021-02-22,8399
2021-02-23,8420
2021-02-24,8427
2021-02-25,8452
2021-02-26,8457
2021-02-27,8485
2021-02-28,8513
2021-03-01,8550
2021-03-02,8585
2021-03-03,8595
2021-03-04,8626
2021-03-05,8648
2021-03-06,8699
2021-03-07,8729
2021-03-08,8772
2021-03-09,8807
2021-03-10,8814
2021-03-11,8847
2021-03-12,8928
2021-03-13,8993
2021-03-14,9069
2021-03-15,9121
2021-03-16,9160
2021-03-17,9187
2021-03-18,9238
2021-03-19,9322
2021-03-20,9442
2021-03-21,9486
2021-03-22,9585
2021-03-23,9649
2021-03-24,9668
2021-03-25,9732
2021-03-26,9820
2021-03-27,9898
2021-03-28,10007
2021-03-29,10072
2021-03-30,10168
2021-03-31,10182
2021-04-01,10192
2021-04-02,10249
2021-04-03,10249
2021-04-04,10446
2021-04-05,10540
2021-04-06,10580
2021-04-07,10606
2021-04-08,10637
2021-04-09,10718
2021-04-10,10853
2021-04-11,10958
2021-04-12,11044
2021-04-13,11149
2021-04-14,11189
2021-04-15,11277
2021-04-16,11374
2021-04-17,11527
2021-04-18,11642
2021-04-19,11762
2021-04-20,11863
2021-04-21,11901
2021-04-22,11972
2021-04-23,12132
2021-04-24,12234
2021-04-25,12448
2021-04-26,12600
2021-04-27,12703
2021-04-28,12754
2021-04-29,12826
2021-04-30,12963
2021-05-01,13106
2021-05-02,13283
2021-05-03,13404
2021-05-04,13518
2021-05-05,13564
2021-05-06,13656
2021-05-07,13829
2021-05-08,13957
2021-05-09,14037
2021-05-10,14203
2021-05-11,14362
2021-05-12,14442
2021-05-13,14531
2021-05-14,14659
2021-05-15,14845
2021-05-16,14988
2021-05-17,15168
2021-05-18,15271
2021-05-19,15352
2021-05-20,15454
2021-05-21,15607
2021-05-22,15743
2021-05-23,15743
2021-05-24,16014
2021-05-25,16130
2021-05-26,16235
2021-05-27,16320
2021-05-28,16556
2021-05-29,16654
2021-05-30,16724
2021-05-31,16822
2021-06-01,16910
2021-06-02,16952
2021-06-03,17114
2021-06-04,17257
2021-06-05,17376
2021-06-06,17459
2021-06-07,17617
2021-06-08,17665
2021-06-09,17718
2021-06-10,17805
2021-06-11,17805
2021-06-12,18088
2021-06-13,18088
2021-06-14,18088
2021-06-15,18386
2021-06-16,18446
2021-06-17,18530
2021-06-18,18658
2021-06-19,18658
2021-06-20,18837
2021-06-21,18973
2021-06-22,19096
2021-06-23,19144
2021-06-24,19234
2021-06-25,19359
2021-06-26,19565
2021-06-27,19674
2021-06-28,19774
2021-06-29,19877
2021-06-30,19891
2021-07-01,19959
2021-07-02,20055
2021-07-03,20142
2021-07-04,20305
2021-07-05,20305
2021-07-06,20378
2021-07-07,20389
2021-07-08,20568
2021-07-09,20645
2021-07-10,20757
2021-07-11,20834
2021-07-12,20924
