dates,incrementalcount_vaccine_covid_19_administered
2021-06-30,1866
2021-07-01,2580
2021-07-02,2160
2021-07-23,1115
2021-07-29,6379
2021-08-04,2391
2021-08-13,3506
2021-08-26,4763
2021-08-27,2755
2021-08-31,2303
2021-09-08,3425
2021-09-09,6844
2021-10-06,4365
2021-10-07,3633
2021-10-08,2813
2021-10-13,2626
2021-10-21,2791
2021-11-02,2446
2021-11-03,2820
2021-11-10,2651
2021-11-11,2451
2021-11-12,2429
2021-11-16,2635
2021-11-17,2239
2021-11-18,2015
2021-11-19,1959
2021-11-30,1902
2021-12-01,2484
2021-12-02,1676
2021-12-07,1523
2022-02-26,1018
2022-03-11,58394
