dates,covid19mobilitytrend_localbusiness
2020-02-15,-26
2020-02-16,-28
2020-02-17,-23
2020-02-18,-24
2020-02-19,-24
2020-02-20,-24
2020-02-21,-24
2020-02-22,-23
2020-02-23,-24
2020-02-24,-23
2020-02-25,-24
2020-02-26,-24
2020-02-27,-24
2020-02-28,-23
2020-02-29,-22
2020-03-01,-22
2020-03-02,-22
2020-03-03,-22
2020-03-04,-24
2020-03-05,-22
2020-03-06,-20
2020-03-07,-20
2020-03-08,-21
2020-03-09,-21
2020-03-10,-20
2020-03-11,-21
2020-03-12,-22
2020-03-13,-20
2020-03-14,-20
2020-03-15,-18
2020-03-16,-20
2020-03-17,-22
2020-03-18,-25
2020-03-19,-25
2020-03-20,-22
2020-03-21,-24
2020-03-22,-25
2020-03-23,-24
2020-03-24,-27
2020-03-25,-27
2020-03-26,-28
2020-03-27,-26
2020-03-28,-31
2020-03-29,-35
2020-03-30,-32
2020-03-31,-31
2020-04-01,-29
2020-04-02,-29
2020-04-03,-28
2020-04-04,-32
2020-04-05,-37
2020-04-06,-34
2020-04-07,-27
2020-04-08,-26
2020-04-09,-24
2020-04-10,-28
2020-04-11,-31
2020-04-12,-27
2020-04-13,-26
2020-04-14,-25
2020-04-15,-24
2020-04-16,-24
2020-04-17,-23
2020-04-18,-26
2020-04-19,-26
2020-04-20,-24
2020-04-21,-25
2020-04-22,-29
2020-04-23,-26
2020-04-24,-25
2020-04-25,-23
2020-04-26,-23
2020-04-27,-22
2020-04-28,-22
2020-04-29,-19
2020-04-30,-20
2020-05-01,-22
2020-05-02,-21
2020-05-03,-22
2020-05-04,-21
2020-05-05,-21
2020-05-06,-21
2020-05-07,-20
2020-05-08,-17
2020-05-09,-16
2020-05-10,-13
2020-05-11,-18
2020-05-12,-19
2020-05-13,-19
2020-05-14,-19
2020-05-15,-17
2020-05-16,-17
2020-05-17,-17
2020-05-18,-22
2020-05-19,-19
2020-05-20,-18
2020-05-21,-20
2020-05-22,-17
2020-05-23,-16
2020-05-24,-16
2020-05-25,-21
2020-05-26,-18
2020-05-27,-18
2020-05-28,-16
2020-05-29,-13
2020-05-30,-22
2020-05-31,-14
2020-06-01,-15
2020-06-02,-17
2020-06-03,-15
2020-06-04,-16
2020-06-05,-13
2020-06-06,-18
2020-06-07,-24
2020-06-08,-20
2020-06-09,-15
2020-06-10,-14
2020-06-11,-13
2020-06-12,-11
2020-06-13,-14
2020-06-14,-19
2020-06-15,-13
2020-06-16,-14
2020-06-17,-12
2020-06-18,-12
2020-06-19,-10
2020-06-20,-10
2020-06-21,-9
2020-06-22,-11
2020-06-23,-12
2020-06-24,-9
2020-06-25,-11
2020-06-26,-11
2020-06-27,-13
2020-06-28,-12
2020-06-29,-11
2020-06-30,-7
2020-07-01,-14
2020-07-02,-13
2020-07-03,-11
2020-07-04,-11
2020-07-05,-12
2020-07-06,-10
2020-07-07,-8
2020-07-08,-11
2020-07-09,-12
2020-07-10,-13
2020-07-11,-16
2020-07-12,-19
2020-07-13,-20
2020-07-14,-22
2020-07-15,-29
2020-07-16,-30
2020-07-17,-30
2020-07-18,-32
2020-07-19,-36
2020-07-20,-33
2020-07-21,-35
2020-07-22,-35
2020-07-23,-37
2020-07-24,-37
2020-07-25,-38
2020-07-26,-41
2020-07-27,-35
2020-07-28,-35
2020-07-29,-50
2020-07-30,-49
2020-07-31,-41
2020-08-01,-42
2020-08-02,-41
2020-08-03,-38
2020-08-04,-37
2020-08-05,-38
2020-08-06,-36
2020-08-07,-35
2020-08-08,-34
2020-08-09,-36
2020-08-10,-33
2020-08-11,-34
2020-08-12,-36
2020-08-13,-34
2020-08-14,-33
2020-08-15,-33
2020-08-16,-33
2020-08-17,-33
2020-08-18,-35
2020-08-19,-45
2020-08-20,-30
2020-08-21,-31
2020-08-22,-30
2020-08-23,-30
2020-08-24,-30
2020-08-25,-30
2020-08-26,-30
2020-08-27,-30
2020-08-28,-25
2020-08-29,-25
2020-08-30,-25
2020-08-31,-24
2020-09-01,-26
2020-09-02,-26
2020-09-03,-26
2020-09-04,-24
2020-09-05,-24
2020-09-06,-23
2020-09-07,-24
2020-09-08,-27
2020-09-09,-25
2020-09-10,-25
2020-09-11,-19
2020-09-12,-20
2020-09-13,-17
2020-09-14,-21
2020-09-15,-26
2020-09-16,-20
2020-09-17,-22
2020-09-18,-20
2020-09-19,-19
2020-09-20,-16
2020-09-21,-22
2020-09-22,-19
2020-09-23,-19
2020-09-24,-20
2020-09-25,-17
2020-09-26,-16
2020-09-27,-16
2020-09-28,-18
2020-09-29,-16
2020-09-30,-12
2020-10-01,-16
2020-10-02,-16
2020-10-03,-16
2020-10-04,-16
2020-10-05,-17
2020-10-06,-16
2020-10-07,-16
2020-10-08,-17
2020-10-09,-15
2020-10-10,-15
2020-10-11,-15
2020-10-12,-16
2020-10-13,-55
2020-10-14,-16
2020-10-15,-15
2020-10-16,-13
2020-10-17,-14
2020-10-18,-13
2020-10-19,-15
2020-10-20,-15
2020-10-21,-15
2020-10-22,-14
2020-10-23,-12
2020-10-24,-13
2020-10-25,-8
2020-10-26,-10
2020-10-27,-14
2020-10-28,-16
2020-10-29,-15
2020-10-30,-11
2020-10-31,-11
2020-11-01,-11
2020-11-02,-14
2020-11-03,-14
2020-11-04,-15
2020-11-05,-15
2020-11-06,-12
2020-11-07,-12
2020-11-08,-11
2020-11-09,-14
2020-11-10,-15
2020-11-11,-14
2020-11-12,-14
2020-11-13,-12
2020-11-14,-13
2020-11-15,-10
2020-11-16,-15
2020-11-17,-15
2020-11-18,-16
2020-11-19,-16
2020-11-20,-13
2020-11-21,-15
2020-11-22,-15
2020-11-23,-19
2020-11-24,-19
2020-11-25,-19
2020-11-26,-19
2020-11-27,-17
2020-11-28,-17
2020-11-29,-17
2020-11-30,-19
2020-12-01,-19
2020-12-02,-25
2020-12-03,-25
2020-12-04,-24
2020-12-05,-23
2020-12-06,-24
2020-12-07,-24
2020-12-08,-26
2020-12-09,-26
2020-12-10,-31
2020-12-11,-30
2020-12-12,-29
2020-12-13,-28
2020-12-14,-30
2020-12-15,-30
2020-12-16,-30
2020-12-17,-31
2020-12-18,-29
2020-12-19,-28
2020-12-20,-27
2020-12-21,-26
2020-12-22,-28
2020-12-23,-27
2020-12-24,-22
2020-12-25,-26
2020-12-26,-31
2020-12-27,-27
2020-12-28,-26
2020-12-29,-27
2020-12-30,-26
2020-12-31,-23
2021-01-01,-30
2021-01-02,-28
2021-01-03,-26
2021-01-04,-28
2021-01-05,-28
2021-01-06,-27
2021-01-07,-28
2021-01-08,-29
2021-01-09,-27
2021-01-10,-26
2021-01-11,-28
2021-01-12,-27
2021-01-13,-27
2021-01-14,-30
2021-01-15,-30
2021-01-16,-28
2021-01-17,-28
2021-01-18,-30
2021-01-19,-31
2021-01-20,-31
2021-01-21,-31
2021-01-22,-30
2021-01-23,-28
2021-01-24,-29
2021-01-25,-30
2021-01-26,-30
2021-01-27,-30
2021-01-28,-30
2021-01-29,-28
2021-01-30,-25
2021-01-31,-24
2021-02-01,-26
2021-02-02,-27
2021-02-03,-27
2021-02-04,-27
2021-02-05,-26
2021-02-06,-24
2021-02-07,-21
2021-02-08,-23
2021-02-09,-22
2021-02-10,-26
2021-02-11,-19
2021-02-12,-45
2021-02-13,-38
2021-02-14,-28
2021-02-15,-24
2021-02-16,-25
2021-02-17,-26
2021-02-18,-20
2021-02-19,-20
2021-02-20,-20
2021-02-21,-19
2021-02-22,-20
2021-02-23,-20
2021-02-24,-20
2021-02-25,-21
2021-02-26,-18
2021-02-27,-19
2021-02-28,-17
2021-03-01,-19
2021-03-02,-19
2021-03-03,-20
2021-03-04,-22
2021-03-05,-18
2021-03-06,-18
2021-03-07,-18
2021-03-08,-18
2021-03-09,-19
2021-03-10,-19
2021-03-11,-19
2021-03-12,-17
2021-03-13,-17
2021-03-14,-15
2021-03-15,-18
2021-03-16,-19
2021-03-17,-19
2021-03-18,-19
2021-03-19,-16
2021-03-20,-15
2021-03-21,-16
2021-03-22,-18
2021-03-23,-18
2021-03-24,-18
2021-03-25,-17
2021-03-26,-15
2021-03-27,-14
2021-03-28,-13
2021-03-29,-16
2021-03-30,-15
2021-03-31,-14
2021-04-01,-12
2021-04-02,-14
2021-04-03,-16
2021-04-04,-12
2021-04-05,-10
2021-04-06,-13
2021-04-07,-15
2021-04-08,-16
2021-04-09,-15
2021-04-10,-14
2021-04-11,-13
2021-04-12,-15
2021-04-13,-15
2021-04-14,-16
2021-04-15,-17
2021-04-16,-14
2021-04-17,-16
2021-04-18,-11
2021-04-19,-15
2021-04-20,-15
2021-04-21,-15
2021-04-22,-15
2021-04-23,-13
2021-04-24,-12
2021-04-25,-12
2021-04-26,-15
2021-04-27,-18
2021-04-28,-15
2021-04-29,-14
2021-04-30,-10
2021-05-01,-10
2021-05-02,-11
2021-05-03,-15
2021-05-04,-13
2021-05-05,-12
2021-05-06,-13
2021-05-07,-10
2021-05-08,-11
2021-05-09,-7
2021-05-10,-12
2021-05-11,-13
2021-05-12,-12
2021-05-13,-12
2021-05-14,-10
2021-05-15,-10
2021-05-16,-10
2021-05-17,-11
2021-05-18,-8
2021-05-19,-10
2021-05-20,-11
2021-05-21,-9
2021-05-22,-10
2021-05-23,-9
2021-05-24,-10
2021-05-25,-11
2021-05-26,-10
2021-05-27,-9
2021-05-28,-7
2021-05-29,-9
2021-05-30,-8
2021-05-31,-9
2021-06-01,-13
2021-06-02,-9
2021-06-03,-8
2021-06-04,-8
2021-06-05,-8
2021-06-06,-9
2021-06-07,-8
2021-06-08,-8
2021-06-09,-9
2021-06-10,-8
2021-06-11,-7
2021-06-12,-12
2021-06-13,-7
2021-06-14,-9
2021-06-15,-10
2021-06-16,-9
2021-06-17,-9
2021-06-18,-7
2021-06-19,-9
2021-06-20,-7
2021-06-21,-10
2021-06-22,-12
2021-06-23,-13
2021-06-24,-12
2021-06-25,-7
2021-06-26,-11
2021-06-27,-8
2021-06-28,-17
2021-06-29,-9
2021-06-30,-6
2021-07-01,-6
2021-07-02,-7
2021-07-03,-8
2021-07-04,-7
2021-07-05,-6
2021-07-06,-7
2021-07-07,-7
2021-07-08,-6
2021-07-09,-5
2021-07-10,-6
2021-07-11,-5
2021-07-12,-6
2021-07-13,-6
2021-07-14,-7
2021-07-15,-6
2021-07-16,-6
2021-07-17,-6
2021-07-18,-6
2021-07-19,-12
2021-07-20,-15
2021-07-21,-8
2021-07-22,-5
2021-07-23,-5
2021-07-24,-8
2021-07-25,-5
2021-07-26,-6
2021-07-27,-7
2021-07-28,-7
2021-07-29,-8
2021-07-30,-6
2021-07-31,-7
2021-08-01,1
2021-08-02,-1
2021-08-03,-5
2021-08-04,-5
2021-08-05,-7
2021-08-06,-3
2021-08-07,-4
2021-08-08,-1
2021-08-09,-4
2021-08-10,-4
2021-08-11,-3
2021-08-12,-4
2021-08-13,-3
2021-08-14,-5
2021-08-15,-1
2021-08-16,-4
2021-08-17,-4
2021-08-18,-5
2021-08-19,-5
2021-08-20,-2
2021-08-21,-4
2021-08-22,-1
2021-08-23,-2
2021-08-24,-4
2021-08-25,-3
2021-08-26,-3
2021-08-27,-7
2021-08-28,-3
2021-08-29,-2
2021-08-30,-1
2021-08-31,-6
2021-09-01,-2
2021-09-02,-2
2021-09-03,-1
2021-09-04,-2
2021-09-05,0
2021-09-06,-2
2021-09-07,-2
2021-09-08,-3
2021-09-09,-3
2021-09-10,0
2021-09-11,-2
2021-09-12,0
2021-09-13,-2
2021-09-14,-4
2021-09-15,-2
2021-09-16,-4
2021-09-17,0
2021-09-18,-1
2021-09-19,-1
2021-09-20,-1
2021-09-21,2
2021-09-22,-4
2021-09-23,-8
2021-09-24,-3
