dates,cumulativecount_medicaltest_conditioncovid_19
2020-01-31,3610
2020-02-29,30593
2020-03-31,96598
2020-04-30,162935
2020-05-31,238046
2020-06-30,347434
2020-07-31,729436
2020-08-31,1418251
2020-09-15,3201483
2020-09-30,3444257
2020-10-19,3461059
2020-10-31,3763315
2020-11-30,4421227
2020-12-31,5809821
2021-01-31,7111961
2021-02-28,9148459
2021-03-31,11925036
2021-04-30,14323480
2021-05-31,17989217
2021-06-30,20096606
2021-07-31,22139788
2021-08-31,24035755
2021-09-30,25720830
2021-10-31,27060838
2021-11-30,28587474
2021-12-31,30289486
2022-01-31,34594139
2022-02-28,41354599
2022-03-31,45175438
2022-04-30,47688630
2022-05-24,49426686
