dates,covid19mobilitytrend_park
2020-02-15,29
2020-02-16,32
2020-02-17,18
2020-02-18,7
2020-02-19,12
2020-02-20,11
2020-02-21,15
2020-02-22,36
2020-02-23,18
2020-02-24,19
2020-02-25,16
2020-02-26,-9
2020-02-27,5
2020-02-28,1
2020-02-29,2
2020-03-01,-39
2020-03-02,4
2020-03-03,2
2020-03-04,5
2020-03-05,18
2020-03-06,-9
2020-03-07,11
2020-03-08,9
2020-03-09,15
2020-03-10,19
2020-03-11,27
2020-03-12,25
2020-03-13,-5
2020-03-14,1
2020-03-15,3
2020-03-16,13
2020-03-17,17
2020-03-18,14
2020-03-19,14
2020-03-20,4
2020-03-21,-28
2020-03-22,-57
2020-03-23,-52
2020-03-24,-60
2020-03-25,-59
2020-03-26,-60
2020-03-27,-52
2020-03-28,-42
2020-03-29,-45
2020-03-30,-41
2020-03-31,-42
2020-04-01,-34
2020-04-02,-22
2020-04-03,-25
2020-04-04,-31
2020-04-05,-30
2020-04-06,-10
2020-04-07,-5
2020-04-08,-8
2020-04-09,-8
2020-04-10,-17
2020-04-11,-21
2020-04-12,-30
2020-04-13,-2
2020-04-14,-47
2020-04-15,-6
2020-04-16,3
2020-04-17,0
2020-04-18,3
2020-04-19,0
2020-04-20,-15
2020-04-21,-19
2020-04-22,7
2020-04-23,11
2020-04-24,8
2020-04-25,12
2020-04-26,9
2020-04-27,22
2020-04-28,10
2020-04-29,-12
2020-04-30,17
2020-05-01,-6
2020-05-02,-5
2020-05-03,16
2020-05-04,30
2020-05-05,5
2020-05-06,14
2020-05-07,32
2020-05-08,28
2020-05-09,39
2020-05-10,22
2020-05-11,10
2020-05-12,-8
2020-05-13,22
2020-05-14,16
2020-05-15,12
2020-05-16,30
2020-05-17,36
2020-05-18,35
2020-05-19,4
2020-05-20,2
2020-05-21,45
2020-05-22,43
2020-05-23,64
2020-05-24,41
2020-05-25,25
2020-05-26,20
2020-05-27,35
2020-05-28,30
2020-05-29,38
2020-05-30,57
2020-05-31,35
2020-06-01,48
2020-06-02,48
2020-06-03,42
2020-06-04,23
2020-06-05,8
2020-06-06,74
2020-06-07,65
2020-06-08,43
2020-06-09,51
2020-06-10,64
2020-06-11,125
2020-06-12,106
2020-06-13,132
2020-06-14,76
2020-06-15,58
2020-06-16,80
2020-06-17,86
2020-06-18,98
2020-06-19,105
2020-06-20,127
2020-06-21,114
2020-06-22,173
2020-06-23,153
2020-06-24,169
2020-06-25,177
2020-06-26,172
2020-06-27,189
2020-06-28,150
2020-06-29,170
2020-06-30,186
2020-07-01,184
2020-07-02,176
2020-07-03,160
2020-07-04,188
2020-07-05,179
2020-07-06,240
2020-07-07,237
2020-07-08,239
2020-07-09,240
2020-07-10,230
2020-07-11,208
2020-07-12,198
2020-07-13,280
2020-07-14,286
2020-07-15,289
2020-07-16,270
2020-07-17,232
2020-07-18,251
2020-07-19,239
2020-07-20,356
2020-07-21,366
2020-07-22,337
2020-07-23,331
2020-07-24,256
2020-07-25,289
2020-07-26,284
2020-07-27,410
2020-07-28,407
2020-07-29,394
2020-07-30,372
2020-07-31,322
2020-08-01,339
2020-08-02,322
2020-08-03,389
2020-08-04,359
2020-08-05,455
2020-08-06,423
2020-08-07,382
2020-08-08,382
2020-08-09,341
2020-08-10,484
2020-08-11,473
2020-08-12,453
2020-08-13,433
2020-08-14,361
2020-08-15,352
2020-08-16,303
2020-08-17,391
2020-08-18,359
2020-08-19,358
2020-08-20,353
2020-08-21,303
2020-08-22,286
2020-08-23,217
2020-08-24,275
2020-08-25,268
2020-08-26,260
2020-08-27,240
2020-08-28,207
2020-08-29,188
2020-08-30,114
2020-08-31,97
2020-09-01,155
2020-09-02,156
2020-09-03,148
2020-09-04,139
2020-09-05,157
2020-09-06,132
2020-09-07,146
2020-09-08,142
2020-09-09,140
2020-09-10,137
2020-09-11,131
2020-09-12,153
2020-09-13,125
2020-09-14,131
2020-09-15,132
2020-09-16,124
2020-09-17,101
2020-09-18,94
2020-09-19,118
2020-09-20,101
2020-09-21,99
2020-09-22,69
2020-09-23,59
2020-09-24,68
2020-09-25,24
2020-09-26,25
2020-09-27,13
2020-09-28,36
2020-09-29,56
2020-09-30,57
2020-10-01,47
2020-10-02,36
2020-10-03,30
2020-10-04,50
2020-10-05,39
2020-10-06,52
2020-10-07,4
2020-10-08,51
2020-10-09,51
2020-10-10,78
2020-10-11,-18
2020-10-12,5
2020-10-13,28
2020-10-14,25
2020-10-15,-12
2020-10-16,6
2020-10-17,35
2020-10-18,49
2020-10-19,37
2020-10-20,37
2020-10-21,36
2020-10-22,41
2020-10-23,32
2020-10-24,-14
2020-10-25,36
2020-10-26,23
2020-10-27,4
2020-10-28,26
2020-10-29,16
2020-10-30,19
2020-10-31,47
2020-11-01,29
2020-11-02,34
2020-11-03,35
2020-11-04,8
2020-11-05,5
2020-11-06,14
2020-11-07,35
2020-11-08,21
2020-11-09,11
2020-11-10,12
2020-11-11,9
2020-11-12,-1
2020-11-13,3
2020-11-14,14
2020-11-15,-7
2020-11-16,-17
2020-11-17,10
2020-11-18,44
2020-11-19,-1
2020-11-20,-24
2020-11-21,-10
2020-11-22,3
2020-11-23,-2
2020-11-24,-1
2020-11-25,-4
2020-11-26,-9
2020-11-27,-12
2020-11-28,-9
2020-11-29,-12
2020-11-30,0
2020-12-01,-2
2020-12-02,-29
2020-12-03,-33
2020-12-04,-15
2020-12-05,-12
2020-12-06,-37
2020-12-07,4
2020-12-08,-27
2020-12-09,-23
2020-12-10,-10
2020-12-11,-6
2020-12-12,5
2020-12-13,15
2020-12-14,13
2020-12-15,14
2020-12-16,12
2020-12-17,9
2020-12-18,5
2020-12-19,17
2020-12-20,4
2020-12-21,18
2020-12-22,17
2020-12-23,24
2020-12-24,-2
2020-12-25,-42
2020-12-26,-6
2020-12-27,0
2020-12-28,-14
2020-12-29,20
2020-12-30,13
2020-12-31,8
2021-01-01,-4
2021-01-02,-23
2021-01-03,-5
2021-01-04,12
2021-01-05,-5
2021-01-06,14
2021-01-07,17
2021-01-08,-12
2021-01-09,0
2021-01-10,-22
2021-01-11,10
2021-01-12,18
2021-01-13,14
2021-01-14,-2
2021-01-15,-4
2021-01-16,1
2021-01-17,-16
2021-01-18,0
2021-01-19,6
2021-01-20,4
2021-01-21,0
2021-01-22,-8
2021-01-23,-13
2021-01-24,-45
2021-01-25,-18
2021-01-26,13
2021-01-27,11
2021-01-28,1
2021-01-29,-24
2021-01-30,28
2021-01-31,-44
2021-02-01,10
2021-02-02,15
2021-02-03,17
2021-02-04,26
2021-02-05,18
2021-02-06,37
2021-02-07,-18
2021-02-08,6
2021-02-09,-5
2021-02-10,-18
2021-02-11,-8
2021-02-12,-12
2021-02-13,-18
2021-02-14,-3
2021-02-15,18
2021-02-16,24
2021-02-17,-2
