dates,covid19mobilitytrend_transporthub
2020-02-15,5
2020-02-16,9
2020-02-17,5
2020-02-18,0
2020-02-19,2
2020-02-20,3
2020-02-21,5
2020-02-22,4
2020-02-23,14
2020-02-24,5
2020-02-25,3
2020-02-26,-8
2020-02-27,-1
2020-02-28,-1
2020-02-29,-6
2020-03-01,-6
2020-03-02,5
2020-03-03,1
2020-03-04,1
2020-03-05,3
2020-03-06,1
2020-03-07,-2
2020-03-08,9
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,1
2020-03-13,-11
2020-03-14,-22
2020-03-15,-25
2020-03-16,-35
2020-03-17,-41
2020-03-18,-45
2020-03-19,-51
2020-03-20,-57
2020-03-21,-61
2020-03-22,-56
2020-03-23,-77
2020-03-24,-82
2020-03-25,-82
2020-03-26,-82
2020-03-27,-79
2020-03-28,-74
2020-03-29,-74
2020-03-30,-79
2020-03-31,-77
2020-04-01,-76
2020-04-02,-74
2020-04-03,-73
2020-04-04,-68
2020-04-05,-66
2020-04-06,-71
2020-04-07,-70
2020-04-08,-70
2020-04-09,-68
2020-04-10,-70
2020-04-11,-65
2020-04-12,-73
2020-04-13,-80
2020-04-14,-76
2020-04-15,-68
2020-04-16,-67
2020-04-17,-67
2020-04-18,-57
2020-04-19,-59
2020-04-20,-69
2020-04-21,-68
2020-04-22,-66
2020-04-23,-65
2020-04-24,-65
2020-04-25,-57
2020-04-26,-54
2020-04-27,-59
2020-04-28,-59
2020-04-29,-64
2020-04-30,-56
2020-05-01,-78
2020-05-02,-53
2020-05-03,-51
2020-05-04,-52
2020-05-05,-57
2020-05-06,-53
2020-05-07,-52
2020-05-08,-51
2020-05-09,-43
2020-05-10,-45
2020-05-11,-43
2020-05-12,-50
2020-05-13,-42
2020-05-14,-42
2020-05-15,-43
2020-05-16,-32
2020-05-17,-36
2020-05-18,-35
2020-05-19,-40
2020-05-20,-40
2020-05-21,-32
2020-05-22,-33
2020-05-23,-25
2020-05-24,-30
2020-05-25,-34
2020-05-26,-34
2020-05-27,-31
2020-05-28,-31
2020-05-29,-26
2020-05-30,-39
2020-05-31,-20
2020-06-01,-24
2020-06-02,-26
2020-06-03,-29
2020-06-04,-27
2020-06-05,-30
2020-06-06,-14
2020-06-07,-12
2020-06-08,-23
2020-06-09,-24
2020-06-10,-15
2020-06-11,-48
2020-06-12,-23
2020-06-13,-12
2020-06-14,-3
2020-06-15,-23
2020-06-16,-17
2020-06-17,-17
2020-06-18,-15
2020-06-19,-12
2020-06-20,-4
2020-06-21,-5
2020-06-22,-40
2020-06-23,-16
2020-06-24,-15
2020-06-25,-17
2020-06-26,-19
2020-06-27,-5
2020-06-28,0
2020-06-29,-20
2020-06-30,-19
2020-07-01,-17
2020-07-02,-18
2020-07-03,-16
2020-07-04,2
2020-07-05,14
2020-07-06,-13
2020-07-07,-11
2020-07-08,-14
2020-07-09,-14
2020-07-10,-11
2020-07-11,0
2020-07-12,16
2020-07-13,-10
2020-07-14,-13
2020-07-15,-12
2020-07-16,-12
2020-07-17,-10
2020-07-18,16
2020-07-19,23
2020-07-20,-6
2020-07-21,-12
2020-07-22,-14
2020-07-23,-11
2020-07-24,-12
2020-07-25,24
2020-07-26,27
2020-07-27,-6
2020-07-28,-11
2020-07-29,-12
2020-07-30,-11
2020-07-31,-7
2020-08-01,37
2020-08-02,42
2020-08-03,-4
2020-08-04,-9
2020-08-05,-23
2020-08-06,-5
2020-08-07,-6
2020-08-08,35
2020-08-09,48
2020-08-10,0
2020-08-11,-8
2020-08-12,-8
2020-08-13,-7
2020-08-14,-1
2020-08-15,24
2020-08-16,47
2020-08-17,-3
2020-08-18,-8
2020-08-19,-11
2020-08-20,-10
2020-08-21,-11
2020-08-22,17
2020-08-23,27
2020-08-24,-10
2020-08-25,-16
2020-08-26,-17
2020-08-27,-17
2020-08-28,-18
2020-08-29,2
2020-08-30,12
2020-08-31,-24
2020-09-01,-16
2020-09-02,-18
2020-09-03,-18
2020-09-04,-18
2020-09-05,-3
2020-09-06,2
2020-09-07,-8
2020-09-08,-8
2020-09-09,-11
2020-09-10,-9
2020-09-11,-9
2020-09-12,-6
2020-09-13,2
2020-09-14,-10
2020-09-15,-9
2020-09-16,-11
2020-09-17,-14
2020-09-18,-13
2020-09-19,-10
2020-09-20,0
2020-09-21,-12
2020-09-22,-15
