dates,covid19mobilitytrend_park
2020-02-15,46
2020-02-16,52
2020-02-17,25
2020-02-18,24
2020-02-19,16
2020-02-20,14
2020-02-21,1
2020-02-22,36
2020-02-23,23
2020-02-24,21
2020-02-25,42
2020-02-26,0
2020-02-27,7
2020-02-28,-5
2020-02-29,10
2020-03-01,9
2020-03-02,15
2020-03-03,4
2020-03-04,3
2020-03-05,18
2020-03-06,-10
2020-03-07,12
2020-03-08,31
2020-03-09,25
2020-03-10,32
2020-03-11,15
2020-03-12,35
2020-03-13,-3
2020-03-14,10
2020-03-15,38
2020-03-16,0
2020-03-17,8
2020-03-18,5
2020-03-19,-1
2020-03-20,-3
2020-03-21,-46
2020-03-22,-49
2020-03-23,-50
2020-03-24,-38
2020-03-25,-45
2020-03-26,-32
2020-03-27,-9
2020-03-28,-21
2020-03-29,-7
2020-03-30,-42
2020-03-31,-24
2020-04-01,-15
2020-04-02,-17
2020-04-03,-13
2020-04-04,-4
2020-04-05,20
2020-04-06,-4
2020-04-07,8
2020-04-08,5
2020-04-09,2
2020-04-10,-9
2020-04-11,-21
2020-04-12,-5
2020-04-13,-9
2020-04-14,-30
2020-04-15,-10
2020-04-16,-4
2020-04-17,1
2020-04-18,-8
2020-04-19,-30
2020-04-20,-4
2020-04-21,4
2020-04-22,7
2020-04-23,2
2020-04-24,2
2020-04-25,-19
2020-04-26,7
2020-04-27,2
2020-04-28,18
2020-04-29,-12
2020-04-30,9
2020-05-01,-11
2020-05-02,1
2020-05-03,-9
2020-05-04,10
2020-05-05,-4
2020-05-06,-5
2020-05-07,4
2020-05-08,22
2020-05-09,39
2020-05-10,51
2020-05-11,11
2020-05-12,-7
2020-05-13,-6
2020-05-14,11
2020-05-15,-2
2020-05-16,38
2020-05-17,22
2020-05-18,41
2020-05-19,27
2020-05-20,20
2020-05-21,32
2020-05-22,45
2020-05-23,44
2020-05-24,25
2020-05-25,4
2020-05-26,15
2020-05-27,23
2020-05-28,15
2020-05-29,21
2020-05-30,49
2020-05-31,9
2020-06-01,157
2020-06-02,34
2020-06-03,37
2020-06-04,33
2020-06-05,4
2020-06-06,81
2020-06-07,69
2020-06-08,34
2020-06-09,33
2020-06-10,24
2020-06-11,37
2020-06-12,57
2020-06-13,81
2020-06-14,29
2020-06-15,26
2020-06-16,29
2020-06-17,23
2020-06-18,26
2020-06-19,51
2020-06-20,38
2020-06-21,31
2020-06-22,36
2020-06-23,76
2020-06-24,80
2020-06-25,66
2020-06-26,66
2020-06-27,89
2020-06-28,89
2020-06-29,33
2020-06-30,87
2020-07-01,78
2020-07-02,54
2020-07-03,63
2020-07-04,93
2020-07-05,105
2020-07-06,70
2020-07-07,84
2020-07-08,95
2020-07-09,80
2020-07-10,87
2020-07-11,74
2020-07-12,90
2020-07-13,93
2020-07-14,113
2020-07-15,108
2020-07-16,87
2020-07-17,56
2020-07-18,83
2020-07-19,73
2020-07-20,108
2020-07-21,114
2020-07-22,116
2020-07-23,104
2020-07-24,93
2020-07-25,62
2020-07-26,122
2020-07-27,112
2020-07-28,127
2020-07-29,122
2020-07-30,108
2020-07-31,113
2020-08-01,130
2020-08-02,133
2020-08-03,101
2020-08-04,100
2020-08-05,101
2020-08-06,117
2020-08-07,118
2020-08-08,125
2020-08-09,125
2020-08-10,106
2020-08-11,117
2020-08-12,136
2020-08-13,116
2020-08-14,117
2020-08-15,106
2020-08-16,119
2020-08-17,98
2020-08-18,127
2020-08-19,139
2020-08-20,249
2020-08-21,190
2020-08-22,156
2020-08-23,110
2020-08-24,95
2020-08-25,113
2020-08-26,109
2020-08-27,96
2020-08-28,103
2020-08-29,103
2020-08-30,97
2020-08-31,51
2020-09-01,39
2020-09-02,65
2020-09-03,57
2020-09-04,74
2020-09-05,96
2020-09-06,93
2020-09-07,47
2020-09-08,65
2020-09-09,62
2020-09-10,58
2020-09-11,77
2020-09-12,107
2020-09-13,99
2020-09-14,58
2020-09-15,70
2020-09-16,63
2020-09-17,45
2020-09-18,56
2020-09-19,85
2020-09-20,86
2020-09-21,47
2020-09-22,59
2020-09-23,42
2020-09-24,42
2020-09-25,28
2020-09-26,19
2020-09-27,53
2020-09-28,3
2020-09-29,24
2020-09-30,7
2020-10-01,7
2020-10-02,36
2020-10-03,85
2020-10-04,57
2020-10-05,25
2020-10-06,42
2020-10-07,1
2020-10-08,20
2020-10-09,44
2020-10-10,73
2020-10-11,14
2020-10-12,-17
2020-10-13,-21
2020-10-14,3
2020-10-15,-12
2020-10-16,1
2020-10-17,-3
2020-10-18,34
2020-10-19,8
2020-10-20,28
2020-10-21,28
2020-10-22,40
2020-10-23,100
2020-10-24,48
2020-10-25,8
2020-10-26,36
2020-10-27,61
2020-10-28,52
2020-10-29,8
2020-10-30,7
2020-10-31,17
2020-11-01,35
2020-11-02,-3
2020-11-03,14
2020-11-04,-2
2020-11-05,-7
2020-11-06,11
2020-11-07,35
2020-11-08,25
2020-11-09,2
2020-11-10,6
2020-11-11,-12
2020-11-12,-15
2020-11-13,-11
2020-11-14,-12
2020-11-15,-2
2020-11-16,-10
2020-11-17,8
2020-11-18,7
2020-11-19,-10
2020-11-20,-19
2020-11-21,3
2020-11-22,2
2020-11-23,-16
2020-11-24,-9
2020-11-25,-16
2020-11-26,-18
2020-11-27,-20
2020-11-28,-23
2020-11-29,6
2020-11-30,-11
2020-12-01,-8
2020-12-02,-12
2020-12-03,-27
2020-12-04,-16
2020-12-05,7
2020-12-06,17
2020-12-07,-23
2020-12-08,-7
2020-12-09,-12
2020-12-10,-21
2020-12-11,-16
2020-12-12,-19
2020-12-13,1
2020-12-14,-11
2020-12-15,-7
2020-12-16,-10
2020-12-17,-13
2020-12-18,-11
2020-12-19,-14
2020-12-20,-1
2020-12-21,-1
2020-12-22,-6
2020-12-23,4
2020-12-24,-36
2020-12-25,-22
2020-12-26,-4
2020-12-27,-2
2020-12-28,-1
2020-12-29,49
2020-12-30,-8
2020-12-31,-7
2021-01-01,11
2021-01-02,15
2021-01-03,3
2021-01-04,-15
2021-01-05,-7
2021-01-06,-17
2021-01-07,-13
2021-01-08,-21
2021-01-09,0
2021-01-10,-11
2021-01-11,-13
2021-01-12,-9
2021-01-13,-13
2021-01-14,-21
2021-01-15,-22
2021-01-16,-17
2021-01-17,-2
2021-01-18,-21
2021-01-19,-10
2021-01-20,-4
2021-01-21,-8
2021-01-22,-12
2021-01-23,-16
2021-01-24,12
2021-01-25,-13
2021-01-26,-5
2021-01-27,-10
2021-01-28,-16
2021-01-29,-28
2021-01-30,8
2021-01-31,-4
2021-02-01,-7
2021-02-02,-9
2021-02-03,-9
2021-02-04,3
2021-02-05,-6
2021-02-06,-12
2021-02-07,-19
2021-02-08,-25
2021-02-09,-29
2021-02-10,-28
2021-02-11,-34
2021-02-12,-24
2021-02-13,-11
