dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-06,39
2020-03-07,89
2020-03-08,132
2020-03-10,301
2020-03-11,379
2020-03-12,500
2020-03-13,628
2020-03-14,784
2020-03-15,1006
2020-03-16,1240
2020-03-17,1357
2020-03-18,1573
2020-03-19,2092
2020-03-20,2777
2020-03-21,3247
2020-03-22,4213
2020-03-23,5285
2020-03-24,5883
2020-03-25,6587
2020-03-26,7775
2020-03-27,9045
2020-03-28,10073
2020-03-29,11918
2020-03-30,13071
2020-03-31,13916
2020-04-01,14978
2020-04-02,16171
2020-04-03,17539
2020-04-04,19194
2020-04-05,21020
2020-04-06,22052
2020-04-07,23516
2020-04-08,25518
2020-04-09,27596
2020-04-10,29718
2020-04-11,31731
2020-04-12,33302
2020-04-13,34589
2020-04-14,35595
2020-04-15,37096
2020-04-16,38259
2020-04-17,41360
2020-04-18,43671
2020-04-19,46123
2020-04-20,47827
2020-04-21,49822
2020-04-22,52472
2020-04-23,55160
2020-04-24,58021
2020-04-25,60571
2020-04-26,63275
2020-04-27,65395
2020-04-28,66942
2020-04-29,70070
2020-04-30,72721
2020-05-01,76101
2020-05-02,79321
2020-05-03,81780
2020-05-04,83728
2020-05-05,85327
2020-05-06,88505
2020-05-07,93806
2020-05-08,98828
2020-05-09,103028
2020-05-10,108027
2020-05-11,111935
2020-05-12,114489
2020-05-13,118270
2020-05-14,123028
2020-05-15,127007
2020-05-16,131199
2020-05-17,134907
2020-05-18,137013
2020-05-19,138467
2020-05-20,142499
2020-05-21,147281
2020-05-22,155571
2020-05-23,159030
2020-05-24,162695
2020-05-25,164389
2020-05-26,166033
2020-05-27,169730
2020-05-28,173781
2020-05-29,179922
2020-05-30,183332
2020-05-31,185750
2020-06-01,187735
2020-06-02,189739
2020-06-03,191342
2020-06-04,195664
2020-06-05,202376
2020-06-06,206623
2020-06-07,209972
2020-06-08,210519
2020-06-09,214238
2020-06-10,217459
2020-06-11,222017
2020-06-12,226439
2020-06-13,229939
2020-06-14,233512
2020-06-15,235147
2020-06-16,236598
2020-06-17,241909
2020-06-18,245368
2020-06-19,249161
2020-06-20,252870
2020-06-21,256096
2020-06-22,257885
2020-06-23,258631
2020-06-24,261190
2020-06-25,264899
2020-06-26,266826
2020-06-27,270033
2020-06-28,270964
2020-06-29,273649
2020-06-30,274715
2020-07-01,277520
2020-07-02,279460
2020-07-03,281398
2020-07-04,283278
2020-07-05,285360
2020-07-06,285853
2020-07-07,286753
2020-07-08,288463
2020-07-09,289372
2020-07-10,291807
2020-07-11,292990
2020-07-12,294195
2020-07-13,295331
2020-07-14,296128
2020-07-15,298955
2020-07-16,300402
2020-07-17,302519
2020-07-18,304903
2020-07-19,307616
2020-07-20,309840
2020-07-21,310600
2020-07-22,312758
2020-07-23,315890
2020-07-24,319624
2020-07-25,323443
2020-07-26,326324
2020-07-27,328353
2020-07-28,330009
2020-07-29,333216
2020-07-30,336231
2020-07-31,338933
2020-08-01,342657
2020-08-02,344767
2020-08-03,346732
2020-08-04,347902
2020-08-05,349878
2020-08-06,352316
2020-08-07,355237
2020-08-08,358207
2020-08-09,360542
2020-08-10,362430
2020-08-11,363229
2020-08-12,366126
2020-08-13,369315
2020-08-14,372457
2020-08-15,375455
2020-08-16,378378
2020-08-17,380702
2020-08-18,383181
2020-08-19,386881
2020-08-20,389849
2020-08-21,393201
2020-08-22,394681
2020-08-23,396862
2020-08-24,398320
2020-08-25,400212
2020-08-26,404837
2020-08-27,408569
2020-08-28,414415
2020-08-29,417660
2020-08-30,424040
2020-08-31,427920
2020-09-01,429712
2020-09-02,437301
2020-09-03,444817
2020-09-04,451908
2020-09-05,460005
2020-09-06,469770
2020-09-07,481194
2020-09-08,486916
2020-09-09,495251
2020-09-10,505355
2020-09-11,516992
2020-09-12,528833
2020-09-13,537667
2020-09-14,548981
2020-09-15,557634
2020-09-16,567461
2020-09-17,579842
2020-09-18,591388
2020-09-19,603892
2020-09-20,615769
2020-09-21,625791
2020-09-22,631801
2020-09-23,645262
2020-09-24,657207
2020-09-25,668323
2020-09-26,680105
2020-09-27,690178
2020-09-28,697243
2020-09-29,704280
2020-09-30,715447
2020-10-01,727419
2020-10-02,739813
2020-10-03,750987
2020-10-04,758944
2020-10-05,765368
2020-10-06,771067
2020-10-07,780793
2020-10-08,792255
2020-10-09,803418
2020-10-10,815137
2020-10-11,825340
2020-10-12,833867
2020-10-13,840990
2020-10-14,850648
2020-10-15,861390
2020-10-16,871187
2020-10-17,884158
2020-10-18,894155
2020-10-19,903806
2020-10-20,910138
2020-10-21,919251
2020-10-22,935612
2020-10-23,949240
2020-10-24,961211
2020-10-25,980143
2020-10-26,990153
2020-10-27,1001863
2020-10-28,1017459
2020-10-29,1032712
2020-10-30,1048350
2020-10-31,1064913
2020-11-01,1083513
2020-11-02,1097141
2020-11-03,1111761
2020-11-04,1129418
2020-11-05,1147386
2020-11-06,1167411
2020-11-07,1189732
2020-11-08,1208921
2020-11-09,1225169
2020-11-10,1238237
2020-11-11,1259224
2020-11-12,1282745
2020-11-13,1306657
2020-11-14,1325797
2020-11-15,1354512
2020-11-16,1360610
2020-11-17,1387902
2020-11-18,1409421
2020-11-19,1432778
2020-11-20,1455638
2020-11-21,1480444
2020-11-22,1502617
2020-11-23,1517928
2020-11-24,1528072
2020-11-25,1548088
2020-11-26,1579967
2020-11-27,1600973
2020-11-28,1622535
2020-11-29,1638846
2020-11-30,1647792
2020-12-01,1653550
2020-12-02,1668494
2020-12-03,1694538
2020-12-04,1713017
2020-12-05,1736307
2020-12-06,1759988
2020-12-07,1781412
2020-12-08,1790939
2020-12-09,1819676
2020-12-10,1849001
2020-12-11,1877604
2020-12-12,1908056
2020-12-13,1933295
2020-12-14,1952540
2020-12-15,1963443
2020-12-16,1976079
2020-12-17,1994441
2020-12-18,2026508
2020-12-19,2050712
2020-12-20,2074745
2020-12-21,2090196
2020-12-22,2098133
2020-12-23,2119372
2020-12-24,2145558
2020-12-25,2167712
2020-12-26,2177206
2020-12-27,2180498
2020-12-28,2185145
2020-12-29,2191335
2020-12-30,2209637
2020-12-31,2227027
2021-01-01,2245155
2021-01-02,2255852
2021-01-03,2261812
2021-01-04,2270539
2021-01-05,2277060
2021-01-06,2299789
2021-01-07,2324079
2021-01-08,2348103
2021-01-09,2369926
2021-01-10,2389188
2021-01-11,2401755
2021-01-12,2409978
2021-01-13,2428528
2021-01-14,2448162
2021-01-15,2467260
2021-01-16,2485599
2021-01-17,2502874
2021-01-18,2512777
2021-01-19,2517907
2021-01-20,2533912
2021-01-21,2549489
2021-01-22,2567553
2021-01-23,2584791
2021-01-24,2601232
2021-01-25,2611296
2021-01-26,2616827
2021-01-27,2633880
2021-01-28,2646973
2021-01-29,2665948
2021-01-30,2687310
2021-01-31,2707452
2021-02-01,2718314
2021-02-02,2726108
2021-02-03,2741542
2021-02-04,2759713
2021-02-05,2778406
2021-02-06,2796002
2021-02-07,2815026
2021-02-08,2824746
2021-02-09,2831156
2021-02-10,2847978
2021-02-11,2868014
2021-02-12,2887453
2021-02-13,2906836
2021-02-14,2926351
2021-02-15,2937621
2021-02-16,2943848
2021-02-17,2963187
2021-02-18,2984042
2021-02-19,3006702
2021-02-20,3029608
2021-02-21,3052775
2021-02-22,3068700
2021-02-23,3078026
2021-02-24,3101425
2021-02-25,3126934
2021-02-26,3154062
2021-02-27,3181876
2021-02-28,3209506
2021-03-01,3229736
2021-03-02,3242554
2021-03-03,3268277
2021-03-04,3299071
2021-03-05,3330345
2021-03-06,3366016
2021-03-07,3399787
2021-03-08,3423677
2021-03-09,3440942
2021-03-10,3471694
2021-03-11,3505158
2021-03-12,3541954
2021-03-13,3583799
2021-03-14,3626107
2021-03-15,3653579
2021-03-16,3671705
2021-03-17,3685354
2021-03-18,3711852
2021-03-19,3751450
2021-03-20,3791926
2021-03-21,3832905
2021-03-22,3864469
2021-03-23,3883748
2021-03-24,3917064
2021-03-25,3952481
2021-03-26,3992774
2021-03-27,4035327
2021-03-28,4064628
2021-03-29,4107107
2021-03-30,4125562
2021-03-31,4158316
2021-04-01,4198760
2021-04-02,4238753
2021-04-03,4275351
2021-04-04,4302445
2021-04-05,4321353
2021-04-06,4332547
2021-04-07,4344748
2021-04-08,4374771
2021-04-09,4410474
2021-04-10,4447086
2021-04-11,4483950
2021-04-12,4510310
2021-04-13,4525777
2021-04-14,4560958
2021-04-15,4582900
2021-04-16,4614923
2021-04-17,4645585
2021-04-18,4673895
2021-04-19,4693294
2021-04-20,4706246
2021-04-21,4728681
2021-04-22,4755087
2021-04-23,4782694
2021-04-24,4806541
2021-04-25,4829764
2021-04-26,4846399
2021-04-27,4857788
2021-04-28,4876577
2021-04-29,4898956
2021-04-30,4922704
2021-05-01,4943816
2021-05-02,4965147
2021-05-03,4978901
2021-05-04,4987309
2021-05-05,5003825
2021-05-06,5024715
2021-05-07,5043362
2021-05-08,5060383
2021-05-09,5077404
2021-05-10,5087956
2021-05-11,5094469
2021-05-12,5109781
2021-05-13,5137599
2021-05-14,5156500
2021-05-15,5172000
2021-05-16,5187826
2021-05-17,5198191
2021-05-18,5205295
2021-05-19,5219957
2021-05-20,5236281
2021-05-21,5246912
2021-05-22,5269562
2021-05-23,5283611
2021-05-24,5293155
2021-05-25,5299523
2021-05-26,5305763
2021-05-27,5320222
2021-05-28,5335773
2021-05-29,5350718
2021-05-30,5365960
2021-05-31,5374012
2021-06-01,5386794
2021-06-02,5411942
2021-06-03,5415378
2021-06-04,5434051
2021-06-05,5446623
2021-06-06,5459412
2021-06-07,5466030
2021-06-08,5471908
2021-06-09,5485468
2021-06-10,5498038
2021-06-11,5512051
2021-06-14,5540334
2021-06-15,5545180
2021-06-16,5558288
2021-06-17,5569191
2021-06-18,5582683
2021-06-21,5607652
2021-06-22,5611970
2021-06-23,5622680
2021-06-24,5632412
2021-06-25,5643579
2021-06-28,5665706
2021-06-29,5670002
2021-06-30,5679459
2021-07-01,5687693
2021-07-02,5695084
2021-07-05,5713331
2021-07-06,5717499
2021-07-07,5722586
2021-07-08,5728351
2021-07-09,5741552
2021-07-12,5760026
2021-07-13,5764022
2021-07-14,5771216
2021-07-15,5778672
2021-07-16,5787439
2021-07-19,5806428
2021-07-20,5810786
2021-07-21,5817327
2021-07-22,5823968
2021-07-23,5833975
2021-07-26,5853104
2021-07-27,5857455
2021-07-28,5865793
2021-07-29,5872957
2021-07-30,5877537
2021-08-02,5897312
2021-08-03,5901379
2021-08-04,5909468
2021-08-05,5916606
2021-08-06,5924832
2021-08-09,5944194
2021-08-10,5948270
2021-08-11,5956447
2021-08-12,5964721
2021-08-13,5973156
2021-08-16,5994248
2021-08-17,5998428
2021-08-18,6006722
2021-08-19,6016847
2021-08-23,6041605
2021-08-24,6053333
2021-08-25,6062679
2021-08-26,6081089
2021-08-27,6091206
2021-08-30,6118069
2021-08-31,6123687
2021-09-01,6133382
2021-09-02,6144333
2021-09-03,6155215
2021-09-06,6183253
2021-09-07,6190054
2021-09-08,6200848
2021-09-09,6214062
2021-09-10,6228391
2021-09-13,6265022
2021-09-14,6273985
2021-09-15,6286877
2021-09-16,6302559
2021-09-17,6318139
2021-09-20,6355050
2021-09-21,6364942
2021-09-22,6379060
2021-09-23,6393252
2021-09-24,6407687
2021-09-27,6443079
2021-09-28,6450597
2021-09-29,6463630
2021-09-30,6481943
2021-10-01,6497097
2021-10-04,6529352
2021-10-05,6537474
2021-10-06,6549581
2021-10-07,6565775
2021-10-08,6581493
2021-10-11,6620866
2021-10-12,6628968
2021-10-13,6643043
2021-10-14,6659320
2021-10-15,6676874
2021-10-18,6721517
2021-10-19,6731249
2021-10-20,6746773
2021-10-21,6766267
2021-10-22,6786097
2021-10-25,6839387
2021-10-26,6850616
2021-10-27,6869538
2021-10-28,6897282
2021-10-29,6920351
2021-11-01,7001519
2021-11-02,7013651
2021-11-03,7026488
2021-11-04,7047987
2021-11-05,7080672
2021-11-08,7177191
2021-11-09,7197062
2021-11-10,7226735
2021-11-11,7264359
2021-11-12,7301683
2021-11-15,7404130
2021-11-16,7425621
2021-11-17,7458946
2021-11-18,7503818
2021-11-19,7555745
2021-11-22,7683474
2021-11-23,7707039
2021-11-24,7745888
2021-11-25,7798688
2021-11-26,7847984
2021-11-29,7972599
2021-11-30,7992908
2021-12-01,8023828
2021-12-02,8065863
2021-12-03,8109139
2021-12-06,8215903
2021-12-07,8228784
2021-12-08,8250940
2021-12-09,8284102
2021-12-10,8318045
2021-12-13,8403086
2021-12-14,8418125
2021-12-15,8439187
2021-12-16,8468939
2021-12-17,8497009
2021-12-20,8563594
2021-12-21,8571022
2021-12-22,8586187
2021-12-23,8607832
2021-12-27,8664113
2021-12-28,8668669
2021-12-29,8684220
2021-12-30,8701858
2021-12-31,8718519
2022-01-03,8752745
2022-01-04,8760590
2022-01-05,8778354
2022-01-06,8805334
2022-01-07,8834289
2022-01-10,8907903
2022-01-11,8917137
2022-01-12,8935436
2022-01-13,8966984
2022-01-14,8997321
2022-01-17,9079510
2022-01-18,9095498
2022-01-19,9121313
2022-01-20,9161818
2022-01-21,9211093
2022-01-24,9343917
2022-01-25,9361944
2022-01-26,9388322
2022-01-27,9437132
2022-01-28,9485888
2022-01-31,9620513
2022-02-01,9638704
2022-02-02,9665239
2022-02-03,9711075
2022-02-04,9756608
2022-02-07,9869298
2022-02-08,9882012
2022-02-09,9903538
2022-02-10,9941141
2022-02-11,9978877
2022-02-14,10062244
2022-02-15,10069929
2022-02-16,10087862
2022-02-17,10119191
2022-02-18,10146214
2022-02-21,10211986
2022-02-22,10218214
2022-02-23,10235504
2022-02-24,10260443
2022-02-25,10283077
2022-02-28,10334151
2022-03-01,10338983
2022-03-02,10349616
2022-03-03,10368142
2022-03-04,10386126
2022-03-07,10428093
2022-03-08,10431848
2022-03-09,10441745
2022-03-10,10456287
2022-03-11,10470722
2022-03-16,10511248
2022-03-17,10514979
2022-03-18,10524649
2022-03-21,10567592
2022-03-22,10571406
2022-03-23,10580751
2022-03-24,10589437
2022-03-25,10602276
2022-03-28,10635698
2022-03-29,10643436
2022-03-30,10652224
2022-03-31,10664846
2022-04-01,10676546
2022-04-05,10708094
2022-04-06,10717838
2022-04-07,10729240
2022-04-08,10741057
2022-04-11,10770194
2022-04-12,10774184
2022-04-13,10782526
2022-04-14,10793737
2022-04-19,10824435
2022-04-20,10828058
2022-04-21,10834691
2022-04-22,10844283
2022-04-25,10864342
