dates,covid19mobilitytrend_transporthub
2020-02-15,1
2020-02-16,-4
2020-02-17,-1
2020-02-18,1
2020-02-19,0
2020-02-20,4
2020-02-21,2
2020-02-22,1
2020-02-23,-4
2020-02-24,-1
2020-02-25,-6
2020-02-26,0
2020-02-27,2
2020-02-28,3
2020-02-29,4
2020-03-01,0
2020-03-02,3
2020-03-03,2
2020-03-04,-1
2020-03-05,3
2020-03-06,3
2020-03-07,3
2020-03-08,-1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,-5
2020-03-15,-12
2020-03-16,-12
2020-03-17,-16
2020-03-18,-21
2020-03-19,-26
2020-03-20,-31
2020-03-21,-33
2020-03-22,-42
2020-03-23,-41
2020-03-24,-42
2020-03-25,-52
2020-03-26,-46
2020-03-27,-49
2020-03-28,-50
2020-03-29,-54
2020-03-30,-51
2020-03-31,-49
2020-04-01,-49
2020-04-02,-50
2020-04-03,-53
2020-04-04,-54
2020-04-05,-58
2020-04-06,-54
2020-04-07,-51
2020-04-08,-52
2020-04-09,-50
2020-04-10,-64
2020-04-11,-59
2020-04-12,-61
2020-04-13,-56
2020-04-14,-54
2020-04-15,-55
2020-04-16,-56
2020-04-17,-58
2020-04-18,-58
2020-04-19,-60
2020-04-20,-56
2020-04-21,-55
2020-04-22,-53
2020-04-23,-50
2020-04-24,-64
2020-04-25,-64
2020-04-26,-68
2020-04-27,-62
2020-04-28,-61
2020-04-29,-60
2020-04-30,-58
2020-05-01,-67
2020-05-02,-62
2020-05-03,-65
2020-05-04,-60
2020-05-05,-58
2020-05-06,-58
2020-05-07,-62
2020-05-08,-59
2020-05-09,-59
2020-05-10,-62
2020-05-11,-56
2020-05-12,-54
2020-05-13,-54
2020-05-14,-53
2020-05-15,-54
2020-05-16,-53
2020-05-17,-57
2020-05-18,-54
2020-05-19,-48
2020-05-20,-47
2020-05-21,-47
2020-05-22,-49
2020-05-23,-49
2020-05-24,-59
2020-05-25,-59
2020-05-26,-54
2020-05-27,-53
2020-05-28,-52
2020-05-29,-55
2020-05-30,-53
2020-05-31,-54
2020-06-01,-54
2020-06-02,-46
2020-06-03,-47
2020-06-04,-47
2020-06-05,-50
2020-06-06,-48
2020-06-07,-50
2020-06-08,-46
2020-06-09,-44
2020-06-10,-43
2020-06-11,-44
2020-06-12,-46
2020-06-13,-44
2020-06-14,-46
2020-06-15,-42
2020-06-16,-40
2020-06-17,-40
2020-06-18,-41
2020-06-19,-43
2020-06-20,-41
2020-06-21,-43
2020-06-22,-41
2020-06-23,-39
2020-06-24,-39
2020-06-25,-39
2020-06-26,-40
2020-06-27,-37
2020-06-28,-40
2020-06-29,-39
2020-06-30,-37
2020-07-01,-36
2020-07-02,-36
2020-07-03,-37
2020-07-04,-34
2020-07-05,-35
2020-07-06,-37
2020-07-07,-33
2020-07-08,-34
2020-07-09,-34
2020-07-10,-36
2020-07-11,-33
2020-07-12,-36
2020-07-13,-37
2020-07-14,-36
2020-07-15,-36
2020-07-16,-35
2020-07-17,-38
2020-07-18,-36
2020-07-19,-38
2020-07-20,-37
2020-07-21,-36
2020-07-22,-37
2020-07-23,-37
2020-07-24,-37
2020-07-25,-33
2020-07-26,-37
2020-07-27,-36
2020-07-28,-33
2020-07-29,-30
2020-07-30,-20
2020-07-31,-45
2020-08-01,-37
2020-08-02,-29
2020-08-03,-31
2020-08-04,-31
2020-08-05,-32
2020-08-06,-32
2020-08-07,-33
2020-08-08,-29
2020-08-09,-32
2020-08-10,-32
2020-08-11,-32
2020-08-12,-32
2020-08-13,-33
2020-08-14,-31
2020-08-15,-24
2020-08-16,-30
2020-08-17,-37
2020-08-18,-31
2020-08-19,-28
2020-08-20,-33
2020-08-21,-38
2020-08-22,-33
2020-08-23,-32
2020-08-24,-33
2020-08-25,-32
2020-08-26,-33
2020-08-27,-32
2020-08-28,-33
2020-08-29,-30
2020-08-30,-32
2020-08-31,-33
2020-09-01,-31
2020-09-02,-32
2020-09-03,-32
2020-09-04,-33
2020-09-05,-30
2020-09-06,-32
2020-09-07,-33
2020-09-08,-32
2020-09-09,-33
2020-09-10,-32
2020-09-11,-33
2020-09-12,-30
2020-09-13,-33
2020-09-14,-41
2020-09-15,-40
2020-09-16,-39
2020-09-17,-39
2020-09-18,-41
2020-09-19,-39
2020-09-20,-44
2020-09-21,-41
2020-09-22,-40
2020-09-23,-39
2020-09-24,-38
2020-09-25,-39
2020-09-26,-36
2020-09-27,-39
2020-09-28,-38
2020-09-29,-36
2020-09-30,-35
2020-10-01,-34
2020-10-02,-36
2020-10-03,-32
2020-10-04,-33
2020-10-05,-35
2020-10-06,-34
2020-10-07,-35
2020-10-08,-32
2020-10-09,-38
2020-10-10,-35
2020-10-11,-35
2020-10-12,-35
2020-10-13,-36
2020-10-14,-35
2020-10-15,-32
2020-10-16,-35
2020-10-17,-29
2020-10-18,-31
2020-10-19,-34
2020-10-20,-32
2020-10-21,-34
2020-10-22,-31
2020-10-23,-32
2020-10-24,-28
2020-10-25,-30
2020-10-26,-32
2020-10-27,-25
2020-10-28,-20
2020-10-29,-25
2020-10-30,-34
2020-10-31,-29
2020-11-01,-21
2020-11-02,-27
2020-11-03,-28
2020-11-04,-30
2020-11-05,-32
2020-11-06,-31
2020-11-07,-27
2020-11-08,-28
2020-11-09,-31
2020-11-10,-29
2020-11-11,-30
2020-11-12,-30
2020-11-13,-30
2020-11-14,-27
2020-11-15,-28
2020-11-16,-31
2020-11-17,-31
2020-11-18,-31
2020-11-19,-31
2020-11-20,-31
2020-11-21,-28
2020-11-22,-30
2020-11-23,-33
2020-11-24,-32
2020-11-25,-30
2020-11-26,-28
2020-11-27,-30
2020-11-28,-26
2020-11-29,-28
2020-11-30,-30
2020-12-01,-28
2020-12-02,-29
2020-12-03,-30
2020-12-04,-30
2020-12-05,-26
2020-12-06,-30
2020-12-07,-31
2020-12-08,-28
2020-12-09,-36
2020-12-10,-26
2020-12-11,-28
2020-12-12,-24
2020-12-13,-24
2020-12-14,-27
2020-12-15,-25
2020-12-16,-25
2020-12-17,-23
2020-12-18,-25
2020-12-19,-20
2020-12-20,-21
2020-12-21,-24
2020-12-22,-21
2020-12-23,-16
2020-12-24,-17
2020-12-25,-33
2020-12-26,-28
2020-12-27,-23
2020-12-28,-26
2020-12-29,-26
2020-12-30,-22
2020-12-31,-21
2021-01-01,-42
2021-01-02,-27
2021-01-03,-22
2021-01-04,-26
2021-01-05,-27
2021-01-06,-29
2021-01-07,-30
2021-01-08,-33
2021-01-09,-33
2021-01-10,-30
2021-01-11,-35
2021-01-12,-36
2021-01-13,-38
2021-01-14,-41
2021-01-15,-45
2021-01-16,-44
2021-01-17,-44
2021-01-18,-44
2021-01-19,-43
2021-01-20,-43
2021-01-21,-43
2021-01-22,-44
2021-01-23,-41
2021-01-24,-46
2021-01-25,-41
2021-01-26,-40
2021-01-27,-40
2021-01-28,-39
2021-01-29,-40
2021-01-30,-37
2021-01-31,-36
2021-02-01,-38
2021-02-02,-36
2021-02-03,-38
2021-02-04,-38
2021-02-05,-37
2021-02-06,-36
2021-02-07,-41
2021-02-08,-37
2021-02-09,-34
2021-02-10,-34
2021-02-11,-28
2021-02-12,-41
2021-02-13,-39
2021-02-14,-35
2021-02-15,-35
2021-02-16,-36
2021-02-17,-35
2021-02-18,-37
2021-02-19,-38
2021-02-20,-37
2021-02-21,-38
2021-02-22,-37
2021-02-23,-36
2021-02-24,-37
2021-02-25,-34
2021-02-26,-34
2021-02-27,-30
2021-02-28,-30
2021-03-01,-33
2021-03-02,-32
2021-03-03,-32
2021-03-04,-32
2021-03-05,-33
2021-03-06,-28
2021-03-07,-31
2021-03-08,-33
2021-03-09,-31
2021-03-10,-26
2021-03-11,-32
2021-03-12,-34
2021-03-13,-29
2021-03-14,-28
2021-03-15,-30
2021-03-16,-31
2021-03-17,-31
2021-03-18,-31
2021-03-19,-31
2021-03-20,-28
2021-03-21,-30
2021-03-22,-32
2021-03-23,-31
2021-03-24,-31
2021-03-25,-29
2021-03-26,-29
2021-03-27,-27
2021-03-28,-27
2021-03-29,-30
2021-03-30,-29
2021-03-31,-26
2021-04-01,-15
2021-04-02,-23
2021-04-03,-24
2021-04-04,-15
2021-04-05,-22
2021-04-06,-22
2021-04-07,-23
2021-04-08,-21
2021-04-09,-21
2021-04-10,-14
2021-04-11,-15
2021-04-12,-19
2021-04-13,-37
2021-04-14,-35
2021-04-15,-33
2021-04-16,-34
2021-04-17,-35
2021-04-18,-36
2021-04-19,-33
2021-04-20,-31
2021-04-21,-31
2021-04-22,-31
2021-04-23,-32
2021-04-24,-31
2021-04-25,-32
