dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,5
2020-02-01,5
2020-02-02,2
2020-02-03,3
2020-02-04,7
2020-02-05,7
2020-02-06,7
2020-02-07,7
2020-02-08,7
2020-02-09,7
2020-02-10,7
2020-02-11,7
2020-02-12,7
2020-02-13,7
2020-02-14,7
2020-02-15,7
2020-02-16,7
2020-02-17,7
2020-02-18,7
2020-02-19,7
2020-02-20,7
2020-02-21,7
2020-02-22,7
2020-02-23,7
2020-02-24,7
2020-02-25,7
2020-02-26,7
2020-02-27,7
2020-02-28,7
2020-02-29,7
2020-03-01,7
2020-03-02,5
2020-03-03,9
2020-03-04,28
2020-03-05,29
2020-03-06,31
2020-03-07,34
2020-03-08,39
2020-03-09,44
2020-03-10,50
2020-03-11,60
2020-03-12,73
2020-03-13,81
2020-03-14,84
2020-03-15,107
2020-03-16,114
2020-03-17,137
2020-03-18,151
2020-03-19,173
2020-03-20,223
2020-03-21,283
2020-03-22,360
2020-03-23,434
2020-03-24,519
2020-03-25,606
2020-03-26,649
2020-03-27,724
2020-03-28,909
2020-03-29,979
2020-03-30,1071
2020-03-31,1251
2020-04-01,1637
2020-04-02,1965
2020-04-03,2301
2020-04-04,2902
2020-04-05,3374
2020-04-06,4067
2020-04-07,4421
2020-04-08,5274
2020-04-09,5865
2020-04-10,6412
2020-04-11,7447
2020-04-12,8356
2020-04-13,9152
2020-04-14,10363
2020-04-15,11439
2020-04-16,12380
2020-04-17,13387
2020-04-18,14378
2020-04-19,15712
2020-04-20,17265
2020-04-21,18601
2020-04-22,19984
2020-04-23,21393
2020-04-24,23077
2020-04-25,24506
2020-04-26,26496
2020-04-27,27892
2020-04-28,29435
2020-04-29,31332
2020-04-30,33050
2020-05-01,35043
2020-05-02,37336
2020-05-03,39980
2020-05-04,42533
2020-05-05,46433
2020-05-06,49391
2020-05-07,52952
2020-05-08,56342
2020-05-09,59662
2020-05-10,62939
2020-05-11,67152
2020-05-12,70756
2020-05-13,74281
2020-05-14,78003
2020-05-15,81970
2020-05-16,85940
2020-05-17,90927
2020-05-18,96169
2020-05-19,101139
2020-05-20,106750
2020-05-21,112359
2020-05-22,118447
2020-05-23,125101
2020-05-24,131868
2020-05-25,138845
2020-05-26,145380
2020-05-27,151767
2020-05-28,158333
2020-05-29,165799
2020-05-30,173763
2020-05-31,182143
2020-06-01,190535
2020-06-02,198706
2020-06-03,207615
2020-06-04,216919
2020-06-05,226770
2020-06-06,236657
2020-06-07,246628
2020-06-08,256611
2020-06-09,266598
2020-06-10,276583
2020-06-11,286579
2020-06-12,297535
2020-06-13,308993
2020-06-14,320922
2020-06-15,332424
2020-06-16,343091
2020-06-17,354065
2020-06-18,366946
2020-06-19,380532
2020-06-20,395048
2020-06-21,410461
2020-06-22,425282
2020-06-23,440215
2020-06-24,456183
2020-06-25,473105
2020-06-26,490401
2020-06-27,508953
2020-06-28,528859
2020-06-29,548318
2020-06-30,566840
2020-07-01,585493
2020-07-02,604641
2020-07-03,625544
2020-07-04,648315
2020-07-05,673165
2020-07-06,697413
2020-07-07,719665
2020-07-08,742417
2020-07-09,767296
2020-07-10,793802
2020-07-11,820916
2020-07-12,849553
2020-07-13,878254
2020-07-14,906752
2020-07-15,936181
2020-07-16,968876
2020-07-17,1003832
2020-07-18,1038716
2020-07-19,1077618
2020-07-20,1118043
2020-07-21,1155191
2020-07-22,1192915
2020-07-23,1238635
2020-07-24,1287945
2020-07-25,1336861
2020-07-26,1385522
2020-07-27,1435453
2020-07-28,1483156
2020-07-29,1531669
2020-07-30,1583792
2020-07-31,1638870
2020-08-01,1695988
2020-08-02,1750723
2020-08-03,1803695
2020-08-04,1855745
2020-08-05,1908254
2020-08-06,1964536
2020-08-07,2027074
2020-08-08,2088611
2020-08-09,2153010
2020-08-10,2215074
2020-08-11,2268675
2020-08-12,2329638
2020-08-13,2396637
2020-08-14,2461190
2020-08-15,2526192
2020-08-16,2589682
2020-08-17,2647663
2020-08-18,2702742
2020-08-19,2767273
2020-08-20,2836925
2020-08-21,2905823
2020-08-22,2975701
2020-08-23,3044940
2020-08-24,3106348
2020-08-25,3167323
2020-08-26,3234474
2020-08-27,3310234
2020-08-28,3387500
2020-08-29,3463972
2020-08-30,3542733
2020-08-31,3621245
2020-09-01,3691166
2020-09-02,3769523
2020-09-03,3853406
2020-09-04,3936747
2020-09-05,4023179
2020-09-06,4113811
2020-09-07,4204613
2020-09-08,4280422
2020-09-09,4370128
2020-09-10,4465863
2020-09-11,4562414
2020-09-12,4659984
2020-09-13,4754356
2020-09-14,4846427
2020-09-15,4930236
2020-09-16,5020359
2020-09-17,5118253
2020-09-18,5214677
2020-09-19,5308014
2020-09-20,5400619
2020-09-21,5487580
2020-09-22,5562663
2020-09-23,5646010
2020-09-24,5732518
2020-09-25,5818570
2020-09-26,5903932
2020-09-27,5992532
2020-09-28,6074702
2020-09-29,6145291
2020-09-30,6225763
2020-10-01,6312584
2020-10-02,6394068
2020-10-03,6473544
2020-10-04,6549373
2020-10-05,6623815
2020-10-06,6685082
2020-10-07,6757131
2020-10-08,6835655
2020-10-09,6906151
2020-10-10,6979423
2020-10-11,7053806
2020-10-12,7120538
2020-10-13,7175880
2020-10-14,7239389
2020-10-15,7307097
2020-10-16,7370468
2020-10-17,7432680
2020-10-18,7494551
2020-10-19,7550273
2020-10-20,7597063
2020-10-21,7651107
2020-10-22,7706946
2020-10-23,7761312
2020-10-24,7814682
2020-10-25,7864811
2020-10-26,7909959
2020-10-27,7946429
2020-10-28,7990322
2020-10-29,8040203
2020-10-30,8088851
2020-10-31,8137119
2020-11-01,8184082
2020-11-02,8229313
2020-11-03,8267623
2020-11-04,8313876
2020-11-05,8364086
2020-11-06,8411724
2020-11-07,8462080
2020-11-08,8507754
2020-11-09,8553657
2020-11-10,8591730
2020-11-11,8636011
2020-11-12,8683916
2020-11-13,8728795
2020-11-14,8773479
2020-11-15,8814579
2020-11-16,8845127
2020-11-17,8874290
2020-11-18,8912907
2020-11-19,8958483
2020-11-20,9004365
2020-11-21,9050597
2020-11-22,9095806
2020-11-23,9139865
2020-11-24,9177840
2020-11-25,9222216
2020-11-26,9266705
2020-11-27,9309787
2020-11-28,9351109
2020-11-29,9392919
2020-11-30,9431691
2020-12-01,9462809
2020-12-02,9499413
2020-12-03,9534964
2020-12-04,9571559
2020-12-05,9608211
2020-12-06,9644222
2020-12-07,9677203
2020-12-08,9703770
2020-12-09,9735850
2020-12-10,9767371
2020-12-11,9796769
2020-12-12,9826775
2020-12-13,9857029
2020-12-14,9884100
2020-12-15,9906165
2020-12-16,9932547
2020-12-17,9956557
2020-12-18,9979447
2020-12-19,10004599
2020-12-20,10031223
2020-12-21,10055560
2020-12-22,10075116
2020-12-23,10099066
2020-12-24,10123778
2020-12-25,10146845
2020-12-26,10169118
2020-12-27,10187850
2020-12-28,10207871
2020-12-29,10224303
2020-12-30,10244852
2020-12-31,10266674
2021-01-01,10286709
2021-01-02,10305788
2021-01-03,10323965
2021-01-04,10340469
2021-01-05,10356844
2021-01-06,10374932
2021-01-07,10395278
2021-01-08,10413417
2021-01-09,10431639
2021-01-10,10450284
2021-01-11,10466595
2021-01-12,10479179
2021-01-13,10495147
2021-01-14,10512093
2021-01-15,10527683
2021-01-16,10542841
2021-01-17,10557985
2021-01-18,10571773
2021-01-19,10581837
2021-01-20,10595660
2021-01-21,10610883
2021-01-22,10625428
2021-01-23,10639684
2021-01-24,10654533
2021-01-25,10667736
2021-01-26,10676838
2021-01-27,10689527
2021-01-28,10701193
2021-01-29,10720048
2021-01-30,10733131
2021-01-31,10746183
2021-02-01,10757610
2021-02-02,10766245
2021-02-03,10777284
2021-02-04,10790183
2021-02-05,10802591
2021-02-06,10814304
2021-02-07,10826363
2021-02-08,10838194
2021-02-09,10847304
2021-02-10,10858371
2021-02-11,10871294
2021-02-12,10880603
2021-02-13,10892746
2021-02-14,10904940
2021-02-15,10916589
2021-02-16,10925710
2021-02-17,10937320
2021-02-18,10950201
2021-02-19,10963394
2021-02-20,10977387
2021-02-21,10991651
2021-02-22,11005850
2021-02-23,11016434
2021-02-24,11030176
2021-02-25,11046914
2021-02-26,11063491
2021-02-27,11079979
2021-02-28,11096731
2021-03-01,11112241
2021-03-02,11124527
2021-03-03,11139516
2021-03-04,11156923
2021-03-05,11173761
2021-03-06,11192088
2021-03-07,11210799
2021-03-08,11229398
2021-03-09,11244786
2021-03-10,11262707
2021-03-11,11285561
2021-03-12,11308846
2021-03-13,11333728
2021-03-14,11359048
2021-03-15,11385339
2021-03-16,11409831
2021-03-17,11438734
2021-03-18,11474605
2021-03-19,11514331
2021-03-20,11555284
2021-03-21,11599130
2021-03-22,11646081
2021-03-23,11686796
2021-03-24,11734058
2021-03-25,11787534
2021-03-26,11846652
2021-03-27,11908910
2021-03-28,11971624
2021-03-29,12039644
2021-03-30,12095855
2021-03-31,12149335
2021-04-01,12221665
2021-04-02,12303131
2021-04-03,12392260
2021-04-04,12485509
2021-04-05,12589067
2021-04-06,12686049
2021-04-07,12801785
2021-04-08,12928574
2021-04-09,13060542
2021-04-10,13205926
2021-04-11,13358805
2021-04-12,13527717
2021-04-13,13689453
2021-04-14,13873825
2021-04-15,14074564
2021-04-16,14291917
2021-04-17,14526609
2021-04-18,14788109
2021-04-19,15061919
2021-04-20,15321089
2021-04-21,15616130
2021-04-22,15930965
2021-04-23,16263695
2021-04-24,16610481
2021-04-25,16960172
2021-04-26,17313163
2021-04-27,17636307
2021-04-28,17997267
2021-04-29,18376524
2021-04-30,18762976
2021-05-01,19164969
2021-05-02,19557457
2021-05-03,19925604
2021-05-04,20282833
2021-05-05,20665148
2021-05-06,21077410
2021-05-07,21491598
2021-05-08,21892676
2021-05-09,22296414
2021-05-10,22662575
2021-05-11,22992517
2021-05-12,23340938
2021-05-13,23703665
2021-05-14,24046809
2021-05-15,24372907
2021-05-16,24684077
2021-05-17,24965463
2021-05-18,25228996
2021-05-19,25496330
2021-05-20,25772440
2021-05-21,26031991
2021-05-22,26289290
2021-05-23,26530132
2021-05-24,26752447
2021-05-25,26948874
2021-05-26,27157795
