dates,incrementalcount_vaccine_covid_19_administered
2021-01-16,191181
2021-01-17,33120
2021-01-18,229748
2021-01-19,220786
2021-01-20,131649
2021-01-21,237050
2021-01-22,347058
2021-01-23,191609
2021-01-24,33303
2021-01-25,408305
2021-01-26,5671
2021-01-27,326499
2021-01-28,572074
2021-01-29,571974
2021-01-30,244307
2021-01-31,14509
2021-02-01,191313
2021-02-02,188762
2021-02-03,310634
2021-02-04,509893
2021-02-05,457404
2021-02-06,358473
2021-02-07,37040
2021-02-08,446646
2021-02-09,352553
2021-02-10,405553
2021-02-11,487896
2021-02-12,462637
2021-02-13,84807
2021-02-16,340570
2021-02-17,329416
2021-02-18,659766
2021-02-19,603419
2021-02-20,388381
2021-02-21,246850
2021-02-22,338921
2021-02-23,483298
2021-02-24,459241
2021-02-25,700414
2021-02-26,689893
2021-02-27,485607
2021-02-28,58719
2021-03-01,552870
2021-03-02,766613
2021-03-03,995299
2021-03-04,1389455
2021-03-05,1492201
2021-03-06,1424640
2021-03-07,66666
2021-03-08,2019723
2021-03-09,1359173
2021-03-10,1317105
2021-03-11,479909
2021-03-12,2053537
2021-03-13,1519952
2021-03-14,169629
2021-03-15,3039394
2021-03-16,2117104
2021-03-17,2078719
2021-03-18,2196562
2021-03-19,2723575
2021-03-20,2540449
2021-03-21,462157
2021-03-22,3428596
2021-03-23,2346692
2021-03-24,2304423
2021-03-25,2358731
2021-03-26,2605333
2021-03-27,2160009
2021-03-28,260653
2021-03-29,582919
2021-03-30,1940999
2021-03-31,2063543
2021-04-01,3671242
2021-04-02,4265157
2021-04-03,2925356
2021-04-04,3125512
2021-04-05,4005763
2021-04-06,3966548
2021-04-07,3121199
2021-04-08,4135589
2021-04-09,3740898
2021-04-10,3519987
2021-04-11,2933418
2021-04-12,4004520
2021-04-13,2646493
2021-04-14,3313660
2021-04-15,2730271
2021-04-16,2714132
2021-04-17,2684949
2021-04-18,1229976
2021-04-19,3276547
2021-04-22,3108503
2021-04-26,3339774
2021-04-27,2354286
2021-04-28,2174159
2021-04-29,2215380
2021-04-30,2729335
2021-05-01,1628218
2021-05-02,585186
2021-05-03,1870625
2021-05-04,1668616
2021-05-05,2180486
2021-05-06,2672365
2021-05-07,2586397
2021-05-08,2303857
2021-05-09,811011
2021-05-10,2794050
2021-05-11,2763725
2021-05-12,2182934
2021-05-13,2316269
2021-05-14,1284567
2021-05-15,1898123
2021-05-16,706470
2021-05-17,1566198
2021-05-18,1374398
2021-05-19,1218998
2021-05-20,1476285
2021-05-23,876743
2021-05-24,2446471
2021-05-25,1341068
2021-05-26,2918836
2021-05-27,2777551
