dates,count_medicalconditionincident_covid_19_patienthospitalized
2020-03-15,32
2020-03-22,80
2020-03-29,290
2020-04-05,656
2020-04-12,837
2020-04-19,881
2020-04-26,778
2020-05-03,760
2020-05-10,657
2020-05-17,486
2020-05-24,367
2020-05-31,263
2020-06-07,166
2020-06-14,102
2020-06-21,60
2020-06-28,37
2020-07-05,21
2020-07-12,12
2020-07-19,12
2020-07-26,14
2020-08-02,10
2020-08-09,17
2020-08-16,13
2020-08-23,17
2020-08-30,26
2020-09-06,40
2020-09-13,50
2020-09-20,65
2020-09-27,90
2020-10-04,122
2020-10-11,156
2020-10-18,234
2020-10-25,324
2020-11-01,327
2020-11-08,315
2020-11-15,282
2020-11-22,274
2020-11-29,269
2020-12-06,228
2020-12-13,215
2020-12-20,198
2020-12-27,239
2021-01-03,454
2021-01-10,921
2021-01-17,1750
2021-01-24,1941
2021-01-31,1727
2021-02-07,1366
2021-02-14,1032
2021-02-21,831
2021-02-28,652
2021-03-07,489
2021-03-14,370
2021-03-21,350
2021-03-28,329
2021-04-04,297
2021-04-11,232
2021-04-18,192
2021-04-25,176
2021-05-02,153
2021-05-09,137
2021-05-16,109
2021-05-23,101
2021-05-30,99
2021-06-06,93
2021-06-13,76
2021-06-20,57
2021-06-27,41
2021-07-04,44
2021-07-11,60
2021-07-18,73
2021-07-25,96
2021-08-01,152
2021-08-08,187
2021-08-15,206
2021-08-22,249
2021-08-29,323
2021-09-05,360
2021-09-12,335
2021-09-19,292
2021-09-26,272
2021-10-03,300
2021-10-10,343
2021-10-17,408
2021-10-24,464
2021-10-31,503
2021-11-07,460
2021-11-14,551
2021-11-21,634
2021-11-28,611
2021-12-05,578
2021-12-12,543
2021-12-19,470
2021-12-26,429
2022-01-02,568
2022-01-09,928
2022-01-16,1055
2022-01-23,911
2022-01-30,739
2022-02-06,630
2022-02-13,627
2022-02-20,631
2022-02-27,593
2022-03-06,653
2022-03-13,829
2022-03-20,1081
2022-03-27,1395
2022-04-03,1610
2022-04-10,1333
2022-04-17,933
2022-04-24,706
2022-05-01,435
2022-05-08,347
2022-05-15,254
2022-05-22,256
2022-05-29,191
2022-06-05,191
2022-06-12,289
2022-06-19,477
2022-06-26,629
2022-07-03,776
2022-07-10,906
2022-07-17,1018
2022-07-24,782
2022-07-31,551
2022-08-07,417
2022-08-14,349
2022-08-21,307
2022-08-28,285
2022-09-04,262
2022-09-11,243
2022-09-18,233
2022-09-25,299
2022-10-02,329
2022-10-09,406
2022-10-16,486
2022-10-23,442
2022-10-30,430
2022-11-06,410
2022-11-13,339
2022-11-20,316
2022-11-27,302
2022-12-04,341
2022-12-11,352
2022-12-18,464
2022-12-25,625
2023-01-01,737
2023-01-08,686
2023-01-15,545
2023-01-22,317
2023-01-29,224
2023-02-05,175
2023-02-12,177
2023-02-19,169
2023-02-26,163
2023-03-05,137
2023-03-12,181
2023-03-19,238
2023-03-26,293
2023-04-02,285
