dates,covid19mobilitytrend_localbusiness
2020-02-15,-11
2020-02-16,-6
2020-02-17,8
2020-02-18,6
2020-02-19,2
2020-02-20,8
2020-02-21,1
2020-02-22,-2
2020-02-23,-3
2020-02-24,1
2020-02-25,-2
2020-02-26,-1
2020-02-27,4
2020-02-28,3
2020-02-29,-12
2020-03-01,3
2020-03-02,4
2020-03-03,8
2020-03-04,5
2020-03-05,4
2020-03-06,3
2020-03-07,-3
2020-03-08,0
2020-03-09,-3
2020-03-10,3
2020-03-11,-3
2020-03-12,-3
2020-03-13,-19
2020-03-14,-32
2020-03-15,-36
2020-03-16,-26
2020-03-17,-59
2020-03-18,-46
2020-03-19,-48
2020-03-20,-53
2020-03-21,-59
2020-03-22,-59
2020-03-23,-49
2020-03-24,-51
2020-03-25,-60
2020-03-26,-60
2020-03-27,-63
2020-03-28,-80
2020-03-29,-83
2020-03-30,-73
2020-03-31,-73
2020-04-01,-75
2020-04-02,-74
2020-04-03,-74
2020-04-04,-78
2020-04-05,-81
2020-04-06,-68
2020-04-07,-66
2020-04-08,-69
2020-04-09,-68
2020-04-10,-73
2020-04-11,-76
2020-04-12,-90
2020-04-13,-77
2020-04-14,-68
2020-04-15,-69
2020-04-16,-84
2020-04-17,-85
2020-04-18,-87
2020-04-19,-88
2020-04-20,-83
2020-04-21,-83
2020-04-22,-83
2020-04-23,-82
2020-04-24,-83
2020-04-25,-85
2020-04-26,-87
2020-04-27,-81
2020-04-28,-81
2020-04-29,-83
2020-04-30,-73
2020-05-01,-74
2020-05-02,-77
2020-05-03,-77
2020-05-04,-74
2020-05-05,-68
2020-05-06,-69
2020-05-07,-70
2020-05-08,-70
2020-05-09,-74
2020-05-10,-77
2020-05-11,-67
2020-05-12,-66
2020-05-13,-68
2020-05-14,-68
2020-05-15,-70
2020-05-16,-74
2020-05-17,-75
2020-05-18,-60
2020-05-19,-59
2020-05-20,-59
2020-05-21,-60
2020-05-22,-64
2020-05-23,-66
2020-05-24,-66
2020-05-25,-55
2020-05-26,-55
2020-05-27,-57
2020-05-28,-56
2020-05-29,-58
2020-05-30,-63
2020-05-31,-64
