dates,incrementalcount_medicaltest_conditioncovid_19
2020-04-09,10418
2020-04-10,11175
2020-04-11,9135
2020-04-12,11685
2020-04-15,11845
2020-04-16,11136
2020-04-17,9539
2020-04-18,10258
2020-04-19,11525
2020-04-20,11350
2020-04-21,12711
2020-04-24,10420
2020-04-25,10148
2020-04-26,11238
2020-04-27,11016
2020-04-30,9909
2020-05-01,11728
2020-05-02,9518
2020-05-03,11732
2020-05-04,12015
2020-05-05,11255
2020-05-06,11732
2020-05-07,13517
2020-05-08,14107
2020-05-13,14057
2020-05-14,14238
2020-05-15,14832
2020-05-16,14075
2020-05-17,14256
2020-05-18,14705
2020-05-19,14536
2020-05-20,15037
2020-05-21,14832
2020-05-22,17868
2020-05-23,17373
2020-05-24,19233
2020-05-25,18398
2020-05-26,18173
2020-05-27,19456
2020-05-30,19427
2020-05-31,19896
2020-06-01,19971
2020-06-02,20071
2020-06-03,21073
2020-06-04,22353
2020-06-05,20927
2020-06-06,19837
2020-06-07,24731
2020-06-10,22431
2020-06-13,22453
2020-06-14,24674
2020-06-15,25120
2020-06-16,24415
2020-06-17,26311
2020-06-18,24679
2020-06-19,26119
2020-06-20,24957
2020-06-21,26732
2020-06-22,27013
2020-06-23,25911
2020-06-24,27194
2020-06-25,27912
2020-06-26,27435
2020-06-27,25670
2020-06-28,27327
2020-06-29,28209
2020-07-04,24562
2020-07-05,25207
2020-07-06,25276
2020-07-07,26790
2020-07-08,25598
2020-07-09,25412
2020-07-10,24698
2020-07-11,24613
2020-07-12,25093
2020-07-13,25760
2020-07-14,25112
2020-07-15,24970
2020-07-16,25742
2020-07-17,25194
2020-07-18,24533
2020-07-19,25481
2020-07-20,26218
2020-07-21,26741
2020-07-22,26319
2020-07-23,25846
2020-07-24,24261
2020-07-29,25740
2020-08-01,25644
2020-08-02,25865
2020-08-03,26240
2020-08-04,25716
2020-08-05,26709
2020-08-08,24390
2020-08-09,24533
2020-08-10,25319
2020-08-11,24697
2020-08-12,26711
2020-08-15,23764
2020-08-16,25573
2020-08-17,26113
2020-08-18,26111
2020-08-19,25791
2020-08-20,23901
2020-08-23,25401
2020-08-24,25711
2020-08-25,25891
2020-08-26,25493
2020-08-27,24976
2020-08-28,23112
2020-08-31,23841
2020-09-01,25012
2020-09-02,25839
2020-09-03,25422
2020-09-08,25591
2020-09-09,26097
2020-09-12,24936
2020-09-13,26691
2020-09-14,27283
2020-09-22,27319
2020-09-23,27711
2020-09-29,26937
2020-09-30,28101
2020-10-07,92186
2020-10-12,28317
2020-10-13,28791
2020-10-14,29101
2020-10-15,28056
2020-10-19,29301
2020-10-20,29788
2020-10-21,29311
2020-10-22,29312
2020-10-23,29861
2020-10-27,67172
2020-10-28,34912
2020-10-31,71613
2020-11-01,36321
2020-11-04,71612
2020-11-05,37718
2020-11-08,38891
2020-11-09,38921
2020-11-10,39027
2020-11-15,40897
2020-11-16,40356
2020-11-17,40697
2020-11-18,40490
2020-11-19,40907
2020-11-24,42791
2020-11-25,42131
2020-11-26,42495
2020-12-01,43289
2020-12-05,44190
2020-12-06,44391
2020-12-07,45209
2020-12-10,45333
2020-12-21,51109
2020-12-30,53412
2020-12-31,53721
2021-01-01,49601
2021-01-06,54217
2021-01-07,53869
2021-01-12,54191
2021-01-18,52819
2021-01-19,54427
2021-01-20,54179
2021-01-21,55219
2021-01-22,52913
2021-01-23,53417
2021-01-24,54812
2021-01-25,55093
2021-01-26,55190
2021-02-01,54971
2021-02-02,54708
2021-02-03,54691
2021-02-04,55272
2021-02-15,56209
2021-03-28,68420
2021-03-29,64548
2021-03-30,68429
2021-03-31,70450
2021-04-01,71470
2021-04-02,70461
2021-04-03,74931
2021-04-04,72409
2021-04-05,72591
2021-04-27,121490
2021-06-16,123901
2021-07-06,76729
2021-08-06,68852
2021-08-07,93846
2021-08-12,99847
2021-08-13,94633
2021-08-14,93631
2021-08-18,104419
2021-08-19,94557
2021-08-20,86429
2021-08-24,118638
2021-08-25,119642
2021-08-26,116841
2021-08-27,108091
2021-09-01,113604
2021-09-02,113279
2021-09-03,108339
2021-09-04,107665
2021-09-05,116750
2021-09-06,116542
2021-09-07,109016
2021-09-08,113682
2021-09-09,112549
2021-09-10,113267
2021-09-13,109413
2021-09-14,108312
2021-09-15,112096
2021-09-16,115179
2021-09-17,109422
2021-09-18,110765
2021-09-19,114031
2021-09-20,106795
2021-09-21,109119
2021-09-22,108213
2021-09-23,106327
2021-09-24,107749
2021-09-27,111829
2021-09-28,107917
2021-09-29,110390
2021-09-30,109306
2021-10-05,104369
2021-10-06,106347
2021-10-10,101892
2021-10-11,104213
2021-10-12,103217
2021-10-13,109513
2021-10-14,110914
2021-10-20,108693
2021-10-21,109854
2021-10-26,102957
2021-10-27,109236
2021-10-28,108276
2021-10-29,110956
2021-11-04,112062
2021-11-05,110436
2021-11-06,109836
2021-11-07,111036
2021-11-08,113591
2021-11-09,110302
2021-11-10,109318
2021-11-16,108341
2021-11-19,215102
2021-11-24,111047
2021-11-25,111296
2021-11-26,112299
2021-11-27,107694
2021-11-30,109371
2021-12-01,109211
2021-12-02,110473
2021-12-03,109726
2021-12-06,106392
2021-12-07,108269
2021-12-08,109235
2021-12-11,105396
2021-12-16,101296
2021-12-17,106219
2021-12-18,101273
2021-12-19,102976
2021-12-20,106305
2021-12-21,101346
2021-12-22,100382
2021-12-23,101297
2021-12-24,102916
2021-12-27,101463
2021-12-28,100137
2021-12-29,98364
2021-12-30,96258
2021-12-31,95169
2022-01-01,96025
2022-01-02,101312
2022-01-03,101368
2022-01-04,100613
2022-01-05,102041
2022-01-06,93061
2022-01-09,84032
2022-01-10,81265
2022-01-11,80163
2022-01-12,81639
2022-01-15,81267
2022-01-16,83492
2022-01-17,89216
2022-01-18,90234
2022-01-19,91257
2022-01-22,88216
2022-01-31,95127
2022-02-01,97163
2022-02-02,102306
2022-02-03,106310
2022-02-22,79345
2022-02-23,81264
2022-02-26,73162
2022-02-27,81246
2022-02-28,83246
