dates,covid19mobilitytrend_residence
2020-02-15,0
2020-02-16,0
2020-02-17,-1
2020-02-18,-1
2020-02-19,0
2020-02-20,1
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,-1
2020-02-25,1
2020-02-26,1
2020-02-27,3
2020-02-28,1
2020-02-29,1
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,4
2020-03-06,1
2020-03-07,3
2020-03-08,4
2020-03-09,4
2020-03-10,4
2020-03-11,5
2020-03-12,6
2020-03-13,4
2020-03-14,7
2020-03-15,10
2020-03-16,9
2020-03-17,9
2020-03-18,16
2020-03-19,19
2020-03-20,14
2020-03-21,17
2020-03-22,20
2020-03-23,19
2020-03-24,20
2020-03-25,20
2020-03-26,23
2020-03-27,17
2020-03-28,19
2020-03-29,21
2020-03-30,20
2020-03-31,19
2020-04-01,19
2020-04-02,22
2020-04-03,15
2020-04-04,18
2020-04-05,21
2020-04-06,20
2020-04-07,19
2020-04-08,19
2020-04-09,22
2020-04-10,16
2020-04-11,17
2020-04-12,19
2020-04-13,18
2020-04-14,18
2020-04-15,18
2020-04-16,20
2020-04-17,14
2020-04-18,15
2020-04-19,16
2020-04-20,15
2020-04-21,12
2020-04-22,11
2020-04-23,13
2020-04-24,15
2020-04-25,17
2020-04-26,15
2020-04-27,14
2020-04-28,12
2020-04-29,14
2020-04-30,16
2020-05-01,14
2020-05-02,15
2020-05-03,13
2020-05-04,12
2020-05-05,13
2020-05-06,13
2020-05-07,15
2020-05-08,12
2020-05-09,13
2020-05-10,12
2020-05-11,11
2020-05-12,12
2020-05-13,12
2020-05-14,13
2020-05-15,13
2020-05-16,13
2020-05-17,12
2020-05-18,11
2020-05-19,11
2020-05-20,12
2020-05-21,13
2020-05-22,12
2020-05-23,14
2020-05-24,18
2020-05-25,15
2020-05-26,14
2020-05-27,14
2020-05-28,17
2020-05-29,11
2020-05-30,12
2020-05-31,14
2020-06-01,13
2020-06-02,16
2020-06-03,16
2020-06-04,16
2020-06-05,11
2020-06-06,12
2020-06-07,14
2020-06-08,13
2020-06-09,13
2020-06-10,14
2020-06-11,16
2020-06-12,11
2020-06-13,12
