dates,covid19mobilitytrend_transporthub
2020-02-15,19
2020-02-16,12
2020-02-17,16
2020-02-18,15
2020-02-19,12
2020-02-20,11
2020-02-21,13
2020-02-22,17
2020-02-23,14
2020-02-24,15
2020-02-25,5
2020-02-26,12
2020-02-27,12
2020-02-28,10
2020-02-29,15
2020-03-01,6
2020-03-02,10
2020-03-03,5
2020-03-04,5
2020-03-05,1
2020-03-06,-4
2020-03-07,2
2020-03-08,-1
2020-03-09,2
2020-03-10,0
2020-03-11,-3
2020-03-12,-10
2020-03-13,-17
2020-03-14,-24
2020-03-15,-23
2020-03-16,-19
2020-03-17,-31
2020-03-18,-55
2020-03-19,-57
2020-03-20,-59
2020-03-21,-62
2020-03-22,-64
2020-03-23,-63
2020-03-24,-62
2020-03-25,-61
2020-03-26,-62
2020-03-27,-61
2020-03-28,-62
2020-03-29,-61
2020-03-30,-60
2020-03-31,-58
2020-04-01,-60
2020-04-02,-59
2020-04-03,-58
2020-04-04,-60
2020-04-05,-62
2020-04-06,-60
2020-04-07,-56
2020-04-08,-58
2020-04-09,-61
2020-04-10,-60
2020-04-11,-58
2020-04-12,-58
2020-04-13,-52
2020-04-14,-54
2020-04-15,-51
2020-04-16,-54
2020-04-17,-54
2020-04-18,-49
2020-04-19,-47
2020-04-20,-44
2020-04-21,-36
2020-04-22,-34
2020-04-23,-35
2020-04-24,-55
2020-04-25,-53
2020-04-26,-37
2020-04-27,-38
2020-04-28,-35
2020-04-29,-34
2020-04-30,-36
2020-05-01,-52
2020-05-02,-46
2020-05-03,-32
2020-05-04,-35
2020-05-05,-34
2020-05-06,-30
2020-05-07,-26
2020-05-08,-36
2020-05-09,-32
2020-05-10,-15
2020-05-11,-13
2020-05-12,-13
2020-05-13,-16
2020-05-14,-18
2020-05-15,-28
2020-05-16,-24
2020-05-17,-15
2020-05-18,-15
2020-05-19,-14
2020-05-20,-13
2020-05-21,-9
2020-05-22,-21
2020-05-23,-18
2020-05-24,-43
2020-05-25,-40
2020-05-26,-39
2020-05-27,-32
2020-05-28,-34
2020-05-29,-34
2020-05-30,-29
2020-05-31,-29
2020-06-01,-25
2020-06-02,-42
2020-06-03,-34
2020-06-04,-31
2020-06-05,-31
2020-06-06,-27
2020-06-07,-29
2020-06-08,-29
2020-06-09,-35
2020-06-10,-33
2020-06-11,-35
2020-06-12,-37
2020-06-13,-31
2020-06-14,-24
2020-06-15,-23
2020-06-16,-23
2020-06-17,-24
2020-06-18,-41
2020-06-19,-42
2020-06-20,-35
2020-06-21,-30
2020-06-22,-28
2020-06-23,-34
2020-06-24,-36
2020-06-25,-47
2020-06-26,-50
2020-06-27,-49
2020-06-28,-38
2020-06-29,-36
2020-06-30,-41
2020-07-01,-40
2020-07-02,-45
2020-07-03,-48
2020-07-04,-42
2020-07-05,-30
2020-07-06,-26
2020-07-07,-24
2020-07-08,-27
2020-07-09,-36
2020-07-10,-45
2020-07-11,-35
2020-07-12,-23
2020-07-13,-23
2020-07-14,-26
2020-07-15,-21
2020-07-16,-35
2020-07-17,-40
2020-07-18,-31
2020-07-19,-22
2020-07-20,-20
2020-07-21,-23
2020-07-22,-22
2020-07-23,-32
2020-07-24,-37
2020-07-25,-30
2020-07-26,-22
2020-07-27,-18
2020-07-28,-12
2020-07-29,-3
2020-07-30,-17
2020-07-31,-37
2020-08-01,-31
2020-08-02,-35
2020-08-03,-32
2020-08-04,-25
2020-08-05,-27
2020-08-06,-27
2020-08-07,-34
2020-08-08,-22
2020-08-09,-16
2020-08-10,-12
2020-08-11,-16
2020-08-12,-14
2020-08-13,-23
2020-08-14,-29
2020-08-15,-19
2020-08-16,-13
2020-08-17,-11
2020-08-18,-11
